No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
80,2020/02/15,09:18:30,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Riley LeGrand",{AC747502-7B06-41B2-99E5-8FAC4EE7616D},L,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.140,-0.462,-3.104,2059.00,252.368,2:30,1.448,-0.454,1.687,-0.874,0.159,0.497,0.442,-0.066,33.829,-6.882,0.563,0.462,,,,,,,,,,,,-0.288,0.096,-0.376,15.240,1.429,1.803,-36.774,-0.633,-5.069,7.579,-8.126,"Coe College","Coe College",,,,,{684732E5-92B1-42E6-A8CA-51A00F68D99D},-0.066,0.442
81,2020/02/15,09:18:57,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Riley LeGrand",{AC747502-7B06-41B2-99E5-8FAC4EE7616D},L,"Coe College","Wind Up",,Bottom,,,,Changeup,,"Swinging Strike",,,,,,,34.269,-1.756,-2.192,1716.00,225.324,1:30,1.407,-0.485,1.619,-0.893,0.330,0.345,0.011,-0.204,31.089,-8.294,0.359,0.504,,,,,,,,,,,,-0.201,0.202,-0.428,15.240,1.351,1.172,-33.909,-1.366,-2.979,6.868,-6.809,"Coe College","Coe College",,,,,{33FDF665-9E20-45D4-98DC-F81A97437803},-0.204,0.011
82,2020/02/15,09:19:12,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Riley LeGrand",{AC747502-7B06-41B2-99E5-8FAC4EE7616D},L,"Coe College","Wind Up",,Bottom,,,,Slider,,"Foul Ball",,,,,,,33.208,2.991,-2.162,2350.00,12.678,6:30,1.517,-0.811,1.557,-1.568,-0.254,-0.138,0.809,-0.052,30.156,-8.468,-3.175,0.523,,,,,,,,,,,,0.055,-0.144,-0.747,15.240,1.589,1.289,-32.819,1.145,0.767,6.422,-11.805,"Coe College","Coe College",,,,,{EAB77653-C70B-42F8-B823-43408F290822},-0.052,0.809
83,2020/02/15,09:19:40,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Riley LeGrand",{AC747502-7B06-41B2-99E5-8FAC4EE7616D},L,"Coe College","Wind Up",,Bottom,,,,Changeup,,"Contact Out",,,,,,,34.467,1.247,-1.707,2281.00,237.753,2:0,1.463,-0.428,1.644,-1.054,0.150,0.164,0.766,-0.103,31.199,-6.511,-0.499,0.500,32.559,40.690,-25.453,,,,,61.565,,,3.409,-0.101,0.082,-0.383,15.240,1.489,0.958,-34.130,0.361,-1.513,6.891,-8.574,"Coe College","Coe College",,,,,{F2B32AAD-DA89-40EE-991F-63F0A7CB3E0B},-0.103,0.766
84,2020/02/15,09:22:40,0,0,"Hunter Collachia",{0FED1DFB-C57B-4348-B139-47C55D4DC4D2},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Bottom,,,,Changeup,,Ball,,,,,,,30.754,-0.820,-4.057,1343.00,252.908,2:30,1.827,-0.367,1.943,-1.365,0.095,0.353,0.231,0.419,28.221,-10.942,-1.413,0.550,,,,,,,,,,,,-0.226,0.073,-0.280,15.240,1.801,2.064,-30.451,-0.807,-2.711,5.404,-8.932,"Coe College","Coe College",,,,,{798D574D-B515-444C-8D3B-E2C863BD562D},0.419,0.231
85,2020/02/15,09:22:59,0,0,"Hunter Collachia",{0FED1DFB-C57B-4348-B139-47C55D4DC4D2},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Single,,,,,,,34.438,-0.175,-2.066,1900.00,248.893,2:15,1.671,-0.471,1.773,-1.060,0.125,0.328,0.561,-0.214,31.392,-8.007,0.376,0.496,,,,,,,,,,,,-0.193,0.079,-0.422,15.240,1.659,1.120,-34.136,-0.463,-2.915,6.717,-8.609,"Coe College","Coe College",,,,,{D73B50AA-0B44-4AEE-9A5D-910D96107F8A},-0.214,0.561
86,2020/02/15,09:23:27,0,0,"Hunter Collachia",{0FED1DFB-C57B-4348-B139-47C55D4DC4D2},R,"Coe College","Luke Smailes",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Single,,,,,,,34.522,-0.322,-2.935,2009.00,227.624,1:30,1.660,-0.539,1.845,-0.766,0.405,0.392,0.803,-0.102,31.260,-6.027,-0.005,0.493,36.843,4.565,5.880,347.00,,,,25.591,,,0.708,-0.237,0.234,-0.472,15.240,1.647,1.626,-34.205,-0.441,-3.579,6.872,-6.263,"Coe College","Coe College",,,,,{4C82CE60-D9BD-4E7B-A586-41C734B5A8BC},-0.102,0.803
87,2020/02/15,09:23:50,0,0,"Hunter Collachia",{0FED1DFB-C57B-4348-B139-47C55D4DC4D2},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Bottom,,,,Curveball,,Ball,,,,,,,29.043,0.561,-3.197,2045.00,339.926,5:15,1.963,-0.676,1.602,-1.859,-0.153,-0.041,0.265,0.282,26.921,-12.874,-3.497,0.595,,,,,,,,,,,,-0.003,-0.071,-0.586,15.240,1.963,1.618,-28.736,-0.301,-0.032,4.712,-10.567,"Coe College","Coe College",,,,,{1461B053-C25F-425E-9B5B-7C7FCDBA0CBA},0.282,0.265
88,2020/02/15,09:24:05,0,0,"Hunter Collachia",{0FED1DFB-C57B-4348-B139-47C55D4DC4D2},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Bottom,,,,Curveball,,Ball,,,,,,,27.547,3.716,0.111,2021.00,88.855,9:0,2.023,-0.712,1.642,-1.828,0.061,-0.269,1.258,-0.474,24.837,-9.768,-1.890,0.630,,,,,,,,,,,,0.144,0.030,-0.712,15.240,2.109,0.025,-27.216,1.243,1.366,4.802,-9.522,"Coe College","Coe College",,,,,{6E796F3A-E7E8-4B0B-B74A-2BA647A95901},-0.474,1.258
89,2020/02/15,09:24:22,0,0,"Hunter Collachia",{0FED1DFB-C57B-4348-B139-47C55D4DC4D2},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,34.765,-0.277,-3.603,1958.00,249.484,2:15,1.689,-0.412,2.199,-1.000,0.104,0.244,0.613,0.339,31.773,-7.844,-1.745,0.478,,,,,,,,,,,,-0.166,0.070,-0.350,15.240,1.681,2.110,-34.500,-0.421,-2.565,6.769,-8.721,"Coe College","Coe College",,,,,{CD14CDAB-5B37-4B9F-B108-EFC844C99367},0.339,0.613
