No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2020/02/11,15:54:12,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.235,1.850,-2.355,1981.00,287.373,3:30,1.344,-0.724,1.653,-1.051,-0.020,0.099,0.822,-0.150,33.542,-5.911,-1.624,0.464,,,,,,,,,,,,-0.072,-0.013,-0.661,15.240,1.386,1.477,-36.839,0.783,-1.259,8.267,-10.042,"Coe College","Coe College",,,,,{D77E94BF-37DA-4C3C-909C-749299C357E9},-0.150,0.822
2,2020/02/11,15:54:28,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.631,-0.340,-1.049,2109.00,196.410,12:30,1.469,-0.704,1.754,-0.723,0.271,0.057,0.650,-0.463,33.902,-5.712,-0.621,0.456,,,,,,,,,,,,-0.040,0.162,-0.678,15.240,1.455,0.662,-37.294,-0.490,-0.710,8.542,-6.917,"Coe College","Coe College",,,,,{A0C2C5E4-F330-4762-9C1D-477B1D0991EE},-0.463,0.650
3,2020/02/11,15:54:43,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,37.860,0.242,-2.595,2045.00,199.039,12:45,1.399,-0.634,1.752,-0.762,0.222,0.003,0.706,0.099,34.210,-5.409,-2.571,0.453,,,,,,,,,,,,-0.023,0.128,-0.569,15.240,1.400,1.698,-37.498,-0.127,-0.411,8.391,-7.479,"Coe College","Coe College",,,,,{49F365BB-23D4-4EC5-900B-1010AF7569FA},0.099,0.706
4,2020/02/11,15:54:56,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,Slider,,"Swinging Strikeout",,,,,,,33.818,-6.041,-4.243,1500.00,192.350,12:30,2.417,-0.800,1.609,-0.678,0.598,0.048,,,30.842,-10.921,-3.893,,,,,,,,,,,,,-0.059,0.376,-0.682,15.240,2.242,2.448,-33.230,-3.771,-0.840,6.461,-4.439,"Coe College","Coe College",,,,,{15817572-F48C-4DCF-AF62-1E9DFF17E952},0.369,-0.002
5,2020/02/11,15:55:37,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,33.737,0.515,-2.480,2498.00,339.797,5:15,1.648,-0.819,1.929,-1.254,-0.042,-0.051,0.539,-0.072,31.024,-8.787,-2.864,0.500,,,,,,,,,,,,0.010,-0.019,-0.764,15.240,1.652,1.465,-33.471,-0.079,0.144,6.166,-10.086,"Coe College","Coe College",,,,,{D5B567BF-A7BC-4821-A384-2E30CD4FAEB5},-0.072,0.539
6,2020/02/11,15:55:50,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,35.082,1.559,-3.370,1771.00,246.765,2:15,1.323,-0.627,1.927,-1.004,0.119,0.125,0.757,0.195,31.669,-5.971,-2.429,0.484,,,,,,,,,,,,-0.097,0.066,-0.553,15.240,1.352,2.007,-34.742,0.634,-1.502,7.316,-8.782,"Coe College","Coe College",,,,,{712AFAA0-60D7-4299-B2FD-8D69DC1C72CA},0.195,0.757
7,2020/02/11,15:56:03,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,38.587,1.618,-5.815,1979.00,266.002,2:45,1.178,-0.732,1.805,-0.889,0.062,0.300,0.749,0.618,34.746,-4.983,-3.588,0.444,,,,,,,,,,,,-0.210,0.030,-0.592,15.240,1.211,3.765,-38.059,0.752,-3.919,8.610,-9.242,"Coe College","Coe College",,,,,{83D617EF-3AB1-4A56-BD30-1E5FD70F474D},0.618,0.749
8,2020/02/11,15:56:15,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,38.193,2.047,-2.274,2129.00,245.070,2:15,1.470,-0.640,1.890,-0.789,0.162,0.193,1.257,-0.193,34.464,-3.860,-0.827,0.445,,,,,,,,,,,,-0.124,0.082,-0.589,15.240,1.512,1.435,-37.847,1.078,-2.290,8.450,-8.288,"Coe College","Coe College",,,,,{8DF0DF7F-1AE6-450E-85F9-45CC0F0F0603},-0.193,1.257
9,2020/02/11,15:56:29,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,Slider,,"Foul Ball",,,,,,,34.304,1.712,-2.860,2488.00,117.521,10:0,1.396,-0.829,1.584,-1.087,0.140,-0.290,0.800,0.281,31.261,-6.221,-4.980,0.504,,,,,,,,,,,,0.131,0.070,-0.746,15.240,1.434,1.804,-33.937,0.609,1.960,6.524,-8.758,"Coe College","Coe College",,,,,{1735C988-DE24-4A91-9B2A-11B6E184D5A5},0.281,0.800
10,2020/02/11,15:56:52,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,34.215,1.754,-2.934,2100.00,256.994,2:30,1.629,-0.738,1.746,-1.159,0.049,-0.010,0.969,0.106,31.161,-6.800,-3.011,0.500,,,,,,,,,,,,-0.017,0.022,-0.663,15.240,1.665,1.740,-33.876,0.642,-0.250,6.509,-9.473,"Coe College","Coe College",,,,,{DB3A20AD-7768-4BDE-B61F-34763B1C918D},0.106,0.969
