No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
119,2019/02/12,15:29:13,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,Curveball,,"Foul Ball",,,,,,,32.071,1.345,-0.561,1201.00,123.692,10:0,1.618,0.485,2.016,-1.060,0.295,-0.443,0.933,-0.115,28.778,-6.632,-3.911,0.526,,,,,,,,,,,,0.229,0.391,-0.463,15.240,1.625,0.289,-31.979,0.866,3.856,6.889,-10.192,"Coe College","Coe College",,,,,{B1206252-8900-44FD-830E-55BA1494A9D0},0.130,0.848
120,2019/02/12,15:29:36,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.967,0.451,-0.595,2465.00,122.754,10:0,1.502,0.373,2.330,-0.792,0.134,-0.208,0.833,0.002,34.368,-5.626,-2.115,0.434,,,,,,,,,,,,-0.054,0.249,-0.381,15.240,1.495,0.801,-37.703,0.530,0.237,8.380,-11.213,"Coe College","Coe College",,,,,{EDD18543-8217-4BAC-8BFE-64D66DEB0ABB},-0.033,0.772
121,2019/02/12,15:29:57,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,31.966,0.870,-1.758,2535.00,63.394,8:0,1.651,0.465,2.169,-1.526,-0.160,-0.320,0.365,-0.342,28.633,-10.662,-3.844,0.528,,,,,,,,,,,,-0.019,0.334,-0.442,15.240,1.643,1.215,-31.655,0.300,1.433,7.084,-11.977,"Coe College","Coe College",,,,,{7DD6F0EE-8809-4792-8C50-550A180649BF},0.327,0.345
122,2019/02/12,15:30:10,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,37.619,1.800,-2.514,2497.00,268.565,3:0,1.438,0.528,2.239,-0.956,0.003,0.109,0.978,-0.056,33.922,-5.449,-1.616,0.442,,,,,,,,,,,,-0.186,0.257,-0.484,15.240,1.460,1.571,-37.202,0.967,-1.175,7.814,-10.438,"Coe College","Coe College",,,,,{1A7AF76C-C73F-44E5-A2AF-2DD2006C8934},0.066,0.967
123,2019/02/12,15:49:20,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College",Stretch,,Top,,,,"Two Seam Fastball",,"Contact Out",,,,,,,33.286,1.986,1.076,1636.00,127.098,10:15,1.395,-0.460,1.896,-1.226,0.059,-0.079,0.728,-0.236,29.780,-7.168,0.571,0.512,35.993,34.637,6.932,,,,,90.649,,,4.606,0.081,0.323,0.431,15.240,1.423,-0.526,-32.794,0.971,0.527,6.064,-10.725,"Coe College","Coe College",,,,,{28AE845F-7EFD-46AD-B9A2-212CAD6A1385},0.243,0.700
124,2019/02/12,15:49:49,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College",Stretch,,Top,,,,Curveball,,Ball,,,,,,,28.251,4.782,-3.764,,246.535,2:15,1.308,-0.264,1.760,-1.311,0.496,1.143,1.359,-0.190,25.151,-5.248,4.133,0.607,,,,,,,,,,,,-0.500,0.425,0.366,15.240,1.415,1.059,-27.788,2.349,-4.527,3.810,-9.437,"Coe College","Coe College",,,,,{86F5D81F-79A7-4E74-BE0F-548C4FA70B24},0.265,1.280
125,2019/02/12,15:50:04,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College",Stretch,,Top,,,,"Two Seam Fastball",,Ball,,,,,,,33.378,-4.483,-0.019,,214.111,1:15,1.826,-0.265,2.006,-0.084,1.157,0.784,0.488,0.514,30.248,-5.375,5.692,0.503,,,,,,,,,,,,-0.317,1.239,0.265,15.240,1.729,-0.322,-33.398,-2.502,-5.705,7.340,-0.705,"Coe College","Coe College",,,,,{8BC989CF-72D3-4F49-9D55-48F0E7D8A91E},-0.497,0.494
126,2019/02/12,15:50:24,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College",Stretch,,Top,,,,"Two Seam Fastball",,"Contact Out",,,,,,,32.811,0.272,0.191,1882.00,206.168,12:45,1.624,-0.264,1.964,-0.778,0.527,0.259,0.922,0.048,29.400,-5.720,1.894,0.516,22.158,27.092,-1.508,,,,,35.496,,,2.058,-0.020,0.788,0.267,15.240,1.624,-0.392,-32.469,-0.233,-0.913,5.659,-5.230,"Coe College","Coe College",,,,,{4D4ED2E2-767A-472D-85AC-9D1A8AAC1B78},-0.020,0.931
127,2019/02/12,15:51:26,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College",Stretch,,Top,,,,"Two Seam Fastball",,"Called Strike",,,,,,,29.752,3.467,-0.046,2173.00,202.556,12:45,1.372,-0.468,1.844,-1.334,0.270,0.112,1.017,-0.369,26.631,-6.523,0.822,0.572,,,,,,,,,,,,-0.200,0.363,0.467,15.240,1.427,0.287,-29.528,1.756,-2.239,4.776,-10.265,"Coe College","Coe College",,,,,{90AEDCC4-8605-47A1-8C3D-9232D140B718},0.314,0.953
128,2019/02/12,15:51:41,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College",Stretch,,Top,,,,"Two Seam Fastball",,Ball,,,,,,,32.534,4.325,1.904,1410.00,102.093,9:30,1.296,-0.562,1.654,-1.272,0.129,-0.601,1.261,-0.619,28.792,-5.195,-2.072,0.534,,,,,,,,,,,,0.270,0.284,0.495,15.240,1.404,-0.562,-32.009,2.064,3.306,6.399,-10.013,"Coe College","Coe College",,,,,{BBD5363B-3151-4913-B7EC-4ACAC27849A9},0.608,1.238
129,2019/02/12,15:52:02,0,0,"Mike Guinane",{F801B34F-F27D-4F5E-942D-E20B7628B09F},L,"Coe College","TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College",Stretch,,Top,,,,"Two Seam Fastball",,Ball,,,,,,,34.780,4.035,-1.831,1940.00,251.735,2:30,1.325,-0.289,1.673,-1.086,0.130,0.393,1.392,-0.418,30.912,-4.002,0.948,0.498,,,,,,,,,,,,-0.169,0.289,0.366,15.240,1.430,0.616,-34.043,1.953,-2.005,5.852,-9.283,"Coe College","Coe College",,,,,{C00E2787-C91C-46ED-8766-156258527988},0.441,1.371
