No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/02/25,15:42:17,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,36.476,1.649,-2.934,1476.00,213.036,1:0,1.464,0.771,1.741,-0.828,0.257,0.167,1.105,0.104,32.744,-4.501,-1.702,0.470,,,,,,,,,,,,-0.310,0.356,-0.705,15.240,1.496,1.949,-36.074,0.896,-2.842,7.481,-8.961,"Coe College","Coe College",,,,,{B7F023C1-F0E5-47C8-BCE0-83A474ED4436},-0.132,1.065
2,2019/02/25,15:43:06,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.219,0.938,-3.605,1692.00,328.281,5:0,1.379,0.581,1.730,-1.369,-0.324,0.200,0.277,-0.244,33.660,-9.038,-2.122,0.462,,,,,,,,,,,,-0.336,0.127,-0.498,15.240,1.384,2.325,-36.750,0.319,-2.905,7.783,-14.282,"Coe College","Coe College",,,,,{9867E145-F77F-46F0-B289-CC5A872CB5B8},0.220,0.269
3,2019/02/25,15:43:29,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,38.277,-1.159,-8.862,1841.00,281.391,3:30,1.600,0.911,1.856,-1.228,-0.236,1.171,0.041,-0.436,34.555,-10.157,-0.398,0.450,,,,,,,,,,,,-1.095,0.421,-0.704,15.240,1.568,5.466,-37.403,-1.382,-13.562,8.441,-10.945,"Coe College","Coe College",,,,,{8751AAA4-CDCD-4C05-9131-44AAA21A9FBE},0.397,0.071
4,2019/02/25,15:43:55,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.097,0.964,-5.926,1693.00,305.910,4:15,1.378,0.758,1.898,-1.515,-0.481,0.664,0.136,-0.250,33.598,-10.222,-1.241,0.459,,,,,,,,,,,,-0.626,0.090,-0.621,15.240,1.380,3.474,-36.534,0.235,-6.799,6.983,-15.240,"Coe College","Coe College",,,,,{DAB5D201-A4E2-4496-B723-C134173B122E},0.238,0.139
5,2019/02/25,15:44:10,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,37.547,0.222,-3.411,1836.00,263.939,2:45,1.493,0.669,1.780,-0.989,0.026,0.240,0.567,-0.058,33.994,-7.027,-1.517,0.455,31.885,23.298,-4.826,,,,,60.852,,,2.587,-0.382,0.274,-0.597,15.240,1.481,2.332,-37.131,0.058,-3.962,7.676,-11.635,"Coe College","Coe College",,,,,{A57CFC83-9B4B-4B35-8D6A-9035763F8237},0.029,0.511
6,2019/02/25,15:44:49,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.915,1.820,-2.232,,67.005,8:15,1.553,0.566,1.447,-1.466,-0.093,-0.220,0.614,-0.299,29.690,-8.792,-3.658,0.529,,,,,,,,,,,,-0.070,0.285,-0.494,15.240,1.579,1.416,-32.706,0.665,0.992,6.396,-11.813,"Coe College","Coe College",,,,,{BA55E581-BCC2-46DD-8FFE-79BE3E13BCBD},0.280,0.589
7,2019/02/25,15:45:08,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.279,1.026,-5.979,1993.00,309.692,4:15,1.372,0.684,1.854,-1.327,-0.295,0.356,0.335,-0.652,33.675,-8.630,-3.114,0.459,,,,,,,,,,,,-0.599,0.228,-0.548,15.240,1.385,3.933,-36.755,0.144,-5.519,7.957,-12.531,"Coe College","Coe College",,,,,{0C2725C0-DB08-4B7B-B4B3-EF93F398F2EC},0.615,0.348
8,2019/02/25,15:45:28,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,37.650,-0.037,-2.430,1822.00,166.564,11:30,1.545,0.642,1.673,-0.632,0.403,-0.096,0.903,-0.148,33.761,-4.749,-3.079,0.459,,,,,,,,,,,,-0.177,0.455,-0.576,15.240,1.535,1.783,-37.180,0.007,-0.640,8.688,-7.969,"Coe College","Coe College",,,,,{6ACFD2E7-ADC6-4AA7-935B-AAFEEABA1523},0.108,0.854
9,2019/02/25,15:45:46,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.791,0.584,-3.949,1755.00,296.224,3:45,1.379,0.763,2.065,-1.209,-0.230,0.467,0.332,0.130,34.081,-8.397,-0.415,0.447,,,,,,,,,,,,-0.501,0.213,-0.692,15.240,1.387,2.555,-37.289,0.074,-6.062,8.112,-12.844,"Coe College","Coe College",,,,,{0065DC59-2BBA-4B95-826C-1BA70A4D3001},-0.153,0.323
10,2019/02/25,15:46:02,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,38.042,-0.370,-4.156,1690.00,211.467,1:0,1.548,0.677,1.749,-0.744,0.266,0.163,0.698,-0.342,34.126,-5.886,-2.967,0.454,,,,,,,,,,,,-0.405,0.407,-0.577,15.240,1.521,2.859,-37.400,-0.212,-3.595,8.386,-9.227,"Coe College","Coe College",,,,,{7BEB724B-911E-4E2F-AAFF-7268CCC1599D},0.295,0.653
