No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
198,2020/02/04,16:28:43,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.707,-1.351,-3.522,2206.00,243.127,2:0,1.772,-0.617,1.607,-0.952,0.117,0.235,0.432,0.157,33.510,-8.294,-1.798,0.470,,,,,,,,,,,,-0.151,0.080,-0.521,15.240,1.726,2.142,-36.304,-1.234,-2.582,7.411,-8.440,"Coe College","Coe College",,,,,{04B66B61-EF33-441D-9BB9-5FD3D837240F},0.157,0.432
199,2020/02/04,16:28:59,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.964,-1.932,-2.699,2223.00,272.767,3:0,1.655,-0.611,1.568,-1.199,-0.081,0.268,,,33.172,-10.592,-0.739,,,,,,,,,,,,,-0.160,-0.022,-0.536,15.240,1.590,1.572,-35.590,-1.677,-2.650,6.876,-10.178,"Coe College","Coe College",,,,,{21C2165F-FAF8-4A25-B5AC-4F4699B20C82},-0.104,-0.099
200,2020/02/04,16:29:21,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,36.518,-0.294,-1.982,2187.00,190.140,12:15,1.690,-0.773,1.514,-0.844,0.245,-0.011,0.761,-0.191,33.087,-6.453,-2.062,0.476,,,,,,,,,,,,-0.010,0.141,-0.714,15.240,1.673,1.255,-36.141,-0.532,-0.169,7.652,-7.424,"Coe College","Coe College",,,,,{EF4A8B1E-9AFE-470C-BC78-AF15598E048B},-0.191,0.761
201,2020/02/04,16:29:38,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.584,-0.618,-3.831,2370.00,253.628,2:30,1.799,-0.599,1.456,-1.061,0.037,0.123,0.559,0.386,33.417,-8.280,-2.935,0.476,,,,,,,,,,,,-0.093,0.031,-0.483,15.240,1.769,2.368,-36.150,-0.840,-1.577,7.298,-9.278,"Coe College","Coe College",,,,,{8FBE6EE3-61D3-4A3C-AAB0-6FFA9AA77292},0.386,0.559
202,2020/02/04,16:29:53,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.379,-1.286,-2.243,2246.00,299.366,4:0,1.656,-0.682,1.509,-1.284,-0.184,0.173,0.001,-0.209,33.466,-10.551,-0.978,0.477,,,,,,,,,,,,-0.107,-0.079,-0.617,15.240,1.606,1.339,-36.004,-1.338,-1.809,7.232,-11.144,"Coe College","Coe College",,,,,{26DC39EC-687E-4F2F-AEE5-1D97DC0D39C4},-0.209,0.001
203,2020/02/04,16:30:51,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.478,2.813,-1.016,1203.00,17.464,6:30,1.800,-0.747,1.344,-1.727,-0.317,-0.150,0.892,-0.301,29.620,-9.620,-2.105,0.541,,,,,,,,,,,,0.069,-0.172,-0.712,15.240,1.872,0.628,-32.088,0.898,0.920,6.008,-12.098,"Coe College","Coe College",,,,,{4167C5EB-DD16-4DDC-8E22-06DFDD0ECA68},-0.301,0.892
204,2020/02/04,16:31:06,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Curveball,,"Foul Ball",,,,,,,32.824,2.228,-1.431,1305.00,45.762,7:30,1.797,-0.847,1.305,-1.542,-0.157,-0.249,0.905,-0.181,29.785,-8.879,-3.236,0.537,,,,,,,,,,,,0.116,-0.083,-0.797,15.240,1.853,0.910,-32.421,0.641,1.567,6.342,-10.931,"Coe College","Coe College",,,,,{072D18F4-FCEA-4C8A-B789-E32D8785DB91},-0.181,0.905
205,2020/02/04,16:31:24,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.670,0.280,-1.738,1154.00,187.187,12:15,1.802,-0.770,1.566,-0.859,0.215,-0.023,1.024,-0.247,33.250,-6.004,-1.909,0.472,,,,,,,,,,,,-0.001,0.120,-0.720,15.240,1.802,1.111,-36.311,-0.168,-0.023,7.638,-7.752,"Coe College","Coe College",,,,,{D255D8DE-938D-4336-83CF-A14FEB612A0A},-0.247,1.024
206,2020/02/04,16:31:41,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strikeout",,,,,,,36.975,1.106,-2.481,2277.00,239.622,2:0,1.759,-0.770,1.551,-0.907,0.152,0.159,1.170,-0.216,33.509,-5.533,-1.315,0.468,,,,,,,,,,,,-0.103,0.080,-0.700,15.240,1.783,1.520,-36.590,0.336,-1.783,7.663,-8.421,"Coe College","Coe College",,,,,{1DBCA711-50F2-4897-B532-387D778B3513},-0.216,1.170
207,2020/02/04,16:32:25,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Dvante Glenn",{EE4555FD-1717-4FAA-8996-90BBC2243DEE},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.136,-0.922,-2.699,2268.00,242.182,2:0,1.750,-0.696,1.665,-0.963,0.130,0.246,0.523,-0.171,33.018,-7.976,-0.888,0.475,30.227,27.222,-33.016,,,,,53.622,,,2.485,-0.151,0.083,-0.625,15.240,1.717,1.594,-35.786,-0.941,-2.514,7.147,-8.417,"Coe College","Coe College",,,,,{3CF4AE70-D30E-4A60-A5AF-4C41DC1B259F},-0.171,0.523
