Team  ,teamID,era ,w,l ,cg ,sho ,cbo,ip ,ha,ra,er ,bb ,so ,2b ,3b ,hr ,ab ,b/avg ,wp ,hbp ,bk ,sfa ,sha ,year
Luther College,LUT,5.39,25,18,13,3,1,310.1,377,227,186,113,193,73,8,18,1265,0.298,18,44,2,19,19,2010
Luther College,LUT,3.72,24,19,16,4,1,322,322,170,133,116,178,58,10,2,1230,0.262,33,43,5,14,27,2011
Luther College,LUT,5.02,25,20,8,4,1,344,393,230,192,151,197,64,14,4,1356,0.29,23,30,2,11,36,2012
Luther College,LUT,4.03,14,22,9,1,0,281.1,311,186,126,143,139,59,11,4,1096,0.284,29,30,1,14,28,2013
Luther College,LUT,6.1,16,24,8,3,0,310,396,271,210,155,203,79,8,16,1269,0.312,36,48,0,14,22,2014
Luther College,LUT,4.63,20,23,10,1,1,340.1,397,231,175,113,253,89,20,13,1362,0.291,22,43,0,20,25,2015
Luther College,LUT,4.75,34,14,14,5,1,388.2,451,256,205,163,258,79,11,24,1554,0.29,30,40,5,15,27,2016
Luther College,LOR,3.97,27,17,12,1,0,364.2,409,221,161,134,287,84,12,5,1425,0.287,43,55,3,14,28,2017
Nebraska Wesleyan,NWU,5.22,13,27,10,2,1,332.2,373,253,193,129,221,71,13,18,1311,0.285,44,59,3,14,27,2017
Simpson College,SIM,6.53,18,19,8,0,0,257.2,318,239,187,142,206,55,8,21,1062,0.299,26,43,2,15,14,2002
Simpson College,SIM,4.48,24,19,10,3,2,313.2,358,230,156,114,229,81,11,24,1277,0.28,19,38,2,10,22,2003
Simpson College,SIM,5.01,31,16,15,0,0,345,415,270,192,147,280,67,9,33,1421,0.292,44,53,0,17,23,2004
Simpson College,SIM,4.47,19,19,11,3,1,276,352,219,137,131,205,58,3,15,1145,0.307,25,48,3,12,20,2005
Simpson College,SIM,4.29,26,10,3,2,1,281.1,327,174,134,114,167,38,4,6,1093,0.299,29,50,2,20,23,2006
Simpson College,SIM,5.55,18,24,5,0,0,306.2,439,297,189,134,168,72,15,8,1297,0.338,18,39,1,20,36,2007
Simpson College,SIM,3.89,25,16,10,2,2,319,362,213,138,113,213,62,15,8,1275,0.284,24,33,1,20,27,2008
Simpson College,SIM,5.77,19,23,5,1,1,310.1,449,284,199,100,200,71,9,17,1326,0.339,11,40,2,19,25,2009
Simpson College,SIM,5.18,23,18,8,1,0,312.2,409,233,180,107,190,75,13,21,1293,0.316,19,33,6,14,21,2010
Simpson College,SIM,4.08,23,18,17,6,1,306.1,314,204,139,113,240,50,12,17,1201,0.261,26,51,1,11,23,2011
Simpson College,SIM,4.5,18,24,13,4,2,328,372,209,164,123,206,56,10,5,1311,0.284,23,54,1,21,29,2012
Simpson College,SIM,5.29,18,23,3,1,1,330,385,240,194,167,170,58,7,6,1291,0.298,37,41,4,21,28,2013
Simpson College,SIM,4.21,22,22,13,1,0,344,377,222,161,91,239,65,4,9,1371,0.275,32,54,3,21,26,2014
Simpson College,SIM,6.05,14,25,10,0,0,309.1,422,275,208,123,210,70,16,22,1306,0.323,39,52,4,13,14,2015
Simpson College,SIM,7.71,14,29,9,2,0,325.2,468,328,279,137,245,101,24,19,1379,0.339,35,72,3,26,19,2016
Simpson College,SIM,6.77,7,29,1,1,1,285.2,371,291,215,160,176,72,15,10,1203,0.308,64,53,8,22,12,2017
Upper Iowa Univ.,UIU,5.48,26,13,15,2,0,282.2,326,221,172,124,198,60,5,27,1149,0.284,29,29,3,8,23,2002
Upper Iowa Univ.,UIU,5.63,14,22,11,1,0,276.1,353,253,173,122,215,67,7,23,1164,0.303,34,33,3,11,24,2003
Wartburg College,WAR,5.11,29,15,8,3,1,319,330,229,181,210,263,59,7,20,1228,0.269,39,57,4,14,29,2002
Wartburg College,WAR,4.68,33,12,10,2,0,342,396,250,178,156,258,68,3,19,1375,0.288,30,49,4,14,18,2003
Wartburg College,WAR,3.88,30,15,9,2,1,343,375,232,148,133,234,58,5,8,1366,0.275,14,56,1,13,28,2004
Wartburg College,WAR,3.13,36,11,17,5,1,379,340,177,132,124,236,54,9,18,1418,0.24,15,57,2,16,19,2005
Wartburg College,WAR,4.12,27,15,9,4,0,323.2,342,179,148,110,206,40,7,14,1238,0.276,10,48,0,20,15,2006
Wartburg College,WAR,4.31,28,13,7,2,0,326,354,194,156,117,223,48,8,12,1269,0.279,25,46,1,17,35,2007
Wartburg College,WAR,4.11,27,15,5,3,2,326.2,311,196,149,124,230,56,6,18,1231,0.253,20,50,4,16,27,2008
Wartburg College,WAR,4.65,28,20,14,2,0,373.1,415,261,193,168,318,76,12,14,1487,0.279,33,37,6,13,26,2009
Wartburg College,WAR,5.33,25,19,14,3,0,336,363,250,199,132,263,73,9,18,1323,0.274,49,54,6,20,27,2010
Wartburg College,WAR,3.43,26,18,11,5,2,344,345,196,131,120,248,50,3,13,1340,0.257,41,42,3,16,33,2011
Wartburg College,WAR,4.04,23,20,12,2,0,332.1,319,207,149,137,322,33,12,6,1276,0.25,23,46,3,10,35,2012
Wartburg College,WAR,3.7,35,11,18,6,1,369.2,368,192,152,99,306,59,6,12,1422,0.259,26,37,2,9,31,2013
Wartburg College,WAR,4.24,25,17,15,5,2,335.2,382,196,158,111,241,62,5,8,1336,0.286,28,46,4,13,23,2014
Wartburg College,WAR,3.81,33,14,12,7,3,380.1,403,208,161,107,272,45,3,16,1493,0.27,38,35,1,11,37,2015
Wartburg College,WAR,3.53,34,13,15,3,2,385.1,373,191,151,96,282,60,8,12,1468,0.254,25,29,5,20,30,2016
Wartburg College,WAR,3.12,33,14,7,6,3,406.1,373,172,141,119,352,60,5,20,1514,0.246,33,37,2,16,31,2017
"Dubuque, Univ. of",DBQ,3.39,24,15,7,4,4,337,329,160,127,74,276,59,14,10,1315,0.25,13,20,4,14,21,2018
Luther College,LUT,3.43,26,16,8,7,3,341.1,361,196,130,113,240,62,7,12,1327,0.272,33,62,8,11,23,2018
Wartburg College,WAR,3.51,26,13,0,6,6,338,340,160,132,108,245,63,9,10,1283,0.265,24,34,2,11,31,2018
Loras College,LOR,3.74,25,15,1,2,2,339.1,309,181,141,131,300,55,14,12,1285,0.24,36,38,2,10,22,2018
Coe College,COE,4.26,24,18,3,5,3,355.1,338,224,168,167,268,70,3,11,1356,0.249,47,59,5,13,31,2018
Central College,CEN,5.31,16,23,4,2,2,313.2,369,226,185,120,270,81,9,14,1255,0.294,37,38,7,18,24,2018
Nebraska Wesleyan,NWU,6.61,9,26,5,3,1,284.2,376,271,209,118,229,63,16,13,1204,0.312,61,50,9,12,19,2018
Buena Vista Univ.,BVU,6.97,15,21,2,2,1,308.2,393,296,239,165,196,72,13,24,1270,0.309,49,45,7,19,18,2018
Simpson College,SIM,7.1,8,28,2,0,0,287.2,386,308,227,185,226,66,20,18,1211,0.319,43,51,2,17,17,2018
