Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Brock Reed,LUT,0.211,37,37,95,10,20,3,0,0,11,23,0.242,12,5,18,0,0.325,2,5,3,3,2003
Jason Roggentien,UIU,0.21,23,22,62,6,13,2,0,0,8,15,0.242,8,3,21,0,0.32,2,0,0,0,2003
Joe Poole,BVU,0.209,33,20,67,11,14,2,0,0,6,16,0.239,14,0,11,0,0.346,0,0,2,3,2003
Matt DeWolf,SIM,0.206,20,12,34,2,7,1,0,0,2,8,0.235,2,1,6,3,0.27,0,0,0,0,2003
Grant Lodden,COE,0.205,17,10,39,6,8,2,0,0,3,10,0.256,2,0,9,1,0.244,0,0,1,3,2003
Glen Kneeland,LOR,0.2,30,29,80,8,16,4,1,0,19,22,0.275,8,1,23,0,0.278,1,0,0,0,2003
Ryan Stout,UIU,0.2,3,2,10,3,2,0,0,0,1,2,0.2,2,0,0,0,0.333,0,0,1,1,2003
Travis Hilsabeck,CEN,0.196,32,30,92,13,18,2,1,3,23,31,0.337,9,3,39,2,0.283,2,1,5,5,2003
Josh Schauf,COE,0.194,19,9,31,1,6,0,0,0,3,6,0.194,3,0,15,0,0.265,0,0,0,1,2003
Dominic Wilson,COR,0.185,19,11,27,8,5,0,0,1,5,8,0.296,3,0,8,1,0.258,1,2,3,3,2003
Nick Luke,COE,0.182,11,6,22,3,4,0,0,0,1,4,0.182,3,0,3,0,0.269,1,0,3,4,2003
Justin Burns,BVU,0.182,4,4,11,1,2,1,0,0,1,3,0.273,3,0,7,0,0.357,0,0,0,0,2003
Jeff Plasschaert,LOR,0.171,17,9,35,7,6,1,0,0,2,7,0.2,3,0,9,1,0.237,0,0,0,0,2003
Jason Stravers,LUT,0.167,15,12,36,4,6,1,0,0,4,7,0.194,5,0,9,0,0.268,0,0,1,1,2003
