Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
William Davila,DBQ,0.289,38,33,97,27,28,4,1,0,9,34,0.351,19,8,17,3,0.444,0,0,12,14,2007
Dan Murphy,SIM,0.28,8,6,25,5,7,2,1,1,9,14,0.56,1,1,7,2,0.333,0,1,0,0,2007
Anthony Bazant,CEN,0.28,33,28,93,14,26,4,0,0,11,30,0.323,10,2,15,3,0.358,1,3,6,7,2007
Ryan Martin,WAR,0.278,17,10,36,12,10,1,0,1,10,14,0.389,3,1,8,0,0.35,0,0,6,7,2007
Blaine Nicks,LOR,0.276,21,18,58,8,16,1,0,0,4,17,0.293,6,1,11,2,0.354,0,2,1,2,2007
John Schroeder,LOR,0.275,15,12,40,5,11,1,0,0,6,12,0.3,7,2,5,0,0.408,0,0,2,4,2007
Beau Kaplan,SIM,0.273,23,19,66,16,18,4,0,0,6,22,0.333,12,1,6,0,0.388,1,5,2,3,2007
Jon Reiner,COE,0.273,11,3,11,1,3,0,0,0,4,3,0.273,0,0,2,1,0.273,0,0,0,0,2007
Jesus Guillen,DBQ,0.271,23,23,59,7,16,1,0,0,9,17,0.288,2,7,7,1,0.368,0,2,0,1,2007
Andrew Roder,COE,0.264,33,26,91,12,24,4,1,1,14,33,0.363,8,4,14,5,0.346,1,0,5,6,2007
Michael Barta,BVU,0.263,22,20,57,11,15,2,0,0,5,17,0.298,11,3,10,2,0.408,0,4,0,0,2007
TJ Reidy,COE,0.263,9,6,19,1,5,0,0,0,2,5,0.263,1,1,1,1,0.333,0,0,0,0,2007
Dan Adams,COE,0.262,30,23,84,12,22,3,0,0,5,25,0.298,7,2,18,1,0.333,0,0,8,9,2007
Joe Nelson,LUT,0.258,13,9,31,3,8,0,1,0,3,10,0.323,3,1,3,0,0.343,0,1,2,2,2007
Ben Kuebel,LOR,0.257,28,19,70,19,18,0,0,0,4,18,0.257,8,1,4,0,0.338,1,0,6,7,2007
Greg Williams,LOR,0.257,19,8,35,8,9,0,0,2,6,15,0.429,4,0,9,1,0.333,0,0,2,2,2007
Matt Lampugnano,DBQ,0.254,23,16,59,7,15,2,1,0,6,19,0.322,4,1,11,1,0.313,0,1,0,0,2007
Curt Bickford,DBQ,0.25,13,4,24,1,6,0,0,0,3,6,0.25,1,0,2,1,0.28,0,0,0,0,2007
Kyle Evangelista,LOR,0.25,4,0,4,0,1,1,0,0,0,2,0.5,1,0,1,0,0.4,0,0,0,0,2007
George Bruggenthies,LOR,0.25,10,3,4,1,1,0,0,0,0,1,0.25,2,2,1,0,0.625,0,1,0,0,2007
Darin Schneider,LUT,0.25,3,1,4,0,1,0,0,0,1,1,0.25,1,0,1,0,0.4,0,0,1,1,2007
Paul Endriss,COE,0.242,27,21,66,11,16,1,0,0,11,17,0.258,5,4,9,3,0.325,2,3,5,5,2007
Jesse Reis,SIM,0.24,28,25,75,10,18,2,0,0,8,20,0.267,12,2,21,3,0.36,0,3,0,0,2007
Joe Pogge,SIM,0.237,16,12,38,8,9,0,1,0,2,11,0.289,8,1,12,1,0.383,0,1,0,0,2007
Jake Miksell,WAR,0.231,5,4,13,1,3,0,0,0,2,3,0.231,1,0,3,0,0.267,1,2,0,0,2007
Nate Roling,LOR,0.229,32,27,96,8,22,3,0,0,11,25,0.26,8,7,21,2,0.333,0,0,2,3,2007
Justin List,BVU,0.226,22,19,62,13,14,4,0,3,13,27,0.435,8,4,16,1,0.342,2,1,3,4,2007
Jeremy Perez,DBQ,0.224,29,22,58,3,13,1,0,0,7,14,0.241,5,3,9,3,0.3,4,4,1,4,2007
Cameron Gallegos,COR,0.224,26,23,76,11,17,2,0,0,6,19,0.25,5,4,12,2,0.306,0,1,1,2,2007
Skylar Price,COE,0.222,16,6,27,3,6,1,1,1,7,12,0.444,1,3,7,2,0.323,0,0,0,0,2007
Ryan Fincham,COR,0.222,6,3,9,0,2,1,0,0,0,3,0.333,0,0,3,0,0.222,0,0,0,0,2007
Nick McKenzie,COE,0.222,9,2,9,2,2,0,0,0,0,2,0.222,1,0,3,0,0.3,0,1,1,1,2007
Tom Sheehan,CEN,0.22,29,23,82,11,18,4,1,0,10,24,0.293,10,1,21,0,0.309,1,1,1,3,2007
Trent Kain,SIM,0.217,24,14,46,8,10,2,0,0,5,12,0.261,2,1,12,0,0.26,1,1,3,3,2007
Stryder Morissette,DBQ,0.216,21,14,51,8,11,1,0,0,3,12,0.235,8,0,7,0,0.322,0,0,1,2,2007
Ryan Schisler,COE,0.214,7,4,14,2,3,0,0,0,1,3,0.214,0,1,3,0,0.267,0,1,0,0,2007
Brandon Steinbrecher,WAR,0.211,7,6,19,3,4,1,0,0,3,5,0.263,2,1,8,0,0.304,1,0,0,0,2007
Phil Worden,LUT,0.208,18,16,48,7,10,2,0,0,6,12,0.25,1,1,10,1,0.235,1,6,0,1,2007
Quince Springer,COE,0.2,4,1,5,0,1,0,0,0,0,1,0.2,0,1,3,0,0.333,0,0,0,0,2007
Chris Dolezal,BVU,0.194,18,12,36,5,7,0,0,0,2,7,0.194,6,1,4,0,0.326,0,0,1,1,2007
Quinn O'Brien,CEN,0.192,24,19,73,6,14,1,0,0,6,15,0.205,5,0,5,2,0.238,2,0,0,0,2007
BJ Pilling,CEN,0.189,20,14,37,7,7,0,0,0,2,7,0.189,12,0,8,2,0.38,1,1,2,3,2007
AJ Wieck,SIM,0.189,35,34,90,24,17,6,0,0,10,23,0.256,29,1,21,0,0.388,1,3,2,3,2007
Aaron Heffernan,CEN,0.171,23,10,35,8,6,2,0,0,3,8,0.229,4,0,10,0,0.256,0,0,2,4,2007
Justin Ramos,DBQ,0.167,11,9,30,3,5,0,0,0,3,5,0.167,3,0,14,2,0.242,0,0,0,0,2007
Adam Squires,CEN,0.156,12,10,32,6,5,0,0,2,4,11,0.344,6,1,5,0,0.3,1,0,1,1,2007
Charlie Eastlund,CEN,0.143,24,21,56,8,8,2,0,1,10,13,0.232,6,9,21,0,0.319,1,6,0,0,2007
Arron Merchlewitz,DBQ,0.13,20,8,23,6,3,0,0,0,2,3,0.13,0,3,3,0,0.231,0,1,0,0,2007
Joe Swanson,COE,0.125,19,4,16,3,2,1,0,0,1,3,0.188,1,0,2,0,0.176,0,0,0,1,2007
Scott Mangin,WAR,0.125,6,5,16,3,2,0,0,0,1,2,0.125,3,0,7,0,0.263,0,0,0,0,2007
Curt Graham,SIM,0.125,3,1,8,0,1,0,0,0,1,1,0.125,0,0,3,1,0.125,0,0,0,0,2007
Michael Szela,COE,0.1,15,3,10,0,1,0,0,0,0,1,0.1,1,0,4,0,0.182,0,0,1,1,2007
Nate Halupnick,BVU,0.036,11,9,28,2,1,0,0,0,2,1,0.036,1,0,9,0,0.069,0,1,0,0,2007
Bill Albee,DBQ,0,11,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Nick Selby,COR,0,3,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2007
Tyler Shireman,LOR,0,19,1,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,2007
Joe Martin,DBQ,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Brad Arends,CEN,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
TJ Chase,DBQ,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Nick Teson,LOR,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Jake Appelgate,BVU,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0,0,0,0,2007
Doug Elfstrom,LUT,0,3,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0.333,0,0,0,0,2007
Scott Hanson,LUT,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0.333,0,0,0,0,2007
Garrett Hill,BVU,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.5,0,0,0,0,2007
Matt Tegeler,WAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
David Bartine,COR,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,2007
Eric Bermudez,DBQ,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2007
Christopher Jones,DBQ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Samuel Little,DBQ,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Tregg Fay,BVU,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Brent Richter,BVU,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,2007
Kamron Koplitz,DBQ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Max Flaig,LUT,0,5,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Aaron Hall,COR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Brady Buresh,SIM,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,2007
Garrett Christensen,SIM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Joel Hugunin,CEN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
Steve Chamberlin,WAR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Greenfield,CEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Thomas Brown,COR,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Jon Fitzpatrick,SIM,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2007
Joshua Velazquez,DBQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Tony Bladel,DBQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Justin Shaffer,DBQ,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Brandon Thurm,WAR,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Luke Roth,LOR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Mike Brehm,LOR,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Brent Poffenbarger,LOR,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2007
Byron Abram,DBQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Jake Waddle,LUT,0.421,35,35,121,31,51,14,4,2,28,79,0.653,14,6,16,1,0.497,2,1,0,2,2008
Danny Cantu,DBQ,0.408,39,39,142,26,58,8,2,1,37,73,0.514,7,1,16,1,0.434,2,0,7,10,2008
Alex Martinez,DBQ,0.397,39,39,126,40,50,10,4,5,36,83,0.659,17,6,12,1,0.48,3,1,17,21,2008
Jerrold Martijn,WAR,0.39,40,40,141,40,55,13,3,6,26,92,0.652,16,5,13,1,0.463,2,2,7,11,2008
Cory Dawson,SIM,0.38,37,37,129,33,49,11,3,1,24,69,0.535,20,0,26,1,0.457,2,0,4,5,2008
Jeff Hiatt,LUT,0.378,35,35,127,20,48,10,1,1,35,63,0.496,8,2,14,1,0.414,3,1,6,6,2008
Ryan Baranowski,COE,0.376,41,40,133,29,50,14,1,0,19,66,0.496,16,4,13,2,0.452,2,3,5,7,2008
Jason McClaflin,SIM,0.371,41,41,151,39,56,10,1,4,31,80,0.53,19,12,18,2,0.465,5,0,4,6,2008
AJ Lewis,WAR,0.363,34,33,113,21,41,5,1,2,19,54,0.478,5,1,9,1,0.392,1,4,3,5,2008
Aaron Saeugling,WAR,0.357,40,40,143,27,51,12,1,3,33,74,0.517,17,1,22,3,0.423,2,0,10,12,2008
Caleb Rangel,CEN,0.355,43,43,141,26,50,9,1,1,27,64,0.454,20,3,21,3,0.442,1,7,0,0,2008
Ben Schott,LUT,0.353,35,35,116,14,41,7,0,0,24,48,0.414,18,3,15,1,0.453,0,0,1,3,2008
Tyler Downing,COR,0.352,29,29,91,15,32,6,0,1,18,41,0.451,11,4,13,1,0.439,1,1,0,0,2008
Tyler McAllister,COE,0.351,42,42,154,29,54,11,1,5,36,82,0.532,12,9,18,1,0.419,4,4,17,19,2008
Don Pirkle,LOR,0.348,46,46,155,27,54,5,0,1,29,62,0.4,20,7,17,1,0.445,0,3,2,2,2008
Jeff Weisenborn,BVU,0.342,34,34,111,25,38,9,0,0,24,47,0.423,19,1,14,3,0.436,2,3,4,6,2008
Ryan Velvick,COE,0.342,36,28,117,20,40,6,1,5,21,63,0.538,6,1,23,0,0.379,0,1,1,2,2008
Jesse Reis,SIM,0.339,37,37,109,21,37,9,1,1,23,51,0.468,27,4,26,4,0.482,1,5,3,4,2008
Kyle Jones,WAR,0.336,39,38,119,26,40,15,0,4,28,67,0.563,24,1,22,0,0.451,0,2,0,0,2008
Michael Ramos,DBQ,0.336,39,39,146,38,49,6,5,3,19,74,0.507,7,2,26,1,0.369,2,3,14,15,2008
Nick Olberding,LOR,0.331,46,46,172,31,57,15,0,3,30,81,0.471,16,2,14,2,0.387,4,3,8,8,2008
Cody Smith,COE,0.331,42,42,148,35,49,7,1,1,17,61,0.412,25,7,9,0,0.443,3,3,10,12,2008
Chris Duran,DBQ,0.331,39,39,118,17,39,5,0,0,18,44,0.373,19,4,11,3,0.428,4,2,0,0,2008
Michael Edwards,CEN,0.329,43,43,149,34,49,14,2,2,40,73,0.49,18,9,17,3,0.425,3,1,1,1,2008
Alex Ross,LUT,0.325,35,35,126,27,41,6,1,1,20,52,0.413,15,3,13,2,0.41,0,2,6,6,2008
Mike Johnson,WAR,0.323,40,40,133,32,43,5,0,2,21,54,0.406,15,5,14,2,0.406,2,2,0,2,2008
Chris Jones,SIM,0.321,39,38,137,28,44,7,3,4,35,69,0.504,17,2,24,2,0.396,3,3,1,1,2008
Ryan Schisler,COE,0.316,42,42,152,28,48,12,0,2,24,66,0.434,3,3,14,1,0.335,3,3,11,13,2008
Anthony Bazant,CEN,0.314,43,43,159,37,50,9,4,1,25,70,0.44,14,3,30,6,0.379,1,6,6,7,2008
Jake Jadlowski,CEN,0.306,42,42,144,34,44,6,3,0,27,56,0.389,17,3,24,2,0.376,6,6,7,8,2008
Brandon Pietrzyk,BVU,0.305,34,34,118,33,36,6,1,12,33,80,0.678,11,3,23,3,0.376,1,0,9,10,2008
Ben Kuebel,LOR,0.305,46,46,141,22,43,3,0,1,21,49,0.348,7,3,16,2,0.346,2,3,11,14,2008
Tim Andrews,LOR,0.303,42,40,132,21,40,1,0,4,21,53,0.402,11,0,18,3,0.357,0,1,3,3,2008
Derek Knutson,CEN,0.298,43,43,151,30,45,9,1,3,39,65,0.43,15,5,26,5,0.38,0,2,3,3,2008
Brock Schneden,LOR,0.297,43,42,128,27,38,10,0,4,32,60,0.469,15,1,27,2,0.37,2,5,3,4,2008
Adam Gross,LOR,0.296,46,46,169,33,50,8,3,2,26,70,0.414,16,5,25,2,0.366,4,4,15,21,2008
Ben Tressel,CEN,0.296,42,42,142,36,42,7,0,0,12,49,0.345,11,11,17,3,0.386,2,5,5,8,2008
Pat Richmond,COE,0.292,42,42,154,22,45,6,0,2,29,57,0.37,7,6,17,0,0.341,3,3,5,5,2008
Ben Rudman,COR,0.292,28,27,89,10,26,1,0,0,7,27,0.303,6,1,17,1,0.344,0,3,3,3,2008
Mark Blum,BVU,0.291,30,30,103,21,30,8,3,2,10,50,0.485,14,3,12,1,0.385,2,2,3,3,2008
Brad Blum,BVU,0.286,33,33,98,16,28,3,0,2,20,37,0.378,7,6,16,2,0.36,3,2,5,6,2008
Zach Nagle,WAR,0.282,38,38,131,25,37,7,1,3,18,55,0.42,12,4,25,4,0.358,1,2,5,7,2008
Michael Tierney,COR,0.282,24,24,85,16,24,2,0,1,9,29,0.341,1,4,8,2,0.319,1,1,1,3,2008
Jeff Riddle,LUT,0.281,34,34,121,34,34,8,0,1,11,45,0.372,10,12,22,1,0.389,1,1,16,16,2008
Michael Stephenson,BVU,0.275,31,31,91,20,25,7,0,0,11,32,0.352,25,2,14,0,0.441,0,6,12,16,2008
Blake Smith,CEN,0.27,42,39,122,20,33,9,1,1,20,47,0.385,10,9,16,2,0.369,0,7,2,5,2008
Stryder Morissette,DBQ,0.27,39,39,141,31,38,5,3,0,9,49,0.348,20,4,19,3,0.376,0,1,5,7,2008
Alex Miklo,LOR,0.267,46,46,135,32,36,8,0,0,10,44,0.326,25,10,20,3,0.415,1,5,11,14,2008
Isiah Stevens,WAR,0.266,41,41,139,19,37,12,0,2,30,55,0.396,11,2,15,7,0.329,0,3,3,3,2008
Casey Korn,COR,0.266,23,23,79,18,21,5,0,2,18,32,0.405,9,0,21,5,0.337,1,2,0,0,2008
John Schroeder,LOR,0.25,45,45,148,28,37,8,1,3,20,56,0.378,13,2,24,3,0.313,3,6,10,11,2008
Beau Kaplan,SIM,0.248,40,39,153,24,38,5,0,1,17,46,0.301,9,3,21,1,0.301,1,1,3,6,2008
Curt Bjork,SIM,0.246,40,40,126,24,31,5,0,1,21,39,0.31,24,5,18,0,0.385,1,5,0,0,2008
Kevin Kloewer,BVU,0.245,31,28,94,17,23,4,0,3,23,36,0.383,5,1,19,0,0.276,5,1,1,1,2008
Danny Rose,WAR,0.242,33,33,128,20,31,7,0,1,12,41,0.32,13,0,17,2,0.312,0,3,6,7,2008
Cameron Gallegos,COR,0.238,29,28,80,12,19,4,0,0,7,23,0.288,7,2,14,2,0.315,0,2,2,2,2008
Jim Bose,COR,0.237,23,23,76,13,18,3,0,2,11,27,0.355,2,10,9,1,0.337,1,1,1,3,2008
Alex Thomas,LUT,0.236,27,27,89,10,21,3,0,0,8,24,0.27,5,0,18,2,0.274,1,4,3,3,2008
Tad Barry,COR,0.213,26,26,89,17,19,4,0,1,9,26,0.292,5,3,14,1,0.278,0,3,4,5,2008
Tregg Fay,BVU,1,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2008
Paul Ryan,LUT,1,1,1,1,0,1,0,0,0,1,1,1,3,0,0,0,1,0,0,0,0,2008
Michael Mohn,LUT,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2008
Brett Wilson,BVU,0.667,9,1,9,5,6,0,0,1,3,9,1,2,0,1,0,0.727,0,0,3,3,2008
Matt Tegeler,WAR,0.5,3,1,4,2,2,1,0,0,0,3,0.75,2,1,0,0,0.714,0,0,0,0,2008
Anthony Miller,CEN,0.5,7,0,2,3,1,0,0,0,1,1,0.5,3,0,1,0,0.8,0,0,0,0,2008
Jesse Searls,COR,0.5,1,0,2,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0,0,0,2008
Kevin Baranowski,COE,0.5,12,0,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,2008
Steve Chamberlin,WAR,0.429,5,2,7,4,3,1,0,0,4,4,0.571,2,1,0,0,0.6,0,0,0,0,2008
Brandon Thurm,WAR,0.389,12,4,18,3,7,2,0,0,2,9,0.5,3,1,6,0,0.5,0,0,1,2,2008
Michael Hoffman,BVU,0.382,26,22,76,16,29,4,0,3,20,42,0.553,8,1,10,1,0.447,0,0,1,1,2008
Steve Johnston,BVU,0.359,14,11,39,7,14,3,1,2,6,25,0.641,1,0,9,2,0.375,0,0,0,1,2008
Tyler Case,BVU,0.354,29,29,82,17,29,5,2,0,2,38,0.463,7,0,35,0,0.404,0,2,8,10,2008
Matthew Shimanovsky,COR,0.344,25,23,61,10,21,4,0,1,11,28,0.459,8,3,22,0,0.438,1,2,0,1,2008
Alex Larson,DBQ,0.333,36,31,96,13,32,5,0,0,16,37,0.385,8,2,15,0,0.396,0,1,6,8,2008
Jeff Kinkel-Schuster,SIM,0.333,32,23,81,23,27,7,1,0,12,36,0.444,10,2,8,1,0.411,2,1,8,8,2008
Chad Christell,LOR,0.333,10,2,12,2,4,0,0,1,2,7,0.583,2,0,5,0,0.429,0,0,0,0,2008
Chris Dahle,DBQ,0.329,33,24,70,10,23,0,0,0,15,23,0.329,11,3,13,1,0.44,0,4,2,2,2008
Garrett Hill,BVU,0.32,16,6,25,4,8,0,0,0,3,8,0.32,3,4,7,0,0.469,0,0,5,6,2008
Corey Rasmussen,SIM,0.316,33,32,98,18,31,3,0,1,15,37,0.378,10,1,21,1,0.385,0,9,9,10,2008
Jason Hayes,SIM,0.316,17,13,38,15,12,1,0,0,4,13,0.342,6,12,6,1,0.536,0,0,4,6,2008
Matthew Bruhn,LUT,0.31,29,20,71,12,22,5,0,0,6,27,0.38,10,1,11,0,0.402,0,3,3,5,2008
Dave Johnson,SIM,0.307,33,25,101,18,31,8,2,0,22,43,0.426,11,5,11,3,0.398,1,1,4,5,2008
Eric Hanna,COE,0.304,40,38,92,20,28,5,1,2,15,41,0.446,15,4,28,0,0.42,1,4,7,8,2008
Clark Egdorf,LOR,0.3,34,31,100,11,30,2,0,1,13,35,0.35,3,4,9,2,0.343,1,3,0,1,2008
Trent Svehla,COE,0.3,19,8,40,6,12,3,1,0,6,17,0.425,3,1,12,1,0.364,0,1,3,3,2008
Jared Lackey,CEN,0.3,22,10,40,8,12,2,0,2,12,20,0.5,5,3,7,0,0.408,1,1,1,2,2008
Joe Swanson,COE,0.293,25,14,41,6,12,2,0,0,8,14,0.341,5,2,8,0,0.388,1,1,0,1,2008
Cody Aldrich,BVU,0.286,2,2,7,3,2,0,0,1,4,5,0.714,3,0,0,0,0.5,0,0,0,0,2008
Joe Pogge,SIM,0.273,24,18,66,14,18,2,1,1,9,25,0.379,11,2,11,0,0.388,1,2,2,2,2008
John-Paul Baker,BVU,0.273,7,4,11,3,3,0,0,0,1,3,0.273,1,0,3,0,0.333,0,0,0,0,2008
Austin Brown,LOR,0.273,18,0,11,6,3,1,0,0,2,4,0.364,0,0,1,0,0.25,1,0,3,3,2008
Mark Weber,LUT,0.271,24,18,59,8,16,5,1,1,4,26,0.441,4,1,17,0,0.328,0,0,1,1,2008
Andy Krekel,COR,0.27,20,19,63,4,17,1,0,0,10,18,0.286,1,0,13,2,0.273,2,0,0,0,2008
Aaron Heffernan,CEN,0.268,22,16,41,9,11,0,0,0,4,11,0.268,5,1,8,0,0.362,0,5,1,2,2008
Tyler Shireman,LOR,0.262,34,11,42,7,11,1,0,0,8,12,0.286,3,1,9,0,0.326,0,1,2,2,2008
Spencer Stumpff,WAR,0.261,25,12,46,8,12,4,0,0,2,16,0.348,2,1,6,0,0.306,0,0,3,4,2008
Justin Owens,CEN,0.26,35,35,104,16,27,8,0,1,15,38,0.365,8,7,13,2,0.35,1,2,1,2,2008
Zack Topping,LUT,0.259,24,14,54,4,14,1,2,0,10,19,0.352,6,0,10,2,0.333,0,1,0,0,2008
Jeff Wagner,COE,0.255,25,17,55,10,14,1,1,0,10,17,0.309,6,1,13,2,0.339,0,0,4,5,2008
Scott Mangin,WAR,0.25,23,14,52,7,13,2,0,0,7,15,0.288,8,0,16,1,0.344,1,1,1,1,2008
Paul Endriss,COE,0.25,25,14,40,5,10,0,0,0,2,10,0.25,4,5,9,1,0.388,0,3,3,4,2008
Jon Reiner,COE,0.25,11,5,12,1,3,1,0,0,0,4,0.333,2,1,4,0,0.4,0,1,0,0,2008
Jason Hassman,CEN,0.25,10,0,8,2,2,0,0,0,1,2,0.25,1,2,3,1,0.455,0,0,0,0,2008
Scott Hanson,LUT,0.25,6,2,8,2,2,1,0,0,2,3,0.375,3,0,1,0,0.455,0,1,1,1,2008
Charlie Eastlund,CEN,0.25,7,2,8,1,2,1,0,0,2,3,0.375,1,0,3,0,0.333,0,0,0,0,2008
Scott Muhlenbruch,BVU,0.25,3,0,4,1,1,0,0,0,1,1,0.25,0,0,1,0,0.25,0,0,0,0,2008
Drew Yarkosky,SIM,0.25,2,0,4,1,1,0,1,0,2,3,0.75,0,0,2,0,0.25,0,0,0,0,2008
Patrick Grau,WAR,0.246,26,23,69,14,17,3,0,1,12,23,0.333,8,2,11,1,0.342,0,3,6,6,2008
Ben Roemmich,WAR,0.243,14,9,37,2,9,2,0,0,5,11,0.297,3,0,9,1,0.3,0,0,2,3,2008
Nathan Halupnick,BVU,0.237,15,12,38,5,9,2,0,0,8,11,0.289,3,1,6,0,0.31,0,1,0,0,2008
Ron Manthe,DBQ,0.235,31,28,85,10,20,2,1,1,11,27,0.318,4,1,16,1,0.275,1,3,0,1,2008
BJ Pilling,CEN,0.231,12,8,26,5,6,0,0,0,2,6,0.231,2,2,11,1,0.333,0,1,0,0,2008
Jacob Schwind,COE,0.222,9,0,9,0,2,0,0,0,3,2,0.222,1,1,3,0,0.364,0,0,0,0,2008
Nick Robertson,COE,0.221,34,27,86,12,19,0,0,0,10,19,0.221,7,0,9,0,0.274,2,1,1,2,2008
Tony Foster,DBQ,0.216,27,20,74,9,16,4,0,2,11,26,0.351,4,0,17,0,0.253,1,0,0,0,2008
Bill Albee,DBQ,0.214,12,8,28,6,6,0,0,0,4,6,0.214,4,0,9,0,0.313,0,0,1,2,2008
Joe Thompson,LUT,0.211,26,20,57,8,12,0,1,0,6,14,0.246,4,1,12,1,0.27,1,2,2,2,2008
Brady Buresh,SIM,0.2,3,1,5,1,1,0,0,0,0,1,0.2,1,0,3,0,0.333,0,1,1,1,2008
Andrew Patzke,COR,0.2,3,1,5,1,1,0,0,0,0,1,0.2,0,1,3,0,0.333,0,0,0,0,2008
David Lakin,CEN,0.2,6,2,5,3,1,0,0,0,0,1,0.2,0,1,1,0,0.333,0,0,0,0,2008
Chris Dolezal,BVU,0.194,17,10,31,4,6,1,0,0,0,7,0.226,2,3,4,1,0.306,0,3,1,1,2008
Jared Swim,SIM,0.192,28,22,73,11,14,6,0,0,6,20,0.274,6,0,9,6,0.253,0,1,1,1,2008
Steve Beckman,LUT,0.19,33,30,79,10,15,2,1,0,9,19,0.241,13,3,17,2,0.326,0,3,0,1,2008
Jacob Miksell,WAR,0.189,13,10,37,5,7,1,0,0,5,8,0.216,2,0,10,2,0.231,0,1,2,2,2008
Jeremy Kippley,CEN,0.185,19,19,65,9,12,3,0,2,10,21,0.323,4,2,15,1,0.25,1,0,0,0,2008
Andy Compton,BVU,0.182,11,8,22,2,4,0,0,0,4,4,0.182,7,0,6,0,0.379,0,0,0,1,2008
Justin Ramos,DBQ,0.182,8,4,11,1,2,0,0,0,1,2,0.182,3,0,4,0,0.357,0,0,0,0,2008
Darin Schneider,LUT,0.182,9,2,11,1,2,0,0,0,0,2,0.182,0,1,2,0,0.25,0,0,1,1,2008
Nick McKenzie,COE,0.18,27,12,50,2,9,1,0,0,7,10,0.2,4,4,16,1,0.293,0,0,2,2,2008
Joe Alexander,BVU,0.172,17,9,29,6,5,1,0,0,2,6,0.207,6,1,12,0,0.316,2,1,2,2,2008
Justin Shaffer,DBQ,0.161,24,9,31,3,5,1,0,0,6,6,0.194,4,0,10,0,0.257,0,0,1,1,2008
Michael Szela,COE,0.154,16,1,13,3,2,1,0,0,0,3,0.231,2,1,4,0,0.313,0,0,0,0,2008
Anthony Cozzi,COR,0.154,7,4,13,1,2,0,1,0,2,4,0.308,3,1,2,0,0.353,0,1,0,0,2008
Matt Lampugnano,DBQ,0.149,29,24,67,11,10,1,1,0,8,13,0.194,10,5,19,0,0.305,0,2,1,1,2008
