"Base","0 outs","1 out","2 outs"
"000",0.66,0.33,0.11
"001",1.66,1.17,0.42
"010",1.49,0.87,0.34
"011",2.2,1.52,0.76
"100",1.12,0.64,0.24
"101",2.03,1.45,0.56
"110",1.92,1.18,0.48
"111",2.59,1.84,0.94
