No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
96,2019/09/07,10:52:08,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nico Catan",{71B766F8-80AE-4818-9B66-FC4FA68737CE},R,"Coe College",,,Top,,,,,,,,,,,,,22.945,6.973,14.779,1230.00,,,2.458,0.783,-0.099,,,,,,18.765,-12.053,6.207,,,,,,,,,,,,,1.572,1.429,-1.534,15.240,2.817,-5.782,-20.889,0.465,7.417,5.956,-3.070,"Coe College","Coe College",,,,,{364A5A4A-C9D8-4271-825A-48699F49B27D},-3.786,2.207
97,2019/09/07,10:52:21,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nico Catan",{71B766F8-80AE-4818-9B66-FC4FA68737CE},L,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,35.004,-0.749,-2.741,1857.00,262.766,2:45,1.618,0.122,2.212,-0.829,0.023,0.181,0.357,-0.542,31.677,-8.714,-2.002,0.476,,,,,,,,,,,,-0.135,0.017,-0.102,15.240,1.626,1.885,-34.694,-0.749,-2.086,7.414,-9.545,"Coe College","Coe College",,,,,{70A60176-91CF-476B-BC4A-6D392992872D},0.533,0.331
98,2019/09/07,10:52:33,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nico Catan",{71B766F8-80AE-4818-9B66-FC4FA68737CE},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,36.480,0.710,0.994,0.00,225.856,1:30,1.592,0.060,1.826,-0.241,0.546,0.563,1.356,0.020,33.075,-2.694,-1.242,0.463,,,,,,,,,,,,-0.406,0.394,-0.218,15.240,1.624,1.808,-36.148,0.000,-7.010,6.191,-3.006,"Coe College","Coe College",,,,,{AB002700-9C01-4E7B-8139-59E02B212C9E},-0.083,1.352
99,2019/09/07,10:52:49,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nico Catan",{71B766F8-80AE-4818-9B66-FC4FA68737CE},L,"Coe College","Wind Up",,Top,,,,Fastball,,Error,,,,,,,34.877,1.571,-2.255,1787.00,271.422,3:0,1.464,0.204,2.228,-0.853,-0.009,0.359,0.746,0.017,31.629,-7.143,1.007,0.474,23.156,-3.402,-22.977,,,,,7.140,,,0.319,-0.266,-0.007,-0.168,15.240,1.536,1.262,-34.565,0.416,-4.167,6.126,-9.913,"Coe College","Coe College",,,,,{22766BED-C3A6-4ECD-A495-4C0149A87459},-0.020,0.735
100,2019/09/07,10:53:48,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nico Catan",{71B766F8-80AE-4818-9B66-FC4FA68737CE},L,"Coe College",Stretch,,Top,,,,Fastball,,"Contact Out",,,,,,,33.458,1.832,-1.507,1604.00,292.141,3:45,1.525,0.167,2.228,-0.999,-0.074,0.183,0.899,-0.123,30.166,-6.749,-0.305,0.495,30.079,43.226,14.792,,,,,59.331,,,4.250,-0.135,-0.055,-0.149,15.240,1.536,1.025,-33.157,1.055,-1.937,5.879,-10.598,"Coe College","Coe College",,,,,{5335D40F-BEED-4263-B142-B8AEE91F956B},0.118,0.877
101,2019/09/07,10:56:00,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Matthew Schrader",{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,37.032,2.566,-1.742,2440.00,229.493,1:45,1.305,0.612,2.052,-0.689,0.070,0.082,1.146,0.163,33.528,-4.029,-1.472,0.451,,,,,,,,,,,,-0.060,0.051,-0.585,15.240,1.349,1.218,-36.648,1.405,-1.055,6.647,-8.909,"Coe College","Coe College",,,,,{4494C697-A147-4CE1-86EB-118DF95DF788},-0.166,1.154
102,2019/09/07,10:56:17,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Matthew Schrader",{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Foul Ball",,,,,,,37.177,0.769,-2.924,2405.00,231.887,1:45,1.349,0.551,2.126,-0.644,0.102,0.130,0.784,-0.118,33.800,-5.170,-2.070,0.447,,,,,,,,,,,,-0.096,0.075,-0.487,15.240,1.342,1.771,-36.815,0.411,-1.714,6.587,-8.466,"Coe College","Coe College",,,,,{3ADBA91A-9AF8-4C66-AD02-03EEC75BA82C},0.103,0.775
103,2019/09/07,10:56:39,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Matthew Schrader",{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,"Coe College","Wind Up",,Bottom,,,,Slider,,Ball,,,,,,,34.791,0.433,-3.088,2561.00,79.805,8:45,1.433,0.648,2.054,-0.871,-0.006,-0.035,0.505,-0.242,31.510,-7.439,-3.371,0.481,,,,,,,,,,,,0.025,-0.005,-0.569,15.240,1.367,1.736,-34.413,0.313,0.393,6.133,-9.881,"Coe College","Coe College",,,,,{C640EC32-94BF-4BD3-A78B-3AACA49FFF85},0.249,0.515
104,2019/09/07,10:56:56,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Matthew Schrader",{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Called Strike",,,,,,,37.905,0.967,-2.070,2500.00,88.193,9:0,1.290,0.526,2.067,-0.734,-0.005,-0.145,0.593,-0.272,34.355,-6.275,-3.739,0.442,,,,,,,,,,,,0.107,-0.003,-0.478,15.240,1.328,1.408,-37.464,0.236,1.953,7.578,-9.872,"Coe College","Coe College",,,,,{3524AFCF-15C4-4EB2-BA17-EB306413BC12},0.269,0.585
105,2019/09/07,10:57:12,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Matthew Schrader",{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,"Coe College","Wind Up",,Bottom,,,,Slider,,Ball,,,,,,,34.670,0.945,-3.090,2454.00,120.297,10:0,1.335,0.623,2.009,-0.785,0.105,-0.180,0.552,-0.416,31.112,-6.911,-4.421,0.488,,,,,,,,,,,,0.131,0.077,-0.555,15.240,1.433,1.755,-34.342,-0.059,1.980,7.421,-8.653,"Coe College","Coe College",,,,,{654A4CE7-CCE3-4B03-B6EC-43BBA58FB3D3},0.444,0.517
