No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
140,2021/09/12,11:17:06,0,0,"Jaren Doromal",{5AFFFC1D-FFE5-4FE6-ADA9-8A528B0A8B7B},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,34.158,0.291,2.991,1850.00,137.595,10:30,1.293,-0.461,1.468,-0.894,0.342,-0.346,0.483,0.057,31.067,-6.195,0.472,0.509,,,,,,,,,,,,0.202,0.195,0.374,15.240,1.293,-1.627,-33.737,-0.181,2.994,6.224,-6.921,"Coe College","Coe College",,,,,{92E6BEF7-8FAC-40F6-935A-E258A441A770},-0.057,0.483
141,2021/09/12,11:17:27,0,0,"Jaren Doromal",{5AFFFC1D-FFE5-4FE6-ADA9-8A528B0A8B7B},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,"Contact Out",,,,,,,33.977,1.857,2.798,1884.00,129.584,10:15,1.300,-0.388,1.405,-0.965,0.296,-0.403,0.874,0.020,30.811,-5.131,-0.128,0.514,,,,,,,,,,,,0.229,0.158,0.305,15.240,1.348,-1.476,-33.530,0.700,3.350,6.164,-7.493,"Coe College","Coe College",,,,,{FA909102-B1D9-46A8-B9AD-6FBD92A5DEE4},-0.020,0.874
142,2021/09/12,11:20:01,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,Slider,,,,,,,,,33.644,3.925,-1.073,1808.00,7.686,6:15,1.160,0.812,1.355,-1.529,-0.232,-0.025,0.774,0.476,30.346,-7.141,-1.252,0.524,,,,,,,,,,,,0.004,-0.126,-0.777,15.240,1.269,0.630,-33.132,1.657,0.060,6.467,-11.592,"Coe College","Coe College",,,,,{AE1E4B90-B7A0-43B3-993D-5CA42AB2C731},-0.476,0.774
143,2021/09/12,11:20:14,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,34.754,0.540,-1.888,2412.00,148.127,11:0,1.251,0.856,1.249,-0.860,0.366,-0.252,0.549,0.052,31.534,-5.625,-3.698,0.508,,,,,,,,,,,,0.113,0.201,-0.789,15.240,1.259,1.242,-34.306,-0.054,1.735,6.622,-6.729,"Coe College","Coe College",,,,,{759E6685-9FB1-49FF-9975-340DD57BFB12},-0.052,0.549
144,2021/09/12,11:20:29,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,,,,,,,,33.570,3.440,-2.791,1888.00,265.350,2:45,1.075,1.022,1.353,-1.317,-0.008,0.191,0.761,0.401,30.744,-6.000,-1.420,0.521,,,,,,,,,,,,-0.116,-0.015,-0.934,15.240,1.172,1.533,-33.052,1.450,-1.666,5.339,-10.018,"Coe College","Coe College",,,,,{B1FD7B3B-61C2-4521-9B5B-712F3B79164C},-0.401,0.761
145,2021/09/12,11:20:44,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,33.086,2.427,-2.726,2429.00,23.405,6:45,1.201,0.875,1.172,-1.765,-0.390,-0.154,0.150,-0.080,30.405,-10.069,-3.823,0.536,,,,,,,,,,,,0.058,-0.196,-0.777,15.240,1.263,1.617,-32.563,0.621,0.799,5.677,-12.515,"Coe College","Coe College",,,,,{08EDEACC-3BB7-44E3-A0DE-ED1FE7E016C4},0.080,0.150
146,2021/09/12,11:20:58,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,35.578,1.132,-3.741,2490.00,209.785,1:0,1.229,0.927,1.281,-0.827,0.343,0.209,0.733,0.042,32.606,-4.774,-2.250,0.493,,,,,,,,,,,,-0.130,0.177,-0.804,15.240,1.257,2.201,-35.089,0.324,-2.110,5.977,-6.929,"Coe College","Coe College",,,,,{0C9B7BB3-0E82-40E6-841F-3F96A26B8D2E},-0.042,0.733
147,2021/09/12,11:21:16,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,33.809,2.068,-2.947,1890.00,305.709,4:15,1.081,1.014,1.407,-1.510,-0.233,0.306,0.172,0.465,31.466,-8.709,-0.752,0.513,,,,,,,,,,,,-0.174,-0.125,-0.925,15.240,1.130,1.594,-33.375,0.592,-2.581,4.950,-11.661,"Coe College","Coe College",,,,,{4574391D-B703-46FF-9C15-0B19B9C0C973},-0.465,0.172
148,2021/09/12,11:21:30,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Nico Catan",{30C94C37-7E2F-41DA-8D1C-D1BAFA10A6DB},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,35.595,-0.148,-4.390,2562.00,188.084,12:15,1.392,0.928,1.304,-0.599,0.564,0.085,0.750,-0.270,32.388,-4.445,-3.781,0.494,,,,,,,,,,,,-0.075,0.304,-0.783,15.240,1.380,2.659,-35.125,-0.355,-1.203,6.604,-4.900,"Coe College","Coe College",,,,,{317BC4B9-B00B-456E-A386-4A0D77B07CF7},0.270,0.750
149,2021/09/12,11:21:59,0,0,"Tyler Riebhoff",{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,"Coe College","Garrett Swain",{D091E1D8-D47E-4B0A-B210-DF7B782826D1},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,33.295,1.550,-2.113,2593.00,111.052,9:45,1.403,0.903,1.205,-1.246,0.101,-0.371,0.612,-0.088,30.303,-7.338,-4.770,0.532,,,,,,,,,,,,0.171,0.060,-0.824,15.240,1.441,1.370,-32.830,0.357,2.394,6.103,-8.961,"Coe College","Coe College",,,,,{4004C1C0-DA58-4B2F-B2ED-E8320BE903BD},0.088,0.612
