No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2021/09/19,10:03:13,0,0,"Jackson Varney",{045EB90B-4992-4443-AEF7-921EAA57C857},R,"Coe College","Jacob Brosius",{0ED626C7-A04F-4BB2-B809-3BB96A879005},L,"Coe College","Wind Up",,Top,,,,,,,,,,,,,35.352,-3.266,-6.734,2189.00,246.278,2:15,1.726,0.755,2.124,-0.854,0.226,0.551,,,32.673,-9.614,-2.619,,,,,,,,,,,,,-0.352,0.158,-0.630,15.240,1.660,3.954,-34.774,-2.233,-5.611,5.863,-7.287,"Coe College","Coe College",,,,,{86FA92C4-C0F8-48CF-A73F-60A20F84C25A},0.570,-0.040
2,2021/09/19,10:05:13,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Jacob Brosius",{0ED626C7-A04F-4BB2-B809-3BB96A879005},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,35.874,-0.887,-4.457,2144.00,235.618,1:45,1.645,0.740,2.235,-0.792,0.232,0.369,0.608,-0.120,32.979,-6.860,-1.663,0.461,,,,,,,,,,,,-0.239,0.149,-0.666,15.240,1.627,2.671,-35.466,-0.753,-3.961,6.303,-7.337,"Coe College","Coe College",,,,,{E512F5C8-081F-4F3E-8BFD-56F7C6CF0193},0.120,0.608
3,2021/09/19,10:05:29,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Jacob Brosius",{0ED626C7-A04F-4BB2-B809-3BB96A879005},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.711,-0.190,-2.207,2168.00,220.145,1:15,1.723,0.824,2.189,-0.710,0.321,0.290,0.961,0.504,32.814,-5.546,-0.014,0.463,,,,,,,,,,,,-0.179,0.195,-0.786,15.240,1.717,1.289,-35.432,-0.306,-2.944,6.373,-6.588,"Coe College","Coe College",,,,,{9EC8FDBB-A99D-45EE-81FC-943A64FB2F2F},-0.504,0.961
4,2021/09/19,10:05:46,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Jacob Brosius",{0ED626C7-A04F-4BB2-B809-3BB96A879005},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Contact Out",,,,,,,35.886,-0.906,-4.368,2192.00,219.133,1:15,1.664,0.831,2.147,-0.759,0.273,0.236,0.654,-0.145,33.175,-6.584,-2.598,0.462,33.531,35.695,20.814,,,,,89.166,,,4.365,-0.160,0.168,-0.751,15.240,1.645,2.647,-35.514,-0.773,-2.665,5.988,-7.003,"Coe College","Coe College",,,,,{3D15E454-9CAF-4A60-80D3-C4B1D9918C14},0.145,0.654
5,2021/09/19,10:06:23,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,29.046,2.519,-0.795,2127.00,103.196,9:30,1.588,0.797,2.070,-1.533,0.055,-0.397,0.756,0.179,26.771,-8.945,-3.784,0.576,,,,,,,,,,,,0.216,0.034,-0.780,15.240,1.631,0.493,-28.789,0.905,2.333,4.473,-9.440,"Coe College","Coe College",,,,,{0BF44E11-9704-46FD-A418-83DC58A5BDFA},-0.179,0.756
6,2021/09/19,10:06:37,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.683,0.028,-6.955,2178.00,240.492,2:0,1.619,0.851,2.150,-0.917,0.136,0.270,0.711,-0.814,32.965,-6.815,-4.945,0.467,,,,,,,,,,,,-0.195,0.085,-0.724,15.240,1.616,4.216,-35.164,-0.233,-3.192,5.845,-8.417,"Coe College","Coe College",,,,,{22FD4580-4959-46E6-AF6F-88EF8F48E82A},0.814,0.711
7,2021/09/19,10:06:56,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,29.826,2.691,-0.481,2257.00,80.071,8:45,1.456,0.947,1.938,-1.636,-0.107,-0.421,0.575,0.391,27.596,-9.427,-3.621,0.565,,,,,,,,,,,,0.227,-0.059,-0.934,15.240,1.506,0.361,-29.568,0.953,2.603,4.595,-10.484,"Coe College","Coe College",,,,,{778737E8-1280-4D39-8201-A389C3133199},-0.391,0.575
8,2021/09/19,10:07:14,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.687,-2.511,-5.375,2159.00,229.446,1:45,1.780,0.792,2.215,-0.642,0.343,0.421,0.443,-0.273,33.778,-7.335,-2.201,0.452,,,,,,,,,,,,-0.273,0.221,-0.701,15.240,1.734,3.294,-36.199,-1.765,-4.723,6.403,-5.994,"Coe College","Coe College",,,,,{FD739659-5FAE-4026-8C9D-E93078B95395},0.273,0.443
9,2021/09/19,10:07:31,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Contact Out",,,,,,,35.875,-1.322,-3.588,2127.00,218.257,1:15,1.703,0.763,2.238,-0.690,0.329,0.278,0.648,0.052,32.941,-6.534,-1.480,0.461,41.644,-9.938,-37.783,,,,,3.364,,,0.092,-0.183,0.209,-0.703,15.240,1.678,2.157,-35.522,-0.997,-3.022,6.467,-6.341,"Coe College","Coe College",,,,,{A6100894-A867-4F40-8C1C-F4B2D4EE1A16},-0.052,0.648
10,2021/09/19,10:08:29,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Jack Allison",{258C8E8B-E0A5-44C0-81F8-A6FFFF79EAFE},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.619,-1.032,-6.019,2189.00,215.192,1:15,1.759,0.797,2.170,-0.717,0.334,0.252,0.754,-0.622,32.688,-6.419,-4.131,0.468,,,,,,,,,,,,-0.182,0.207,-0.689,15.240,1.737,3.638,-35.135,-0.828,-2.959,6.239,-6.444,"Coe College","Coe College",,,,,{2300C1B8-5A54-4244-B150-DE72E942DD85},0.622,0.754
