No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [km/h]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [cm]","Pitch Break Ind (V) [cm]","Pitch Break (H) [cm]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [km/h]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [km/h]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [cm]","pfxz [cm]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
12,2019/09/07,11:56:39,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Called Strike",,,,,,,130.821,1.146,-1.916,2045.00,203.445,12:45,1.283,0.267,2.130,-42.587,36.517,15.837,0.858,-0.135,117.873,-4.535,-0.996,0.460,,,,,,,,,,,,-11.639,26.839,-0.254,15.240,1.306,1.323,-35.901,0.192,-1.964,6.760,-5.281,"Coe College","Coe College",,,,,{F4C8B79D-DE51-496F-9063-ADF74433BB16},0.133,0.900
13,2019/09/07,11:56:51,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Called Strike",,,,,,,133.493,2.710,-2.987,2037.00,257.249,2:30,1.067,0.376,2.094,-70.556,6.655,29.406,0.914,-0.172,119.511,-4.143,-0.887,0.454,,,,,,,,,,,,-21.536,4.874,-0.344,15.240,1.146,2.005,-36.534,1.291,-3.736,7.474,-8.964,"Coe College","Coe College",,,,,{9D2D2F70-14C1-44A1-894A-C815621F9166},0.170,0.889
14,2019/09/07,11:57:05,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Swinging Strikeout",,,,,,,138.137,1.524,-1.353,2161.00,210.705,1:0,1.315,0.305,2.130,-53.353,17.843,10.597,1.048,0.132,124.524,-3.739,0.104,0.436,,,,,,,,,,,,-7.817,13.163,-0.265,15.240,1.357,0.653,-38.010,0.724,-1.460,8.468,-7.351,"Coe College","Coe College",,,,,{A8181E97-C2EB-49C8-82A9-72CC0123748E},-0.121,1.040
15,2019/09/07,11:57:27,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Single,,,,,,,136.316,2.016,-0.486,2099.00,197.764,12:30,1.240,0.252,2.120,-45.860,27.286,8.742,1.048,-0.005,122.768,-3.689,-1.414,0.442,100.687,28.196,37.022,,,,,56.157,,,2.922,-6.448,20.126,-0.303,15.240,1.305,0.926,-37.502,0.683,-1.172,8.240,-6.151,"Coe College","Coe College",,,,,{38A7118E-6CC5-4718-946B-29D2C6A65BE9},-0.020,1.061
16,2019/09/07,11:58:00,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College",,,Bottom,,,,,,,,,,,,,135.643,3.257,-2.561,2090.00,302.120,4:0,1.126,0.298,2.215,-98.541,-24.958,39.755,0.680,-0.321,122.397,-6.815,-1.612,0.442,68.393,31.083,13.217,,,,,29.455,,,2.154,-29.386,-18.448,-0.319,15.240,1.185,2.559,-37.129,1.538,-5.300,7.275,-13.137,"Coe College","Coe College",,,,,{55970B1A-B80F-4441-B592-1E3374CB663C},0.287,0.689
17,2019/09/07,12:00:24,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Greg Hall",{3A53F65F-56DE-4709-9BB2-8E46F877ABEE},R,"Coe College",,,Top,,,,,,,,,,,,,55.133,-5.533,7.755,1894.00,,,3.857,2.356,1.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{C5880B7F-48A1-42A1-8047-33E3D8D65CC5},,
18,2019/09/07,12:00:52,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Greg Hall",{3A53F65F-56DE-4709-9BB2-8E46F877ABEE},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strike",,,,,,,148.864,-2.173,0.908,1521.00,138.349,10:30,0.886,-0.080,1.086,-6.802,58.764,-52.267,0.161,-0.551,135.169,-2.942,-4.210,0.430,,,,,,,,,,,,35.917,40.382,0.056,15.240,0.805,-0.175,-40.901,-1.517,7.820,9.255,-1.018,"Coe College","Coe College",,,,,{5DC41902-2EB8-4DD9-A186-94416490DFE2},0.549,0.159
19,2019/09/07,12:01:21,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Greg Hall",{3A53F65F-56DE-4709-9BB2-8E46F877ABEE},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,131.952,0.154,-3.247,2268.00,335.824,5:15,1.686,0.074,1.990,-90.520,-13.374,6.004,0.646,-0.876,120.702,-7.914,-3.440,0.456,,,,,,,,,,,,-4.383,-9.764,-0.043,15.240,1.644,2.352,-36.222,0.071,-0.763,5.966,-11.511,"Coe College","Coe College",,,,,{FD668AFE-0E4F-41D7-A87D-419FEC48782A},0.884,0.642
20,2019/09/07,12:02:27,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Jackson Varney",{9D935FD6-8148-4710-8F47-1E2CFABC1547},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,130.969,-0.970,-0.541,2103.00,172.442,11:45,1.636,0.104,2.021,-49.831,30.068,-3.989,0.671,-0.135,118.111,-6.216,-1.264,0.463,,,,,,,,,,,,2.924,22.038,-0.096,15.240,1.598,0.422,-35.931,-0.822,0.490,7.338,-6.118,"Coe College","Coe College",,,,,{0AAA0447-9B11-45DB-8E2E-8DD84858DBF7},0.131,0.675
21,2019/09/07,12:03:08,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Jackson Varney",{9D935FD6-8148-4710-8F47-1E2CFABC1547},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Contact Out",,,,,,,132.189,1.212,-0.512,2277.00,218.889,1:15,1.683,0.135,2.007,-62.823,15.044,12.134,1.119,0.133,119.481,-5.574,0.582,0.457,,,,,,,,,,,,-8.858,10.982,-0.115,15.240,1.721,0.272,-36.366,0.298,-1.529,7.144,-7.915,"Coe College","Coe College",,,,,{338C2204-CB6F-4768-A637-F76256C0FD47},-0.137,1.133
22,2019/09/07,12:04:10,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Grant Riggan",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College",,,Top,,,,,,,,,,,,,114.470,8.604,-4.775,1711.00,190.984,12:15,2.857,2.576,1.973,-64.674,43.490,8.441,4.307,0.984,100.628,1.123,-6.501,0.540,,,,,,,,,,,,-6.133,31.598,-2.558,15.240,2.977,3.305,-30.926,4.275,-0.766,5.163,-5.866,"Coe College","Coe College",,,,,{0A3DEC03-E7BA-48B1-9E31-DFE4D3B4186A},-1.003,4.381
23,2019/09/07,12:05:13,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Hunter Greene",{416465A4-2F29-44DF-945F-0AADBD19F8B3},R,"Coe College",Stretch,,Top,,,,Fastball,,"Called Strike",,,,,,,139.704,-5.468,2.043,1636.00,,,1.342,-0.021,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{0571F064-52F0-4FE0-87C7-C3D2B1A09F62},,
24,2019/09/07,12:06:01,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Hunter Greene",{416465A4-2F29-44DF-945F-0AADBD19F8B3},R,"Coe College",,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{FDEAF8D4-2C81-4BE6-8F92-FAA2AF493961},,
25,2019/09/07,12:06:46,0,0,"Tyler Riebhoff",{F90C7B92-D21E-4D90-B73D-24515B3D5C73},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College",,,Bottom,,,,,,,,,,,,,124.585,0.488,-2.049,1858.00,225.683,1:30,1.256,0.440,2.070,-63.276,25.461,26.076,0.509,0.103,111.627,-6.224,-0.375,0.487,,,,,,,,,,,,-19.033,18.585,-0.405,15.240,1.284,1.264,-34.285,-0.125,-2.883,7.082,-6.995,"Coe College","Coe College",,,,,{DFEBDA79-AF9B-4E75-B2EC-B051E47C1468},-0.128,0.509
26,2019/09/07,12:07:02,0,0,"Tyler Riebhoff",{F90C7B92-D21E-4D90-B73D-24515B3D5C73},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College",,,Bottom,,,,,,,,,,,,,116.075,4.162,-1.325,1850.00,262.418,2:45,1.149,0.331,2.104,-98.348,2.616,19.656,0.903,0.096,104.095,-6.381,-0.015,0.519,,,,,,,,,,,,-14.350,1.910,-0.296,15.240,1.295,0.859,-31.938,1.494,-1.910,5.518,-9.556,"Coe College","Coe College",,,,,{B2B904D5-F129-4325-B2FF-306AF512EE9A},-0.104,0.899
27,2019/09/07,12:07:37,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Camden Smyka",{F3BB4E34-A1BC-430E-B52A-EEC8F066F1DE},R,"Coe College","Wind Up",,Bottom,,,,Slider,,"Called Strike",,,,,,,119.306,3.197,-0.038,2397.00,36.212,7:15,1.411,0.230,2.052,-131.024,-36.337,-26.607,0.841,-0.270,107.970,-7.849,-3.308,0.504,,,,,,,,,,,,19.511,-26.647,-0.253,15.240,1.417,0.473,-32.724,1.923,2.757,5.203,-13.575,"Coe College","Coe College",,,,,{F9E1B676-3CBA-4E0E-BF6C-0A10373DE2EC},0.275,0.821
28,2019/09/07,12:07:57,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Camden Smyka",{F3BB4E34-A1BC-430E-B52A-EEC8F066F1DE},R,"Coe College",,,Bottom,,,,,,,,,,,,,117.066,1.254,0.479,2473.00,67.476,8:15,1.601,0.142,2.293,-111.028,-14.206,-34.254,0.731,-0.106,106.036,-8.020,-2.317,0.506,,,,,,,,,,,,25.680,-10.650,-0.136,15.240,1.563,-0.298,-32.245,0.920,3.471,5.819,-11.249,"Coe College","Coe College",,,,,{8971E33D-9973-4A8C-9FC0-B38DCFF0E1C7},0.121,0.708
29,2019/09/07,12:08:10,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Camden Smyka",{F3BB4E34-A1BC-430E-B52A-EEC8F066F1DE},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,136.816,5.899,-0.055,1863.00,308.072,4:15,1.179,0.256,2.035,-101.730,-28.107,35.882,1.641,0.549,122.519,-2.891,2.465,0.445,,,,,,,,,,,,-26.117,-20.458,-0.281,15.240,1.307,0.312,-37.204,3.561,-4.781,6.557,-13.555,"Coe College","Coe College",,,,,{216C653F-BAF7-4F31-83D8-6EC8EF5C5A49},-0.560,1.621
30,2019/09/07,12:08:25,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Camden Smyka",{F3BB4E34-A1BC-430E-B52A-EEC8F066F1DE},R,"Coe College","Wind Up",,Bottom,,,,Slider,,"Swinging Strikeout",,,,,,,119.183,2.528,2.260,2642.00,61.830,8:0,1.436,0.252,2.385,-123.458,-29.438,-54.971,0.956,0.239,107.021,-6.521,-2.383,0.498,,,,,,,,,,,,41.440,-22.192,-0.263,15.240,1.371,-1.288,-32.731,2.076,5.736,6.315,-12.882,"Coe College","Coe College",,,,,{B7632116-3B0B-4E31-BF23-2F4EDE9A8B4B},-0.229,0.908
31,2019/09/07,12:08:49,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College",,,Bottom,,,,,,,,,,,,,126.598,2.426,1.694,1582.00,306.693,4:15,1.118,0.309,2.122,-106.645,-21.749,29.187,0.346,0.876,114.152,-8.406,2.640,0.476,,,,,,,,,,,,-21.330,-15.894,-0.374,15.240,1.154,-0.510,-34.521,1.005,-3.373,5.450,-12.323,"Coe College","Coe College",,,,,{E053E7C7-F497-4AE1-AD9F-938AA3F31FC4},-0.934,0.383
32,2019/09/07,12:09:01,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,133.348,3.101,0.205,2027.00,270.713,3:0,1.153,0.310,2.047,-76.892,-0.459,36.916,0.957,0.733,120.341,-4.834,2.988,0.453,,,,,,,,,,,,-27.030,-0.336,-0.340,15.240,1.250,0.038,-36.618,1.348,-4.738,7.130,-9.869,"Coe College","Coe College",,,,,{D4934A6B-7915-462A-9892-958A08CD3969},-0.746,0.941
33,2019/09/07,12:10:17,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Bottom,,,,Slider,,"Contact Out",,,,,,,119.956,3.647,0.030,2618.00,63.881,8:15,1.370,0.284,2.000,-118.645,-22.984,-46.878,0.856,-0.214,107.701,-7.799,-3.721,0.507,106.513,8.516,19.820,,,,,33.322,,,1.351,34.356,-16.845,-0.231,15.240,1.451,-0.173,-32.988,1.576,4.807,6.666,-12.167,"Coe College","Coe College",,,,,{929F5079-5247-40C8-B406-A12117EDD035},0.222,0.843
34,2019/09/07,12:11:07,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College",Stretch,,Bottom,,,,Fastball,,"Foul Ball",,,,,,,135.363,1.017,-0.317,2026.00,200.741,12:45,1.280,0.188,2.067,-46.210,28.519,10.800,0.836,0.054,121.784,-4.494,-0.679,0.447,,,,,,,,,,,,-7.913,20.896,-0.237,15.240,1.353,0.688,-37.261,0.003,-1.418,8.262,-6.066,"Coe College","Coe College",,,,,{9DDF615A-C7D4-4F0B-82AA-8FE3A1435DED},-0.074,0.828
35,2019/09/07,12:11:39,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College",Stretch,,Bottom,,,,Fastball,,"Foul Ball",,,,,,,135.368,0.315,-1.338,2166.00,171.221,11:45,1.394,0.225,2.189,-18.755,55.109,-8.511,0.920,-0.220,122.042,-3.987,-2.015,0.443,,,,,,,,,,,,6.296,40.771,-0.176,15.240,1.434,0.697,-37.353,-0.617,1.130,8.502,-2.491,"Coe College","Coe College",,,,,{7BE7E51A-CD0E-4029-83B2-D4F2A1D5AEA8},0.212,0.962
36,2019/09/07,12:12:04,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College",Stretch,,Bottom,,,,Fastball,,"Called Strikeout",,,,,,,135.105,2.954,-3.021,2176.00,281.701,3:30,1.103,0.442,2.081,-80.362,-6.059,29.255,1.061,-0.236,121.896,-3.571,-1.782,0.446,,,,,,,,,,,,-21.452,-4.443,-0.407,15.240,1.149,2.268,-37.030,1.886,-3.862,6.989,-10.610,"Coe College","Coe College",,,,,{78FB1DB4-F3CA-4B69-940D-697D0A6A2B9D},0.203,1.015
37,2019/09/07,12:16:05,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College",Stretch,,Top,,,,Fastball,,"Contact Out",,,,,,,143.250,-0.841,0.169,2156.00,157.399,11:15,1.668,-0.064,2.540,8.834,73.991,-30.801,1.280,-0.117,128.687,-2.196,-0.579,0.412,131.715,22.955,5.950,,,,,74.399,,,3.623,23.577,56.636,0.040,15.240,1.677,-0.495,-39.521,-1.074,4.637,11.120,1.330,"Coe College","Coe College",,,,,{65C8B3A0-C344-4CF7-850A-CD4340E927B8},0.209,1.355
38,2019/09/07,12:16:49,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{8F90C439-B6CF-4EE1-8353-865F22F32172},,
39,2019/09/07,12:17:06,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,128.018,-2.095,-2.070,2144.00,202.542,12:45,1.765,0.084,2.031,-49.147,34.231,14.209,0.465,-0.486,115.892,-7.489,-2.011,0.473,,,,,,,,,,,,-10.389,25.029,-0.072,15.240,1.715,1.610,-35.206,-1.535,-1.672,7.010,-5.783,"Coe College","Coe College",,,,,{F9E1F4F9-CF99-49D1-BD1F-F35F43F3C44C},0.475,0.480
