No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [km/h]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [cm]","Pitch Break Ind (V) [cm]","Pitch Break (H) [cm]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [km/h]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [km/h]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [cm]","pfxz [cm]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
44,2019/09/07,10:33:30,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College",Stretch,,Top,,,,Fastball,,"Called Strike",,,,,,,128.677,2.823,-2.614,1845.00,281.524,3:30,1.514,0.188,2.215,-88.014,-6.678,32.755,1.127,-0.264,115.980,-5.937,-0.367,0.465,,,,,,,,,,,,-24.311,-4.957,-0.178,15.240,1.583,1.880,-35.370,1.279,-3.951,7.045,-10.615,"Coe College","Coe College",,,,,{491915D8-53D4-40CC-9F8B-30053268D3C2},0.267,1.126
45,2019/09/07,10:33:44,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Swinging Strike",,,,,,,125.777,0.659,-0.028,1753.00,233.013,1:45,1.557,0.091,2.240,-76.740,7.739,10.275,0.814,0.000,113.804,-6.412,-0.579,0.473,,,,,,,,,,,,-7.613,5.734,-0.149,15.240,1.561,0.554,-34.833,0.253,-1.193,7.163,-8.911,"Coe College","Coe College",,,,,{A4F50D4C-34FC-43E3-9A7F-AAE2DAD33830},-0.020,0.789
46,2019/09/07,10:34:21,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Curveball,,"Swinging Strikeout",,,,,,,111.685,1.415,-0.393,2237.00,115.226,9:45,1.644,0.190,2.043,-93.129,16.297,-34.593,0.736,-0.337,100.649,-8.339,-3.611,0.541,,,,,,,,,,,,25.369,11.952,-0.143,15.240,1.699,0.134,-30.807,0.174,3.101,5.735,-8.349,"Coe College","Coe College",,,,,{33A44649-41B3-43CC-B1F4-04E984C9D078},0.319,0.725
47,2019/09/07,10:34:43,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,129.059,2.094,-0.937,1647.00,251.042,2:15,1.575,0.234,2.178,-75.041,6.292,18.318,1.216,0.214,116.003,-5.066,0.756,0.465,,,,,,,,,,,,-13.582,4.666,-0.218,15.240,1.620,0.487,-35.490,1.017,-2.209,7.447,-9.051,"Coe College","Coe College",,,,,{16D6048F-C05C-4927-9738-4C6E45F86041},-0.217,1.199
48,2019/09/07,10:34:56,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,129.302,0.839,-2.362,1863.00,258.763,2:45,1.469,0.093,2.326,-79.031,1.504,7.568,0.380,-0.711,116.952,-9.158,-3.211,0.461,,,,,,,,,,,,-5.633,1.119,-0.090,15.240,1.535,2.013,-35.564,-0.497,-0.922,7.364,-9.627,"Coe College","Coe College",,,,,{3153C1C0-7448-409D-BCCC-977F96F35660},0.700,0.403
49,2019/09/07,10:35:09,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strike",,,,,,,132.924,-3.655,-2.676,1796.00,,,1.012,0.112,2.209,,,,,,,,,,,,,,,,,,,,,-165.208,57.117,-0.073,15.240,0.955,3.340,-36.760,-3.323,-29.193,7.162,0.283,"Coe College","Coe College",,,,,{8688E910-1321-4B63-8C71-F54558EF28AE},-1.246,-0.416
50,2019/09/07,10:35:22,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,128.703,1.235,-3.053,1838.00,277.495,3:15,1.551,0.153,2.192,-84.182,-2.640,20.063,0.800,-0.591,116.260,-6.992,-2.059,0.466,,,,,,,,,,,,-14.869,-1.956,-0.125,15.240,1.573,2.161,-35.409,0.441,-2.414,7.262,-10.128,"Coe College","Coe College",,,,,{15115777-B47E-4FAD-A225-BA0BC1AE5E99},0.590,0.795
51,2019/09/07,10:35:36,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strike",,,,,,,127.432,1.587,-1.007,1821.00,325.529,4:45,1.532,0.154,2.267,-98.633,-15.501,10.642,0.690,-0.008,114.874,-8.090,-0.029,0.469,,,,,,,,,,,,-7.919,-11.534,-0.158,15.240,1.567,0.696,-35.072,0.571,-1.256,7.373,-11.639,"Coe College","Coe College",,,,,{7AC5DAB1-E020-4AB0-BE7D-200A843907A7},0.027,0.679
52,2019/09/07,10:35:50,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Contact Out",,,,,,,127.957,1.296,-1.768,1818.00,224.494,1:30,1.526,0.156,2.272,-64.055,18.142,17.824,1.085,-0.184,115.062,-4.849,-0.717,0.466,109.133,-3.029,-27.859,,,,,11.500,,,0.395,-13.264,13.500,-0.145,15.240,1.578,1.214,-35.300,0.497,-2.127,7.574,-7.645,"Coe College","Coe College",,,,,{987F4B18-1D39-4ADE-AD9D-A5A27F6873FB},0.183,1.056
53,2019/09/07,10:36:20,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Top,,,,Curveball,,"Called Strike",,,,,,,108.445,3.254,1.850,2176.00,89.587,9:0,1.552,0.248,1.995,-117.530,-0.333,-46.177,1.057,0.234,97.024,-7.264,-2.213,0.561,,,,,,,,,,,,33.815,-0.244,-0.269,15.240,1.602,-0.933,-29.795,1.458,3.865,5.377,-9.838,"Coe College","Coe College",,,,,{212B6330-32B8-4FA3-9AC6-E324F79B05CD},-0.230,1.024
54,2019/09/07,10:36:33,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,129.081,1.175,0.306,1863.00,206.432,1:0,1.608,0.124,2.194,-48.929,32.243,16.028,1.183,0.320,116.067,-4.570,1.151,0.465,,,,,,,,,,,,-11.900,23.938,-0.159,15.240,1.657,0.032,-35.571,0.212,-1.937,7.716,-5.913,"Coe College","Coe College",,,,,{0A842DF7-48B6-4023-ACC8-61883E131BEB},-0.330,1.185
55,2019/09/07,10:36:46,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,129.660,1.817,-2.438,1852.00,301.869,4:0,1.492,0.199,2.317,-88.324,-8.530,13.720,0.780,-0.332,117.052,-7.375,-1.339,0.459,,,,,,,,,,,,-10.202,-6.343,-0.171,15.240,1.568,1.545,-35.680,0.546,-1.687,7.179,-10.859,"Coe College","Coe College",,,,,{FC31ED99-92E9-4D8B-A091-2DAFCD10A176},0.341,0.783
56,2019/09/07,10:37:00,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,127.075,-0.746,-0.416,1830.00,266.025,2:45,1.724,0.180,2.165,-82.883,1.455,20.943,0.700,0.313,114.406,-6.939,1.524,0.474,,,,,,,,,,,,-15.516,1.078,-0.156,15.240,1.636,0.158,-34.946,-0.010,-2.436,7.488,-9.641,"Coe College","Coe College",,,,,{636ED845-D952-4AA4-B850-0AAF8DA8737E},-0.327,0.677
57,2019/09/07,10:37:14,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,129.259,2.293,-1.112,1855.00,276.967,3:15,1.555,0.144,2.257,-82.460,-1.839,15.052,1.210,-0.036,116.232,-5.165,-0.241,0.462,109.804,28.352,-42.654,,,,,65.100,,,3.227,-11.205,-1.369,-0.142,15.240,1.590,0.799,-35.558,1.263,-1.832,7.412,-10.034,"Coe College","Coe College",,,,,{DF24608F-AFED-449B-B0D9-276E85D779E5},0.032,1.186
58,2019/09/07,10:37:33,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,105.829,3.352,2.844,2097.00,80.357,8:45,1.560,0.172,1.992,-127.504,-6.918,-40.712,0.958,0.584,95.709,-8.184,-0.090,0.570,,,,,,,,,,,,29.870,-5.075,-0.211,15.240,1.601,-1.554,-29.075,1.507,3.312,4.355,-10.373,"Coe College","Coe College",,,,,{35CC7EB9-6499-4C25-A684-4759891038BE},-0.569,0.941
