No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
180,2020/01/22,14:33:22,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.016,0.376,-2.617,2061.00,205.483,12:45,1.215,-0.424,1.708,-0.480,0.555,0.189,0.841,0.131,33.179,-3.193,-1.210,0.465,,,,,,,,,,,,-0.123,0.308,-0.358,15.240,1.221,1.604,-36.641,0.061,-2.129,8.293,-4.497,"Coe College","Coe College",,,,,{0FBA956F-9BC7-4CC3-83AD-1E9345B43474},0.131,0.841
181,2020/01/22,14:33:33,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.128,0.330,-1.600,2035.00,205.570,12:45,1.258,-0.327,1.885,-0.466,0.539,0.216,0.885,-0.093,33.467,-3.159,0.019,0.457,,,,,,,,,,,,-0.131,0.303,-0.292,15.240,1.262,0.955,-36.825,0.054,-2.291,8.083,-4.501,"Coe College","Coe College",,,,,{B8018940-D4A9-4DC1-BD2B-AFED67D70DAC},-0.093,0.885
182,2020/01/22,14:33:45,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.841,0.608,-1.878,2108.00,197.480,12:30,1.205,-0.306,1.891,-0.562,0.458,0.090,0.814,0.132,33.277,-3.598,-1.201,0.460,,,,,,,,,,,,-0.064,0.256,-0.264,15.240,1.215,1.167,-36.539,0.199,-1.109,7.853,-5.386,"Coe College","Coe College",,,,,{534FC26F-9193-4866-8796-BC4C7F0F5D06},0.132,0.814
183,2020/01/22,14:33:58,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.234,0.068,-1.870,1968.00,205.237,12:45,1.175,-0.389,1.687,-0.490,0.536,0.205,0.705,-0.061,33.510,-3.558,-0.352,0.462,,,,,,,,,,,,-0.125,0.297,-0.341,15.240,1.173,1.126,-36.880,-0.143,-2.186,8.159,-4.598,"Coe College","Coe College",,,,,{A138A497-9C15-4756-ABBF-AD2EB9B44AE7},-0.061,0.705
184,2020/01/22,14:34:09,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.093,0.705,-1.911,2138.00,210.890,1:0,1.128,-0.396,1.788,-0.485,0.534,0.262,0.842,-0.117,33.305,-2.917,0.048,0.461,,,,,,,,,,,,-0.158,0.296,-0.350,15.240,1.142,1.132,-36.754,0.278,-2.742,8.256,-4.665,"Coe College","Coe College",,,,,{BE326850-6156-43DF-8837-E9494FC1308F},-0.117,0.842
185,2020/01/22,14:34:21,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.322,0.963,-1.650,1959.00,193.412,12:30,1.200,-0.339,1.676,-0.766,0.256,0.009,0.709,0.122,33.665,-4.697,-1.582,0.461,,,,,,,,,,,,-0.018,0.140,-0.295,15.240,1.219,1.061,-36.966,0.326,-0.321,8.158,-7.338,"Coe College","Coe College",,,,,{0E708B9E-781C-46D6-B550-7D54F8CF0A84},0.122,0.709
186,2020/01/22,14:34:31,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Daniel Berger",{71459C93-0649-4C52-BACE-0A940CA18F4D},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,37.053,0.475,-2.285,1997.00,214.947,1:15,1.180,-0.350,2.021,-0.536,0.456,0.257,0.777,0.032,33.302,-3.583,-0.342,0.455,,,,,,,,,,,,-0.162,0.263,-0.304,15.240,1.188,1.387,-36.757,0.140,-2.809,8.319,-5.247,"Coe College","Coe College",,,,,{9F89B3C1-1C17-4B47-8614-EEFDF544DA50},0.032,0.777
187,2020/01/22,14:35:53,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.744,1.435,-0.391,2161.00,81.878,8:45,1.395,-0.346,1.811,-0.995,-0.014,-0.279,0.806,0.043,34.266,-5.959,-2.468,0.451,,,,,,,,,,,,0.148,-0.009,-0.335,15.240,1.424,0.357,-37.429,0.576,2.681,8.158,-9.977,"Coe College","Coe College",,,,,{D44FD267-86D2-4050-BD43-9C63F0750C4C},0.043,0.806
188,2020/01/22,14:36:03,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.474,1.682,-0.154,2019.00,34.753,7:15,1.414,-0.336,1.672,-1.341,-0.328,-0.253,0.552,-0.039,34.095,-8.186,-2.028,0.459,,,,,,,,,,,,0.134,-0.178,-0.330,15.240,1.448,0.198,-37.125,0.568,2.383,8.130,-12.973,"Coe College","Coe College",,,,,{98524ED8-DB3F-4D64-9B69-C23F18C285DC},-0.039,0.552
189,2020/01/22,14:36:14,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.540,1.310,0.150,2277.00,86.138,8:45,1.372,-0.340,1.801,-1.050,-0.001,-0.332,0.693,-0.050,33.297,-6.468,-2.320,0.466,,,,,,,,,,,,0.181,-0.002,-0.341,15.240,1.397,0.023,-36.244,0.457,3.081,7.455,-9.846,"Coe College","Coe College",,,,,{ABECA51D-F5C9-41F7-8C63-741510CAD9FB},-0.050,0.693
