attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
89,"Apr 03, 2009",lutwar1,,Ben Roemmich,Danny Rose,Mike Johnson,Billy Schmitt,Patrick Grau,Kyle Jones,A.J. Lewis,Jerrold Martijn,Zach Nagle,1,3,Jerrold Martijn,6,020001X,lf,ss,1b,3b,cf,rf,c,p,2b,Jerrold Martijn,"wartburg college
",Wartburg College,Nate Todd,,7.0,Y,,"Waverly, Iowa (Hertel Field)",5:02PM   ,1:30   ,HP: Mike Gansemer  1B: Bill Boyd,"luther college
",Luther College,Nate Neis,Chris Reynolds,Jake Waddle,Zack Topping,Ben Schott,Steve Beckman,Joe Thompson,Matthew Bruhn,Alex Thomas,2,1,Nate Todd,2,0000010,2b,ss,c,dh,1b,3b,rf,lf,cf,Nate Todd,,Jerrold Martijn
50,"Mar 01, 2009",warcuc2,,Walker,Slechta,Isaac,Seris,Bickel,Tropp,Schwartz,"Stephens, S.",Linsner,1,12,Kolon,10,50205000X,ss,3b,rf,1b,lf,2b,c,cf,dh,Anderson,concordia (ill.),Concordia (Ill.),Drew Fayram,,9.0,Y,,"Phoenix, Ariz.",11:30 am   ,3:00   ,,"wartburg college
",Wartburg College,Danny Rose,Zach Nagle,Jerrold Martijn,Kyle Jones,A.J. Lewis,Patrick Grau,Mike Johnson,Isiah Stevens,Ben Roemmich,5,9,Jon Smith,15,010102410,2b,ss,cf,dh,c,rf,1b,3b,lf,Nate Rost,,Anderson
90,"Mar 21, 2009",lorwar2,1,Adam Gross,Ben Kuebel,Nick Olberding,Clark Egdorf,John Schroeder,BJ Juergens,Austin Brown,Tyler Shireman,Alex Miklo,0,7,Kevin Moriarity,10,013300X,cf,3b,ss,1b,c,dh,lf,rf,2b,Kevin Moriarity,"loras college
",Loras College,Brad Watson,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",1:00 pm   ,1:25   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Mike Johnson,Patrick Grau,Billy Schmitt,Jerrold Martijn,Kyle Jones,A.J. Lewis,Zach Nagle,2,2,Brad Watson,6,0020000,lf,ss,1b,rf,3b,cf,dh,c,2b,Brad Watson,,Kevin Moriarity
421,"Apr 11, 2009",bvucoe3,2,Jeff Wagner,Adam Nisenson,Pat Richmond,Ryan Velvick,Ryan Schisler,Tyler McAllister,Spencer Sobba,Scott DeAngelis,Jon Reiner,4,4,Alec Lewis,4,0000013,lf,rf,1b,cf,3b,ss,dh,2b,c,Alec Lewis,"coe college
",Coe College,Alec Lewis,,7.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:30 pm   ,2:00   ,HP: Taylor Umland  1B: Jeff F,#9 buena vista univ.,#9 Buena Vista Univ.,Brad Blum,Mark Blum,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,,3,5,Tregg Fay,6,3020000,ss,3b,lf,c,1b,rf,cf,2b,,Brandon Pietrzyk,,Brandon Pietrzyk
77,"Mar 11, 2009",dbqfit2,2,Richard Garcia,Chris Hylland,Jesse Ramirez,Alex Larson,Shadi Abuhakmeh,Evan Bierman,Chris Duran,Jeffrey Stevens,Orlando Mejia,2,13,Bobby Orosco,11,1032700,lf,2b/ss,c,cf,rf,dh,1b,3b,ss,Nolan Voss,"dubuque, univ. of","Dubuque, Univ. of",Michael Loney,,7.0,Y,,"Winter Haven, Fla. (Chain Lakes)",12:15 pm   ,3:00   ,,fitchburg state,Fitchburg State,Phelan,Granahan,Sauer,Breen,Graham,Balderelli,Morrison,Dolan,Comerford,0,17,Scaramellino,15,0500(12)00,ss,2b,lf,1b,rf,dh,cf,3b,c,Ryan,,Russo
250,"Apr 29, 2009",dbqlor3,,Alex Miklo,Nick Olberding,Ben Kuebel,Clark Egdorf,John Schroeder,Austin Brown,BJ Juergens,Tyler Shireman,Adam Gross,3,8,Kyler Laurie,13,10000041101,2b,ss,3b,1b,c,lf,dh,rf,cf,Cole Boge,"loras college
",Loras College,Mark Hennessy,,11.0,Y,,"Dubuque, Iowa (Petrakis Park)",6:00   ,3:24   ,,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Bill Albee,Shadi Abuhakmeh,Evan Bierman,Alex Larson,Jesse Ramirez,Chris Hylland,Jeffrey Stevens,Orlando Mejia,2,7,Mark Hennessy,16,22012000000,lf,1b,c,3b,cf,dh,2b,rf,ss,Justin Ramos,,Kyler Laurie
85,"Mar 13, 2009",censcr,,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Ben Chestnut,Quinn O'Brien,Dave Lakin,6,11,Adam Squires,17,010041320,cf,ss,lf,rf,1b,3b,dh,c,2b,Corey Eisenmann,"central college
",Central College,Corey Eisenmann,,9.0,Y,,"Fort Myers, Fla.",7 pm   ,3 hours   ,,univ. of scranton,Univ. of Scranton,C. Stallone,Comprelli,Champagne,Bligh,Giglio,Martinelli,Amicucci,Manahan,Garbe,2,12,Fox,10,240101310,cf,rf,3b,1b,dh,lf,ss,c,2b,Sawyer,,Pyles
60,"Mar 16, 2009",cenumm1,1,Ben Tressel,Mike Furlong,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Quinn O'Brien,Zach Jones,Dave Lakin,0,18,Curt Mick,18,363015X,cf,ss,rf,1b,3b,dh,c,lf,2b,Joel Pulliam,"central college
",Central College,Arvold,,7.0,Y,,"Fort Myers, FL",2 pm   ,2:30   ,,univ of minn.-morris,Univ of Minn.-Morris,Bacon,Olson,Peterson,Folie,Mooney-Leber,Randall,Gegen,Kvam,Barta,1,4,Fox,7,0000130,cf,2b,ss,3b,c,1b,dh,rf,lf,Arvold,,Joel Pulliam
60,"Mar 08, 2009",bvudoan2,2,"Hincy, Antho","Reed, Josh","Snow, Blake","Frinkman, Th","Albert, Mich","Korsakas, Mi","Dunn, Anthon","Henderson, L","Henson, Dean",2,8,"Koetter, Eva",8,0412010,ss,2b,rf,dh,cf,1b,3b,c,lf,"Bartek, Jaco",doane college,Doane College,"Bartek, Jaco",,7.0,Y,,"Crete, Neb. (Ledon Baseball Field)",4:00 PM   ,2:49   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,Brock Yossi,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,2,12,Nick Lanning,8,0920010,ss,3b,dh,lf,c,1b,rf,cf,2b,Mark Blum,,Nathan Smejkal
75,"Mar 06, 2009",wartcnj,,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Kyle Jones,A.J. Lewis,Zach Nagle,Steve Chamberlin,1,8,Jerrold Martijn,9,11010410X,lf,ss,p,1b,cf,rf,c,3b,2b,Jerrold Martijn,"wartburg college
",Wartburg College,D. Anderson,,9.0,Y,,"Chandler, AZ (Snedigar Field 1)",10 am   ,2HR15   ,,#30 the college of nj,#30 The College of NJ,A. Palmiotto,A. Tussey,J. Toth,C. Esperon,V Mazzaccaro,R. Anzelone,J. Ruzich,Galeotafiore,J. Tramutola,2,2,P. Johnson,10,020000000,cf,2b,dh,lf,3b,1b,ss,c,rf,D. Anderson,,Jerrold Martijn
40,"Mar 31, 2009",cenlut2,,Nate Neis,Jake Waddle,Ben Schott,Zack Topping,Mark Weber,Chris Reynolds,Joe Thompson,Steve Beckman,Alex Thomas,2,3,Cody Hyland,4,100110X,2b,c,1b,dh,lf,ss,rf,3b,cf,Cody Hyland,"luther college
",Luther College,Trevor Talbott,,7.0,Y,,Decorah (Luther College),3:30   ,1:45   ,HP: Larry McCann  1B: Jeff Friest,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Blake Smith,Josh Stanton,Tyler Wivinis,2,1,Adam Squires,4,0000001,cf,2b,lf,1b,rf,3b,dh,c,ss,Trevor Talbott,,Cody Hyland
55,"Mar 15, 2009",corash2,2,David Bartine,Michael Tierney,Casey Korn,Mark Corbeil,J.T. Pells,Matthew Shimanovsky,Andy Krekel,Matt Lewis,Ryan Fincham,4,4,Nick Weinmeister,6,2000101,rf,cf,ss/3b,1b,dh,2b/ss,c,3b,lf,Adam Butler,"cornell college
",Cornell College,Allspaugh,,7.0,Y,,"Mount Vernon, IA (Ash Park)",4:40pm   ,2:20   ,,ashford university,Ashford University,Wakely,Aubin,Cummings,Steve,Puetz,Turner,Sukut,Misitano,Swiatly,5,3,St. Ores,3,0002010,cf,dh,3b,1b,c,2b,lf,rf,ss,King,,Nick Weinmeister
35,"Apr 19, 2009",lutmlc2,2,Matthew Bruhn,Chris Reynolds,Zack Topping,Ben Schott,Jake Waddle,Alex Thomas,Dan Genrich,Ryan Bahnemann,Matt Reynolds,3,17,Darin Schneider,17,200762X,lf,2b,c,1b,rf,cf,dh,3b,ss,Eric Nordstrom,"luther college
",Luther College,Tomizawa,,7.0,Y,,"Decorah, Iowa (Luther College)",4:05 pm   ,2:10   ,,martin luther coll.,Martin Luther Coll.,Gauger,Haugley,"Janke, Joe",Schoenfeld,Gurgel,Apt,Brenner,Birsching,,1,3,Birsching,6,3000000,c,2b/p,ss,3b,rf,1b,lf,cf/p,,King,,Eric Nordstrom
125,"Apr 23, 2009",coegrn,,Jeff Wagner,Adam Nisenson,Pat Richmond,Ryan Schisler,Ryan Velvick,Tyler McAllister,Cody Raisch,Max Tunning,Jon Reiner,2,8,Teren Bladel,13,00034001X,cf,rf,1b,lf,3b,ss,dh,2b,c,Kevin Baranowski,"coe college
",Coe College,Peconga,,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",4:30 pm   ,2:10   ,,"grinnell college
",Grinnell College,Mendoza,Takabuki,Nodzenski,Roder,Fletcher,Sollo,Prouty,Gray,Goldfien,2,7,Peconga,11,200000500,ss,lf,c,rf,dh,3b,cf,1b,2b,Chavez,,Teren Bladel
150,"May 07, 2009",iiac01,,Ben Roemmich,Danny Rose,Mike Johnson,Patrick Grau,Kyle Jones,Billy Schmitt,Brandon Thurm,A.J. Lewis,Zach Nagle,2,12,Jerrold Martijn,12,11012520X,lf,ss,1b,cf,rf,3b,dh,c,2b/3b,Jerrold Martijn,"wartburg college
",Wartburg College,Jarad George,Game 1 of IIAC Tournament.George faced 3 batters in the 6th.Stone faced 2 batters in the 6th.Dirkx faced 1 batter in the 6th.,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",2:55 pm   ,2:26   ,HP: Woody Miller  1B: Todd Franzin  3B: Jeff F,"buena vista university
",Buena Vista Univ.,Brandon Pietrzyk,Michael Stephenson,Mark Blum,Kevin Kloewer,Brad Blum,Michael Hoffman,Devon Archibald,Brock Yossi,Tyler Case,7,4,Tregg Fay,3,000210001,rf,2b,1b/3b,c,ss,lf,dh,3b,cf,Jarad George,,Jerrold Martijn
75,"Apr 04, 2009",censim3,,Jesse Reis,Cory Dawson,Dave Johnson,Chris Jones,Jared Swim,Curt Bjork,Scott Ethell,Cale Smith,Jason Hayes,3,3,Dan Murphy,9,000101010,2b,dh,1b,lf,cf,c,3b,ss,rf,Jared Sass,"simpson college
",Simpson College,Jared Sass,,9.0,Y,,"Indianola, IA (McBride Field)",12:00   ,2:55   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Jason Hassman,Josh Stanton,Tyler Wivinis,5,15,Trevor Talbott,20,240000045,cf,2b,lf,dh,rf,3b,1b,c,ss,Corey Eisenmann," Cool, CleaR",Corey Eisenmann
76,"Mar 27, 2009",corlut1,,David Bartine,Michael Tierney,Ryan Clausen,Matt Pfister,Matthew Shimanovsky,Jason Douglas,Nick Weinmeister,Jesse Searls,,2,8,Jesse Searls,12,010040030,rf,cf,1b,lf,ss/2b,c,3b,2b/p,,Casey Korn,"cornell college
",Cornell College,Casey Korn,,9.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",5:30 PM   ,3:03   ,,"luther college
",Luther College,Nate Neis,Jake Waddle,Ben Schott,Zack Topping,Mark Weber,Chris Reynolds,Joe Thompson,Steve Beckman,Alex Thomas,3,17,Paul Pichelmann,12,000056231,2b,c,1b,dh,lf,ss,rf,3b,cf,Nate Todd,,Nate Todd
100,"Mar 07, 2009",cormvle1,1,Bo Bunton,Henkleman,Allerdissen,Stenzel,Huckstep,Seward,Boyer,Mills,Lucas,1,3,Murfin,7,001011X,rf,cf,2b,1b,3b,dh,lf,ss,c,Murfin,maryville university,Maryville University,Casey Korn,,7.0,Y,,"St. Louis, Mo. (Weber Field)",1 p.m.   ,  ,,"cornell college
",Cornell College,Matthew Shimanovsky,Jason Douglas,Casey Korn,Andrew Patzke,Matt Pfister,Ryan Fincham,Nick Weinmeister,Dan Krauss,Jesse Searls,1,1,Casey Korn,3,0001000,ss,c,p,lf,cf,rf,3b,1b,2b,Casey Korn,,Murfin
100,"Mar 15, 2009",bvugac1,1,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Brock Yossi,Tyler Case,Michael Stephenson,2,7,Kyle Dupic,9,0000403,ss,1b,rf,lf,c,dh,3b,cf,2b,Ryan Wuebker,"buena vista university
",Buena Vista Univ.,R. Michaelis,,7.0,Y,,"Storm Lake, Iowa (S.L./BVU BB Complex)",1:00pm   ,2:00   ,,"gustavus adolphus
",Gustavus Adolphus,M. DesLaurie,T. Fish,M. Morgan,Al. Woitas,An. Woitas,N. Ruff,A. Bartz,G. Lane,,1,4,R. Michaelis,5,0102001,ss,3b,c,1b,cf,2b,lf,rf,,T. Herman,,Kyle Dupic
49,"Apr 25, 2009",cordbq2,1,Chris Duran,Bill Albee,Evan Bierman,Shadi Abuhakmeh,Alex Larson,Jeffrey Stevens,Bobby Orosco,Orlando Mejia,Joseph Hilby,0,6,Justin Ramos,12,0230001,2b,1b,3b,dh,cf,rf,lf,ss,c,Blayke Conway,"dubuque, univ. of","Dubuque, Univ. of",Blayke Conway,,7.0,Y,,"Dubuque, Iowa",1 p.m.   ,2   ,,"cornell college
",Cornell College,David Bartine,Matt Pfister,Casey Korn,Andrew Patzke,Matthew Shimanovsky,Dan Krauss,Andy Krekel,Jesse Searls,Ryan Fincham,1,9,Casey Korn,10,0005004,rf,lf,p,3b,ss,1b,c,2b,cf,Casey Korn," cloudy, wet",Casey Korn
113,"May 01, 2009",corlor1,,David Bartine,Michael Tierney,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Andy Krekel,Jesse Searls,Ryan Fincham,,2,8,David de Besche,12,000040301,rf,cf,3b,1b,ss,c,2b,lf,,Casey Korn,"cornell college
",Cornell College,Casey Korn,,9.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",6:00 PM   ,2:24   ,,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,Clark Egdorf,John Schroeder,Austin Brown,BJ Juergens,Tyler Shireman,Adam Gross,2,12,Cole Boge,17,012301050,2b,ss,3b,1b,c,lf,dh,rf,cf,Kevin Moriarity,,Cole Boge
75,"Apr 10, 2009",cendbq1,,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Jason Hassman,Blake Smith,Dave Lakin,0,13,Josh Nalan,11,011803X,cf,ss,lf,dh,rf,3b,1b,c,2b,D.J. Glasgow,"central college
",Central College,Cole Freese,,7.0,Y,,"Pella, Iowa (A.N. Kuyper Field)",3 p.m.   ,2:00   ,HP: Ricardo Olivero  1B: Eric Thornton,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Richard Garcia,Evan Bierman,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Chris Hylland,Jeffrey Stevens,Caleb Russell,3,0,Julian Cantu,5,0000000,1b,lf,3b,dh,c,cf,ss,rf,2b,Cole Freese,,D.J. Glasgow
102,"Feb 28, 2009",cenbet1,1,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Blake Smith,Anthony Miller,Dave Lakin,Tyler Wivinis,0,5,Doug Eisenman,11,00130001,cf,ss,lf/p,1b,rf,c,dh,2b,3b,D.J. Glasgow,"central college
",Central College,Josh Nalan,,8.0,Y,,Minneapolis (Metrodome),5 a.m.   ,2:43   ,,bethel univ. (minn.),Bethel Univ. (Minn.),T. Churchill,P. Anderson,S. Flaherty,K. Darling,B. Tokar,Jy. Slick,B. Anderson,R. Doheny,T. Oesterlin,0,8,T. Adams,11,10002014,ss,2b,lf,dh,1b,c,3b,rf,cf,Jn. Slick,,C. Dent
,"Mar 14, 2009",simjhu2,2,M Bernardi,D Kahn,B Youchak,R Biner,D Garber,C Huisman,L Bolyard,A Borenstein,S Eagleson,0,6,P Martone,13,0000006,lf,rf,cf,2b,dh,1b,ss,c,3b,M Simmons,#5 johns hopkins univ.,#5 Johns Hopkins Univ.,P Martone,,7.0,Y,,"Phoenix, AZ (Salt River HS)",  ,  ,,"simpson college
",Simpson College,Corey Rasmussen,Jesse Reis,Dave Johnson,Jared Swim,Curt Bjork,Cory Dawson,Zach Smith,Chris Jones,Cale Smith,0,7,Kyle Hanna,13,0000061,cf,2b,3b,rf/lf,c,1b,dh,lf,ss,Jared Sass,,Brandon Harrison
51,"Apr 19, 2009",corgrn2,,Mendoza,Suryn,Nodzenski,Roder,Maloney,Takabuki,Sollo,Wilcox,Prouty,0,15,Chavez,15,414042X,ss,lf,dh,rf,1b,2b,3b,c,cf,Harris,"grinnell college
",Grinnell College,Adam Harrington,,7.0,Y,,"Grinnell, Iowa (North Diamond)",1 p.m.   ,2:06   ,,"cornell college
",Cornell College,David Bartine,Michael Tierney,Casey Korn,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Jason Douglas,Ryan Fincham,Jesse Searls,1,3,David de Besche,8,3000000,rf,cf,ss,3b,1b,dh,c,lf,2b,Adam Harrington," Cloudy, 50 degrees",Harris
77,"Apr 07, 2009",dbqlawr1,1,Clark,Rashid,A. Frelich,Otte,Kostreva,Forseth,Pedretti,Tucker,Bremberger,0,6,Kostreva,11,1000032,ss,rf,lf,cf,dh/p,3b,1b,2b,c,Fritsch,"lawrence university
",Lawrence University,Fritsch,,7.0,Y,,"Appleton, Wis. (Whiting Field)",2:00 pm   ,2:06   ,HP: Dennis Kostac  1B: Dennis Semph,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Jeffrey Stevens,Evan Bierman,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Chris Hylland,Jacob Rannals,Caleb Russell,2,10,Blayke Conway,16,2305000,1b,rf,3b,dh,c,cf,2b,lf,ss,Jordan Skaar,,Jordan Skaar
45,"Apr 01, 2009",dbqsim2,,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Dave Johnson,Scott Ethell,Curt Bjork,Jared Swim,Jason Hayes,1,12,Mike Huyser,10,300405X,ss,2b,lf,dh,1b,3b,c,cf,rf,Kyle Hanna,"simpson college
",Simpson College,Blayke Conway,,7.0,Y,,"Indianola, Iowa (McBride Field)",5:45   ,1:50   ,,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Richard Garcia,Jesse Ramirez,Evan Bierman,Alex Larson,Shadi Abuhakmeh,Chris Hylland,Bill Albee,Orlando Mejia,1,3,Steve Skutley,8,0003000,dh,lf,c,3b,cf,rf,2b,1b,ss,Blayke Conway," Cool, clear",Dan Murphy
,3/8/2009,simmonm2,2,Caruso,Peterson,Kamm,Winkler,Sashko,M. Johnson,Mason,Vitale,Shaver,2,0,Myers,5,0000000,cf,rf,1b,dh,ss,c,lf,3b,2b,Tye,monmouth (ill.),Monmouth (Ill.),,,7.0,N,,"Phoenix, AZ (Gene Autry Park)",  ,  ,,"simpson college
",Simpson College,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Scott Ethell,Jared Swim,Drew Yarkosky,Dave Johnson,Cale Smith,1,7,Chris Jones,11,2020021,cf,2b,lf,1b,3b,rf,c,dh,ss,Jared Sass,,Jared Sass
215,"May 02, 2009",dbqlut3,2,Nate Neis,Chris Reynolds,Jake Waddle,Zack Topping,Mark Weber,Steve Beckman,Ben Schott,Joe Thompson,Alex Thomas,1,9,Max Flaig,12,321102X,3b,2b,c,dh,lf,ss,1b,rf,cf,Max Flaig,"luther college
",Luther College,Jordan Skaar,,7.0,Y,,"Decorah, IA (Luther)",3:20   ,1:30   ,,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Bill Albee,Evan Bierman,Jesse Ramirez,Alex Larson,Shadi Abuhakmeh,Chris Hylland,Jeffrey Stevens,Orlando Mejia,3,1,Michael Frazier,6,0000001,lf,1b,3b,c,cf,dh,2b,rf,ss,Jordan Skaar,,Max Flaig
150,"Apr 17, 2009",bvucen1,,Ben Tressel,Anthony Miller,Caleb Rangel,Jarred Lackey,Mike Furlong,Derek Knutson,Jason Hassman,Josh Stanton,Tyler Wivinis,6,6,Doug Eisenman,10,00204000X,cf,3b,lf,rf/cf,2b,dh,1b,c,ss,Corey Eisenmann,"central college
",Central College,Ryan Wuebker,,9.0,Y,,"Pella, Iowa (A.N. Kuyper Field)",3 p.m.   ,2:28   ,HP: Dave Bogenhagen  1B: Matt Lynch,#9 buena vista univ.,#9 Buena Vista Univ.,Brad Blum,Mark Blum,Brandon Pietrzyk,Kevin Kloewer,Michael Hoffman,Steve Johnston,Andy Compton,Garrett Hill,Michael Stephenson,2,5,James Stone,9,020030000,ss,3b,cf,c,lf,1b,dh,rf,2b,Ryan Wuebker,,Corey Eisenmann
115,"Mar 08, 2009",corfont1,1,Tolan,Horn,Nikolaisen,Juergensmeye,Kraemer,Almany,Tovar,Richardson,Burlison,3,17,Akridge,13,030(10)22X,2b,c,rf,cf,1b,3b,ss,dh,lf,Schockley,"fontbonne university
",Fontbonne University,Adam Butler,,7.0,Y,,"St. Louis, Mo. (Shaw Park)",  ,  ,,"cornell college
",Cornell College,Jason Douglas,Matthew Shimanovsky,Casey Korn,Mark Corbeil,J.T. Pells,Matt Pfister,Caleb Wilson,Nick Weinmeister,Ryan Fincham,5,8,Jesse Searls,13,0140120,c,2b,ss,1b,dh,cf,rf,3b,lf,Adam Butler,,Schockley
95,"Apr 07, 2009",simnwu2,2,"DePriest, G","Ostrom, J","Beckmann, D","Hubka, M","Peters, J","Petersen, C","Janata, B","Wahl, C",Stephenson,1,4,"Beckmann, D",10,0100300,rf/3b,ss,c/p,dh/p,cf,1b,lf,3b,2b,"Porter, A","nebraska wesleyan university
",Nebraska Wesleyan,"Porter, A",,7.0,Y,,"Lincoln, Neb. (NWU Field)",3:22 pm   ,2:11   ,HP: Frank McEntarffer  1B: Gary Cullison,"simpson college
",Simpson College,Corey Rasmussen,Jared Swim,Chris Jones,Scott Ethell,Cory Dawson,Dave Johnson,Cale Smith,Drew Yarkosky,Zach Smith,2,12,Mike Huyser,15,3133200,cf,rf/cf,lf,3b,dh,1b,ss,c,2b,Jared Sass,,Brandon Harrison
100,"Mar 27, 2009",bvuthom2,,Brad Blum,Brock Yossi,Brandon Pietrzyk,Michael Hoffman,Steve Johnston,Garrett Hill,Mitchell Feller,Tyler Case,Michael Stephenson,2,10,Nick Lanning,9,300070X,ss,3b,dh,lf,1b,rf,c,cf,2b,Mark Blum,"buena vista university
",Buena Vista Univ.,Cameron,,7.0,Y,,"Mesa, AZ (Gene Autry Park)",2:30 pm   ,2:05   ,,thomas college,Thomas College,Burke,Costa,Fieldsend,Leland,Desjardins,Geel,Gallant,Schauwecker,Nickerson,1,4,Perkins,7,1200100,cf,2b,ss,c,rf,lf,3b,dh,1b,Cameron,,Devon Archibald
