date,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
3/11/2018,"Figus, Nick","Skopnick, Brandon","Bosco, John","Cavalieri, Gino","Plecki, Mike","Shea, Garrett","Manski, Ben","Palmby, Seth","Billington,Stephen",1,4,"O'Brien, Jim",10,000001003,cf,ss,lf,3b,dh,1b,rf,c,2b,"Bennes, Eric",,illinois wesleyan,"Bennes, Eric","Watson, N. faced 3 batters in the 8th.",9,Tyler Tomaka,"Auburndale, Fla. ()",,,,LOR,loras,Austin Konagel,Cole Thompson,Danny Weis,Ryan Koester,Jake Oglesby,Danny Paluch,Richard Bryza,Carlos Garrido,Luke Fennelly,0,6,Tyler Tomaka,7,000030120,2b,c,rf,1b,lf,cf,3b,dh,ss,Nick Spiess,,Nick Spiess
3/18/2018,Singer,Mense,Brinkman,Gardner,Ostrander,Black,Dunham,LaMantia,Kahal,2,0,Besser,4,000000000,2b,rf,1b,c,cf,ss,dh,lf,3b,Howard,,washu,Howard,,9,Tyler Dralle,"St. Louis, Mo. (Kelly Field)",2:00 pm,2:30,,COE,coe college,Kevin DeLaney,Riley LeGrand,Jordan Kaplan,Jacob Burns,Kyle Alvarado,Grant Henning,Nolan Arp,TJ Johnson,Matthew Schrader,0,1,Tyler Dralle,7,001000000,cf/rf,rf,1b,lf,dh,c,2b,ss,3b,Alex Timp,"40, Overcast",Alex Timp
5/5/2018,A. Shults,S. Galanek,J. Booth,N. Zaroban,C. Gampell,J. Cabrera,B. Weaver,B. Wong,Q. McNitt,1,10,R. Moeller,11,000062011,cf,c,3b,rf,1b,dh,lf,ss,2b,B. Weirather,,grinnell college,S. Comiskey,,9,,"Grinnell, Iowa (Pioneer Park)",10 am,2:59,Home Plate: Mike KellyFirst: Brigham Phillips,LUT,luther college,Jake Vogt,Joe McKibben,Trent Athmann,Bryce Hingst,Mitch Bruggers,Tommy Gleason,Derek McCready,Jared Swanson,Kelby Johnson,2,14,Sean Westendorf,16,011010092,cf/2b,rf/cf,c,1b,3b,lf,dh,2b,ss,Colin Coffey,"70, sunny",Kyle Bode
4/10/2018,Austin Konagel,Cole Thompson,Danny Weis,Ryan Koester,Jake Oglesby,Danny Paluch,Richard Bryza,Thomas Greffly,Luke Fennelly,2,4,Aidan Wojciehowski,6,000010120,2b,c,rf,1b,lf,cf,3b,dh,ss,Nolan Even,LOR,loras,Nolan Even,"Deardorff, T faced 3 batters in the 8th.",9,,"Dubuque, Iowa (Petrakis Park)",3:00 PM,2:20,,COE,coe,Kevin DeLaney,Isaac Evans,Jordan Kaplan,Jacob Burns,Thomas Simon,Grant Henning,Nolan Arp,Jacob Henry,TJ Johnson,5,11,TJ Johnson,14,030200411,rf,cf,1b,lf,dh,c,2b,3b/ss,ss/p,Andrew Schmit,41 / Cloudy / WSW 10mph,Andrew Schmit
3/4/2018,Shayne Devine,Zach Schulte,Jacob Heller,Kevin O'Malley,Nick Ricci,Chase Hall,Chris Frantz,Jake Roddy,Cale Hall,1,2,Mike Scoffin,9,0020000,ss,cf,1b,dh,rf,2b,lf,c,3b,Tony Bottone,,trine,Tony Bottone,Tony Bottone faced 2 batters in the 4th.,7,,"Auburndale, Fla. (Lake Myrtle Park #4)",4:45 PM,2:30,,CEN,central,Garrett Saunders,Coy Moore,Ryan Bouwman,Tanner Wood,Joe Rebik,Trevor Kimm,Kyle Crampton,Chris Riddle,Kaiden Fiebelkorn,0,14,Josh Sharp,15,1015313,ss,cf,1b,rf,lf,c,dh,2b,3b,Nicholas Long,,Nicholas Long
3/9/2018,H. Reyes,B. Labbe,J. Norton,N. Martinez,I. Lynch,A. Ollwerthe,A. Supp,C. Kelly,J. Bates,0,7,S. Young,8,10000330X,ss,cf,3b,lf,1b,dh,2b,rf,c,C. Lindsay,,montclair state,Jesse Maguire,Cech faced 3 batters in the 7th.,9,,"Auburndale, FL (Lake Myrtle #6)",1:15 PM,2:55,,NWU,nebraska wesleyan,Owen Gubbels,Kyle Hunter,Brook Johnson,Matt Orozco,Cole Schumacher,Derek Kolbush,Dalton Vergith,James Babic,Riley Ward,2,1,Tucker McHugh,5,000000100,ss,cf,lf,dh,3b,1b,c,rf,2b,Jesse Maguire,,C. Lindsay
3/13/2018,Logan Sella,Jake Robinson,Aaron Gillespie,Junior Gomez,Riley Bennett,Dugan Dieselberg,Logan Wheeler,Seamus Mitchell,Ben Compton,0,2,Joseph Crosby,7,001000010,lf,c,cf,dh,ss,1b,rf,3b,2b,Alex Curry,,olivet,Alex Curry,,9,,"Auburndale, Fla. (Lake Myrtle Park)",Noon,2:30,,CEN,central,Garrett Saunders,Coy Moore,Ryan Bouwman,Tanner Wood,Trevor Kimm,Joe Rebik,Kyle Crampton,Chris Riddle,Kaiden Fiebelkorn,0,6,Ryan Riddle,7,041000100,ss,cf,1b,rf,c,lf,dh,2b,3b,Tre Stanton,,Tre Stanton
3/12/2018,A. Lawrence,Weston Hawkins,Ethann Meister,Richard Drum,Noah Normyle,Eric Zeppa,J.T. Sawyer,Christian Spagnuola,Jake Defayette,3,7,Glubis Romero,7,60000010X,2b,cf,ss,1b,dh,c,3b,lf,rf,Erick Zecha,,rpi,AJ Pierce,E. Zecha faced 2 batters in the 8th.,9,Glubis Romero,"Auburndale, Fla. (Lake Myrtle Park)",12:30pm,2:21,,CEN,central,Garrett Saunders,Coy Moore,Ryan Bouwman,Tanner Wood,Trevor Kimm,Joe Rebik,Kyle Crampton,Chris Riddle,Kaiden Fiebelkorn,1,5,Rece Martin,10,101001110,ss,cf,1b,rf,c,lf,dh,2b,3b,AJ Pierce,"windy, chilly, overcast, merp",Chris Grome
3/9/2018,Jonathan Hoe,Evan Siegler,Jackson Penr,Michael Puck,Matt Tossick,Deiydon Rush,Tyler Grimes,Gus Purschke,Brandon Hins,1,0,Cole Lankfor,5,000000000,3b,lf,rf,dh,ss,c,1b,cf,2b,Levi Earnest,,fontbonne,Levi Earnest,,9,,"Auburndale, Fla. ()",9:00 am,2:25,,WAR,wartburg,Blake Mahoney,David Fitzgerald,Eric Willis,Zach Hovick,Cody Hyler,Ryan King Jr.,Tyler Nunemaker,Clay Henning,JoJo McNair,2,7,Darren Kilpatrick,12,320001001,cf,1b,2b,3b,c,dh,rf,ss,lf,Tanner Eckhart,Sunny,Tanner Eckhart
3/11/2018,Garrett Saunders,Coy Moore,Ryan Bouwman,Tanner Wood,Trevor Kimm,Joe Rebik,Kyle Crampton,Chris Riddle,Kaiden Fiebelkorn,0,12,Tyler Steward,14,30520020X,ss,cf,1b,rf,c,lf,dh,2b,3b,Zach Edwards,,central,Seth Eldridge,,9,Tyler Steward,"Auburndale, Fla. (Lake Myrtle Park)",9 am,3:00,,,anderson,Nick Butcher,Thomas Parker,Adam Paschal,Branton Sanders,Jonathan Willoughby,Joseph Moran,Jacob Morgan,Grant Thompson,Austin Cain,2,6,Dustin Dowden,7,301020000,ss,2b,lf,1b,3b,dh,c,rf,cf,Seth Eldridge,,Zach Edwards
