attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
100,"May 04, 2012",corlor2,2,Mike Canevello,NA,Clay Henricksen,Billy Kass,B.J. Juergens,Danny Fahlgren,Mike Pudlo,Eric DeSousa,Mark Jablonski,Joe Walker,0,11,Logan Potter,11,003710X,rf,NA,c,cf,1b,dh,ss,3b,lf,2b,Adam Schwoebel,"loras college
",Loras College,Justin Brown,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",6:00 PM   ,1:50   ,,"cornell college
",Cornell College,Joe Gerace,Justin Brown,Juan Flores,Zach Rogers,Ryan Nordtvedt,Beriah Quick,Milton Kurschner,Chris Rana,Alex Schnebbe,Charlie Muir,4,0,Drew Campbell,3,0000000,cf,p/3b,ss,2b/ss,c,lf,1b,dh,3b,rf,Justin Brown," Mostly cloudy, 72 degrees",Adam Schwoebel
134,"Apr 03, 2012",cordbq1,,Andrew Danna,NA,Nick Martin,Christopher Briggs,Spencer Kuehn,Conor Kelley,Todd Whited,Jordan Gawronski,Vince Parisi,Kyle Duggan,3,6,Eric Edkin,7,00003021X,ss,NA,2b,1b,rf,dh,lf,3b,c,cf,Kalen Mace,"dubuque, univ. of","Dubuque, Univ. of",Charlie Muir,,9.0,Y,,"Dubuque, Iowa (UD Baseball Field)",3:00   ,2:25   ,HP: S.Schroeder  1B: D.Schroed,"cornell college
",Cornell College,Joe Gerace,NA,Justin Brown,Zach Rogers,Milton Kurschner,Ryan Nordtvedt,Chris Rana,Beriah Quick,Kody Karjala,Juan Flores,1,1,Jacob Courtright,5,000000010,cf,NA,3b,rf,ss,c,1b,lf,dh,2b,Charlie Muir," 68, Sunny",Kalen Mace
77,"Mar 15, 2012",dbqknox2,1,Brown,NA,O'Connell,Weaver,Jewell,Hoffman,Blanchard,Schroeder,Tallman,White,4,4,Grady,12,1011001,lf,NA,c,rf,2b,1b,dh,3b,ss,cf,Grady,knox college (ill.),Knox College (Ill.),Grady,,7.0,Y,,"Ft Myers, Fla.",9 am   ,2:20   ,,"dubuque, univ. of","Dubuque, Univ. of",Nick Martin,NA,Ryan Tackitt,Christopher Briggs,Spencer Kuehn,Zakary Kilpatrick,Nicholas Baldocchi,Nathan Lucas,Conor Kelley,Kyle Duggan,0,9,Eric Edkin,11,1302201,2b,NA,ss,dh,rf,lf,3b,1b,c,cf/lf,Joshua Eastman," sunny, 85",Joshua Eastman
155,"Apr 07, 2012",cendbq2,1,Andrew Danna,NA,Nick Martin,Christopher Briggs,Spencer Kuehn,Nathan Lucas,Todd Whited,Nicholas Baldocchi,Vince Parisi,Aaron Laskowski,1,1,Paul Krenger,2,010000X,ss,NA,2b,1b,rf,dh,lf,3b,c,cf,Paul Krenger,"dubuque, univ. of","Dubuque, Univ. of",Joel Pulliam,,7.0,Y,,"Dubuque, Iowa (UD Baseball Field)",11:00   ,1:30   ,HP: F.Miller  1B: D.Field,"central college
",Central College,Michael Jontz,NA,Sam Stetzel,Mike Furlong,Seth Carson,Jordan Judkins,Adam Ariola,Jace Ahrendsen,Allen Mann,Max Seeman,1,0,Joel Pulliam,5,0000000,lf,NA,cf,ss,1b,3b,2b,dh,rf,c,Joel Pulliam," 55, Sunny",Paul Krenger
105,"Mar 30, 2012",cenlor1,,Mike Canevello,NA,Clay Henricksen,B.J. Juergens,Billy Kass,Travis Olson,Alex Rodriguez,Eric DeSousa,Jordan Ries,Mike Pudlo,3,0,Miles Canady,4,000000000,rf,NA,c,1b,cf,dh,2b,3b,lf,ss,Ben Cottrell,"loras college
",Loras College,Ben Cottrell,,9.0,Y,,"Dubuque, Iowa (Petrakis Park)",6:00 PM   ,2:00   ,HP: David Fields  1B: Matt Moo,"central college
",Central College,Michael Jontz,NA,Sam Stetzel,Mike Furlong,Adam Ariola,Jordan Judkins,Allen Mann,Jace Ahrendsen,Seth Carson,Max Seeman,0,5,Joel Pulliam,8,100021100,lf,NA,cf,ss,2b,3b,rf,dh,1b,c,Joel Pulliam," 45 degrees, overcast",Joel Pulliam
75,"Feb 19, 2012",simwcmo,,Brett Crable,NA,Jake Barr,Tyler Craig,Tyler Crandell,Taylor Nelson,Pedro Rosa,Michael Chia,Grant Thomas,Blake Heitmeier,3,10,Brett Crable,12,703000000,cf,NA,lf,1b,ss,dh,rf,2b,c,3b,Chris Dorff,"simpson college
",Simpson College,Chris Dorff,,9.0,Y,,"Clarksville, Ark. (Lonnie Qualls Field)",10:00 am   ,2:55   ,,westminster college,Westminster College,Young,NA,Pichler,Mallette,Hughes,Genetti,Hoag,Whitaker,Davidson,Lavy,3,13,Bohnert,15,100065100,lf,NA,cf,rf,ss,2b,c,dh,1b,3b,Moritz,,Ten Eyck
,"Mar 20, 2012",lutcalv,,B. Wohl,NA,J. VanAlten,T. Tos,B. Cok,S. Tipton,J. Jorgenson,K. Spoelma,D. Vos,A. Evenhouse,5,5,J. Lambers,10,012000011,2b,NA,lf,cf,3b,dh,1b,c,ss,rf,C. Laster,calvin college,Calvin College,Andrew Withers,,9.0,Y,,"Tucson, Arizona (Kino Sports Complex)",  ,  ,,"luther college
",Luther College,Chris Reynolds,NA,Ben Obermann,Ryan Bahnemann,Andy Briggs,Chris Erikson,Mitch Obey,Matt Larson,Kevin Bradley,Austen Graham,1,4,Andrew Withers,10,020002000,2b,NA,dh,3b,cf,1b,rf,lf,c,ss,Alec Knop,,J. Lambers
165,"May 04, 2012",dbqsim1,,Andrew Danna,NA,Nick Martin,Christopher Briggs,Zakary Kilpatrick,Spencer Kuehn,Todd Whited,Jordan Gawronski,Noah Mahlik,Vince Parisi,1,0,Kyle Koberna,5,000000000,ss,NA,2b,1b,dh,rf,lf,3b,cf,c,Paul Krenger,"dubuque, univ. of","Dubuque, Univ. of",Paul Krenger,,9.0,Y,,"Dubuque, Iowa (UD Baseball Field)",3:00   ,2:20   ,HP: L.Allen  1B: R.Rigg,"simpson college
",Simpson College,Jake Barr,NA,Michael Chia,Tyler Crandell,Tyler Craig,Colton Calvert,Ethan Hale,Grant Thomas,Blake Heitmeier,Brett Crable,0,3,Aaron Young,4,000010002,lf,NA,3b,ss,1b,rf,2b,c,dh,cf,Aaron Young," 77, Partly Cloudy",Aaron Young
107,"Apr 17, 2012",cengrn2,,Davis,NA,Goldfien,Nodzenski,Skelly,Spacapan,Gray,Markey,Conlon,Inafuku,2,3,Pope,6,02010000X,cf,NA,ss,c,rf,3b,1b,lf,dh,2b,Pahos,"grinnell college
",Grinnell College,Ryan Dusil,,9.0,Y,,"Grinnell, Iowa (North Diamond)",2:05 pm   ,1:53   ,HP: Ronald Acuina  1B: Randy Schult,"central college
",Central College,Mike Furlong,NA,Adam Ariola,Sam Stetzel,Michael Jontz,Seth Carson,Jordan Judkins,Erik Sipes,Allen Mann,Max Seeman,3,1,Judson McKown,5,000010000,ss,NA,2b,cf,lf,1b,3b,dh,rf,c,Ryan Dusil," Sunny, 67 degrees",Pahos
50,"Mar 03, 2012",cenknox1,1,Michael Jontz,NA,Sam Stetzel,Mike Furlong,Adam Ariola,Allen Mann,Seth Carson,Tom Weissbeck,Max Seeman,Jordan Judkins,0,10,Dirk Lindaman,10,140302X,lf,NA,cf,ss,2b,rf,1b,dh,c,3b,Joel Pulliam,"central college
",Central College,Mills,,7.0,Y,,"Jacksonville, Ill. (Lenz Field)",Noon   ,1:57   ,,knox college (ill.),Knox College (Ill.),White,NA,Grimes,Smoy,Weaver,Hoffman,Sparrow,Walenga,Schroeder,Brown,2,2,Mills,3,0000200,cf,NA,2b,lf,ss,1b,rf,c,3b,dh,Mills,,Joel Pulliam
