attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
90,"Apr 24, 2012",bvucen2,2,Weston Foxx,NA,Nick Schlect,Ryan Scheetz,Jesse Munsterman,Brock Yossi,Neil Eddie,Dillon Plath,Eric Croghan,Ryan Titman,3,6,James Stone,13,0210003,2b,NA,cf,1b,dh,3b,c,rf,lf,ss,Lucas Hadaway,"buena vista university
",Buena Vista Univ.,Dirk Lindaman,,7.0,Y,,"Storm Lake, Iowa (BVU/SL Field)",5:30pm   ,2hrs   ,,"central college
",Central College,Mike Furlong,NA,Sam Stetzel,Michael Jontz,Erik Sipes,Seth Carson,Adam Ariola,Jordan Judkins,Andrew O'Toole,Max Seeman,2,5,Dirk Lindaman,6,0021200,ss,NA,cf,rf,lf,1b,2b,3b,dh,c,Judson McKown,,James Stone
75,"Apr 20, 2012",lorwar1,,Andrew Krehbiel,NA,Ryan Doty,Blake Wilson,Michael Schinstock,Ryan Powers,Jake Raecker,Chase Hirschauer,Levi Montague,Nick Massina,2,9,Joseph Moen,13,30401001X,cf,NA,p,c,rf,ss,lf,1b,3b,2b,Ryan Doty,"wartburg college
",Wartburg College,Miles Canady,,9.0,Y,,"Waverly, IA (Hertel Field)",6 p.m.   ,2:32 hr   ,HP: Ryan Eklund  2B: Larry Allen,"loras college
",Loras College,Mike Canevello,NA,Clay Henricksen,Billy Kass,B.J. Juergens,Travis Olson,Jordan Ries,Mike Pudlo,Eric DeSousa,Joe Walker,1,2,Logan Potter,6,000000200,rf,NA,c,cf,1b,dh,lf,ss,3b,2b,Miles Canady,,Ryan Doty
122,"Apr 24, 2012",lutwar2,2,Chris Reynolds,NA,Chris Erikson,Matt Larson,Ryan Bahnemann,Kevin Bradley,Austen Graham,Andrew Nelson,Eric Pittman,Ian Fitzgerald,3,4,Alec Knop,2,020110X,2b,NA,rf/1b,lf,3b,c,dh,1b,ss,cf,Alec Knop,"luther college
",Luther College,Marcus Walczyk,,7.0,Y,,"Decorah, Iowa (Luther College)",3:20   ,1:40   ,HP: Chuck Epperson  1B: Taylor Umland,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Doty,Blake Wilson,Michael Schinstock,Ryan Powers,Jake Raecker,Tony Stenberg,Levi Montague,Nick Massina,0,3,Chase Hirschauer,7,0300000,cf,NA,1b,c,rf,ss,lf,dh,3b,2b,Marcus Walczyk,,Alec Knop
56,"Mar 31, 2012",corcarr2,2,Marty,NA,Volkmann,Stephans,Busse,Giuffre,Weihert,Hanneman,Klobukowski,Keenan,2,15,Matyas,16,092400X,2b,NA,3b,rf,1b,c,cf,lf/cf,dh,ss,Buhrow,"carroll university
",Carroll University,Beriah Quick,,7.0,Y,,"Waukesha, Wis. (Frame Park)",6:30pm   ,2hrs   ,HP: Romy Cherny  1B: Dan Graw,"cornell college
",Cornell College,Joe Gerace,NA,Justin Brown,Zach Rogers,Charlie Muir,Milton Kurschner,Chris Rana,Kody Karjala,Craig Furstenau,Andrew Burdick,0,6,Zach Wilcox,11,2100210,cf,NA,2b/3b,ss,rf,3b,1b,dh,c,lf,Beriah Quick, Cool,James
,"Mar 04, 2012",bvucss2,2,Nick Schlect,NA,Brock Yossi,Joe Paletta,Ryan Scheetz,Dillon Plath,Weston Foxx,Neil Eddie,Eric Croghan,Dylan Colo,2,7,James Stone,11,00302002X,cf,NA,3b,1b,dh,rf,2b,c,lf,ss,Jon Ringblom,#16 buena vista univ.,#16 Buena Vista Univ.,"Jensen, K.",,9.0,Y,,"St. Louis, Mo. (Kelly Field)",  ,  ,,#13 st. scholastica,#13 St. Scholastica,Vogelgesang,NA,"Olson, P.","Jensen, K.","Moody, K.","Peterson, Ba",Henderson,"Casareto, J.","Hietpas, J.","Kusch, J.",3,2,"Wuorio, J.",11,001000010,cf,NA,2b,p,1b,lf,c,ss,3b,rf,"Jensen, K.",,Jon Ringblom
120,"Mar 10, 2012",cenelms1,1,Michael Jontz,NA,Sam Stetzel,Mike Furlong,Adam Ariola,Allen Mann,Seth Carson,Jordan Judkins,Max Seeman,Josh Stanton,2,9,Ryan Goetzinger,9,800001X,lf,NA,cf,ss,2b,rf,1b,3b,c,dh,Ryan Goetzinger,"central college
",Central College,LeBeau,,7.0,Y,,"Fort Myers, Fla. (Terry Park)",12:35 pm   ,  ,,elms (mass.),Elms (Mass.),Fisher,NA,Iavicoli,Pagano,Morse,Rivera,King,Kravontka,Dreher,Forrest,3,0,Frost,1,0000000,cf,NA,ss,1b,lf,c,rf,2b,3b,dh,LeBeau,,Ryan Goetzinger
250,"May 05, 2012",bvuwar3,2,Andrew Krehbiel,NA,Craig Kerper,Blake Wilson,Tony Stenberg,Ryan Powers,Jake Raecker,Chase Hirschauer,Levi Montague,Joseph Grote,2,8,Chase Hirschauer,11,2023100,cf,NA,lf,c,1b,3b,rf,dh,ss,2b,Michael Schinstock,"wartburg college
",Wartburg College,Michael Schinstock,,7.0,Y,,"Waverly, IA (Hertel Field)",3 p.m.   ,2:20 hr   ,HP: Ryan Myers  1B: Brett Miell,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Nick Schlect,Ryan Scheetz,Joe Paletta,Jesse Munsterman,Brock Yossi,Neil Eddie,Dillon Plath,Ryan Titman,2,12,Lucas Hadaway,12,0100920,2b,NA,lf,1b,dh,rf,3b,c,cf,ss,Reggie Kock,,Brennan Holm
155,"May 07, 2012",coecor3,,Joe Gerace,NA,Juan Flores,Zach Rogers,Charlie Muir,Beriah Quick,Chris Rana,Ryan Nordtvedt,Milton Kurschner,Justin Brown,2,8,Tyler Thorne,14,100402010,cf,NA,ss,rf/2b,p/rf,lf,1b,c,2b/3b,3b/p,Charlie Muir,"cornell college
",Cornell College,Charlie Muir,,9.0,Y,,"Mount Vernon, Iowa (Ash Park)",6:00 PM   ,2:54   ,HP: Josh Mara  2B: Ryan Farnsworth,"coe college
",Coe College,Scott DeAngelis,NA,Tyler Leadley,Nick Stein,Adam Nisenson,Sean Raisch,Spencer Sobba,John Delaplane,Jory Heckenberg,Brennan Melloy,1,12,Sean Raisch,20,203202111,2b,NA,rf,cf,1b,lf/p,c,dh,3b,ss,Ben Strellner," 70 Degrees, Wind NW 18 MPH",Ben Strellner
75,"Apr 13, 2012",cenlut1,1,Mike Furlong,NA,Adam Ariola,Sam Stetzel,Michael Jontz,Seth Carson,Jordan Judkins,Allen Mann,Erik Sipes,Max Seeman,2,5,Judson McKown,12,10201000001,ss,NA,2b,cf,lf,1b,3b,rf,dh,c,Joel Pulliam,"central college
",Central College,Danny Smith,,11.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",2:12 pm   ,3:03   ,HP: Randy Schulte  1B: Josh Mara,"luther college
",Luther College,Chris Reynolds,NA,Chris Erikson,Matt Larson,Ryan Bahnemann,Thomas Weber,Robbie Jewell,Andrew Nelson,Eric Pittman,Ian Fitzgerald,1,4,Danny Smith,11,00002020000,2b,NA,1b,lf,3b,dh,cf,c,ss,rf,Alex Byom," Cool, cloudy, wind SE 20-25mph",Judson McKown
145,"Apr 14, 2012",corsim3,,Joe Gerace,NA,Milton Kurschner,Zach Rogers,Charlie Muir,Ryan Nordtvedt,Beriah Quick,Alex Schnebbe,Justin Brown,Juan Flores,1,6,Drew Campbell,11,100100310,cf,NA,1b,p/2b,rf,c,lf,3b,2b/p,ss,Zach Rogers,"cornell college
",Cornell College,Zach Rogers,,9.0,Y,,"Mount Vernon, Iowa (Ash Park)",11:00 AM   ,2:38   ,HP: Randy Myers  2B: Randy Schult,"simpson college
",Simpson College,Jake Barr,NA,Tyler Crandell,Tyler Craig,Michael Chia,Colton Calvert,Grant Thomas,Tyler Pawletzki,Ethan Hale,Brett Crable,0,11,Jose Rodriguez,12,200001530,lf,NA,ss,1b,3b,dh,c,rf,2b,cf,Chris Dorff," 60 degrees, wind se 8 mph",Chris Dorff
125,"Apr 17, 2012",corclke,,Joe Gerace,NA,Milton Kurschner,Zach Rogers,Charlie Muir,Chris Rana,Justin Brown,Craig Furstenau,Andrew Burdick,Juan Flores,6,5,Tyler Thorne,8,1010300000,cf,NA,1b,2b,rf,dh,3b,c,lf,ss,Beriah Quick,"cornell college
",Cornell College,Jeremy Ryan,,10.0,Y,,"Mount Vernon, Iowa (Ash Park)",6:00 PM   ,2:36   ,HP: Josh Mara  2B: Chuck Epperson,"clark university
",Clarke University,L. Reyes,NA,S. Cruz,N. Piscopo,D. Sandberg,J. Stelluti,N. Woltkamp,A. Navarro,R. Rivero,J. Boresch,2,8,B. McCabe,10,0101200013,ss,NA,cf,1b,dh,c,lf/rf,2b,3b,rf,S. Wieman," 61 Degrees, Wind SE 11 MPH",B. McCabe
,"Apr 17, 2012",lutpres1,1,Koenecke,NA,Heintzman,Giedt,Hahn,Paulson,Ellingson,Blum,Kervin,Wesch,2,2,McLean,7,0000011,lf,NA,ss,c,1b,2b,cf,dh,3b,rf,McLean,presentation college,Presentation College,McLean,,7.0,Y,,"Jordan, Minn.",  ,  ,,"luther college
",Luther College,Thomas Weber,NA,Chris Erikson,Matt Larson,Ryan Bahnemann,Kevin Bradley,Austen Graham,Ben Obermann,Eric Pittman,Ian Fitzgerald,1,7,Matt Reynolds,10,0402001,lf,NA,1b,rf,3b,c,2b,dh,ss,cf/lf,Danny Smith,,Jared Berlage
150,"May 10, 2012",iiac02,,Andrew Krehbiel,NA,Ryan Doty,Blake Wilson,Tony Stenberg,Ryan Powers,Michael Schinstock,Jake Raecker,Levi Montague,Craig Kerper,3,6,Scott Benson,13,12101010X,cf,NA,2b,c,1b,3b,rf,dh,ss,lf,Scott Benson,"wartburg college
",Wartburg College,Aaron Young,,9.0,Y,,"Cedar Rapids, Iowa (Vets Mem. Stadium)",1 p.m.   ,2:18   ,HP: Dean Kirkpatrick  1B: Kevin Farris  3B: Paul Keitel,"simpson college
",Simpson College,Jake Barr,NA,Michael Chia,Tyler Crandell,Tyler Craig,Ethan Hale,Colton Calvert,Grant Thomas,Josh Pirtle,Brett Crable,0,3,Jose Rodriguez,11,001020000,lf,NA,3b,ss,1b,2b,rf,c,dh,cf,Aaron Young," sunny, 70 degrees",Scott Benson
130,"Feb 19, 2012",dbqham2,2,Jor Rubbelke,NA,Buck,Radmacher,King,Richardson,Smith,Ellefson,C. Miller,Hackel,4,1,Ellefson,6,0010000,2b,NA,dh,1b,lf,c,rf,3b/p,cf,ss,Weiss,"hamline university
",Hamline University,Weiss,,7.0,Y,,"Minneapolis, MN (Metrodome)",9:09   ,2:04   ,HP: Mike Sticha  1B: Tony Anderson,"dubuque, univ. of","Dubuque, Univ. of",Andrew Danna,NA,Nick Martin,Christopher Briggs,Zakary Kilpatrick,Nicholas Baldocchi,Todd Whited,Spencer Kuehn,Vince Parisi,Aaron Laskowski,0,7,Joshua Eastman,9,3100120,ss,NA,2b,1b,lf,3b,rf,dh,c,cf,Kalen Mace, Indoors,Joshua Eastman
328,"Apr 11, 2012",coewar3,,Tyler Leadley,NA,Scott DeAngelis,Nick Stein,Adam Nisenson,Brennan Melloy,Spencer Sobba,JD Hunter,Aaron Peller,,2,5,Alex Korth,11,301010000,rf,NA,2b,cf,1b,ss,c,3b,lf,,Sean Raisch,"coe college
",Coe College,Connor Alberhasky,,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:00 pm   ,2:50   ,,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Doty,Blake Wilson,Michael Schinstock,Ryan Powers,Chase Hirschauer,Jake Raecker,Levi Montague,Nick Massina,0,9,Chase Hirschauer,18,001022130,cf,NA,p/3b,c,rf,ss,1b/p,lf,3b/1b,2b,Ryan Doty," 51 Degrees, Sunny",Ryan Doty
75,"Apr 20, 2012",corlut2,2,Chris Reynolds,NA,Chris Erikson,Matt Larson,Ryan Bahnemann,Thomas Weber,Kevin Bradley,Robbie Jewell,Eric Pittman,Ian Fitzgerald,1,14,Joel Martin,12,420260X,2b,NA,1b,lf,3b,dh,c,cf,ss,rf,Alec Knop,"luther college
",Luther College,Zach Rogers,,7.0,Y,,"Decorah, Iowa (Luther College)",4:55 pm   ,2:05   ,HP: Taylor Umland  1B: Alec Clark,"cornell college
",Cornell College,Joe Gerace,NA,Milton Kurschner,Charlie Muir,Ryan Nordtvedt,Beriah Quick,Chris Rana,Justin Brown,Juan Flores,,3,0,Zach Wilcox,1,0000000,cf,NA,2b/1b,rf,c,lf,1b,3b/2b,ss,,Zach Rogers,,Alec Knop
116,"May 1, 2012",simgrn2,,Davis,NA,Goldfien,Nodzenski,Spacapan,Gray,Sutton,Markey,Bell,Inafuku,1,9,Myers,13,11000034X,cf,NA,ss,c,3b,1b,rf,lf,dh,2b,Jacobson,"grinnell college
",Grinnell College,Jake Scieszinski,,9.0,Y,,"Grinnell, Iowa (North Diamond)",2 pm   ,2:17   ,HP: Matt Badeaux  1B: Duane Duncan,"simpson college
",Simpson College,Jake Barr,NA,Michael Chia,Tyler Craig,Tyler Crandell,Colton Calvert,Ethan Hale,Taylor Nelson,Nick Anderson,Brett Crable,4,1,Brian Birks,7,000000001,lf,NA,3b,1b,ss,rf,2b,dh,c,cf,Jake Scieszinski," Sunny, slight wind, 72 degrees",Jacobson
95,"Mar 24, 2012",bvucor3,2,Joe Gerace,NA,Milton Kurschner,Zach Rogers,Charlie Muir,Ryan Nordtvedt,Chris Rana,Justin Brown,Jacob Courtright,Beriah Quick,0,2,Jeremy Ryan,5,000200X,cf,NA,3b,ss,rf,c,1b,2b,dh,lf,Jeremy Ryan,"cornell college
",Cornell College,Reggie Kock,,7.0,Y,,"Mount Vernon, Iowa (Ash Park)",3:05 PM   ,1:34   ,HP: David Fields  2B: Ryan My,"buena vista university
",Buena Vista Univ.,Dillon Plath,NA,Alex Davis,Joe Paletta,Ryan Scheetz,Weston Foxx,Brock Yossi,Neil Eddie,Eric Croghan,Dylan Colo,2,1,Reggie Kock,6,0000100,cf,NA,lf,dh,1b,2b,3b,c,rf/lf,ss,Reggie Kock," 62 degrees, overcast",Jeremy Ryan
65,"Mar 18, 2012",wargac2,2,E. Sveen,NA,C. Kelly,D. Block,S. Benjamin,T. Miller,K. Euerle,D. Tranvik,T. Fish,M. Laureano,1,1,B. Bintzler,4,0100000,lf,NA,2b,1b,dh,cf,rf,c,3b,ss,G. Soderberg,"gustavus adolphus
",Gustavus Adolphus,G. Soderberg,,7.0,Y,,"Minneapolis, Minn (Metrodome)",7:15   ,1:35   ,,"wartburg college
",Wartburg College,Craig Kerper,NA,Ryan Doty,Blake Wilson,Chase Hirschauer,Ryan Powers,Michael Schinstock,Levi Montague,Nick Massina,Andrew Krehbiel,0,6,Ryan Doty,7,0000060,lf,NA,p,c,1b,ss,rf,3b,2b,cf,Ryan Doty, Dome,Ryan Doty
60,"Mar 10, 2012",bvuncc2,,Brock Yossi,NA,Dylan Colo,Ryan Scheetz,Joe Paletta,Weston Foxx,Jesse Munsterman,Eric Croghan,Kyle Hibbing,Nick Schlect,0,0,Jesse Munsterman,3,000000000,3b,NA,ss,dh,1b,2b,rf,lf,c,cf,Jon Ringblom,"buena vista university
",Buena Vista Univ.,Jon Ringblom,,9.0,Y,,"Jacksonville, IL (Lenz Field)",10:00 am   ,2:20   ,,"north central
",North Central,Carius,NA,Waldier,Paparone,Hennessy,Turek,Hlavac,Pacanowski,Romanello,Khoury,1,11,Lemm,12,060212000,cf,NA,2b,rf,dh,1b,lf,c,3b,ss,Rashid,,Rashid
95,"Mar 24, 2012",bvucor2,1,Joe Gerace,NA,Juan Flores,Zach Rogers,Milton Kurschner,Beriah Quick,Ryan Nordtvedt,Kody Karjala,Alex Schnebbe,Andrew Burdick,5,0,Jacob Courtright,2,0000000,cf,NA,2b,ss,1b,lf,c,dh,3b,rf,Charlie Muir,"cornell college
",Cornell College,Charlie Muir,,7.0,Y,,"Mount Vernon, Iowa (Ash Park)",1:02 PM   ,1:38   ,HP: Ryan Myers  2B: David Field,"buena vista university
",Buena Vista Univ.,Dillon Plath,NA,Nick Schlect,Joe Paletta,Ryan Scheetz,Weston Foxx,Brock Yossi,Neil Eddie,Eric Croghan,Dylan Colo,1,9,Michael Dirkx,9,0032211,cf,NA,lf,dh,1b,2b,3b,c,rf,ss,Michael Dirkx," 61 degrees, overcast",Michael Dirkx
75,"Apr 03, 2012",coewar2,2,Andrew Krehbiel,NA,Ryan Doty,Blake Wilson,Michael Schinstock,Ryan Powers,Jake Raecker,Levi Montague,Nick Massina,Craig Kerper,1,7,Chase Hirschauer,7,520000X,cf,NA,3b,c,rf,ss,dh,1b,2b,lf,Joseph Moen,"wartburg college
",Wartburg College,Phil Richmond,,7.0,Y,,"Waverly, IA",6 pm   ,2:00 hr   ,,"coe college
",Coe College,Tyler Leadley,NA,Scott DeAngelis,Nick Stein,Adam Nisenson,Sean Raisch,JD Hunter,Brennan Melloy,Aaron Peller,Patton Hofer,0,2,Alex Korth,5,0010100,rf,NA,2b,cf,1b,dh,3b,ss,lf,c,Phil Richmond,,Joseph Moen
114,"Apr 21, 2012",corlut3,,Chris Reynolds,NA,Chris Erikson,Matt Larson,Ryan Bahnemann,Kevin Bradley,Austen Graham,Eric Pittman,Robbie Jewell,Thomas Weber,1,5,Danny Smith,7,00112010X,2b,NA,1b,rf/lf,3b,c,dh,ss,cf,lf,Danny Smith,"luther college
",Luther College,Kyle Stennes,,9.0,Y,,"Decorah, Iowa (Luther College)",11 am   ,2:00   ,HP: Alec Clark  1B: Taylor Umland,"cornell college
",Cornell College,Joe Gerace,NA,Charlie Muir,Zach Rogers,Chris Rana,Beriah Quick,Justin Brown,Ryan Nordtvedt,Juan Flores,Milton Kurschner,2,4,Kyle Stennes,8,010210000,cf,NA,rf,lf,1b/ph,dh,3b,c,ss,2b,Kyle Stennes, Cloudy Cold,Danny Smith
