attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
,"Apr 21, 2008",coemmc,,Valdez,NA,Dabney,Dietrich,Rarick,Wiggins,Kaimakis,Grimsley,Sargent,,4,2,Dicus,2,00002000X,ss,NA,2b,1b,lf/dh,rf/3b,cf/lf,3b,c,,Rodriquez,"mount mercy
",Mount Mercy,Yotty,,9.0,Y,Dicus,"Cedar Rapids, IA (Ken Charipar Field)",6:00 pm   ,2:29   ,,"coe college
",Coe College,Cody Smith,NA,Paul Endriss,Ryan Schisler,Tyler McAllister,Pat Richmond,Ryan Velvick,Joe Swanson,Eric Hanna,Jon Reiner,2,1,Ryan Rayhill,5,000000100,cf,NA,lf,3b,ss,1b,dh,rf,2b,c,Brock Yotty,Rodriquez
44,"Mar 6, 2008",dbqwayn2,1,White,NA,Steele,Group,Dittmar,Spargur,Novak,Daley,Lavrusky,Cree,0,3,Lavrusky,10,001002X,2b,NA,cf,c,1b,3b,ss,lf,p,rf,Lavrusky,waynesburg univ.,Waynesburg Univ.,"Ramos, M",,7.0,Y,,"Mesa, AZ",12 pm   ,  ,,"dubuque, univ. of","Dubuque, Univ. of",Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Tony Foster,Chris Duran,Ron Manthe,Matt Lampugnano,Alex Larson,1,0,Michael Ramos,4,0000000,2b,NA,p,ss,3b,lf,1b,c,rf,cf,Michael Ramos,Lavrusky
205,"Mar 29, 2008",coelor3,2,Adam Gross,NA,Alex Miklo,Nick Olberding,Tim Andrews,John Schroeder,Don Pirkle,Brock Schneden,Chad Christell,Ben Kuebel,2,2,Kevin Moriarity,5,000101X,cf,NA,2b,ss,lf,c,1b,rf,dh,3b,Kevin Moriarity,"loras college
",Loras College,Lewis (2-2),,7.0,Y,,Loras College (Petrakis Park),3:15pm   ,1:35   ,HP: Larry Mccann  1B: Chris Overbrockling,"coe college
",Coe College,Trent Svehla,NA,Cody Smith,Tyler McAllister,Pat Richmond,Ryan Schisler,Ryan Velvick,R Baranowski,Joe Swanson,Eric Hanna,2,1,Alec Lewis,5,0000010,lf,NA,cf,c,1b,3b,dh,2b,rf,ss,Alec Lewis,Moriarity (2-2)
150,"May 04, 2008",bvulor3,,Mark Blum,NA,Michael Stephenson,Jeff Weisenborn,Brandon Pietrzyk,Michael Hoffman,Steve Johnston,Nathan Halupnick,Kevin Kloewer,Brad Blum,2,27,Nick Lanning,23,6600(10)5X,3b,NA,2b,rf,cf,lf,p,1b,c,ss,Steve Johnston,"buena vista university
",Buena Vista Univ.,Carty,,7.0,Y,,"Storm Lake, Iowa (Memorial Field)",1:00 PM   ,2:15   ,,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Clark Egdorf,Don Pirkle,Brock Schneden,John Schroeder,Tim Andrews,Alex Miklo,Ben Kuebel,5,3,Greg Farrey,5,1011000,cf,NA,ss,dh,1b,rf,c,lf,2b,3b,Tim Carty,Lanning
50,"Mar 9, 2008",simmon2,2,Sashko,NA,Virgo,Stubler,Hinkle,Wilhelm,Priola,Bice,Baggio,Shaver,1,2,Chandler,8,0000002,ss,NA,lf,1b,rf,cf,3b,dh,c,2b,Bourne,"monmouth college
",Monmouth College,Bourne (0-1),,7.0,Y,,"Mesa, AZ (Autry Park #2)",12 p.m.   ,2:00   ,,"simpson college
",Simpson College,Beau Kaplan,NA,Jason McClaflin,Dave Johnson,Curt Bjork,Jason Hayes,Jared Swim,Corey Rasmussen,Jesse Reis,Jeff Kinkel-Schuster,2,9,Mike Huyser,13,1024002,rf,NA,1b,3b,c,dh,lf,ss,2b,cf,Keaton Sansgaard,Sansgaard (1-0)
100,"Mar 26, 2008",simgra2,2,Suarez,NA,Coulter,S. Smith,Felman,Whitten,Stockton,Encarnacion,Stuart,Contreras,1,7,Carlo,6,2201002,cf,NA,2b,lf,1b,3b,dh,ss,c,rf,Cox,graceland univ.,Graceland Univ.,Cox (1-3),,7.0,Y,,"Lamoni, IA (Graceland Diamond)",3:30 pm   ,2:15   ,,"simpson college
",Simpson College,Jason Hayes,NA,Beau Kaplan,Jason McClaflin,Chris Jones,Dave Johnson,Cory Dawson,Joe Pogge,Curt Bjork,Jeff Kinkel-Schuster,3,9,Chris Jones,13,0222012,dh,NA,rf,3b,lf/p,ss,1b/p,2b,c,cf,Shane Akers,Murphy (1-2)
75,"Mar 19, 2008",lorfdu2,2,Alex Miklo,NA,Adam Gross,Nick Olberding,Don Pirkle,John Schroeder,Clark Egdorf,Tyler Shireman,Kyle Evangelista,Ben Kuebel,5,6,Ryan Dunn,11,0111030,2b,NA,cf,ss,1b,c,dh,lf,rf,3b,Bryan Geertgens,"loras college
",Loras College,Geertgens,,7.0,Y,,"Port Charlotte, FLA (S. Charlotte County)",12:45   ,2:15   ,HP: Bob Habern  2B: Jeff Keckl,fdu-florham,FDU-Florham,Hanna,NA,Flexer,Oliveto,Winters,Geran,Bellino,Hubbert,Foster,Baldino,1,14,23,15,1200083,cf,NA,2b,lf,rf,dh,1b,c,ss,3b,Dizinno,Dizinno
145,"Mar 16, 2008",cormary1,1,Allerdissen,NA,Henkelman,Stenzel,Boyer,Haven,Essner,Wheet,Huckstep,Mills,2,1,Sibley,5,0010000,2b,NA,cf,1b,lf,c,p,rf,3b,ss,Essner,maryville university,Maryville University,Essner (0-1),,7.0,Y,,"St. Louis, Mo. (Weber Field)",1:00 pm   ,  ,,"cornell college
",Cornell College,Tad Barry,NA,Ben Rudman,Jim Bose,Tyler Downing,Matthew Shimanovsky,Michael Thompson,Matthew Bliven,Michael Tierney,Cameron Gallegos,1,3,Casey Korn,5,0002010,rf,NA,lf,3b,1b,dh,c,ss,cf,2b,Casey Korn,Korn (1-1)
175,"May 8, 2008",iiac4,,Danny Rose,NA,Zach Nagle,Jerrold Martijn,Aaron Saeugling,Mike Johnson,Kyle Jones,Isiah Stevens,A.J. Lewis,Ben Roemmich,1,5,Nate Rost,10,10004000X,2b,NA,ss,cf,dh,3b,rf,1b,c,lf,Billy Schmitt,"wartburg college
",Wartburg College, (6-1),,9.0,Y,Moriarity (6-5),"Cedar Rapids, IA (Veteran's Stadium)",7:48 pm   ,2:22   ,HP: Scott Behn  1B: Jeff Frese  3B: Ryan My,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Clark Egdorf,Don Pirkle,Brock Schneden,John Schroeder,Tim Andrews,Alex Miklo,Ben Kuebel,4,2,Kevin Moriarity,7,002000000,cf,NA,ss,dh,1b,rf,c,lf,2b,3b,Kevin Moriarity,B
100,"Apr 25, 2008",simwar1,,Beau Kaplan,NA,Jason McClaflin,Chris Jones,Cory Dawson,Jesse Reis,Joe Pogge,Corey Rasmussen,Curt Bjork,Jeff Kinkel-Schuster,1,3,Trent Kain,6,001011000,rf,NA,3b,lf,1b,2b,dh,ss,c,cf,Trent Kain,"simpson college
",Simpson College, (3-1),,9.0,Y,Kain (2-4),"Indianola, IA (Buxton Stadium)",6:05 pm   ,2:03   ,HP: Joe Nelson  1B: Heath Bank,"wartburg college
",Wartburg College,Danny Rose,NA,Zach Nagle,Jerrold Martijn,Aaron Saeugling,A.J. Lewis,Mike Johnson,Isiah Stevens,Spencer Stumpff,Patrick Grau,3,4,Nate Rost,9,003001000,2b,NA,ss,cf,dh,c,3b,1b,rf,lf,Billy Schmitt,B
40,"Mar 16, 2008",bvuperu1,,Hall,NA,Jalass,Harder,Houck,Hays,Martin,reisig,Miller,Welty,1,6,Post,8,0060000X,cf,NA,rf,c,ss,1b,p,lf,3b,2b,Martin,peru state college,Peru State College,Post (),,8.0,Y,,"Auburn, NE",1:00 pm   ,2:00   ,,"buena vista university
",Buena Vista Univ.,Mark Blum,NA,Michael Stephenson,Jeff Weisenborn,Brandon Pietrzyk,Kevin Kloewer,Garrett Hill,Nathan Halupnick,Brad Blum,Tyler Case,0,9,Kyle Dupic,5,00014130,3b,NA,2b,dh,lf,c,rf,1b,ss,cf,Nick Lanning,Dupic (1-0)
130,"Apr 07, 2008",lorclk,,Adam Gross,NA,Alex Miklo,Nick Olberding,Tim Andrews,Don Pirkle,John Schroeder,Nathan Roling,Brock Schneden,Ben Kuebel,0,3,Brian Kearns,8,020000010,cf,NA,2b,ss,lf/dh,1b/3b,dh/c,c,rf,3b,Tim Carty,"loras college
",Loras College,Carty (2-2),,9.0,Y,,"Dubuque, IA (Petrakis Park)",5:00pm   ,2:08   ,,clarke college,Clarke College,Lister,NA,Lauer,McKay,Malinowski,Kroese,Duran,Harvat,Judd,Kelly,2,4,Garrison,9,010210000,ss,NA,2b,1b,dh,lf,rf,c,3b,cf,Garrison,Garrison (3-6)
83,"Apr 22, 2008",lorlut1,1,Jeff Riddle,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Matthew Bruhn,Zack Topping,Steve Beckman,Joe Thompson,1,4,Adam Kohls,12,002020X,2b,NA,lf,c,ss,1b,cf,dh,3b,rf,Adam Kohls,"luther college
",Luther College,Barilla (2-6),,7.0,Y,,"Decorah, Iowa (Luther College)",1:00 pm   ,1:40   ,HP: Scott Behn  1B: Randy Schult,"loras college
",Loras College,Adam Gross,NA,John Schroeder,Nick Olberding,Don Pirkle,Clark Egdorf,Tim Andrews,Brock Schneden,Alex Miklo,Ben Kuebel,1,2,Brad Joniec,4,1100000,cf,NA,c,ss,1b,dh,lf,rf,2b,3b,Matt Barilla,Kohls (3-1)
54,"Mar 03, 2008",dbqgmc1,1,Nally,NA,DiDomenico,Mattes,McMenamin,DiEnno,Strack,Albert,Carroll,Hoban,0,15,Windhaus,12,621600X,lf,NA,dh,3b,1b,c,rf,2b,ss,cf,Windhaus,gwynedd mercy,Gwynedd Mercy,"Boals, T",,7.0,Y,,"Mesa, Arizona (Gene Autry)",11:32 am   ,2:45   ,,"dubuque, univ. of","Dubuque, Univ. of",Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Alex Larson,Matt Lampugnano,Theodore Bishop,Bill Albee,2,4,Nolan Voss,9,1030000,2b,NA,cf,ss,3b,dh,lf,rf,c,1b,Tadd Boals,Windhaus
100,"Mar 14, 2008",coepsua1,1,Tyler McAllister,NA,Trent Svehla,Cody Smith,Pat Richmond,Ryan Schisler,R Baranowski,Nick McKenzie,Nick Robertson,Eric Hanna,1,8,Steven Zamora,11,241100X,c,NA,lf,cf,1b,3b,2b,dh,rf,ss,Lee Boyse,"coe college
",Coe College,Vath G (),,7.0,Y,,"Orlando, Fla. (Tinker Stadium)",8 a.m.   ,  ,,penn state-altoona,Penn State-Altoona,King Z,NA,Barnard RJ,Petulla T,Luzier G,Pollicino R,Stiffler T,Traister R,Smith B,Snook C,1,2,Vath G,5,0010001,cf,NA,2b,c,1b,3b,ss,lf,rf,dh,Vath G,Boyse (2-1)
125,"Apr 26, 2008",cencoe2,2,Ben Tressel,NA,Anthony Bazant,Jake Jadlowski,Michael Edwards,Caleb Rangel,Derek Knutson,Blake Smith,Justin Owens,,3,1,Adam Squires,4,1000000,3b,NA,cf,ss,1b,rf,lf,c,2b,,Jeremy Kippley,"central college
",Central College,Kippley (1-3),,7.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3:45 pm   ,1:45   ,HP: Pat Mcilhon  1B: Ricardo Alverio,"coe college
",Coe College,Cody Smith,NA,Paul Endriss,Tyler McAllister,Pat Richmond,Ryan Velvick,Ryan Baranowski,Ryan Schisler,Joe Swanson,Eric Hanna,0,3,Alec Lewis,5,0102000,cf,NA,lf,c,1b,dh,2b,3b,rf,ss,Alec Lewis,Lewis (5-3)
45,"Mar 02, 2008",warwlc1,,"Glasel, C.",NA,Huntemann,Thorsteins,Ferrell,Marshall,Edlhuber,Pollesch,Lang,Schmidt,1,1,Barkhurst,5,0000100,dh,NA,lf,1b,c,3b,2b,rf,cf,ss,Lynch,"wisconsin lutheran
",Wisconsin Lutheran, (2-0),,7.0,Y,Lynch (0-1),"Orlando, Fla. (Disney Stadium)",2 p.m.   ,1:50   ,,"wartburg college
",Wartburg College,Jerrold Martijn,NA,Brandon Thurm,Patrick Grau,Mike Johnson,Aaron Saeugling,Kyle Jones,Jacob Miksell,Isiah Stevens,Zach Nagle,1,11,Austin Swartz,15,2213021,cf,NA,2b,lf,3b,dh,rf,c,1b,ss,Billy Schmitt,B
50,"Mar 11, 2008",simdic1,1,Schuster,NA,Catania,Lapicki,Perkins,Marchant,Cohen,Van Horn,werthan,Meyers,2,4,Kaplan,9,0000130,c,NA,ss,dh,1b,lf,3b,2b,rf,cf,Friedman,dickinson college,Dickinson College,Friedman (0-1),,7.0,Y,,"Phoenix, AZ (Gene Autry Park)",  ,2:00   ,,"simpson college
",Simpson College,Beau Kaplan,NA,Jason McClaflin,Cory Dawson,Jason Hayes,Chris Jones,Curt Bjork,Jared Swim,Jesse Reis,Corey Rasmussen,0,14,Luke Goemaat,14,1134032,rf,NA,3b,1b,dh,lf,c,cf/lf,2b,ss,Trent Kain,Kain (1-0)
75,"Apr 04, 2008",cenmlc2,2,Ben Tressel,NA,Anthony Bazant,Jake Jadlowski,Michael Edwards,Caleb Rangel,Derek Knutson,Blake Smith,Justin Owens,Aaron Heffernan,0,9,Nalan,11,304200X,3b,NA,rf,ss,1b,dh,lf,c,2b,cf,Jeremy Kippley,"central college
",Central College,Janke (0-1),,7.0,Y,,"Pella, Iowa (A.N. Kuyper Complex)",4:20 pm   ,1:36   ,HP: Rene Hilbach-Barger  1B: Kevin Benzing,martin luther(minn.),Martin Luther(Minn.),Holzhueter,NA,Schlicht,Morgan,Scheuerlein,Fry,Hansen,Schultz,Sauer,Scott,2,0,Fry,2,0000000,ss,NA,2b,c,1b,3b/p,rf,lf,cf,dh,Janke,Kippley (1-0)
90,"Mar 20, 2008",lormlkn2,2,Hafer,NA,Meyer,Godfrey,Bastien,M. Frigo,Hendricks,Murray,Leffler,McBrain,3,4,M. Heffernan,10,0002020,3b,NA,cf,lf,rf,1b,c,dh,2b,ss,Kentos,millikin university,Millikin University,Kentos (),,7.0,Y,Kearns (2),"Port Charlotte, FLA (P.C. High School)",12:45   ,2:05   ,,"loras college
",Loras College,Adam Gross,NA,Alex Miklo,Nick Olberding,Don Pirkle,John Schroeder,Tim Andrews,Nathan Roling,Kyle Evangelista,Ben Kuebel,1,6,Brian Kearns,9,2010201,cf,NA,2b,ss,1b,dh,lf,c,rf/lf,3b,Brad Joniec,Joniec (1-1)
104,"Apr 16, 2008",lutsim3,,Matthew Bruhn,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Mark Weber,Steve Beckman,Phil Worden,Alex Thomas,1,2,Paul Pichelmann,11,000100100,lf,NA,rf,c,ss,1b,dh,3b,2b,cf,Adam Kohls,"luther college
",Luther College,Kohls (2-1),,9.0,Y,Sass (1),"Decorah, Iowa (Luther College)",3:00 pm   ,2:15   ,,"simpson college
",Simpson College,Beau Kaplan,NA,Jason McClaflin,Chris Jones,Jesse Reis,Cory Dawson,Corey Rasmussen,Curt Bjork,Dave Johnson,Jeff Kinkel-Schuster,0,3,Jared Sass,9,012000000,rf,NA,3b,lf,2b,1b,ss,c,dh,cf,Jake Ritchey,Ritchey (3-1)
100,"Mar 14, 2008",simumb2,2,T. Michael,NA,C. Rice,E. Salvador,C. Reinfurt,R. Walsh,S. Garcia,C. Oram,J. Chastain,,5,6,F. Yavorsky,9,0001005,rf,NA,2b,c,1b,ss,3b,lf,cf,,M. Dorval,umass-boston,UMass-Boston,M,,7.0,Y,(0-1),"Mesa, AZ (Autry Park #1)",1:25 pm   ,2:20   ,,"simpson college
",Simpson College,Jason Hayes,NA,Jason McClaflin,Curt Bjork,Cory Dawson,Chris Jones,Jesse Reis,Joe Pogge,Jared Swim,Corey Rasmussen,0,14,Trent Kain,14,20(10)0020,rf/2b,NA,3b,c,1b,lf,2b,dh,cf,ss,Brandon Harrison,Harrison (1-0)
100,"Mar 08, 2008",coebeck2,2,Tyler McAllister,NA,Jeff Wagner,Cody Smith,Pat Richmond,Nick Robertson,R Baranowski,Ryan Schisler,Nick McKenzie,Eric Hanna,0,7,Teren Bladel,7,003301X,c,NA,lf,cf,1b,rf,2b,3b,dh,ss,Teren Bladel,"coe college
",Coe College,Mercado (),,7.0,Y,,"Orlando, Fla. (Pat Thomas Stadium)",2:45 pm   ,  ,,becker college,Becker College,Valdez,NA,Briand,Mercado,Robinson,Maddern,Paquette,Graham,Reilly,Russo,1,1,Mercado,3,0000001,ss,NA,1b,p,rf,3b,c,2b,lf,cf,Mercado,Bladel (1-0)
75,3/30/08,corbel2,2,J. Majeski,NA,R. Chernik,S. Slubowski,R. Schmitz,S. Crivello,M. Bartz,M. Ross,S. Bruner,D. Edwards,1,2,C. Welborn,6,101000X,cf,NA,rf,2b,ss,1b,c,dh,lf,3b,R. Krajewski,beloit college,Beloit College,ki (3-1),Cornell got their only hit with two out in the seventh inning.,7.0,Y,Harrington (0-1),"Beloit, WI (The Ballpark/Strong)",3:30 pm   ,1:21   ,,"cornell college
",Cornell College,Michael Tierney,NA,Jim Bose,Casey Korn,Tyler Downing,Matthew Shimanovsky,Michael Thompson,Matthew Bliven,Ryan Fincham,David Bartine,0,0,Tad Barry,1,0000000,cf,NA,1b,3b,dh,2b,c,ss,rf,lf,Adam Harrington,R
125,"Apr 13, 2008",cenwar1,,Ben Tressel,NA,Anthony Bazant,Jake Jadlowski,Michael Edwards,Caleb Rangel,Derek Knutson,Blake Smith,Justin Owens,Aaron Heffernan,1,1,Ben Gander,3,000000001,3b,NA,rf,ss,1b,dh,lf,c,2b,cf,Brett Mahan,"central college
",Central College,ng (2-0),,9.0,Y,Mahan (4-2),"Waverly, Iowa (Hertel Field)",3:04 p.m   ,2:05   ,HP: Eric Oberbrockling  1B: Chris F,"wartburg college
",Wartburg College,Patrick Grau,NA,Danny Rose,Jerrold Martijn,Aaron Saeugling,A.J. Lewis,Mike Johnson,Isiah Stevens,Kyle Jones,Zach Nagle,1,4,Jerrold Martijn,11,011000020,lf,NA,2b,cf,p,c,3b,1b,rf,ss,Aaron Saeugling,A
507,"Apr 20, 2008",coesim2,1,Tyler McAllister,NA,Paul Endriss,Cody Smith,Pat Richmond,Ryan Schisler,Ryan Velvick,Ryan Baranowski,Nick Robertson,Eric Hanna,0,4,Cody Smith,9,2001001,c,NA,dh,cf/p,1b,rf,3b,2b,lf,ss,Lee Boyse,"coe college
",Coe College,Boyse (4-3),,7.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,2:30   ,,"simpson college
",Simpson College,Beau Kaplan,NA,Jason McClaflin,Chris Jones,Jesse Reis,Cory Dawson,Corey Rasmussen,Dave Johnson,Curt Bjork,Jeff Kinkel-Schuster,3,7,Jared Sass,9,0031102,rf,NA,3b,lf,2b,1b,ss,dh,c,cf,Jared Sass,Sass (6-0)
56,"Mar 8, 2008",dbqscsu1,1,D. Gaughan,NA,K. Resser,R. Sturm,L. Klitzke,B. Thompson,S. Radbil,N. Hammes,R. Tschida,K. Koch,1,4,M. Swanson,9,0004000,cf,NA,ss,1b,dh,lf,3b,c,rf,2b,S. Sand,st. cloud state,St. Cloud State,,,7.0,Y,M,"Mesa, AZ",  ,  ,,"dubuque, univ. of","Dubuque, Univ. of",Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Tony Foster,Chris Duran,Matt Lampugnano,Ron Manthe,Alex Larson,0,6,Cody Doonan,12,0010311,2b,NA,cf,1b,3b,dh,ss,rf,c,lf,Cody Doonan,"Doonan, C"
175,"May 9, 2008",iiac8,,Cody Smith,NA,Paul Endriss,Ryan Baranowski,Ryan Velvick,Tyler McAllister,Ryan Schisler,Pat Richmond,Eric Hanna,Joe Swanson,1,3,Brock Yotty,7,0200100,cf/p,NA,lf,2b,3b,c,dh,1b,ss,rf/cf,Lee Boyse,"coe college
",Coe College,Boyse (4-3),,7.0,Y,,"Cedar Rapids, IA (Veteran's Stadium)",7:05 pm   ,2:25   ,HP: Woody Miller  1B: Mike Gansemer  3B: Paul Keitel,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Clark Egdorf,Don Pirkle,Brock Schneden,John Schroeder,Tim Andrews,Alex Miklo,Ben Kuebel,4,16,Brad Joniec,18,00004(11)1,cf,NA,ss,dh,1b,rf,c,lf,2b,3b,Bryan Geertgens,Laurie (3-1)
200,"May 10, 2008",iiac11,,Danny Rose,NA,Zach Nagle,Jerrold Martijn,Aaron Saeugling,Mike Johnson,Kyle Jones,Isiah Stevens,A.J. Lewis,Scott Mangin,0,10,Jerrold Martijn,13,20000044X,2b,NA,ss,p,lf,3b,rf,1b,c,cf,Jerrold Martijn,"wartburg college
",Wartburg College, (4-3),,9.0,Y,Barilla (4-7),"Cedar Rapids, IA (Veteran's Stadium)",3:53 pm   ,2:04   ,HP: Chris Oberbroeckling  1B: Ricardo Alverio  3B: Jay Wiechmann,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Clark Egdorf,Don Pirkle,Tim Andrews,John Schroeder,Alex Miklo,Tyler Shireman,Ben Kuebel,5,2,Bryan Geertgens,7,001000010,cf,NA,ss,dh,1b,lf,c,2b,rf,3b,Matt Barilla,J
125,"Feb 27, 2008",warbet1,1,T. Chur,NA,T. Kram,B.Carr,M. Ther,J. Slic,K. Pulf,B. Toka,S. Krue,C. Nels,1,15,E. Form,13,304602X,lf,NA,ss,3b,dh,rf,cf,1b,c,2b,J. Bute,"bethel university
",Bethel University,-0),,7.0,Y,D,"Minneapolis, Minn. (Metrodome)",5 p.m.   ,2.5 hrs.   ,,"wartburg college
",Wartburg College,Jerrold Martijn,NA,Patrick Grau,Aaron Saeugling,Kyle Jones,Scott Mangin,Isiah Stevens,Jacob Miksell,Danny Rose,Zach Nagle,1,7,Austin Swartz,12,2200003,cf,NA,lf,dh,rf,3b,1b,c,ss,2b,Drew Newhoff,J
125,"Apr 23, 2008",cencor1,,Ben Tressel,NA,Anthony Bazant,Jake Jadlowski,Michael Edwards,Caleb Rangel,Derek Knutson,Blake Smith,Justin Owens,Aaron Heffernan,2,6,Adam Squires,12,30000120X,3b,NA,rf,ss,1b,dh,lf,c,2b,cf,Dayton Glasgow,"central college
",Central College,Boge (1-1),,9.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3:07 pm   ,2:15   ,HP: Ricardo Alvero  1B: Dan Dav,"cornell college
",Cornell College,Michael Tierney,NA,Tad Barry,Casey Korn,Tyler Downing,Jim Bose,Matthew Shimanovsky,Ben Rudman,Andy Krekel,Cameron Gallegos,2,3,Jim Bose,7,001000200,cf,NA,rf,ss/p,1b,3b/p,dh,lf,c,2b,Cole Boge,Glasgow (5-1)
372,"Apr 05, 2008",coelut3,2,Cody Smith,NA,Tyler McAllister,Pat Richmond,Ryan Schisler,Ryan Velvick,Ryan Baranowski,Nick Robertson,Trent Svehla,Eric Hanna,2,8,Mike Gaynor,9,000530X,cf,NA,c,1b,3b,dh,2b,rf,lf,ss,Alec Lewis,"coe college
",Coe College,Flaig (1-3),,7.0,Y,,"Cedar Rapids, Iowa (Daniels Park Field)",3:50 pm   ,2:05   ,,"luther college
",Luther College,Jeff Riddle,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Zack Topping,Mark Weber,Steve Beckman,Alex Thomas,2,2,"Nelson, J",5,0000020,2b,NA,rf,lf,ss,1b,c,dh,3b,cf,Max Flaig,Lewis (3-2)
100,"Apr 9, 2008",bvusim2,2,Beau Kaplan,NA,Jason McClaflin,Chris Jones,Jesse Reis,Dave Johnson,Curt Bjork,Cory Dawson,Jared Swim,Corey Rasmussen,4,11,Justin Stoffa,13,0004043,rf,NA,1b,lf,2b,3b,c,dh,cf,ss,Keaton Sansgaard,"simpson college
",Simpson College,Pietrzyk (1-1),,7.0,Y,,"Indianola, IA (McBride Field)",6:08 pm   ,2:09   ,HP: Duane Duncan  1B: Ricardo Alverio,"buena vista university
",Buena Vista Univ.,Mark Blum,NA,Michael Stephenson,Jeff Weisenborn,Brandon Pietrzyk,Kevin Kloewer,Michael Hoffman,Joe Alexander,Brad Blum,Tyler Case,2,10,Brandon Pietrzyk,12,0244000,3b/rf,NA,2b,dh,rf/p,c,lf,1b,ss,cf,Luke Probasco,Stoffa (1-0)
88,"Apr 26, 2008",dbqlut2,2,Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Alex Larson,Matt Lampugnano,Ron Manthe,Chris Dahle,2,7,Cody Doonan,11,022030X,2b,NA,cf,3b,ss,1b,rf/c,lf,c,dh,Troy Strom,"dubuque, univ. of","Dubuque, Univ. of",,,7.0,Y,Pichelmann,"Dubuque, Iowa (Chlapaty Field)",3:30 pm   ,2:30   ,,"luther college
",Luther College,Jeff Riddle,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Matthew Bruhn,Paul Ryan,Steve Beckman,Joe Thompson,0,6,Paul Pichelmann,9,2202000,2b,NA,lf,c,ss,1b,cf,dh,3b,rf,Nate Todd,"Crane, A"
115,"Apr 05, 2008",dbqsim3,2,Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Alex Larson,Matt Lampugnano,Bill Albee,Chris Dahle,5,6,Justin Shaffer,6,1041000,2b,NA,cf,dh,ss,3b,c,rf,1b,lf,Troy Strom,"dubuque, univ. of","Dubuque, Univ. of","Abram, B",,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",3:00   ,2:30   ,,"simpson college
",Simpson College,Beau Kaplan,NA,Jesse Reis,Jason McClaflin,Cory Dawson,Curt Bjork,Chris Jones,Dave Johnson,Jared Swim,Corey Rasmussen,2,10,Keaton Sansgaard,7,0011620,rf,NA,2b,1b,dh,c,lf,3b,cf,ss,Jake Ritchey,Sansgaard (3-1)
200,"May 8, 2008",iiac3,,Joe Pogge,NA,Jason McClaflin,Cory Dawson,Chris Jones,Jesse Reis,Curt Bjork,Dave Johnson,Beau Kaplan,Jeff Kinkel-Schuster,4,9,Shane Akers,12,041012010,dh,NA,3b,1b,lf,2b,c,ss,rf,cf,Trent Kain,"simpson college
",Simpson College,Rankin (0-1),,9.0,Y,Squires (5),"Cedar Rapids, IA (Veteran's Stadium)",4 p.m.   ,3:01   ,HP: Kevin Ferris  1B: Jay Wiechman  3B: Don Umland,"central college
",Central College,Ben Tressel,NA,Caleb Rangel,Michael Edwards,Derek Knutson,Anthony Bazant,Jake Jadlowski,Blake Smith,Justin Owens,Jared Lackey,2,11,Adam Squires,12,301020302,3b,NA,dh/p,1b,lf,cf,ss,c,2b,rf,Dayton Glasgow,Rangel (1-0)
