attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
192,"Apr 09, 2008",coeiowa,,McCool,NA,Riffel,Toole,Curry,Muller,Cataldo,Blaser,Freie,Gryzwa,0,7,Porter,11,00301210X,2b,NA,rf,ss,cf,lf,dh,c,1b,3b,Kenyon,"university of iowa
",Iowa,Nicholson (4-3),,9.0,Y,,"Iowa City, IA (Duane Banks Field)",5 p.m.   ,2:22   ,HP: Larry Allen  1B: Bret Bruington,"coe college
",Coe College,Cody Smith,NA,Tyler McAllister,Pat Richmond,Ryan Schisler,Ryan Velvick,Paul Endriss,Nick Robertson,Jeff Wagner,Eric Hanna,5,2,Alec Lewis,6,020000000,cf,NA,c,1b,dh,3b,2b,rf,lf,ss,Lee Boyse,Belk (1-0)
150,"Apr 1, 2008",lutsim2,2,Jason Hayes,NA,Beau Kaplan,Jason McClaflin,Chris Jones,Cory Dawson,Dave Johnson,Curt Bjork,Jesse Reis,Jared Swim,3,2,Chris Jones,7,0100010,dh,NA,rf,3b,lf/p,1b,ss,c,2b,cf/lf,Keaton Sansgaard,"simpson college
",Simpson College,Sansgaard (2-1),,7.0,Y,,"Indianola, IA (McBride Field)",5:58 pm   ,2:17   ,HP: Kevin Frost  1B: Pat Mcilhon,"luther college
",Luther College,Jeff Riddle,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Alex Thomas,Mark Weber,Steve Beckman,Joe Thompson,2,7,Paul Pichelmann,7,1000402,2b,NA,lf,c,ss,1b,cf,dh,3b,rf,Paul Pichelmann,Pichelmann (1-1)
,"Mar 24, 2008",bvunwmo1,1,Bledsoe,Brady,Pfeiffer,Malick,"Westman,B.",Kirsch,Disselhoff,Kurtz,Benham,Conner,3,2,Nickell,7,010010000,ss,p,2b,3b,1b,rf,ph,c,lf,cf,Brady,northwest missouri,Northwest Missouri,Nickell (1-2),,9.0,Y,Dupic (1),"Maryville, Mo. (Bearcat Stadium)",1:05 pm   ,2:16   ,HP: Dave Beaver  1B: Gary Eik,"buena vista university
",Buena Vista Univ.,Mark Blum,Christian Dekker,Michael Stephenson,Jeff,Brandon Pietrzyk,Garrett Hill,Kevin Kloewer,Nathan Halupnick,Brad Blum,Tyler Case,1,3,Kyle Dupic,10,200000001,3b,p,2b,Weisenborn,lf,rf,c,1b,ss,cf,Christian Dekker,Johnston (1-0)
150,"Apr 13, 2008",lorsim1,1,Corey Rasmussen,NA,Jason McClaflin,Jesse Reis,Dave Johnson,Chris Jones,Cory Dawson,Jared Swim,Curt Bjork,Beau Kaplan,5,4,Keaton Sansgaard,12,00003010000,ss,NA,1b,2b,3b,lf,dh,cf,c,rf,Trent Kain,"simpson college
",Simpson College,Sansgaard (3-2),,11.0,Y,Kearns (3),"Indianola, IA (McBride Field)",2:02   ,2:45   ,HP: Joe Nelson  1B: Heath Bank,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Don Pirkle,Tim Andrews,John Schroeder,Clark Egdorf,Brock Schneden,Ben Kuebel,Alex Miklo,1,5,Brian Kearns,11,00002020001,cf,NA,ss,1b,lf,c,dh,rf,3b,2b,Matt Barilla,Laurie (2-0)
60,"Mar 16, 2008",warweb,,"Raetzloff, A",NA,"Umfleet, D","Fuiten, A","Steen, G","Starnes, K","Huey, D","Schaefer, C","Combs, J","Shelton, N",6,15,"Broughton, E",11,55000320X,cf,NA,lf,2b/ss,3b,1b/2b,rf,dh,c,ss,"Mueller, B",webster univ. (mo.),Webster Univ. (Mo.),B,,9.0,Y, (2-1),"Sauget, Ill. (GCS Ballpark)",10 am   ,2:34   ,,"wartburg college
",Wartburg College,Jerrold Martijn,NA,Patrick Grau,Aaron Saeugling,Mike Johnson,Kyle Jones,Isiah Stevens,A.J. Lewis,Danny Rose,Zach Nagle,3,9,Jon Smith,7,300001005,cf,NA,lf,dh,3b,rf,1b,c,2b,ss,Billy Schmitt,"Mueller, B (1-0)"
100,"Apr 27, 2008",cencoe3,,Ben Tressel,NA,Anthony Bazant,Jake Jadlowski,Michael Edwards,Caleb Rangel,Derek Knutson,Blake Smith,Justin Owens,Aaron Heffernan,0,5,Adam Squires,9,1030010000,3b,NA,rf/cf,ss,1b,dh,lf,c,2b,cf,Dayton Glasgow,"central college
",Central College,ski (4-0),,10.0,Y,Squires (1-4),"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,3:05   ,HP: Pat Mciholn  1B: Mark Halverson,"coe college
",Coe College,Cody Smith,NA,Paul Endriss,Tyler McAllister,Ryan Schisler,Ryan Velvick,Ryan Baranowski,Pat Richmond,Joe Swanson,Jon Reiner,2,6,Kevin Baranowski,12,0111110001,cf,NA,lf,ss/c,3b,dh,2b,1b,rf,c,Lee Boyse,K
26,"Mar 25, 2008",dbqmsoe1,1,Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Tony Foster,Matt Lampugnano,Theodore Bishop,Chris Dahle,3,7,Justin Ramos,10,0300004,2b,NA,cf,dh,ss,1b,rf,3b,c,lf,Troy Strom,"dubuque, univ. of","Dubuque, Univ. of","Strom, T",,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",2 pm   ,2:00   ,HP: Ken Ferris  1B: Dennis Shroed,milw. school of eng.,Milw. School of Eng.,Gorzelnik,NA,Woodstock,Merk,Curtin,Biederer,Wiskamp,Hansen,Kryzanowski,Mangerson,2,12,Schmocker,12,2006040,ss,NA,rf,3b,p,lf,c,1b,2b,cf,Curtin,Curtin
67,"Apr 22, 2008",dbqwar1,1,Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Alex Larson,Matt Lampugnano,Tony Foster,Chris Dahle,1,5,Andy Crane,8,110003X,2b,NA,cf,3b,ss,1b,c,rf,dh,lf,Troy Strom,"dubuque, univ. of","Dubuque, Univ. of",,,7.0,Y,T,"Dubuque,Iowa (Chlapaty Field)",1 p.m.   ,2:06   ,HP: Woody Miller  1B: Paul Keitel,"wartburg college
",Wartburg College,Danny Rose,NA,Zach Nagle,Jerrold Martijn,Aaron Saeugling,A.J. Lewis,Mike Johnson,Isiah Stevens,Kyle Jones,Spencer Stumpff,0,2,Tom Keesy,4,0200000,2b,NA,ss,p,lf,c,3b,1b,rf,cf,Jerrold Martijn,"Strom, T"
200,"Mar 2, 2008",coewu2,2,Lehmann,NA,"Kennedy, G.",Price,Vom Brack,Labinski,Skinner,Davis,Working,Midkiff,0,12,Rogoff,14,030054X,rf,NA,cf,dh,c,3b,1b,2b,lf,ss,Rogoff,washington u.,Washington U.,Boyse,,7.0,Y,,"St. Louis, Mo. (Kelly Field)",2:30 pm   ,  ,,"coe college
",Coe College,Tyler McAllister,NA,Cody Smith,Nick Robertson,Pat Richmond,Nick McKenzie,Ryan Schisler,Paul Endriss,R Baranowski,Eric Hanna,3,4,Ryan Rayhill,7,0001300,c,NA,cf,rf,1b,dh,3b,lf,2b/ss,ss,Lee Boyse,Rogoff
,"Mar 24, 2008",lutnwmn1,2,Long,NA,Sage,"Nelson, L",Mick,Abeler,Strickland,Sharp,Holsman,Borud,2,1,Schmitke,6,1000000,lf,NA,cf,1b,3b,c,dh,2b,ss,rf,Amann,northwestern (minn.),Northwestern (Minn.),Amann,,7.0,Y,,"Minneapolis, Minn. (H.H.H. Metrodome)",7:15 PM   ,2:00   ,,"luther college
",Luther College,Jeff Riddle,NA,Jake Waddle,Alex Ross,Ben Schott,Jeff Hiatt,Joe Thompson,Steve Beckman,Scott Hanson,Alex Thomas,1,13,Eric Nordstrom,9,4400104,2b,NA,c,lf,1b,ss,rf,3b,dh,cf,Nate Todd,Todd
