attendance,date,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
,"Mar 13, 2016",,McReynolds,Kressner,Havel,Struck,"Compton, A",Conroy,Ott,Berliner,Wick,5,5,Modesitt,9,100000031,3b,ss,dh,1b,cf,rf,lf,2b,c,MacMillan,"elmhurst
",Elmhurst,MacMillan (0-1),,9,Y,,"Jacksonville, Ill. (Lenz Field)",1:00 PM   ,  ,,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Lucas Jacque,Ryan Koester,Thomas Johnson,Adrian Nunez,Luke Leibforth,Nolan Ritter,1,9,Robert Hovey,13,012141000,cf,rf,3b,c,1b,lf,dh,2b,ss,Brad Schwind,NA,Schwind (1-0)
345,"Apr 03, 2016",2,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Ben Larison,Brett Slager,Ben Jacobson,Alec Zwanziger,1,7,Lucas Robbins,13,0122100001,ss,lf,cf,c,dh,3b,rf,1b,2b,David Keaton,"coe college
",Coe College,,,10,Y,Erwin (0-1),"Cedar Rapids, Iowa (Bill Quinby Field)",3:10 pm   ,2:30   ,HP: Bret Miell  1B: Scott Behn,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Eric Hall,Tyler Lewan,Thomas Kempf,Will Doherty,Gaetano Florio,Jacob Evans,Ryan Karrick,0,6,Derek Erwin,15,0000203100,rf,3b,cf,dh,1b,c,ss,lf,2b,Daniel Karnick,NA,"Robbins, L"
,"Apr 12, 2016",1,Austin Burlin,Bud Smith,Gage Reis,Trey Kehoe,Taylor Harmon,Trevor Dudar,Jonathan Greiner,Luke Anctil,Nick Carlisle,0,11,Brock Borgeson,11,320006X,rf,c,ss,1b,2b,dh,3b,lf,cf,Brock Borgeson,"simpson college
",Simpson College,Mauro (0-2),,7,Y,,"Indianola, Iowa (McBride Field)",3:34 pm   ,1:36   ,HP: Patrick McIlhon  1B: Todd Savag,"central college
",Central College,Garrett Saunders,Spencer Gritsch,Ryan Garrett,Michael Reuter,Noah Stochl,Ryan Bouwman,Zach Brown,Adam Lindell,Seth Griffiths,1,0,Zach Brown,2,0000000,ss,lf,1b,c,2b,dh,3b/p,rf,cf,Frankie Mauro,NA,Borgeson (4-2)
277,"Apr 16, 2016",1,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Tyler Lewan,Jacob Evans,Will Doherty,Gaetano Florio,Kyle May,2,4,Brian Sholty,6,0020002,rf,3b,cf,1b,dh,lf,c,ss,2b,Jacob Padilla,"dubuque, univ. of","Dubuque, Univ. of",Padilla (2-2),,7,Y,,"Dubuque, Iowa (UD Baseball Field)",1 p.m.   ,2:25   ,HP: Mark  1B: Paul,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Mike Brown,Tyler Willis,3,9,Taylor Gilson,8,3112002,lf,ss,1b,rf,cf,3b,dh,c,2b,Taylor Gilson,NA,Gilson (5-2)
65,"Apr 16, 2016",1,Tony Heiser,Austin Konagel,Patrick Walsh,Ryan Koester,Thomas Johnson,Lucas Jacque,Danny Paluch,Michael Muto,Nolan Ritter,1,0,Nick Petruzzi,6,0000000,rf,2b,3b,1b,lf,dh,cf,c,ss,Alex Steines,"loras college
",Loras College,,,7,Y,Steines (3-3),"Dubuque, Iowa (Petrakis Park)",1:00 pm   ,1:44   ,,"coe college
",Coe College,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Alec Zwanziger,Blake Lishka,Andrew Brierton,Ben Larison,Brandt Ames,0,8,Ben Jacobson,10,1002320,ss,lf,cf,c,2b,dh,rf,3b,1b,Ben Jacobson,NA,"Jacobson, B"
35,"Apr 09, 2016",2,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Adrian Nunez,Austin Konagel,Nolan Ritter,1,0,Brad Schwind,6,0000000,cf,rf,3b,1b,c,lf,dh,2b,ss,Brad Schwind,"loras college
",Loras College,Schwind (1-4),,7,Y,,"Dubuque, Iowa (Petrakis Park)",3:35   ,2:00   ,,"luther college
",Luther College,Alex Weber,Joe Silversmith,Jon Opdahl,Mitch Knippenberg,Czenvic Rojer,Bryce Hingst,Cody Reimer,Max Uetz,Jake Halverson,1,5,Blake Peterson,8,1001120,cf,ss,2b,c,rf,1b,lf,dh,3b,Blake Peterson,NA,Peterson (3-0)
72,"Mar 05, 2016",,"Williams, C.","Bonner, R.",Lizarraga,"Beasley, T.","Dostal, N.","Jourdan, C.","Holmes, D.",Fitzsimmons,"Baida, R.",4,3,"Hackett, M",8,02000001X,cf,2b,c,1b,dh,lf,ss,rf,3b,"Henke, C",mt. mercy,Mt. Mercy,,,9,Y,Schwind (0-1),"Pleasant Hill, Iowa (Southeast Polk HS)",1:00 pm   ,  ,,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Luke Leibforth,Danny Paluch,Nolan Ritter,1,2,Brad Schwind,3,000100100,cf,dh,3b,1b,c,lf,2b,rf,ss,Alex Steines,NA,"Bell, C"
150,"Apr 29, 2016",1,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Mike Brown,Tyler Willis,1,4,Taylor Gilson,8,0100021,lf,ss,1b,rf,cf,3b,dh,c/3b,2b,Taylor Gilson,#19 wartburg college,#19 Wartburg College,Steines (4-4),,7,Y,,"Waverly, Iowa (Hertel Field)",3:30 p.m   ,1:43 hr   ,HP: Jacob Copp  1B: Jason K,"loras college
",Loras College,Austin Konagel,Thomas Johnson,Tony Heiser,Ryan Koester,Patrick Walsh,Michael Muto,Lucas Jacque,Danny Paluch,Nolan Ritter,2,3,Alex Steines,9,0000201,2b/3b,lf,rf,1b,3b,c,dh,cf,ss,Alex Steines,NA,Gilson (7-2)
456,"Apr 02, 2016",1,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Colton Knox,Alec Zwanziger,Thomas Simon,Nolan Arp,1,5,Ben Jacobson,6,103010X,ss,lf,cf,c,dh,1b,2b,rf,3b,Ben Jacobson,"coe college
",Coe College,,,7,Y,Van Dyke (1-1),"Cedar Rapids, Iowa (Bill Quinby Field)",1:00 pm   ,2:00   ,HP: Paul Keitel  1B: Nick Willenborg,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Gaetano Florio,Dalton Garst,Thomas Kempf,Will Doherty,Jacob Evans,Eric Hall,Michael Salazar,Ryan Karrick,4,0,Nick Sewruk,2,0000000,rf,ss,3b,1b,c,lf,cf,dh,2b,Doug Van Dyke,NA,"Jacobson, B"
250,"May 06, 2016",1,Blake Mahoney,Clay Henning,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Zach Hovick,Mike Brown,Tyler Willis,1,14,Gavin Nadermann,15,344102X,lf,ss,rf,cf,3b,dh,1b,c/3b,2b,Taylor Gilson,#15 wartburg college,#15 Wartburg College,"Keaton, D",,7,Y,,"Waverly, Iowa (Hertel Field)",3:30 pm   ,2:06 hr   ,HP: Ron Achina  1B: Jason Kra,"coe college
",Coe College,Kevin DeLaney,Brett Slager,Craig Konrardy,Grant Henning,Michael Redmond,Andrew Brierton,Colton Knox,Ben Larison,Jack Strellner,0,7,Sam Acheson-Adams,10,0101122,lf,rf,ss,c,cf,dh/p,1b,3b,2b,David Keaton,NA,Gilson (7-2)
275,"May 19, 2016",,Mundle,Hughes,Ty. Branneky,Cessna,Bohlmann,Ta. Branneky,Strebler,Hager,Bax,0,0,Dickneite,4,000000000,ss,p/rf,3b,1b,cf,rf/p,2b,lf,c,Hughes,westminster college,Westminster College,Hughes (12-2),,9,Y,,"Sauget, IL (GCS Ballpark)",12:00 pm   ,2:00   ,HP: Riggs  1B: Fye  2B: Turngren  3B: Boev,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Zach Hovick,Mike Brown,Tyler Willis,0,8,Austin Bohling,15,000002402,lf,ss,rf,cf,3b,dh,1b,c,2b,Tanner Eckhart,NA,Eckhart (4-0)
75,"May 01, 2016",1,Alex Weber,Czenvic Rojer,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Max Uetz,Jake Halverson,0,4,Ryan LaPage,4,0000211,cf,rf,2b,c,3b,1b,lf,dh,ss,Blake Peterson,"luther college
",Luther College,Peterson (5-1),,7,Y,Mason (3),"Decorah, Iowa (Luther College)",1:00 pm   ,2:00   ,,#23 buena vista univ.,#23 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Tanner Truesdell,Kendall Candor,Bennett Mann,Devin Wagenman,Michael Zellar,Noah Paper,Devon Harms,2,5,Dalton Mason,10,0101102,2b,1b,lf,dh,rf,cf,3b,ss,c,Justin Lange,NA,Onken (4-1)
45,"Apr 12, 2016",2,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Kendall Candor,Devin Wagenman,Noah Paper,Sartor,1,11,Tyson Valentine,11,0012125,2b,c,lf,1b,rf,dh,cf,ss,3b,Tyson Valentine,"buena vista university
",Buena Vista Univ.,"Milne, A",,7,Y,,"Storm Lake, Iowa (BVU/SL BB Field)",6:05pm   ,2:00   ,,"coe college
",Coe College,Craig Konrardy,Kevin DeLaney,Andrew Brierton,Grant Henning,Blake Lishka,Alec Zwanziger,Michael Redmond,Ben Larison,Colton Knox,2,1,Tyler Smith,6,0000010,ss,lf,rf,c,dh,2b,cf,3b,1b,Alex Milne,NA,Valentine
350,"Apr 23, 2016",2,Neil Marshall,Brandon Wessels,Tanner Truesdell,Kendall Candor,Bennett Mann,Devin Wagenman,Michael Zellar,Noah Paper,Devon Harms,2,0,Kendall Hazel,4,000000000,2b,1b,lf,dh,rf,cf,3b,ss,c,Keenan Jones,#23 buena vista univ.,#23 Buena Vista Univ.,Jones (2-3),,9,Y,,"Storm Lake, Iowa (BVU/SL BB Field)",3:45pm   ,1:50   ,HP: Jon Fye  1B: David Boev,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Austin McWhite,Will Doherty,Tyler Lewan,Tyler Imrich,Kyle May,Jacob Evans,Gaetano Florio,0,4,Doug Van Dyke,4,000021001,rf,1b,cf,c,3b,dh,2b,lf,ss,Doug Van Dyke,NA,Van Dyke (8-6)
NA,3/11/2016,NA,Garrett Saunders,Spencer Gritsch,Adam Lindell,Michael Reuter,Noah Stochl,Kyle Crampton,Zach Brown,Seth Griffiths,Jacob Hirst,0,0,Kyle Crampton,4,000000000,ss,2b,rf,c,dh,1b/p,3b,lf,cf,Dakotah Wolken,,central,Dakotah Wolken,,9,NA,"Musielak, Brian","Auburndale, Fla. (Lake Myrtle Park)",9:15 am,2:10,Home Plate: Ron HudsonFirst: Jeff Gould,,concordia-chicago,"VanDuser, Bryan","Massey, Andrew","Wilson, Mitch","Spohr, Brent","Silva, Joe","Roberts, Brady","Matthews, Doug","Davis, Grant","Tyrell, Keegan",2,6,"Musielak, Brian",16,002030100,3b,ss,2b,1b,rf,c,dh,lf,cf/lf,"Palmer, Eric","Partly sunny, breezy, 71","Palmer, Eric"
NA,4/8/2016,NA,Nolan Ritter,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Danny Weis,Michael Muto,Danny Paluch,Luke Leibforth,0,9,Patrick Walsh,12,303020001,ss,rf,3b/p,1b,dh/c,cf,c,lf,2b,Alex Steines,LOR,loras,Beckman,Steines faced 1 batter in the 6th.,9,NA,,"Dubuque, Iowa (Petrakis Park)",2:30 PM,4:00,,LUT,luther,Weber,Silversmith,Opdahl,Knippenberg,Rojer,Hingst,Reimer,Hendrickson,Halverson,1,8,Beckman,10,030023000,cf,ss,2b,c,rf,1b,lf/p,dh,3b,Klingsporn,35 and cloudy,Patrick Walsh
131,"Apr 03, 2016",2,Luke Anctil,Austin Burlin,Bud Smith,Trevor Dudar,Gage Reis,Taylor Harmon,Jonathan Greiner,Hunter Hillygus,Trent Dooley,2,6,Curt Castenson,11,210020010,lf,rf,c,dh,ss,2b,3b,1b,cf,Brock Borgeson,"simpson college
",Simpson College,Borgeson (2-2),,9,Y,Nadermann (1),"Indianola, Iowa (McBride Field)",1:30 pm   ,2:16   ,HP: Nick Willenborg  1B: Ryan Eklund,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Ryan Kemp,Jacob Thumann,Tanner Johnson,Zach Hovick,Milton Croes,Cody Hyler,Tyler Willis,1,8,Gavin Nadermann,15,110220200,lf,ss,cf,rf,3b,1b,dh,c,2b,Parker Bolt,NA,Bolt (2-0)
65,"Mar 11, 2016",2,Alex Weber,Jon Opdahl,Joe Silversmith,Mitch Knippenberg,Zach Hendrikson,Cody Reimer,Max Uetz,Ryan Vijums,Jake Vogt,0,21,Mason Whitham,19,53(12)001X,cf,3b,ss,c,1b,rf,dh,lf,2b,Nate Beckman,"luther college
",Luther College,Valder (0-3),,7,Y,,"Decorah, Iowa (Luther College)",2:00PM   ,2:04   ,,north central (mn),North Central (MN),Kukkola,Justice,Riege,Andrews,Madrinich,Lissick,Valder,Juve,Donohoe,5,0,Lissick,3,0000000,ss,lf,1b,3b,c,rf/p,p,cf/rf,2b,Valder,NA,Beckman (1-0)
,"Mar 25, 2016",1,B. Marquardt,J. Watts,M. Conrad,A. Ledin,L. Anderson,"Horner, S",L. Lisle,R. Evenson,E. Velasco,1,10,M. Bohlke,12,0115300,cf,2b,lf,dh,c,rf,3b,1b,ss,M. Herringsh,"bethel university
",Bethel University,J,,7,Y,s (),"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,"luther college
",Luther College,Alex Weber,Jake Halverson,Jon Opdahl,Mitch Knippenberg,Czenvic Rojer,Joe Silversmith,Bryce Hingst,Zach Hendrikson,Cody Reimer,3,11,Jake Halverson,15,4103030,cf,3b/p,2b/3b,c,rf,ss,1b,dh,lf,Teddy Klingsporn,NA,Halverson (1-0)
NA,4/25/2016,NA,Garrett Saunders,Spencer Gritsch,Ryan Bouwman,Kyle Crampton,Michael Reuter,Kolby Reed,Jacob Hirst,Noah Stochl,Zach Brown,1,5,Spencer Gritsch,11,0032000,ss,lf/p,c,1b,dh,rf,cf,2b,3b,Billy Coppage,,central,Billy Coppage,Coppage faced 5 batters in the 4th.,7,NA,,"Pella, Iowa (Kuyper Athl. Complex)",2:15p.m.,2:21,Home Plate: Michael KellyFirst: Josh Mara,,st. thomas,Waylon Bemboom,Jake Smith,Dan Ziemman,Cory Quinlan,Ben Waltz,Brady Johnson,Chad Clute,Keller Knoll,Zach Gottfredsen,1,8,Matt Behounek,11,0035000,lf,cf,rf,1b,dh,ss,3b,c,2b,Kasey Ralston,"74 degrees, 17 MPH WSW winds",Ian Schwickert
180,"Apr 02, 2016",2,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Kendall Candor,Devin Wagenman,Sartor,Noah Paper,1,6,Wes Onken,7,20103000X,2b,c,lf,1b,rf,dh,cf,3b,ss,Jacob Hadaway,#25 buena vista univ.,#25 Buena Vista Univ., (2-0),,9,Y,Schwind (1-3),"Storm Lake, Iowa (BVU/SL BB Field)",4:25pm   ,2:00   ,HP: Mark Harris  1B: Cory Spangl,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Austin Konagel,Nolan Ritter,Danny Paluch,2,4,Aidan Wojciehowski,8,000103000,cf,dh,3b,1b,c,lf,2b,ss,rf,Brad Schwind,NA,J
114,"Mar 24, 2016",1,Alex Weber,Jake Halverson,Jon Opdahl,Mitch Knippenberg,Czenvic Rojer,Cody Reimer,Zach Hendrikson,Jake Vogt,,3,5,Collin Nimrod,8,10101000011,cf,ss,3b,c,rf,lf,1b/lf,2b,,Joe Silversmith,"luther college
",Luther College,J,,11,Y,,"Tucson, Ariz. (Kino Sports Complex)",11:00 am   ,3:17   ,,"oberlin college
",Oberlin College,J. Cruz,B. Carney,I. Dinsmore,Dolcemaschio,J. Reynolds,J. Brewster,Q. Butler,D. Martin,B. Hemmert,4,4,J. Sawhill,10,10101000010,cf,rf,ss,dh/c,lf,3b,1b,2b/3b,c,M. Camps,NA,Nimrod
NA,4/23/2016,NA,Petry,Burlin,Reis,Hillygus,Smith,Dooley,Greiner,Harmon,Luther,2,7,Englehardt,10,010000014001,ss/3b,rf,dh,1b,c,cf,3b,2b,lf,Sickels,SIM,simpson,Tyler Tomaka,Sickels faced 2 batters in the 5th.,12,NA,,"Indianola, Iowa (McBride Field)",3:36 pm,3:05,Home Plate: Danny DuskinFirst: Michael Kelly,LOR,loras,Austin Konagel,Luke Leibforth,Tony Heiser,Ryan Koester,Patrick Walsh,Thomas Johnson,Michael Muto,Danny Paluch,Nolan Ritter,0,6,Matt Greene,10,002100003000,3b,2b,rf,1b,dh,lf,c,cf,ss,Brad Schwind,"73, sunny, S at 17",Englehardt
99,"Apr 15, 2016",2,Neil Marshall,Brandon Wessels,Tanner Truesdell,Devin Wagenman,Bennett Mann,Kendall Candor,Michael Zellar,Noah Paper,Devon Harms,2,6,Dalton Mason,9,230000100,2b,1b,lf,cf,rf,dh,3b,ss,c,Jake Lewis,"buena vista university
",Buena Vista Univ.,Onken (1-1),,9,Y,Wolken (1),"Storm Lake, Iowa (BVU/SL BB Field)",5:30pm   ,2:30   ,HP: Ronald Acuna  1B: Michael Kelly,"central college
",Central College,Garrett Saunders,Spencer Gritsch,Ryan Bouwman,Michael Reuter,Ryan Garrett,Noah Stochl,Adam Lindell,Zach Brown,Jacob Hirst,2,7,Dakotah Wolken,13,200210200,ss,lf,dh,c,1b,2b,rf,3b,cf,Charlie Palmer,NA,Palmer (2-0)
40,"Mar 31, 2016",,Takayesu,Penaflor,Galanek,Fisher,Hammond,Godinsky,Anth. Mack,Slattery,Wong,2,11,Godinsky,18,22023101X,ss,lf,1b,dh,c,rf/p,cf,3b,2b,Carr,"grinnell college
",Grinnell,Englehardt (0-1),,9,Y,,"Grinnell, Iowa (Pioneer Park)",1:15 pm   ,2:00   ,HP: Michael Kelley  1B: Dean Kirkpatrick,"simpson college
",Simpson College,Luke Anctil,Austin Burlin,Bud Smith,Trevor Dudar,Gage Reis,Taylor Harmon,Jonathan Greiner,Hunter Hillygus,Trent Dooley,2,5,Trevor Dudar,10,320000000,lf,rf,c,dh/p,ss,2b,3b,1b,cf,Daultan Gibson,NA,Carr (2-0)
200,"Apr 19, 2016",1,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Milton Croes,Mike Brown,Robbie Anstoetter,Tyler Willis,1,1,Austin Bohling,7,0100000000,3b,ss,1b,rf,cf,dh,c,lf,2b,Shane Chafa,#26 wartburg college,#26 Wartburg College,Bohling,,10,Y,Peterson,"Waverly, Iowa (Hertel Field)",3:30 pm   ,2:06 hr   ,HP: Aaron Perez  1B: Jason Kra,"luther college
",Luther College,Alex Weber,Czenvic Rojer,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Zach Hendrikson,Jake Halverson,1,2,Blake Peterson,6,0100000001,cf,rf,2b/3b,c,3b/ss,1b,lf,dh,ss,Nate Beckman,NA,Beckman
19,"Apr 08, 2016",2,Gaetano Florio,Dalton Garst,Austin McWhite,Tyler Lewan,Jacob Evans,Tyler Imrich,Will Doherty,Kyle May,Eric Hall,1,5,Derek Erwin,5,00030002X,ss,3b,1b,dh,rf,lf,c,2b,cf,Reed Stumpf,"dubuque, univ. of","Dubuque, Univ. of",Sickels,,9,Y,,"Dubuque, Iowa (UD Baseball Field)",4:50 pm   ,2:45   ,HP: Paul Keitel  1B: Kevin F,"simpson college
",Simpson College,Trent Dooley,Austin Burlin,Bud Smith,Gage Reis,Jonathan Greiner,Sawer Ocheltree,Taylor Harmon,Hunter Hillygus,Luke Anctil,1,2,Curt Castenson,10,000000110,cf,rf,c,ss,3b,dh,2b,1b,lf,Jalen Sickels,NA,Stumpf
350,"Mar 12, 2016",,Miller,Ferlita,Celata,Fish,Mink,Dearden,M. Davis,Selochan,Araujo,1,4,Thigpen,7,001011001,lf,3b,c,rf,1b,2b,dh,ss,cf,Powell,oglethorpe,Oglethorpe,Judkins,,9,Y,,"Auburndale,Fla. (Lake Myrtle Park #1)",9:15 AM   ,2:15   ,,"central college
",Central College,Garrett Saunders,Adam Lindell,Michael Reuter,Noah Stochl,Zach Brown,Spencer Gritsch,Ryan Garrett,Seth Griffiths,Dakotah Wolken,1,3,Blake Judkins,8,000002010,3b,rf,c,ss,1b,2b,dh,cf,lf,Dylan Diveney,NA,Thigpen
78,"Mar 15, 2016",2,Schubert,Szeszol,Thyssen,Dubnicka,Thomas,Van Ells,Ranieri,Paz,Mathiebe,1,4,Magdziarz,7,011020X,ss,rf,lf,dh,c,3b,2b,1b,cf,Schuman,concordia wisconsin,Concordia Wisconsin,Stumpf (1-1),,7,Y,Magdziarz (1),"Tucson, Ariz. (Kino Sports Complex)",12:55 pm   ,1:25   ,HP: Brian Hodgson  1B: Rhonda Paul,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Will Doherty,Austin McWhite,Jacob Evans,Eric Hall,Tyler Lewan,Kyle May,Ryan Karrick,1,2,Reed Stumpf,6,0001010,dh,1b/3b,c,rf,lf,cf,3b,2b,ss,Reed Stumpf,NA,Schuman (1-0)
140,"Mar 11, 2016",,Garrett Saunders,Spencer Gritsch,Adam Lindell,Michael Reuter,Noah Stochl,Kyle Crampton,Zach Brown,Seth Griffiths,Jacob Hirst,0,0,Kyle Crampton,4,000000000,ss,2b,rf,c,dh,1b/p,3b,lf,cf,Dakotah Wolken,"central college
",Central College,(1-0),,9,Y,Wolken (0-1),"Auburndale, Fla. (Lake Myrtle Park)",9:15 am   ,2:10   ,HP: Ron Hudson  1B: Jeff Gould,"concordia university chicago
",Concordia-Chicago,B. VanDuser,A. Massey,M. Wilson,B. Spohr,J. Silva,B. Roberts,D. Matthews,G. Davis,K. Tyrell,2,6,B. Musielak,16,002030100,3b,ss,2b,1b,rf,c,dh,lf,cf/lf,E. Palmer,NA,E
65,"Mar 11, 2016",1,Alex Weber,Jon Opdahl,Joe Silversmith,Mitch Knippenberg,Ryan Vijums,Zach Hendrikson,Cody Reimer,Bryce Hingst,Jake Halverson,1,8,Teddy Klingsporn,8,152000X,cf,2b,ss,c,lf,dh,rf,1b,3b,Teddy Klingsporn,"luther college
",Luther College,Riege (0-3),,7,Y,,"Decorah, Iowa (Luther College)",12:00 pm   ,1:35   ,,north central (mn),North Central (MN),Kukkola,Justice,Riege,Andrews,Madrinich,Lissick,Valder,Juve,Donohoe,0,0,Riege,1,0000000,ss,c,p,1b,lf,3b,cf,rf,2b,Riege,NA,Klingsporn (1-0)
,"Apr 03, 2016",1,Luke Anctil,Austin Burlin,Bud Smith,Trevor Dudar,Gage Reis,Taylor Harmon,Jonathan Greiner,Hunter Hillygus,Trent Dooley,4,2,Tyler Englehardt,6,0001100,lf,rf,c,dh,ss,2b,3b,1b,cf,Jalen Sickels,"simpson college
",Simpson College,Sickels (0-1),,7,Y,,"Indianola, Iowa (McBride Field)",11:01 am   ,2:06   ,HP: Ryan Ecklund  1B: Nick Willenburg,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Ryan Kemp,Jacob Thumann,Milton Croes,Tanner Johnson,Zach Hovick,Mike Brown,Tyler Willis,1,13,Taylor Gilson,16,0204043,lf,ss,cf,rf,dh,3b,1b,c,2b,Taylor Gilson,NA,Gilson (3-2)
213,"Apr 23, 2016",2,Jacob Petry,Austin Burlin,Gage Reis,Hunter Hillygus,Bud Smith,Trent Dooley,Jonathan Greiner,Taylor Harmon,Trevor Luther,2,7,Tyler Englehardt,10,010000014001,ss/3b,rf,dh,1b,c,cf,3b,2b,lf,Jalen Sickels,"simpson college
",Simpson College,Wojciehowski (1-2),,12,Y,,"Indianola, Iowa (McBride Field)",3:36 pm   ,3:05   ,HP: Danny Duskin  1B: Michael Kelly,"loras college
",Loras College,Austin Konagel,Luke Leibforth,Tony Heiser,Ryan Koester,Patrick Walsh,Thomas Johnson,Michael Muto,Danny Paluch,Nolan Ritter,1,6,Matt Greene,10,002100003000,3b,2b,rf,1b,dh,lf,c,cf,ss,Brad Schwind,NA,Englehardt (1-1)
200,"Apr 09, 2016",2,Blake Mahoney,Clay Henning,Zach Hovick,Tanner Johnson,Ryan Kemp,Jacob Thumann,Milton Croes,Mike Brown,Tyler Willis,1,8,Chris Tomkins,9,00500201X,lf,ss,1b,3b,cf,rf,dh,c,2b,Parker Bolt,"wartburg college
",Wartburg College,J,,9,Y, (2-1),"Waverly, Iowa (Hertel Field)",  ,  ,,#18 buena vista univ.,#18 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Devin Wagenman,Noah Paper,Steim,Devon Harms,3,0,Tyson Valentine,4,000000000,2b,1b,lf,dh,rf,cf,ss,3b,c,Jacob Hadaway,NA,Bolt (3-0)
100,"Mar 25, 2016",,Garrett Saunders,Noah Stochl,Adam Lindell,Kyle Crampton,Michael Reuter,Seth Griffiths,Dylan Diveney,Spencer Gritsch,Jacob Hirst,1,2,Kyle Crampton,3,000002000,3b,ss,rf,1b/p,c,lf,dh,2b,cf,Matt Schissel,"central college
",Central College,(2-1),,9,Y,Schissel (0-2),"Pella, Iowa (Kuyper Athl. Complex)",2:30 pm   ,2:20   ,HP: Jason Kramer  1B: Brett Miell,augsburg (minn.),Augsburg (Minn.),B.Schmahl,B.Brookshaw,J.Marlowe,B.Pruszinske,E.Olheiser,A.Julkowski,M.Brookshaw,J.Dittman,J.DeCroock,2,8,S.Piette,14,100000241,cf,ss,1b,lf,3b,dh,2b,c,rf,J.Brandt,NA,J
75,"Apr 25, 2016",1,Garrett Saunders,Spencer Gritsch,Ryan Bouwman,Kyle Crampton,Michael Reuter,Kolby Reed,Jacob Hirst,Noah Stochl,Zach Brown,1,5,Spencer Gritsch,11,0032000,ss,lf/p,c,1b,dh,rf,cf,2b,3b,Billy Coppage,"central college
",Central College,er (1-0),,7,Y,Coppage (1-1),"Pella, Iowa (Kuyper Athl. Complex)",2:15p.m.   ,2:21   ,HP: Michael Kelly  1B: Josh Mara,#10 st. thomas,#10 St. Thomas,W. Bemboom,J. Smith,D. Ziemann,C. Quinlan,B. Waltz,B. Johnson,C. Clute,K. Knoll,Z. Gottfreds,1,8,M. Behounek,11,0035000,lf,cf,rf,1b,dh,ss,3b,c,2b,K. Ralston,NA,I
