attendance,date,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
150,"Apr 22, 2016",2,Neil Marshall,Brandon Wessels,Tanner Truesdell,Kendall Candor,Bennett Mann,Devin Wagenman,Michael Zellar,Noah Paper,Devon Harms,1,5,Dalton Mason,7,11100200X,2b,1b,lf,dh,rf,cf,3b,ss,c,Jacob Hadaway,#23 buena vista univ.,#23 Buena Vista Univ., (4-1),,9,Y,Padilla (7-5),"Storm Lake, Iowa (BVU/SL BB Field)",6:00pm   ,2:00   ,HP: David Boever  1B: Jon Fy,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Austin McWhite,Will Doherty,Thomas Kempf,Jacob Evans,Tyler Lewan,Tyler Imrich,Ryan Karrick,2,3,Brian Sholty,8,020000010,rf,3b,cf,c,1b,lf,2b,dh,ss,Jacob Padilla,NA,J
423,"Apr 23, 2016",2,Craig Konrardy,Kevin DeLaney,Michael Redmond,Andrew Brierton,"Urban, Dan",Grant Henning,Brandt Ames,Ben Larison,Jack Strellner,5,5,Alex Milne,11,20000003000,ss,lf,cf,rf,dh,c,1b,3b,2b,Ben Jacobson,"coe college
",Coe College,,,11,Y,"Milne, A","Cedar Rapids, Iowa (Bill Quinby Field)",3:35 pm   ,2:40   ,HP: Eric Thornton  1B: Dennis Schroed,"luther college
",Luther College,Alex Weber,Czenvic Rojer,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Max Uetz,Jake Halverson,0,6,Mason Whitham,13,10020011001,cf,rf,2b,c,3b,1b,lf,dh,ss,Teddy Klingsporn,NA,"Whitham, M"
125,"Mar 07, 2016",,Grannis,Bill,Walker,Schaefer,Thompson,Dillavou,Bartos,Veness,Gardner,3,5,Nordlund,6,000111011,ss,cf,3b,dh,2b,lf,rf,c,1b,Pfister,marian (wi),Marian (WI),Sorenson (0-1),,9,Y,,Winter Haven (Upper Field),9:00   ,2:21   ,,"wartburg college
",Wartburg College,Blake Mahoney,Tyler Willis,Milton Croes,Samuel Van Fleet,Ryan Kemp,Jacob Thumann,Zach Hovick,Mike Brown,Clay Henning,5,4,Andy Sorenson,9,200100010,lf,2b,1b,dh,cf,rf,3b,c,ss,Tanner Eckhart,NA,Nordlund (1-0)
NA,3/5/2016,NA,Cody Williams,Reid Bonner,Jimmy Lizarraga,Tarran Beasley,Noah Dostal,Colten Jourdan,Devin Holmes,Ian Fitzsimmons,Ricardo Baida,4,3,Michael Hackett,8,02000001X,cf,2b,c,1b,dh,lf,ss,rf,3b,Cale Henke,,mt. mercy,Brad Schwind,,9,NA,,"Pleasant Hill, Iowa (Southeast Polk HS)",1:00 PM,,,LOR,loras,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Luke Leibforth,Danny Paluch,Nolan Ritter,1,2,Brad Schwind,3,000100100,cf,dh,3b,1b,c,lf,2b,rf,ss,Alex Steines,42 10mph winds,Cody Bell
125,"Apr 08, 2016",2,Garrett Saunders,Spencer Gritsch,Noah Stochl,Ryan Bouwman,Ryan Garrett,Adam Lindell,Kyle Crampton,Zach Brown,Jacob Hirst,1,4,Billy Coppage,7,000101002,ss,lf,2b,c,1b,rf,dh,3b,cf,Matt Schissel,"central college
",Central College,"Robbins, L",,9,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3:30 p.m   ,2:20   ,HP: Dean Kirkpatrick  1B: Aaron Perez,"coe college
",Coe College,Craig Konrardy,Kevin DeLaney,Andrew Brierton,Grant Henning,Michael Redmond,Blake Lishka,Ben Jacobson,Ben Larison,Alec Zwanziger,3,3,Lucas Robbins,6,010200000,ss,lf,rf,c,cf,dh,1b,3b,2b,Zach Kammin,NA,Coppage (1-0)
NA,3/24/2016,NA,Danny Weis,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Michael Muto,Luke Leibforth,Danny Paluch,Nolan Ritter,1,10,Brad Schwind,15,00400051X,cf,3b,1b,dh,lf,c,2b,rf,ss,Alex Steines,,loras,Robert Negron,,9,NA,,"Auburndale, Fla. (Lake Myrtle Park)",10:30 AM,2:21,,,mt. st. vincent,Craig Weber,Keith Schroeher,Matt Nesesohn,Keith Brodesser,Steven Giustino,Michael Kochen,Luis Alvarado,Xavier Ruiz,Joe Senisi,1,1,Siddeeq Ali,4,100000000,lf,2b,cf,1b,c,rf,dh,ss,3b,Robert Negron,85 / Cloudy,Alex Steines
60,"Mar 21, 2016",,Korosic,DiMaso,Helmich,Hero,Wade,Rave,Kaprelian,Knoespel,Farley,2,13,Pedrak,16,00322204X,cf,rf,1b,dh,3b,2b,c,lf,ss,Cibrario,#41 carthage,#41 Carthage,Lewis (0-1),2016 Tucson Invitational...Brandon Hrdlicka replaced Kyle Cibario with acount of 2-0...Carthage catcher A.J. Kaprelian and Carthage coach AugieSchmidt IV were both ejeected in the top of th seventh inning.Cibrario faced 1 batter in the 6th.Hrdlicka faced 5 batters in the 7th.,9,Y,,"Tucson, Ariz. (Kino Complex #4)",10:58 am   ,3:20   ,HP: John Anderson  2B: Del Blunk,"buena vista university
",Buena Vista Univ.,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Devin Wagenman,Kolby Hilgenberg,Sartor,Noah Paper,4,8,Charlie Ruff,6,000000503,2b,c,lf,1b,rf,cf,dh,3b,ss,Jake Lewis,NA,Cibrario (1-0)
150,"Apr 03, 2016",1,Garrett Saunders,Noah Stochl,Ryan Bouwman,Adam Lindell,Michael Reuter,Ryan Garrett,Spencer Gritsch,Kyle Crampton,Jacob Hirst,3,1,Mark Schroeder,6,0001000,lf/3b,ss,1b/c,rf,c,3b/1b,2b,dh,cf,Dakotah Wolken,"central college
",Central College,Wolken (0-2),,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,1:45   ,,"luther college
",Luther College,Alex Weber,Jake Halverson,Jon Opdahl,Mitch Knippenberg,Czenvic Rojer,Joe Silversmith,Bryce Hingst,Zach Hendrikson,Cody Reimer,0,3,Nate Beckman,5,0011001,cf,3b,2b,c,rf,ss,1b,dh,lf,Nate Beckman,NA,Beckman (3-0)
NA,4/25/2016,NA,Garrett Saunders,Spencer Gritsch,Ryan Bouwman,Kyle Crampton,Michael Reuter,Kolby Reed,Chris Riddle,Jacob Hirst,Ryan Garrett,1,4,Frankie Mauro,8,000130X,ss,lf,1b,dh,c,rf,2b,cf,3b,Frankie Mauro,,central,Ty Feyereisen,T. Feyereise faced 2 batters in the 5th.,7,NA,,"Pella, Iowa (Kuyper Athl. Complex)","5:00 p,m",2:10,Home Plate: Josh MaraFirst: Michael Kelly,,st. thomas,Waylon Bemboom,Jake Smith,Dan Ziemman,Cory Quinlan,Brady Johnson,Hunter Hart,Mark Handberg,Keller Knoll,Zach Gottfredsen,1,3,B. Meyer,10,2000001,lf,cf,rf,1b,ss,dh,3b,c,2b,Ty Feyereisen,"76 degress, 15 MPH WSW winds",Frankie Mauro
150,"Mar 10, 2016",1,Trent Dooley,Gage Reis,Trevor Dudar,Bud Smith,Austin Burlin,Hunter Hillygus,Jonathan Greiner,Taylor Harmon,Luke Anctil,1,1,Sawer Ocheltree,7,0000010,cf,ss,dh,c,rf,1b,3b,2b,lf,Daultan Gibson,"simpson college
",Simpson College,Gibson (0-2),,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",10:00 am   ,2:00   ,,"bethany lutheran
",Bethany Lutheran,Harris,Kneeland,Caldeen,Quame,Saharek,Montbriand,Eichten,Grams,,3,15,Babcock,16,4016220,cf,c,3b,1b,rf,lf,ss,2b/ss,,Zentzis,NA,Zentzis (1-1)
