attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
110,"Mar 08, 2010",coeben,,Nick Stein,NA,Adam Nisenson,Pat Richmond,Ryan Schisler,Ryan Velvick,Kevin Schuver,Spencer Sobba,Jacob Schwind,Scott DeAngelis,2,3,Ben Strellner,5,000030000,cf,NA,rf,1b,lf,ss,dh,3b,c,2b,Kevin Baranowski,"coe college
",Coe College,Kevin Baranowski,,9.0,Y,,"Winter Haven, Fla. (Chain of Lakes)",11:30 am   ,2:50   ,,benedictine (ill.),Benedictine (Ill.),Karakosta,NA,DeMartino,Zenawick,Hendricks,Miglio,Gindville,Ross,McMeen,Leroy,1,7,Cottier,10,040000003,ss,NA,2b,rf,lf,c,3b,dh,cf,1b,Callahan, 70 degrees and Sunny,Callahan
100,"Mar 14, 2010",bvuwcmo1,1,Gibbs,NA,Genetti,Jett,Reynolds,White,Beasley,Zeigler,Young,Lincalis,2,2,Zucker,5,0001010,ss,NA,2b,lf/1b,rf,3b,dh,1b,cf,c,Davidson,westminster (mo.),Westminster (Mo.),Davidson,,7.0,Y,,"Fulton, Mo. (Saucier Field)",1:10   ,2:10   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,NA,Andy Compton,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Ryan Scheetz,Brett Wilson,Mark Blum,Michael Stephenson,0,8,James Stone,10,3400010,ss,NA,rf,cf,lf,c,dh,3b,1b,2b,Ryan Wuebker,,Ryan Wuebker
41,"Apr 05, 2010",lutsmum1,1,Ryan,NA,Warren,Swanson,Olberding,Swenson,C. Bogie,Tessmer,Geraghty,O'Neill,1,1,Dahlstrom,6,0001000,ss,NA,cf,c,3b,rf,1b,lf,2b,dh,Dwyer,saint mary's (minn.),Saint Mary's (Minn.),Dwyer,,7.0,Y,,"Winona, Minn. (Max Molock Field)",2:30   ,1:45   ,,"luther college
",Luther College,Jeff Riddle,NA,Chris Reynolds,Ben Schott,Mark Weber,Ryan Bahnemann,Matthew Bruhn,Joe Thompson,Steve Beckman,Kevin Bradley,1,6,Greg Siems,8,1001004,2b,NA,dh,1b,lf,3b,cf,rf,ss,c,Greg Siems," Sunny, 60s",Greg Siems
100,"Mar 10, 2010",wartcnj,,Collin Frampton,NA,Danny Rose,Patrick Grau,Drew Yoder,Nate Lahr,Billy Schmitt,Matt Knabel,Ben Roemmich,Steve Chamberlin,2,5,Ryan Doty,7,00110012X,3b,NA,ss,cf,1b,lf,dh,c,rf,2b,Dan Grosser,"wartburg college
",Wartburg College,R. Graber,,9.0,Y,,"Chandler, AZ",4:00 pm   ,2:35   ,,the college of nj,The College of NJ,J. Zegarski,NA,S. Kelly,C. Esperon,Galeotafiore,N. Cifelli,R. Anzelone,T. Wile,M. Murphy,A. Palmiotto,1,3,R. Graber,9,000002100,ss,NA,2b,lf,c,3b,1b,dh,rf,cf,E. Lewis," Sunny, 60 degrees",Ryan Doty
,4/5/2010,loruchi,,Osman,NA,Cinoman,Williams,Callahan,Lopez,Serpico,Capps,Oium,Fazzari,1,5,Garcia,9,011010101,cf,NA,lf/cf,c,dh,3b,ss,1b,rf,2b,Garcia,"university of chicago
",Univ. of Chicago,Eric Rife,,9.0,Y,,"Chicago, Ill. (J.Kyle Anderson)",  ,  ,,"loras college
",Loras College,Ben Kuebel,NA,Clay Henricksen,John Schroeder,BJ Juergens,Calvin Rea,Kyle Barton,Kyle Soeder,Mike Canevello,Kevin Harlander,6,4,Spencer Radabaugh,7,010003000,3b/ss,NA,dh,c,1b,lf,2b,rf,ss,cf,Kevin Moriarity,,Garcia
148,"Mar 20, 2010",lutncc1,1,Chris Reynolds,NA,Steve Beckman,Mark Weber,Zack Topping,Ben Schott,Joe Thompson,Mitchel Obey,Ryan Bahnemann,Matthew Bruhn,1,3,Augie Lindmark,7,201000X,2b,NA,ss,dh,c,1b,rf,lf,3b,cf,Jeff Riddle,"luther college
",Luther College,Kloss,,7.0,Y,,"Winter Haven, FL (Chain O'Lakes #3)",1:30 pm   ,1:50   ,,"north central
",North Central,Robinson,NA,Scott,Abraham,Corrigan,Turek,Wulbecker,McGowan,Burke,Daniels,1,2,Kloss,9,0000020,ss,NA,cf,rf,c,dh,1b,lf,2b,3b,Kloss,,Jeff Riddle
417,"May 15, 2010",iiacbb09,,Ben Roemmich,NA,Danny Rose,Patrick Grau,Drew Yoder,Billy Schmitt,Nate Lahr,Ryan Doty,Jacob Miksell,Steve Chamberlin,0,6,Scott Benson,12,03010110X,rf,NA,ss,cf,dh,1b,lf,3b,c,2b,Scott Benson,"wartburg college
",Wartburg College,Clint Rhodes,,9.0,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",6:01 pm   ,1:41   ,HP: Ryan Myers  1B: Paul Keitel  3B: Mike Gan,"simpson college
",Simpson College,Corey Rasmussen,NA,Dave Johnson,Scott Ethell,Colton Calvert,Tyler Crandell,Drew Yarkosky,Justin Svehla,Ethan Hale,Zach Smith,1,3,Kyle Hanna,8,000002001,cf,NA,ss,3b,rf,lf,c,1b,2b,dh,Clint Rhodes," 69, Cloudy, Winds SE at 4 mph",Scott Benson
100,"Apr 17, 2010",cenlut2,1,Mike Furlong,NA,Ben Tressel,Caleb Rangel,Jarred Lackey,Ryan Allison,Anthony Miller,Blake Smith,Jason Hassman,Allen Mann,0,5,Joel Pulliam,7,020021X,ss,NA,2b,dh,rf,lf,3b,c,1b,cf,Joel Pulliam,"central college
",Central College,Cody Hyland,,7.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,1:35   ,HP: Pat McIlhon  1B: Kevin Bensing,"luther college
",Luther College,Jeff Riddle,NA,Chris Reynolds,Ben Schott,Zack Topping,Mark Weber,Steve Beckman,Ryan Bahnemann,Joe Thompson,Kevin Bradley,1,1,Cody Hyland,3,1000000,2b,NA,cf,1b,dh,lf,ss,3b,rf,c,Cody Hyland,,Joel Pulliam
85,"Mar 31, 2010",lutmlc2,2,Jeff Riddle,NA,Chris Reynolds,Ben Schott,Zack Topping,Mark Weber,Mitchel Obey,Ryan Bahnemann,Steve Beckman,Matthew Bruhn,2,13,Augie Lindmark,15,038110X,dh,NA,2b,1b,c,lf,rf,3b,ss,cf,Danny Smith,"luther college
",Luther College,Schmeling,,7.0,Y,,"Decorah, IA (Luther College)",3:50   ,2:00   ,,martin luther,Martin Luther,Holzhueter,NA,Dorn,Schultz,Morgan,Hering,Gurgel,Briney,Blum,Korth,2,1,Brenner,4,0001000,ss,NA,1b,cf,dh,c,rf,2b,3b,lf,Schmeling,,Danny Smith
115,"Apr 18, 2010",coegrn,,Takabuki,NA,Goldfien,Roder,Nodzenski,Suryn,Sollo,Gray,Kemis,Skelly,0,3,Christoff,7,010100010,2b,NA,ss,rf,dh,lf,3b,1b,c,cf,Peconga,"grinnell college
",Grinnell College,Peconga,,9.0,Y,,"Grinnell, Iowa (North Diamond)",3:05 pm   ,2:26   ,,"coe college
",Coe College,Nick Stein,NA,Adam Nisenson,Pat Richmond,Ryan Schisler,Kevin Schuver,Kaileb Armbruster,Ryan Velvick,Jacob Schwind,Scott DeAngelis,3,8,Sean Raisch,14,110111120,cf,NA,rf,1b,lf,dh,3b,ss,c,2b,Ben Strellner,,Ben Strellner
