attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
100,03-05-04,lormse1,1,Chet Medinger,Bobby Bibeau,Tom Andrews,Ryan Von Haden,Dustin Roth,Eric Gold,Brad Hingtgen,Jesse Freiberger,Greg Williams,2,4,Ryan Von Haden,8,0101002,cf,2b,3b,p,ss,1b,c,rf,lf,Ryan Von Haden,"loras college
",Loras,HENDRICK (),,7.0,Y,,"Tampa, Fla. (Univ. of Tampa)",1:00pm   ,2:15   ,,milwaukeeengineering,MilwaukeeEngineering,THOMPSON,SABEL,HOPPERT,HANSEN,NORDLING,HAROLDSON,O'KEEFE,Kuhlmeier,Gross,2,3,MARCUNIST,8,1002000,lf,3b,dh,1b,c,ss,2b,cf,rf,HENDRICK,Von Haden (1-0)
83,"Apr 25, 2004",coebvu1,1,Brian Ricken,Alex Fokken,Ben Lickteig,Mike Soenen,Derek Fink,Matt Reichle,Kent Bass,Cory Kennedy,Dan Nuehring,3,18,Adam Rath,12,620730X,ss,rf,1b,cf,3b,dh,lf,ph,2b,Adam Rath,"buena vista university
",Buena Vista Univ.,Hauck,,7.0,Y,,"Storm Lake, Iowa (SLHS)",2 p.m.   ,2:03   ,,"coe college
",Coe College,Eric Hemesath,Travis Wiltgen,Tim Higgins,Chad Kramer,Will Renner,Jon Schroeder,Nathan Dlouhy,Josh Schauf,Ryan Smuck,5,5,Quince Springer,8,0002003,lf,cf,2b,dh,1b,rf,3b,c,ss,Tom Hauck,Rath
40,04-22-04,corlor2,2,Chet Medinger,Bobby Bibeau,Ryan Von Haden,Eric Gold,Tom Andrews,Jesse Freiberger,Kris Thomas,Rob Rossi,Tom Sieverding,1,6,Ryan Von Haden,11,200013X,cf,2b,p,1b,rf,lf,3b,c,ss,Ryan Von Haden,"loras college
",Loras,Melander,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",5:35   ,1:50   ,HP: Gleason  1B: Wilson,"cornell college
",Cornell,Pat Block,Danny Love,Ricky Legree,Todd Reichart,Nate Eichmeyer,Drew Simonis,Justin Mashburn,Joey Campanelli,Adam Hadenfeldt,1,4,Ryan Williams,9,0011011,cf,ss,3b,dh,1b,rf,2b,c,lf,Dan Cleary,Von Haden
150,"May 16, 2004",coesim-,,Grant Fjetland,Troy Hatten,Dan Rieck,Joey Young,Mike Donnenwerth,Chris Beall,Chris Cyronek,Brett Murphy,James Brown,1,10,JD Hews,15,11101060X,2b,cf,c,lf,dh,3b,ss,1b,rf,JD Hews,"simpson college
",Simpson College,Larson (4-5),Game 9 of the IIAC Tournament.,9.0,Y,,"Cedar Rapids, IA (Veterans Memorial)",10:05 am   ,2:19   ,HP: Bill Wilson  1B: Jeff Freeze  2B: Scott Behn,"coe college
",Coe College,Travis Wiltgen,Eric Hemesath,Chad Kramer,Tim Higgins,Will Renner,Jon Schroeder,Josh Schauf,Justin Maxwell,Nathan Dlouhy,3,2,Quince Springer,11,000001001,cf,lf,dh,ss,1b,rf,c,2b,3b,Chris Larson,Hews (5-2)
65,"Apr 14, 2004",cendbq2,,Keith Bernard,Cole Lyons,Justin Shepard,Travis Lyons,Joe Hapanionek,Jeremy Rannals,Tim Griffith,Nathan Mozena,Mark Becker,2,6,Ezra O'Heron,13,1210020,ss,3b,c,cf,1b,rf,dh,2b,lf,Joshua Knoll,"university of dubuque
",Univ. of Dubuque,Hapanionek (),,7.0,Y,Mitchell (4),"Dubuque, IA (Chlapaty Field)",  ,  ,,"central college
",Central College,Nate Landas,Pat Johnson,Adam Duerfeldt,Shea Stamp,Steve Gebhart,Kody Wohlers,Tom Sheehan,Austin DeHoogh,Matt Murphy,0,8,Gavin Mitchell,10,0005003,2b,rf,1b,lf,ss,c,dh,cf,3b,Matt Rohach,Borgman (1-3)
175,05-08-04,cenlor1,1,Tom Andrews,Bobby Bibeau,Ryan Von Haden,Chet Medinger,Eric Gold,AJ Sagen,Matt Mausser,Dustin Roth,Ryan Bender,1,3,David Fischer,8,0020100,rf,2b,dh,cf,1b,c,3b,ss,lf,David Fischer,"loras college
",Loras,Fischer,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",1:00 pm   ,2:00   ,,"central college
",Central,Nate Landas,Pat Johnson,Adam Duerfeldt,Shea Stamp,Steve Gebhart,Matt Murphy,Tom Sheehan,Austin DeHoogh,Kody Wohlers,0,7,Matt Rohach,13,0040012,2b,rf,1b,lf,ss,3b,dh,cf,c,Matt Rohach,Rohach
100,03-04-04,lorgmc,,Schultz,DROZDOWSKI,DARBROWSKI,KRIMM,WILLAVER,DROZDOWSKII,McMahon,SEIFFERT,Shalon,1,0,Hager,2,0000000,rf,2b,ss,cf,dh,lf,1b,c,3b,Horning,gwynned-mercy,Gwynned-Mercy,Horning (),,7.0,Y,,"Tampa, Fla. (Univ. of Tampa)",7:00pm   ,2:00   ,,"loras college
",Loras,Chet Medinger,Bobby Bibeau,Tom Andrews,Ryan Von Haden,Dustin Roth,Eric Gold,Aaron Meyer,Brad Hingtgen,Greg Williams,1,10,Tim Cundiff,15,0530020,cf,2b,3b,lf,ss,1b,dh,c,rf,Tim Cundiff,Cundiff (2-0)
102,"Mar 27, 2004",coraug2,2,"Acosta, Jorg","Vroman, Jake","Phillips, Br","Olson, Kyl","Miguel, Aaro","Barrett, Chr","Nelson, Chri","Cruse, Joe","Boster, Eric",1,8,"Schref, Matt",10,0005012,ss,cf,rf,dh,1b,c,2b,3b,lf,"DeClerck, De","augustana
",Augustana,Williams (0-2),,7.0,Y,,"Moline, IL (Augustana Complex)",3:45 P.M   ,2:04   ,HP: Larry Allen  1B: Todd Bussell,cornell rams,Cornell Rams,Pat Block,Justin Mashburn,Danny Love,Todd Reichart,Nate Eichmeyer,Ricky Legree,Tom Mager,Drew Simonis,Adam Hadenfeldt,3,7,Ryan Williams,9,0100042,cf,2b,ss,c,1b,3b,dh,rf,lf,Eric Melander,"Schref, Matt (1-0)"
200,"Apr.18, 2004",grasim2,2,Troy Hatten,Grant Fjetland,Dan Rieck,Mike Donnenwerth,Chris Beall,Joey Young,Justin Stoulil,Chris Cyronek,Dusty Kain,1,11,Josh August,13,000551X,rf,2b,c,p,3b,lf,1b,ss,cf,Mike Donnenwerth,"simpson college
",Simpson College,Cronk (0-1),Burnell ejected by home plate umpire for arguing a third strike call in thetop of the third inning.,7.0,Y,August (1),"Indianola, IA (McBride Field)",3:40 pm   ,2:03   ,HP: Jason Arends  1B: Joey Townsell,graceland univ.,Graceland Univ.,Kerr,Coccia,Burnell,Vernon,Moe,Betancourt,Belanger,Jurczynski,Baker,6,6,Sears,8,0020202,rf,2b,ss,dh,1b,cf,lf,c,3b,Cronk,Donnenwerth (3-1)
90,"Apr 03, 2004",coecen2,2,Nate Landas,Pat Johnson,Adam Duerfeldt,Shea Stamp,Steve Gebhart,Kody Wohlers,Brett Delaney,Austin DeHoogh,Matt Murphy,3,13,Austin DeHoogh,12,53100031,2b,rf,1b,lf,ss,c,dh,cf,3b,Matt Rohach,"central college
",Central College,James (2-1),,8.0,Y,,Pella (Kuyper Field),4:00   ,2:20   ,HP: Joe Townsell  1B: Heath Bank,"coe college
",Coe College,Travis Wiltgen,Chad Kramer,Tim Higgins,Nathan Dlouhy,Jon Schroeder,Will Renner,Eric Hemesath,Josh Schauf,Ryan Smuck,4,12,Steve James,13,0000(11)100,cf,dh,2b,3b,rf,1b,lf,c,ss,Tom Hauck,DeHoogh (1-2)
100,03-04-04,lorcmc2,,Klabo,S.Johnson,Kangas,Ro.Hebrink,Schumacher,Esala,Worthington,Solum,Barnacle,4,9,Hendricks,10,010260X,lf,rf,c,ss,3b,dh,cf,1b,2b,Hendricks,concordia-moorhead,Concordia-Moorhead,Ludovissy,,7.0,N,,"Tampa, Fla.",3:00   ,2:00   ,,"loras college
",Loras,Chet Medinger,Bobby Bibeau,Tom Andrews,Ryan Von Haden,Dustin Roth,Eric Gold,Aaron Meyer,Jesse Freiberger,AJ Sagen,0,4,James Lagoni,6,0000202,cf,2b,3b,lf,ss,1b,dh,rf,c,Jon Ludovissy,Hendricks
92,"May 01, 2004",uiubvu2,2,Brian Ricken,Joe Poole,Ben Lickteig,Matt Reichle,Mike Soenen,Derek Fink,Dan Nuehring,Cory Kennedy,Kent Bass,3,2,Nick Kafka,6,0010100,ss,cf,1b,dh,rf,3b,2b,c,lf,Jeremiah Knutzen,"buena vista university
",Buena Vista Univ.,Knutzen,,7.0,Y,,"Storm Lake, Iowa (SLHS)",1 p.m.   ,1:42   ,,upper iowa univ.,Upper Iowa Univ.,Weston Burkholder,Curt Shulte,Tony Chavez,Scott Perkins,Scott Mason,Brad Baker,Adam Sires,Jacob Naumann,Dave Manion,1,12,Brandon Bowling,14,1002522,rf,2b,3b,lf,c,dh,cf,ss,1b,Brandon Bowling,Bowling
,Mar 19,lutumb1,1,Tekela,Gonzalez,McGonagle,Mondalto,Stish,Donovan,Waters,King,Stockwell,4,2,Soto,7,1000100,2b,ss,cf,c,dh,3b,rf,1b,lf,Soto,university of boston,University of Boston,Soto (),,7.0,Y,,"Ft. Meyers, FL",  ,  ,,"luther college
",Luther College,David Zelinskas,Matt Cessna,John Jaeger,Steve Lunn,Kyle Pearson,Kyle Schroeder,Brad Paulsrud,Neil Theisen,Brock Reed,2,4,Brad Paulsrud,7,0000301,ss,lf,3b,rf,1b,c,p,2b,cf,Brad Paulsrud,Paulsrud (2-0)
80,"Mar 25, 2004",bvutnt1,,Murray,Hernandez,Foster,Thomas,Veal,Rubpaugh,Montesen,Aa. Disney,Gomez,2,7,Veal,8,3010021,ss,2b,rf,dh,cf,1b,3b,c,lf,An. Disney,tennessee temple,Tennessee Temple,An,,7.0,Y,(),"Chattanooga, TN",12:00 pm   ,2:30   ,,"buena vista university
",Buena Vista Univ.,Joe Poole,Brian Ricken,Ben Lickteig,Mike Soenen,Matt Reichle,Derek Fink,Justin Burns,Kent Bass,Cory Kennedy,2,8,Justin List,12,2000060,cf,ss,1b,rf,3b,2b,dh,lf,c,Dan Reis,Koenecke (1-1)
50,"Apr 06, 2004",mtmcor,,Pat Block,Justin Mashburn,Danny Love,Todd Reichart,Nate Eichmeyer,Ricky Legree,Drew Simonis,Kevin Moses,Adam Hadenfeldt,2,10,Bill Deitch,10,1004401,cf,2b,ss,c,dh,3b,rf,1b,lf,Eric Melander,"cornell college
",Cornell College,Melander,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",5:09 pm   ,1:26   ,HP: Scott Behn  1B: Eric Thornton,mount mercy college,Mount Mercy College,Manson,Russell,Valera,Wessels,Simpson,Perez,Hogg,Grant,Triumph,2,20,Franzenburg,18,2737010,cf,ss,3b,1b,dh,lf,rf,c,2b,Birdsell,Birdsell
