attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
155,"Apr 13, 2013",lutsim2,2,Jake Barr,Brett Crable,Tyler Craig,Tyler Crandell,Ethan Hale,Jake Scieszinski,Michael Chia,Jake Esdohr,Blake Heitmeier,2,7,Matt Pennings,12,3000030001,lf,cf,1b,ss,2b,dh,3b,c,rf,Aaron Young,"simpson college
",Simpson College,Andrew Withers,,10,Y,,"Indianola, Iowa (McBride Field)",4:25 pm   ,2:55   ,HP: Dean Kirkpatrick  1B: Patrick McIlhon,"luther college
",Luther College,Eric Pittman,NA,Aldon Severson,Zach Hendrikson,Mitch Knippenberg,Matt Larson,David Lowe,Andy Briggs,Austen Graham,Zach Lashbrook,3,6,Andrew Withers,10,0030000210,ss,NA,1b,rf/c,dh,lf,3b,cf,2b,c,Danny Smith," Overcast, 51, Wind W 6",Matt Pennings
,"Apr 05, 2013",lorsim1,1,Mike Pudlo,Mike Canevello,Jordan Ries,Patrick Walsh,Alex Rodrigues,Eric DeSousa,Danny Fahlgren,Justin Montalvo,Mark Jablonski,1,4,Adam Schwoebel,8,10002001,ss,dh,lf,1b,2b,3b,c,rf,cf,Adam Schwoebel,"loras college
",Loras College,Matt Pennings,,8,Y,,"Dubuque,Iowa (Petrakis Park)",3:30   ,2:00   ,HP: Matt Moore  1B: Taylor Umland,"simpson college
",Simpson College,Jake Barr,NA,Tyler Crandell,Tyler Craig,Blake Heitmeier,Jake Scieszinski,Jake Esdohr,Ethan Hale,Pedro Rosa,Brett Crable,3,3,Matt Pennings,8,00201000,lf,NA,ss,1b,3b,dh,c,2b,rf,cf,Junior Rodriguez, Sunny and Cool,Adam Schwoebel
197,"Mar 24, 2013",lutober1,1,Robin Witjes,Ryan Blis,Jeff Schweighoffer,Benjamin Whitener,Mike McDonald,Mattie DeDoes,Andrew Hutson,Blaise Dolcemaschio,Kevin Verne,5,0,Tristam Osgood,3,0000000,cf,lf,3b,1b,2b,dh,rf,c,ss,Eric Knight,"oberlin college
",Oberlin College,Eric Knight,,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",11 am   ,2:05   ,,"luther college
",Luther College,Austen Graham,NA,Andy Briggs,Eric Pittman,Matt Larson,Andrew Nelson,Zach Hendrikson,Aldon Severson,Dakotah Rostad,Thomas Weber,1,10,Alex Byom,12,0006004,2b,NA,cf,ss,rf,dh,c,1b,3b,lf,Alex Byom," 78, Sunny, Slight Breeze",Alex Byom
78,"Mar 13, 2013",warsto1,,Andrew Krehbiel,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Clay Emmrich,Michael Schinstock,Levi Montague,0,4,Michael Schinstock,8,1000200001,cf,2b,3b,dh,c,1b,lf,rf/p,ss,Scott Benson,"wartburg college
",Wartburg College,Michael Schinstock,,10,Y,,"Minneapolis, Minn. (HHH Metrodome)",6:56 pm   ,2:34   ,,"st. olaf college
",St. Olaf College,Sam Maus,NA,Nick Kulla,Nick Denn,Jack Schechinger,Jake Schmiesing,Tim Maus,Adam Johnson,Nate Bauer,David Salzwedel,3,5,Joey Voss,10,1001100002,ss,NA,2b,lf,c,cf,3b,1b,rf,dh,Anders Dzurak, Indoors,Joey Voss
356,"Apr 14, 2013",cencoe3,1,Ben Larison,Tanner Beck,Nick Stein,Michael Goerdt,AJ Reuter,Craig Konrardy,Jacob Redman,Patton Hofer,Michael Redmond,1,11,AJ Reuter,13,410033X,ss,2b,cf,lf,1b/p,3b,dh,c,rf,Connor Alberhasky,"coe college
",Coe College,Dirk Lindaman,,7,Y,,"Cedar Rapids, Iowa (Daniels Park)",12:00 pm   ,1:35   ,HP: Gary Hart  1B: Bret Miell,"central college
",Central College,Sam Stetzel,NA,Seth Carson,Robbie Rushing,Adam Ariola,Michael Jontz,Jordan Judkins,Jace Ahrendsen,Andrew O'Toole,Spencer Gritsch,2,5,Dirk Lindaman,7,0030200,cf,NA,1b,dh,3b,lf,ss,c,rf,2b,Dirk Lindaman," 49, Partly Cloudy, 19 mph wind",Connor Alberhasky
190,"Apr 30, 2013",dbqlor4,2,Andy Danna,Spencer Kuehn,Chris Briggs,Michael Riordan,Austin Monfross,Vince Parisi,John Henderson,Aaron Laskowski,,0,5,Landon Klostermann,11,100100003,ss,rf,1b,lf,3b,c,2b,cf,,Nick Martin,"dubuque, univ. of","Dubuque, Univ. of",Lucas Ware,,9,Y,,"Dubuque, Iowa (UD Baseball Field)",3:25   ,2:45   ,HP: E.Olson  1B: M.Shull,"loras college
",Loras College,Mark Jablonski,NA,Mike Pudlo,Mike Canevello,Niko Andriotis,Alex Rodrigues,Eric DeSousa,Connor Reilly,Danny Fahlgren,Justin Montalvo,1,8,Jeremy Gerardy,8,010040120,cf,NA,ss,rf,dh,2b,3b,1b,c,lf,Patrick Walsh," 88, Sunny",Adam Schwoebel
175,"Apr 30, 2013",bvucoe4,2,Weston Foxx,Ryan Scheetz,Joe Paletta,Brandon Wessels,Jesse Munsterman,Dillon Plath,Neil Eddie,Alex Davis,Nick Schlect,0,6,Jake Bjorkgren,12,02202000X,2b,dh,1b,lf,ss,rf,c,3b,cf,Kendall Hazel,"buena vista university
",Buena Vista Univ.,Ben Strellner,,9,Y,,"Storm Lake, Iowa (BVU/SL BB Complex)",3:05pm   ,1:50   ,HP: Aaron Christians  1B: Mark Ha,"coe college
",Coe College,Ben Larison,NA,JD Hunter,Nick Stein,AJ Reuter,Jack Hoffmann,Michael Goerdt,Patton Hofer,Craig Konrardy,Michael Redmond,0,1,Jeremy Santiago,4,000010000,ss,NA,2b,cf,1b,dh,lf,c,3b,rf,Ben Strellner,,Kendall Hazel
110,"Mar 24, 2013",bvucar,,Weston Foxx,Dillon Plath,Joe Paletta,Ryan Scheetz,Brandon Wessels,Jesse Munsterman,Alex Davis,Ryan Titman,Nick Schlect,2,9,Brennan Holm,12,2000006010,2b,rf,1b,dh,c/lf,lf/3b,3b,ss,cf,Scott Harris,"buena vista university
",Buena Vista Univ.,Brennan Holm,,10,Y,,"Tucson, Ariz. (Kino Complex #5)",10:56 am   ,2:26   ,HP: J.J. Riesgo  2B: Josh Surridg,carthage college,Carthage College,Tanner Wensman,NA,Chris Tydd,Kyle Pusateri,Mike Merritt,Marc Mantucca,Brian Huntsinger,Drew Bailey,Nick Schmidlkofer,Mike Pugliese,2,10,Mitch Lochen,17,3020040001,rf,NA,lf,3b,dh,1b,cf,ss,c,2b,Ray Wojciechowski," Sunny and 69, wind N at 2 mph",Mitch Lochen
100,"Apr 26, 2013",dbqwar1,1,Andrew Krehbiel,Ryan Doty,Ryan Powers,Drew Yoder,Clay Emmrich,Levi Montague,Tony Stenberg,Blake Wilson,Michael Schinstock,0,5,Scott Benson,9,000023X,cf,2b,3b,1b,lf,ss,dh,c,rf,Scott Benson,#20 wartburg college,#20 Wartburg College,Spencer Kuehn,,7,Y,,"Waverly, Iowa (Hertel Field)",3:30 pm   ,1:33 hr   ,HP: Josh Mara  1B: Ryan Farnsworth,"dubuque, univ. of","Dubuque, Univ. of",Noah Mahlik,NA,Austin Monfross,Andy Danna,Spencer Kuehn,Chris Briggs,Jordan Gawronski,Kyle Duggan,Nick Martin,Vince Parisi,2,0,Spencer Kuehn,3,0000000,cf,NA,3b,ss,p,1b,rf,lf,2b,c,Spencer Kuehn,,Scott Benson
110,"Apr 21, 2013",dbqlut4,2,Noah Mahlik,Andy Danna,Austin Monfross,Spencer Kuehn,Michael Campbell,Jordan Gawronski,Kyle Duggan,Mitch Windle,Vince Parisi,4,4,Max Nank,7,000011200,cf,ss,2b,rf,3b,dh,lf,1b,c,Tyler Trifiletti,"dubuque, univ. of","Dubuque, Univ. of",Tyler Trifiletti,,9,Y,,"Dubuque, Iowa (UD Baseball Field)",2:00   ,2:55   ,HP: K.Knutti  1B: K.F,"luther college
",Luther College,Eric Pittman,NA,Andy Briggs,Matt Larson,David Lowe,Mitch Knippenberg,Andrew Burgmeier,Brian Paulsrud,Daniel Schoess,Austen Graham,2,9,Matt McKinney,10,042300000,ss,NA,cf,lf,3b,c,dh,1b,rf,2b,Blake Peterson," 45, Cloudy",Blake Peterson
295,"May 10, 2013",iiac5,,Weston Foxx,Nick Schlect,Joe Paletta,Brandon Wessels,Jesse Munsterman,Tanner Truesdell,Ryan Duncan,Alex Davis,Dillon Plath,4,4,Jake Bjorkgren,11,010100200,2b,cf,1b,c/lf,ss,dh,lf,3b,rf,Kendall Hazel,"buena vista university
",Buena Vista Univ.,Kendall Hazel,,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",10:00 am   ,2:30   ,HP: D.Kirkpatrick  1B: P.McIlhon  2B: M.Badeaux,"central college
",Central College,Sam Stetzel,NA,Jordan Judkins,Robbie Rushing,Adam Ariola,Zach Zylstra,Seth Carson,Andrew O'Toole,Jace Ahrendsen,Kirby Coppess,3,11,Ryan Goetzinger,14,021260000,cf,NA,ss,dh,3b,lf,1b,rf,c,2b,Ryan Goetzinger," 52, Cloudy",Ryan Goetzinger
50,"Mar 05, 2013",wariwc2,2,Nathan Strusz,Jeffrey Burdett,Jacob Neilson,Louis Rivera,Brandon Harris,Ryan Daniels,David Barrios,Jacob Scherer,Michael Reed,0,5,Kyle Zicafoose,8,1101002,ss,cf,1b,2b,dh,lf,c,3b,rf,Christian Vigil,iowa wesleyan coll.,Iowa Wesleyan Coll.,Chase Hirschauer,,7,Y,,"Tucson, Ariz.",  ,  ,,"wartburg college
",Wartburg College,Craig Kerper,NA,Andrew Krehbiel,Ryan Powers,Drew Yoder,Tony Stenberg,Jake Raecker,Michael Schinstock,Levi Montague,Jackson Litterer,2,4,Chase Hirschauer,8,0000040,lf,NA,cf,3b,1b,c,dh,rf,ss,2b,Marcus Walczyk,,Kyle Zicafoose
75,"Mar 25, 2013",bvuha,,Dan Moro,Jordan Rubbelke,Mark Radmacher,Dan Ellefson,Tyler Johnson,Matt Connell,Harley Thompson,Joe Rubbelke,Evan Cordell,1,7,Rannon Arch,8,00250000X,rf/lf,ss,c,3b,dh,1b,lf,2b,cf,Zack Brautigam,"hamline university
",Hamline University,Kendall Hazel,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",9:00 am   ,2:35   ,,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Jesse Munsterman,Joe Paletta,Jeremy Lambert,Brandon Wessels,Neil Eddie,Dillon Plath,Ryan Titman,Alex Davis,3,6,Lucas Hadaway,8,000212010,2b,NA,rf,1b,dh,lf,c,cf,ss,3b,Kendall Hazel," Clear, Sunny",Zack Brautigam
88,"Mar 26, 2013",bvusju,,Aaron Pfaff,Alex Powell,Dylan Graves,Luke Larson,Joey Long,Max Forster,Tony Gazich,Kurt Jantscher,,2,9,Joey Long,11,200103300,lf,cf,rf,3b,2b/p,ss,1b,c,,Connor Cline,saint john's (minn.),Saint John's (Minn.),Joey Long,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",10:04 am   ,2:51   ,,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Dillon Plath,Joe Paletta,Jeremy Lambert,Brandon Wessels,Neil Eddie,Jesse Munsterman,Ryan Scheetz,Nick Schlect,2,10,Jake Bjorkgren,14,100200043,2b,NA,rf,1b,3b,lf,c,ss,dh,cf,Andrew Marshall,,Lucas Hadaway
75,"Apr 13, 2013",bvudbq1,1,Noah Mahlik,Andy Danna,Jordan Gawronski,Chris Briggs,Spencer Kuehn,Austin Monfross,Nick Martin,Vince Parisi,Aaron Laskowski,2,2,Josh Eastman,7,0011000,lf,ss,rf,1b,dh,3b,2b,c,cf,Josh Eastman,"dubuque, univ. of","Dubuque, Univ. of",Josh Eastman,,7,Y,,"Dubuque, Iowa",1:00 pm   ,1:45   ,HP: Soltzman  1B: Poppilla,"buena vista university
",Buena Vista Univ.,Brandon Wessels,NA,Joe Paletta,Ryan Scheetz,Jesse Munsterman,Jeremy Lambert,Weston Foxx,Dillon Plath,Neil Eddie,Nick Schlect,1,5,Jon Ringblom,10,1001300,lf,NA,1b,dh,ss,3b,2b,rf,c,cf,Jon Ringblom," 41, Sunny",Jon Ringblom
200,"May 05, 2013",bvulor2,2,Mark Jablonski,Mike Pudlo,Niko Andriotis,Patrick Walsh,Alex Rodrigues,Cody Richter,Eric DeSousa,Danny Fahlgren,Justin Montalvo,1,2,Jeremy Gerardy,8,100000100,cf,ss,lf,1b,2b,dh,3b,c,rf,Ben Cottrell,"loras college
",Loras College,Jeremy Gerardy,,9,Y,,"Dubuque, Iowa (Petrakis Park)",4:50   ,2:00   ,HP: Joe Tomich  1B: Jay Weichman,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Nick Schlect,Joe Paletta,Brandon Wessels,Jesse Munsterman,Dillon Plath,Tanner Truesdell,Neil Eddie,Alex Davis,0,4,Lucas Hadaway,9,000001003,2b,NA,cf,1b,lf/c,ss,rf,dh,c,3b,Ian Grigsby,,Kendall Hazel
33,"Mar 17, 2013",warsmmn2,1,Willie Doll,Paul LaNasa,Kevin Gannon,Jon Schlemmer,Vince Lulic,Zach Wolfe,Kyle Servais,Steph Scatassa,Mike Feriancek,4,0,A.J. Redders,3,0000000,rf,2b,1b,dh,lf,3b,c,ss,cf,Matt Biagini,saint mary's (minn.),Saint Mary's (Minn.),Matt Biagini,,7,Y,,"Minneapolis, Minn. (Metrodome)",9:15   ,2:12   ,,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Clay Emmrich,Michael Schinstock,Levi Montague,0,7,Ben Rettenmeier,10,1011301,cf,NA,2b,3b,1b,c,dh,lf,rf,ss,Ben Rettenmeier, Indoors,Ben Rettenmeier
292,"Apr 20, 2013",coelor2,2,Ben Larison,Tanner Beck,Nick Stein,Michael Goerdt,AJ Reuter,Craig Konrardy,JD Hunter,Patton Hofer,Michael Redmond,0,3,AJ Reuter,6,20000001X,ss,2b,cf,lf,1b/p,3b,dh,c,rf,Ben Strellner,"coe college
",Coe College,Adam Schwoebel,,9,Y,,"Cedar Rapids, Iowa (Daniels Park)",2:45 pm   ,1:50   ,HP: Gary Hart  1B: Woody Mill,"loras college
",Loras College,Mike Pudlo,NA,Mike Canevello,Jordan Ries,Cody Richter,Alex Rodrigues,Adam Kennedy,Eric DeSousa,Danny Fahlgren,Mark Jablonski,3,2,Jeremy Gerardy,8,000001010,ss,NA,rf,lf,dh,2b,1b,3b,c,cf,Adam Schwoebel," 47, Sunny, 4 mph winds",AJ Reuter
75,"Mar 31, 2013",coedbq1,1,Andy Danna,Noah Mahlik,Spencer Kuehn,Michael Campbell,Chris Briggs,Jordan Gawronski,Nick Martin,Vince Parisi,Aaron Laskowski,4,5,Lucas Ware,13,200000000003,ss,lf,dh,3b,1b,rf,2b,c,cf,Josh Eastman,"dubuque, univ. of","Dubuque, Univ. of",Landon Klostermann,,12,Y,,"Dubuque, Iowa",1:00 pm   ,3:15   ,HP: R.Riggs  1B: L.Allen,"coe college
",Coe College,Ben Larison,NA,JD Hunter,Nick Stein,AJ Reuter,Michael Goerdt,Kaileb Armbruster,Michael Redmond,Patton Hofer,Craig Konrardy,0,9,Jack Hoffmann,15,100000100007,ss,NA,2b/3b,cf,1b/p,lf,dh,rf,c,3b,Connor Alberhasky," 41, Cloudy",Jack Hoffmann
77,"Mar 09, 2013",warlcor1,1,Andrew Krehbiel,Levi Montague,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Clay Emmrich,Michael Schinstock,Jackson Litterer,0,12,Alex Steines,16,005151X,cf,ss,3b,dh,c,1b,lf,rf,2b,Ben Rettenmeier,"wartburg college
",Wartburg College,Ryan Strombom,,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",10 AM   ,2:14   ,,lewis & clark coll.,Lewis & Clark Coll.,Bradley Lezak,NA,Geoff Wertz,Matthew Cathcart,Mike Kinkenon,Andrew Traver,Eric Hyun,Corey Davis,Hayden Higger,Christian Macdonald,6,3,Carter Bagley,6,0300000,ss,NA,2b,cf,c,dh,lf,rf,1b,3b/ss,Ryan Strombom, Cloudy,Ben Rettenmeier
45,"Feb 23, 2013",simsrsu1,,Jake Barr,Michael Chia,Tyler Crandell,Jake Esdohr,Tyler Craig,Ethan Hale,Pedro Rosa,Brett Crable,,0,11,Junior Rodriguez,14,20020421X,lf,3b,ss,c,1b,2b,rf,cf,,Zane Butler,"simpson college
",Simpson College,Davis Jimenez,,9,Y,,"Clarksville, Ark. (Lonnie Qualls Field)",2:00 pm   ,3:00   ,,sul ross state univ.,Sul Ross State Univ.,Turner Mattson,NA,Josh Vasquez,Dakota Dill,Jesse Loter,Emmett Crisp,Ely Gallego,Brian Lalima,Kit Henderson,Ethan Bradley,3,8,Josh Potter,9,400021010,cf,NA,ss,rf,3b,c,1b,dh,lf,2b,Ray Gutierrez,,Brock Borgeson
150,"Apr 21, 2013",coelor3,1,Ben Larison,Tanner Beck,Nick Stein,Michael Goerdt,AJ Reuter,Craig Konrardy,JD Hunter,Patton Hofer,Michael Redmond,0,1,Connor Alberhasky,4,000100X,ss,2b,cf,lf,1b,3b,dh,c,rf,Connor Alberhasky,"coe college
",Coe College,Will Petrosky,,7,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,2:25 pm   ,HP: Eric Thornton  1B: Gary Hart,"loras college
",Loras College,Mike Pudlo,NA,Mike Canevello,Jordan Ries,Connor Reilly,Alex Rodrigues,Eric DeSousa,Justin Montalvo,Danny Fahlgren,Mark Jablonski,0,0,Will Petrosky,3,0000000,ss,NA,rf,lf,1b,2b,3b,dh,c,cf,Will Petrosky," 53, Mostly Cloudy, 20 mph wind",Connor Alberhasky
33,"Mar 17, 2013",warsmmn3,2,Ryan Kemp,Andrew Krehbiel,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Ryan Doty,Michael Schinstock,Levi Montague,2,5,Michael Schinstock,7,011300X,lf,cf,3b,dh,c,1b,2b,rf/p,ss,Marcus Walczyk,"wartburg college
",Wartburg College,Steph Scatassa,,7,Y,,"Minneapolis, Minn. (Metrodome)",11:45   ,2:00   ,,saint mary's (minn.),Saint Mary's (Minn.),Willie Doll,NA,Paul LaNasa,Kevin Gannon,Jon Schlemmer,Vince Lulic,Zach Wolfe,Kyle Servais,Taylor Thelemann,Mike Feriancek,1,4,Tyler Krysiak,5,0002110,rf/cf,NA,2b,1b,dh,lf,3b,c,ss,cf,Steph Scatassa, Indoors,Marcus Walczyk
65,"May 06, 2013",bvulor3,1,Mark Jablonski,Mike Pudlo,Niko Andriotis,Patrick Walsh,Alex Rodrigues,Nate Even,Eric DeSousa,Danny Fahlgren,Justin Montalvo,0,3,Jeremy Gerardy,5,300000X,cf,ss,lf,1b,2b,dh,3b,c,rf,Will Petrosky,"loras college
",Loras College,Scott Harris,,7,Y,,"Dubuque, Iowa (Petrakis Park)",3:30 PM   ,1:50   ,HP: Mike Gansemer  1B: larry Allen,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Joe Paletta,Brandon Wessels,Jesse Munsterman,Jeremy Lambert,Alex Brown,Ryan Duncan,Neil Eddie,Nick Schlect,3,1,Cam Beatty,7,1000000,2b,NA,1b,lf,ss,dh,3b,rf,c,cf,Scott Harris,,Will Petrosky
85,"Mar 08, 2013",dbqccm1,1,Andy Danna,Nick Martin,Chris Briggs,Vince Parisi,Spencer Kuehn,Aaron Laskowski,Noah Mahlik,Mitch Windle,Jordan Gawronski,3,4,Tyler Trifiletti,10,1010020,ss,2b,1b,c,rf,cf,lf,dh,3b,Josh Eastman,"dubuque, univ. of","Dubuque, Univ. of",Tyler Trifiletti,,7,Y,,"Minneapolis, Minn. (Metrodome)",9:45pm   ,2:30   ,,concordia-moorhead,Concordia-Moorhead,Kyle Kraemer,NA,Phil Kuball,Braden Rahman,Michael Olson,Matt Schalow,Jordan Doschadis,Brian Guler,Tim Carlson,Erik Hiedeman,3,6,Bryce Feia,9,0003102,rf,NA,2b,ss,cf,lf,dh,1b,c,3b,Jackson Meland, Indoors,Cody Rahman
140,"May 06, 2013",dbqsim4,2,Brett Crable,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Michael Chia,Ethan Hale,Bud Smith,Josh Pirtle,2,16,Brock Borgeson,17,50700112X,cf,lf,1b,3b,ss,dh,2b,c,rf/cf,Jake Scieszinski,"simpson college
",Simpson College,Max Nank,,9,Y,,"Dubuque, Iowa (UD Baseball Field)",3:30   ,2:40   ,HP: K.Ferris  1B: P.Keitel,"dubuque, univ. of","Dubuque, Univ. of",Kyle Duggan,NA,Andy Danna,Spencer Kuehn,Chris Briggs,Brock Grubbs,Noah Mahlik,Mitch Windle,Nick Martin,Steve Ryan,2,7,Aaron Laskowski,14,200203000,lf,NA,ss,rf,1b,dh,cf,3b,2b,c,Max Nank," 75, Sunny",Aaron Young
525,"May 09, 2013",iiac4,,Andrew Krehbiel,Ryan Doty,Ryan Powers,Drew Yoder,Clay Emmrich,Levi Montague,Blake Wilson,Michael Schinstock,Ryan Kemp,1,8,Michael Schinstock,14,00202031X,cf,2b,3b,1b,dh,ss,c,rf/p,lf,Scott Benson,#18 wartburg college,#18 Wartburg College,Matt Pennings,,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",7:50   ,2:15   ,HP: S.Behn  1B: A.Clark  2B: J.Wiechmann,"simpson college
",Simpson College,Brett Crable,NA,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Jake Esdohr,Ethan Hale,Michael Chia,Josh Pirtle,1,7,Matt Pennings,9,000020320,cf,NA,lf,1b,3b,ss,c,2b,dh,rf,Gage Reis," 60, Cloudy",Scott Benson
,"Mar 29, 2013",simwar1,1,Andrew Krehbiel,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Clay Emmrich,Michael Schinstock,Levi Montague,1,8,Scott Benson,10,330011X,cf,2b,3b,1b,c,dh,lf,rf,ss,Scott Benson,"wartburg college
",Wartburg College,Jake Scieszinski,,7,Y,,"Indianola, Iowa (McBride Field)",3:30 pm   ,2:00   ,HP: Toby Formiller  1B: Dan Graw,"simpson college
",Simpson College,Jake Barr,NA,Tyler Crandell,Tyler Craig,Jake Scieszinski,Blake Heitmeier,Jake Esdohr,Ethan Hale,Josh Pirtle,Brett Crable,2,6,Zane Butler,10,1002003,lf,NA,ss,1b,dh/p,3b,c,2b,rf,cf,Eric Jones,,Scott Benson
55,"Mar 23, 2013",lormonm1,1,Ryan Crandall,Mitch Comstock,Matt Glenn,Andrew Baudino,Jordan Gaither,Alex Kemmer,Brandon Harroun,Raahsaan Fox,Alex Temple,4,4,Ray Gerard,4,100000210,2b,dh,3b,1b,c,lf,ss,cf,rf,Brik Wedekind,"monmouth college
",Monmouth College,Ray Gerard,,9,Y,,"Monmouth, Ill. (Glasgow Field)",1:00 pm   ,2:37   ,HP: Robert McGinnis  1B: Jeff Thund,"loras college
",Loras College,Mike Canevello,NA,Jordan Ries,Cody Richter,Patrick Walsh,Danny Fahlgren,Alex Rodrigues,Eric DeSousa,Mark Jablonski,Mike Pudlo,4,6,Jeremy Gerardy,11,120000003,rf,NA,lf,dh,1b/3b,c,2b,3b,cf,ss,Will Petrosky, Sunny,Jeremy Gerardy
210,"Mar 23, 2013",bvupomp,,Mike Moyer,Nick Gentili,Jake Bruml,Erik Munzer,E.J. Lopez,Mark Okuma,Coleman Lukas,Sam Fox,,2,3,Jackson Badger,7,0001000200,lf,rf,1b,cf,3b,2b,c,ss,,Simon Rosenbaum,pomona-pitzer,Pomona-Pitzer,Robert Weller,,10,Y,,"Tucson, Ariz. (Kino Sports Complex)",12:30 pm   ,2:30   ,,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Jesse Munsterman,Joe Paletta,Ryan Scheetz,Jeremy Lambert,Neil Eddie,Brandon Wessels,Dillon Plath,Nick Schlect,4,4,Jake Bjorkgren,12,1000001101,2b,NA,ss/lf,1b,dh,3b,c,lf/c,rf,cf,Jon Ringblom,,Jake Bjorkgren
85,"Apr 26, 2013",lorlut1,1,Austen Graham,Andy Briggs,Matt Larson,David Lowe,Zach Hendrikson,Brian Paulsrud,Dakotah Rostad,Zach Lashbrook,Alec Knop,4,5,Noah Nelson-Gross,8,1000022,2b/ss,cf,lf,dh,rf/c,1b,3b,c,ss,Danny Smith,"luther college
",Luther College,Danny Smith,,7,Y,,"Decorah, Iowa (Luther College)",1:00PM   ,2:30   ,HP: Brant Bruhn  1B: Ryan Eckland,"loras college
",Loras College,Mark Jablonski,NA,Mike Pudlo,Mike Canevello,Patrick Walsh,Niko Andriotis,Alex Rodrigues,Eric DeSousa,Danny Fahlgren,Justin Montalvo,2,8,Jeremy Gerardy,7,3004001,cf,NA,ss,rf,1b,dh,2b,3b,c,lf,Will Petrosky, Sunny,Will Petrosky
60,"Apr 14, 2013",lorwar4,2,Mike Pudlo,Mike Canevello,Alex Rodrigues,Cody Richter,Jordan Ries,Adam Kennedy,Mark Jablonski,Danny Fahlgren,Tom Ameche,4,0,Connor Schreck,5,000000000,ss,rf,2b,1b,lf,dh,cf,c,3b,Patrick Walsh,"loras college
",Loras College,Jeremy Gerardy,,9,Y,,"Dubuque, Iowa (Petrakis Park)",1:40   ,2:15   ,HP: Meara  1B: Gan,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Michael Schinstock,Levi Montague,Jackson Litterer,Craig Kerper,0,4,Michael Schinstock,8,001020001,cf,NA,dh,3b,1b,c,rf/p,ss,2b,lf,Marcus Walczyk,,Marcus Walczyk
483,"Apr 13, 2013",cencoe2,2,Ben Larison,JD Hunter,Nick Stein,Michael Goerdt,AJ Reuter,Kaileb Armbruster,Craig Konrardy,Michael Redmond,Patton Hofer,3,4,Tyler Hixson,10,100001011,ss,2b,cf,dh,1b,lf,3b,rf,c,Ben Strellner,"coe college
",Coe College,Ben Strellner,,9,Y,,"Cedar Rapids, Iowa (Daniels Park)",4:15 pm   ,2:15   ,HP: Josh Mara  1B: Ryan Farnsworth,"central college
",Central College,Sam Stetzel,NA,Seth Carson,Michael Jontz,Robbie Rushing,Adam Ariola,Jordan Judkins,Trent Smith,Andrew O'Toole,Spencer Gritsch,1,7,Judson McKown,11,000300031,cf,NA,1b,lf,dh,3b,ss,c,rf,2b,Ryan Dusil," 52 Degrees, Mostly Cloudy",Ryan Dusil
