attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
167,"Mar 24, 2013",lutober2,2,Austen Graham,Andy Briggs,Eric Pittman,Matt Larson,Mitch Knippenberg,Zach Hendrikson,Brian Paulsrud,Dakotah Rostad,Thomas Weber,2,4,Danny Smith,7,111010X,2b,cf,ss,rf,dh,c,1b,3b,lf,Danny Smith,"luther college
",Luther College,Harrison Wollman,,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",12:40 pm   ,1:54   ,,"oberlin college
",Oberlin College,Robin Witjes,NA,Mitchell Novak,Jeff Schweighoffer,Mike McDonald,Eric Knight,Andrew Hutson,Daniel Baldocchi,Colin Brown,Zachary Jaspers,2,1,Henry Rice,5,0001000,cf,NA,ss,3b,2b,dh,rf,1b,c,lf,Harrison Wollman," 83, Sunny",Danny Smith
60,"Mar 30, 2013",cenlawr,1,Michael Jontz,Sam Stetzel,Robbie Rushing,Adam Ariola,Jordan Judkins,Andrew O'Toole,Seth Carson,Jace Ahrendsen,Allen Mann,1,8,Michael Jontz,7,101114X,lf/p,cf,3b,2b,ss,dh,1b,c,rf,Ryan Goetzinger,"central college
",Central College,Kelton Jenkins,,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",9:40 a.m   ,2:09   ,HP: Dean Kirkpatrick  1B: Ronald Acuna,"lawrence university
",Lawrence University,Davide Harris,NA,Gabe Henriques,Davis Ogilvie,Aaron Benz,Phil Wisniewski,Sam Kossow,Jake Gordon,Marc Linger,Joel Birch,1,4,Dan Taylor,5,0020200,cf,NA,ss,3b,rf,dh,1b,lf,c,2b,Drew Doares," 46 degrees, light rain",Judson McKown
62,"Mar 13, 2013",warsto2,,Sam Maus,Nick Kulla,Nick Denn,Jack Schechinger,Jake Schmiesing,Adam Johnson,Braxton Lindow,Brady Sand,David Salzwedel,1,4,Nate Gelle,7,3000001,ss,2b,lf,c,cf,1b,dh,3b,rf,Alex Lampert,"st. olaf college
",St. Olaf College,Alex Lampert,,7,Y,,"Minneapolis, Minn. (HHH Metrodome)",9:55 pm   ,1:49   ,,"wartburg college
",Wartburg College,Ryan Kemp,NA,Andrew Krehbiel,Ryan Powers,Drew Yoder,Blake Wilson,Ryan Doty,Michael Schinstock,Levi Montague,Jackson Litterer,1,6,Ryan Doty,8,0050010,lf,NA,cf,3b,1b,c,p,rf,ss,2b,Ryan Doty, Indoors,Ryan Doty
193,"Mar 05, 2013",coeaur,,Ben Larison,JD Hunter,Nick Stein,Michael Goerdt,AJ Reuter,Tim Kayser,Patton Hofer,Michael Redmond,Tanner Beck,0,2,Jeremy Santiago,5,011000000,ss,3b,cf,lf,dh,1b,c,rf,2b,Ben Strellner,"coe college
",Coe College,Ben Strellner,,9,Y,,"Winter Haven, Fla. (Chain of Lakes)",6:00 pm   ,2:29   ,,#21 aurora university,#21 Aurora University,Carlos Olavarria,NA,Corey Landers,Tanner Oymaian,Ryan McMahon,Mike Foley,Cory Walden,Tim Brann,Jared Swain,Nick Turner,2,15,Thomas Ozlanski,23,310000137,2b,NA,lf,ss,c,rf,dh,3b,1b,cf,Brad Warnecke," 71 degrees, Sunny",Brad Warnecke
95,"Apr 27, 2013",lorlut3,1,Eric Pittman,Andy Briggs,Zach Hendrikson,David Lowe,Mitch Knippenberg,Thomas Weber,Aldon Severson,Brian Paulsrud,Austen Graham,0,4,Alex Byom,5,010030X,ss,cf,rf,3b,c,lf,dh,1b,2b,Alex Byom,"luther college
",Luther College,Ben Cottrell,,7,Y,,"Decorah, Iowa (Luther College)",1:00 pm   ,1:40   ,HP: Brant Bruhn  1B: Jeff F,"loras college
",Loras College,Mark Jablonski,NA,Mike Pudlo,Mike Canevello,Patrick Walsh,Niko Andriotis,Alex Rodrigues,Eric DeSousa,Danny Fahlgren,Justin Montalvo,1,1,Ben Cottrell,4,0000001,cf,NA,ss,rf,1b,dh,2b,3b,c,lf,Ben Cottrell, Sunny,Alex Byom
118,"Mar 04, 2013",bvuweb,,Cody Stevenson,Corey Lasky,Ryan Hall,Taylor Stoulp,Brett Buchanan,Joe Winckel,Mike Rainbolt,Jared Turner,Mitchell Bonds,2,5,Jason Gray,9,000310001,cf,lf,ss,2b,1b,c,dh,rf,3b,Isaac Behme,"webster university
",Webster University,Isaac Behme,,9,Y,,"Sauget, Ill. (GCS Ballpark)",10:00am   ,2:52   ,,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Jesse Munsterman,Ryan Scheetz,Jeremy Lambert,Joe Paletta,Brandon Wessels,Dillon Plath,Nick Schlect,Ryan Duncan,2,7,Jake Bjorkgren,9,000200500,2b,NA,ss,dh,3b,1b,c,lf,cf,rf,Ian Grigsby," Windy, 43 Degrees",Scott Harris
,"Apr 21, 2013",bvusim3,1,Brandon Wessels,Weston Foxx,Joe Paletta,Ryan Scheetz,Jesse Munsterman,Dillon Plath,Ryan Titman,Alex Davis,Nick Schlect,1,3,Lucas Hadaway,7,0012000,c,2b,1b,dh,ss,rf,lf,3b,cf,Scott Harris,"buena vista university
",Buena Vista Univ.,Scott Harris,,7,Y,,"Indianola, Iowa (McBride Field)",1:11 pm   ,1:47   ,HP: Danny Duskin  1B: Dean Kirkpatrick,"simpson college
",Simpson College,Brett Crable,NA,Jake Scieszinski,Tyler Craig,Tyler Crandell,Jake Barr,Blake Heitmeier,Ethan Hale,Jake Esdohr,Michael Chia,1,4,Matt Pennings,8,3000100,cf,NA,dh,1b,ss,lf,rf/3b,2b,c,3b,Matt Pennings," P sunny, 66, Wind S 15-20",Matt Pennings
60,"Mar 19, 2013",dbqust1,1,Ben Podobinski,Kelvin Stroik,Tim Kuzniar,Dylan Thomas,Christiaan Wabers,Jack Hogan,J.D. Dorgan,Sam Miller,Jon Kinsel,0,3,Steve Maher,4,001200X,cf,rf,lf,dh,1b,3b,c,2b,ss,Zach Franz,st. thomas (minn.),St. Thomas (Minn.),Spencer Kuehn,,7,Y,,"Minneapolis, Minn. (Metrodome)",1:10 p.m   ,1:30   ,,"dubuque, univ. of","Dubuque, Univ. of",Andy Danna,NA,Nick Martin,Michael Campbell,Spencer Kuehn,Chris Briggs,Jordan Gawronski,Michael Riordan,Vince Parisi,Aaron Laskowski,0,2,Spencer Kuehn,4,0100100,ss,NA,2b,3b,p,1b,rf,lf,c,cf,Spencer Kuehn, Indoors,Zach Franz
75,"Apr 30, 2013",censim4,2,Michael Jontz,Sam Stetzel,Robbie Rushing,Adam Ariola,Zach Zylstra,Seth Carson,Jordan Judkins,Jace Ahrendsen,Kirby Coppess,3,3,Andy Carr,8,0102000,rf,cf,dh,3b,lf,1b,ss,c,2b,Matt Schissel,"central college
",Central College,Mark Schroeder,,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3:35 p.m   ,1:50   ,HP: Dean Kirkpatrick  1B: Pat McIlhon,"simpson college
",Simpson College,Brett Crable,NA,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Ethan Hale,Pedro Rosa,Bud Smith,Josh Pirtle,1,5,Matt Pennings,6,0001400,cf,NA,lf,1b,3b,ss,2b,dh,c,rf,Taylor Neff," 88 degrees, wind SSW at 16 mph",Taylor Neff
75,"Apr 07, 2013",coelut2,2,Eric Pittman,Matt Larson,Mitch Knippenberg,Aldon Severson,Zach Hendrikson,David Lowe,Andy Briggs,Zach Lashbrook,Austen Graham,1,1,Andrew Withers,8,000000010,ss,lf,dh,1b,rf/c,3b,cf,c,2b,Danny Smith,"luther college
",Luther College,Danny Smith,,9,Y,,"Decorah, Iowa (Luther College)",3:30   ,2:15   ,HP: Alec Clark  1B: Brett Mil,"coe college
",Coe College,Ben Larison,NA,JD Hunter,Nick Stein,Michael Goerdt,AJ Reuter,Tim Kayser,Kaileb Armbruster,Craig Konrardy,Patton Hofer,2,5,Ben Strellner,11,002102000,ss,NA,2b,cf,lf,dh,1b,rf,3b,c,Ben Strellner, Sunny,Ben Strellner
