attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
64,"Mar 08, 2015",lorwayn,,Eric Crum,NA,Nathan Mori,Matt Bensinger,Jonathon Kletzli,Tyler Rubasky,Cameron Bernhardt,Brent Williams,Ben Shorthouse,Neal Yakopin,1,9,Tyler Prevost,12,000060201,rf,NA,ss,cf,1b,c,3b,dh,lf,2b,Colton Lippencott,waynesburg univ.,Waynesburg Univ.,D Zavatsky (0-1),,9.0,Y,Steines (1),"Lakeland, Fla. (Lake Bonny Park)",1:00 PM   ,3:10   ,,"loras college
",Loras College,Cole Reeg,NA,Anthony Flattery,Patrick Walsh,Spence Bonner,Tony Heiser,Adam Kennedy,Luke Leibforth,Lucas Jacque,Nolan Ritter,3,11,Alex Steines,15,210000224,cf,NA,dh/3b,3b,1b,rf,lf,2b,c,ss,Brad Schwind,Petruzzi (1-0)
55,"Mar 15, 2015",dbqmcd,,Sean Sivo,NA,Nick Valori,Marty Windisch,Tyler Gilbert,Cameron Bahr,Brandon Hayward,Kasey Nelson,Drew Phillips,Antonio Rosanova,2,6,Bryan Contino,7,00000330X,cf,NA,rf,3b,1b,c,lf,dh,2b,ss,Ben Van Put,mcdaniel college,McDaniel College,Van Egtern (0-1),,9.0,Y,B Contino (1),"Fort Myers, Fla.",12:00 pm   ,3:00   ,,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,NA,Will Fogel,Jacob Evans,Dalton Garst,James Workman,Trace Florek,Marcel Felsmann,Gaetano Florio,Ryan Karrick,2,3,Chris Fields,3,000002001,cf,NA,2b,rf,1b,c,lf,dh,3b,ss,Trent Van Egtern,B Van Put (1-0)
125,"Apr 03, 2015",cendbq2,2,Dakotah Wolken,NA,Zach Zylstra,Kirby Coppess,Adam Lindell,Zach Brown,Michael Reuter,Spencer Gritsch,Mason Ellis,Andy Carr,3,6,Jake Voss,16,010300110,cf,NA,lf,ss,dh,3b/p,c,2b,1b,rf,Mark Schroeder,"central college
",Central College,Meyer (0-1),,9.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3:20   ,2:55   ,HP: Jason Kramer  1B: Dean Kirkpatrick,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,NA,Will Fogel,Dalton Garst,Austin McWhite,Matt Hogan,Michael Salazar,Ryan Karrick,Trace Florek,Will Doherty,1,14,Chris Fields,12,001252040,cf,NA,2b,3b,1b,rf,dh,ss,lf,c,Doug Van Dyke,Van Dyke (1-1)
100,"May 01, 2015",cenlor1,1,Kirby Coppess,NA,Zach Zylstra,Seth Griffiths,Adam Lindell,Michael Reuter,Zach Brown,Mason Ellis,Noah Stochl,Jacob Hirst,0,1,Andy Carr,3,000001X,ss,NA,lf,rf,dh,c,3b,1b,2b,cf,Andy Carr,"central college
",Central College,Schwoebel (7-3),,7.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,1:12   ,HP: Matt Badeaux  1B: Patrick McIlhon,"loras college
",Loras College,Cole Reeg,NA,Tony Heiser,Patrick Walsh,Spence Bonner,Adam Kennedy,Luke Leibforth,Lucas Jacque,Nate Even,Nolan Ritter,0,0,Adam Schwoebel,4,0000000,dh,NA,rf,3b,1b,lf,2b,c,cf,ss,Adam Schwoebel,Carr (5-1)
200,"Apr 27, 2015",simwar4,2,Jackson Litterer,NA,Tyler Willis,Ryan Kemp,DJ Utley,Jacob Thumann,Blake Wilson,Milton Croes,Tyler Mougin,Matt Kruger,1,12,Samuel Langfritz,12,015060X,3b,NA,2b,cf,1b,rf,c,dh,ss,lf/cf,Parker Bolt,#8 wartburg college,#8 Wartburg College,"Gibson, Da",,7.0,Y,,"Waverly, Iowa (Hertel Field)",5:35 pm   ,1:35 hr   ,HP: Nick Lundberg  1B: Ryan Eklund,"simpson college
",Simpson College,Jake Esdohr,NA,Jake Scieszinski,Gage Reis,Jonathan Greiner,Austin Burlin,Bud Smith,Taylor Harmon,Devan Wicks,Luke Anctil,1,0,Jake Scieszinski,3,0000000,cf/ss,NA,ss/p,1b,3b,rf,c,2b,dh,lf,Daultan Gibson,Bolt (5-4)
,"May 01, 2015",dbqsim1,1,Jake Esdohr,NA,Jake Scieszinski,Gage Reis,Jonathan Greiner,Luke Anctil,Bud Smith,Taylor Harmon,Nick Anderson,Austin Burlin,0,7,Daultan Gibson,13,0010105,cf,NA,ss,1b,3b,lf,c,2b,dh,rf,Jalen Sickels,"simpson college
",Simpson College,,,7.0,Y,Eastman (2-8),"Indianola, Iowa (McBride Field)",3:41 pm   ,1:39   ,HP: Michael Kelly  1B: Jeff Osborn,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,NA,James Workman,Dalton Garst,Austin McWhite,Michael Salazar,Jacob Evans,Aaron Boettger,Matt Hogan,Gaetano Florio,1,6,Reed Stumpf,12,2011020,cf,NA,2b,c,1b,dh,lf,ss,rf,3b,Josh Eastman,"Gibson, Da"
150,"Apr 10, 2015",bvucen2,2,Seth Griffiths,NA,Zach Zylstra,Kirby Coppess,Adam Lindell,Zach Brown,Michael Reuter,Spencer Gritsch,Mason Ellis,Jacob Hirst,2,7,Dakotah Wolken,14,10400101X,dh,NA,lf,ss,rf,3b,c,2b,1b,cf,Dakotah Wolken,"central college
",Central College,J,,9.0,Y, (3-1),"Pella, Iowa (Kuyper Athl. Complex)",3:15   ,2:07   ,HP: Danny Duskin  1B: Matt Breadeaux,"buena vista university
",Buena Vista Univ.,Neil Marshall,NA,Brandon Wessels,Tanner Truesdell,Bennett Mann,Bryce Wessels,Eric Gurbacki,Thomas Wisecup,Noah Paper,Devon Harms,1,0,Wes Onken,7,000000000,cf,NA,rf,lf,dh,2b,1b,3b,ss,c,Jacob Hadaway,Wolken (1-2)
65,"Apr 11, 2015",lorlut4,2,Matt Larson,NA,Joe Silversmith,Aldon Severson,Andrew Burgmeier,David Lowe,Alex Weber,Mitch Knippenberg,Zach Hendrikson,Jon Opdahl,3,12,Nate Beckman,8,0125022,lf,NA,ss,1b,dh,3b,cf,c,rf,2b,Nate Beckman,"luther college
",Luther College,Walsh (3-2),,7.0,Y,,Decorah Iowa (LC Baseball Field),3:10   ,1:45   ,HP: David Fields  1B: Larry Allen,"loras college
",Loras College,Cole Reeg,NA,Anthony Flattery,Spence Bonner,Tony Heiser,Adam Kennedy,Luke Leibforth,Lucas Jacque,Nolan Ritter,,4,2,Nick Petruzzi,4,0000200,cf,NA,3b,1b,rf,lf,2b,c,ss,,Patrick Walsh,Beckman (2-2)
175,"Apr 17, 2015",lorwar1,1,Cole Reeg,NA,Anthony Flattery,Patrick Walsh,Spence Bonner,Tony Heiser,Adam Kennedy,Luke Leibforth,Lucas Jacque,Nolan Ritter,1,4,Adam Schwoebel,5,1000003,cf,NA,dh,3b,1b,rf,lf,2b,c,ss,Adam Schwoebel,"loras college
",Loras College,Gilson (5-1),,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",3:30 PM   ,2:10   ,HP: Rodney Riggs  1B: Larry Allen,#13 wartburg college,#13 Wartburg College,Jackson Litterer,NA,Tyler Willis,Ryan Kemp,DJ Utley,Jacob Thumann,Blake Wilson,Milton Croes,Tyler Mougin,Robbie Anstoetter,3,3,Gavin Nadermann,9,1000101,3b,NA,2b,cf,1b,rf,c,dh,ss,lf,Taylor Gilson,Schwoebel (6-1)
250,"Mar 31, 2015",lutwar2,2,Jackson Litterer,NA,Tyler Willis,Ryan Kemp,DJ Utley,Milton Croes,Blake Wilson,Jacob Thumann,Tyler Mougin,Matt Kruger,0,8,Gavin Nadermann,9,00022013X,3b,NA,2b,cf,1b,dh,c,rf,ss,lf,Eric Huber,#10 wartburg college,#10 Wartburg College,Withers (0-2),,9.0,Y,Nadermann (5),"Waverly, Iowa (Hertel Field)",5:47 pm   ,2:30 hr   ,HP: Ryan Eklund  1B: Eric Olson,"luther college
",Luther College,Joe Silversmith,NA,Alex Weber,Mitch Knippenberg,David Lowe,Matt Larson,Aldon Severson,Jon Opdahl,Zach Hendrikson,Casey Waterman,2,6,Nate Whitham,12,110000301,ss,NA,cf,dh,3b/p,lf,1b,2b,c,rf/3b,Teddy Klingsporn,Tomkins (1-0)
