attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
100,"May 08, 2011",bvugac2,2,Brad Blum,NA,Alex Davis,Michael Hoffman,Kevin Kloewer,Ryan Scheetz,Andy Compton,Neil Eddie,Dylan Colo,Eric Croghan,1,4,Kyle Dupic,6,200020X,ss,NA,3b,lf,dh,1b,rf,c,2b,cf,Griffin Hatten,"buena vista university
",Buena Vista Univ.,Jaede,,7.0,Y,,"Storm Lake, Iowa (BVU/SL Field)",3:30pm   ,1:20   ,,"gustavus adolphus
",Gustavus Adolphus,Holbrook,NA,Miller,Sveen,Benjamin,Sukalski,Tranvik,Johnson,Euerle,Fish,0,1,Funk,2,0000100,2b,NA,cf,lf,1b,ss,c,dh,rf,3b,Jaede,,Griffin Hatten
104,"Apr 09, 2011",corlor2,1,Matt Pfister,NA,Jesse Searls,Zach Rogers,Andrew Patzke,Robert Carlson,Ryan Clausen,Milton Kurschner,Ryan Nordtvedt,Nick Norris,2,0,Charlie Muir,0,0000000,cf,NA,2b,3b,lf,dh,1b,ss,c,rf,Charlie Muir,"cornell college
",Cornell College,Charlie Muir,,7.0,Y,,"Mount Vernon, Iowa (Ash Park)",1:07 PM   ,1:28   ,HP: Todd Timbrook  2B: Rod Schult,"loras college
",Loras College,Mike Pudlo,NA,Clay Henricksen,Austin Brown,BJ Juergens,Calvin Rea,Kyle Soeder,Eric DeSousa,Mark Jablonski,Joe Walker,2,2,Kendall Paluch,6,0010100,ss,NA,c,cf,1b,lf,dh,3b,rf,2b,Kendall Paluch," 48 Degrees, Wind E 11 MPH",Kendall Paluch
120,"Apr 05, 2011",cordbq1,1,Nicholas Martin,NA,Paul Krenger,Andrew Danna,Todd Whited,Nick Baldocchi,Brock Grubbs,Phil Elking,Vince Parisi,Aaron Laskowski,2,4,"Elliot, Visuri",8,001201X,2b,NA,rf,ss,lf,3b,dh,1b,c,cf/rf,"Elliot, Visuri","dubuque, univ. of","Dubuque, Univ. of",Charlie Muir,,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",1 p.m.   ,1:30   ,,"cornell college
",Cornell College,Zach Rogers,NA,Milton Kurschner,Matt Pfister,Andrew Patzke,Ryan Nordtvedt,Ryan Clausen,Robert Carlson,Justin Brown,Nick Norris,0,3,Charlie Muir,8,0100200,3b,NA,ss,cf,lf,c,1b,dh,2b,rf,Charlie Muir, Sunny 52,"Elliot, Visuri"
125,"Apr 17, 2011",cendbq2,1,Mike Furlong,NA,Sam Stetzel,Caleb Rangel,Jarred Lackey,Adam Ariola,Anthony Miller,Ryan Allison,Max Seeman,Seth Carson,1,2,Joel Pulliam,5,101000X,ss,NA,cf,lf,rf,2b,3b,dh,c,1b,Joel Pulliam,"central college
",Central College,Kalen Mace,,7.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,1:20   ,HP: JP Richarson  1B: Mike Kelley,"dubuque, univ. of","Dubuque, Univ. of",Nicholas Martin,NA,Kyle Duggan,Andrew Danna,Brock Grubbs,Nathan Lucas,Nick Baldocchi,Todd Whited,Vince Parisi,Aaron Laskowski,1,1,Kalen Mace,2,0000010,2b,NA,rf/lf,ss,dh,1b,3b,lf,c,cf,Kalen Mace,,Joel Pulliam
75,"Mar 26, 2011",cenlor1,1,Mike Furlong,NA,Anthony Miller,Jarred Lackey,Caleb Rangel,Josh Stanton,Ryan Allison,Adam Ariola,David Lakin,Sam Stetzel,1,2,Joel Pulliam,5,020000X,ss,NA,3b,rf,dh,c,2b,lf,1b,cf,Joel Pulliam,"central college
",Central College,Kendall Paluch,,7.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",2:12 pm   ,1:38   ,HP: Kevin Frost  1B: Rich Chapon,"loras college
",Loras College,Mike Canevello,NA,Clay Henricksen,Calvin Rea,BJ Juergens,Austin Brown,Kyle Barton,Joe Walker,Eric DeSousa,Mike Pudlo,0,0,Kendall Paluch,4,0000000,rf,NA,c,lf,1b,cf,dh,2b,3b,ss,Kendall Paluch,,Joel Pulliam
88,"Mar 19, 2011",dbqblck2,1,F. Bush,NA,C. Flowers,J. Jurczak,N. Cronin,D. Witkus,D. Fuhrhop,J. Bonczyk,B. Scott,"C, Cronin",0,1,C. Unser,4,1000000,ss,NA,3b,2b,dh,c,cf,1b,rf,lf,T. Rhodes,blackburn college,Blackburn College,C. Unser,,7.0,Y,,"Carlinville, ILl. (Beaver Dome)",3:50   ,2:15   ,,"dubuque, univ. of","Dubuque, Univ. of",Nicholas Martin,NA,Matthew Gaddis,Andrew Danna,Todd Whited,Nick Baldocchi,Nathan Lucas,Brock Grubbs,Vince Parisi,Jeffrey Stevens,0,4,Kalen Mace,7,0002002,2b,NA,rf,ss,lf,3b,1b,dh,c,cf,Kalen Mace," cloudy, partly sunny 45",Kalen Mace
89,"Mar 17, 2011",dbqnic,,Nicholas Martin,NA,Bobby Shepherd,Andrew Danna,Todd Whited,Nick Baldocchi,Nathan Lucas,Brock Grubbs,Vince Parisi,Aaron Laskowski,0,13,Kyle Staats,10,04000045X,2b,NA,rf,ss,lf,3b,1b,dh,c,cf/rf,"Landon, Klostermann","dubuque, univ. of","Dubuque, Univ. of",R. Curto,,9.0,Y,,"Fort Myers, Fla. (Terry Park)",8:57   ,2:17   ,,nichols college,Nichols College,J. Stuczynsk,NA,J. Clark,C. Jankins,A. Martin,S. McNally,N. Shaw,J. Micciche,C. Nemeskal,M. Whitman,0,3,J. Clark,9,001020000,cf,NA,2b/p,c,dh,lf,rf,3b,1b,ss,R. Curto," sunny, breezy 74",Kyle Staats
84,03/12/11,cenrfrd2,2,Polster,NA,Grimes,Daughenbaugh,"Miller, K",Billesbach,Gillette,Gorsuch,Wiltshire,Szytz,3,2,Pisano,9,0010100,2b,NA,dh,cf,3b,rf,1b,lf,c,ss,Kuchelmeiste,rockford college,Rockford College,Kuchelmeiste,,7.0,Y,,"Mesa, Ariz. (Gene Autry Complex)",2:00 pm   ,2:27   ,,"central college
",Central College,Mike Furlong,NA,Anthony Miller,Caleb Rangel,Jarred Lackey,Ryan Allison,Josh Stanton,Seth Carson,Adam Ariola,Sam Stetzel,0,13,Bret Bell,14,1313500,ss,NA,3b,lf,rf,2b,c,1b,dh,cf,Ryan Goetzinger, 84 degrees and sunny,Ryan Goetzinger
2107,5/28/11,bvuncaa7,,"Meletiche, E",NA,"Siano, A","Torres, G","Henry, B","Vega, A","Ratchford, L","Straub, A","Del Rosso, B","Mormino, F",5,5,"Smith, C",13,100300010,2b,NA,rf,3b,dh,lf,ss,c,cf,1b,"Rogers, R",#25 keystone college,#25 Keystone College,"Rogers, R","Both teams making first appearance in NCAA Championships...BVU advances inwinner's bracket...Teams combined for seven errors...Eight of 13 runsscored unearned...BVU bats around in 6th, three runs w/ two outs...Loss snaps Keystone's 17-game winning streak.Dirkx faced 2 batters in the 8th.",9.0,Y,,"Appleton, Wis. (Fox Cities Stadium)",7:46 pm   ,2:27   ,HP: Brent Cunningham  1B: Rob Robinson  2B: Dale Gallo  3B: Mark Spic,"buena vista university
",Buena Vista Univ.,Brad Blum,NA,Brock Yossi,Michael Hoffman,Kevin Kloewer,Ryan Scheetz,Joe Paletta,Andy Compton,Dylan Colo,Tyler Case,2,8,Tyler Lefeber,11,220004000,ss,NA,3b,lf,c,1b,dh,rf,2b,cf,Michael Dirkx," 66, Partly Cloudy, W SSE 17mph",Michael Dirkx
75,"Feb 18, 2011",simozrk2,2,Brewer,NA,Shemanske,Powers,Prusator,Morales,Prince,McIntyre,Mitchell,Guffey,2,6,Works,8,0000015000,rf,NA,lf,ss,dh,1b,c,cf,3b,2b,Erickson,univ. of the ozarks,Univ. of the Ozarks,Works,,10.0,Y,,"Clarksville, Ark. (Lonnie Qualls Field)",3:00 pm   ,2:35   ,,"simpson college
",Simpson College,Tyler Crandell,NA,Zach Smith,Dave Johnson,Brad Agan,Colton Calvert,Grant Thomas,Bobby Bieniek,Blake Heitmeier,Tyler Pawletzki,2,9,Chris Dorff,10,0200003013,cf,NA,2b,ss,dh,rf,c,1b,3b,lf,Kyle Ruehle,,Chris Dorff
