date,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
4/6/2019,Jack Lasswell,JJ Valencia,Kellen Mitchell,Thomas Kempf,Daulton Kvenvold,Jarad Clevenger,Jordan Goldstein,Zach McCoy,Josh Pawlowski,0,3,Nathan Schneiderman,7,12000000X,2b,rf,1b,dh,c,lf,3b,ss,cf/lf,Nick Sewruk,,"dubuque, univ. of",Tanner Jansen,,9,Nathan Schneiderman,"Dubuque, Iowa (Dan. W. Runkle Field)",3:30,2:00,,SIM,simpson,Brady Held,Josh Breitbarth,Truman Schmitt,Kolton Arnold,Devin Creger,Nathan Carlin,Zach Hollingsworth,Tyrese Moore,Richie Hintz,0,1,Brady Held,7,000000100,lf/p,dh,c,1b,3b,ss,rf,cf,2b,Tanner Jansen,Sunny 65,Nick Sewruk
4/20/2019,Noah Sacco,Josh Breitbarth,Truman Schmitt,Kolton Arnold,Nathan Carlin,Devin Creger,Brady Held,Zach Hollingsworth,Richie Hintz,2,5,Cameron Liston,7,000010040,lf,c,dh,1b,ss,3b,rf,cf,2b,Brady Leonard,SIM,simpson,Brady Leonard,,9,TJ Deardorff,"Indianola, Iowa (McBride Field)",1:00 pm,2:33,Home Plate: Mark BereendsFirst: Tim Sullivan,COE,coe,Kevin DeLaney,Riley LeGrand,Jordan Kaplan,Jacob Burns,Daniel Berger,Cameron Frazier,Nolan Arp,TJ Johnson,Gannon O'Brien,2,8,TJ Deardorff,10,030020300,rf,lf,1b,dh,c,cf,2b,ss,3b,Andrew Schmit,,Andrew Schmit
5/4/2019,Austin Konagel,Cole Thompson,Danny Paluch,Robbie Agerbeek,Dylan Pardoe,Luke Fennelly,Jake Oglesby,Bill Luzzo,Joe Egan,4,9,Brock Wanninger,12,100030302,2b,c,cf,1b,3b,ss,dh,lf,rf,Sam Marhefke,LOR,loras,Sam Marhefke,,9,Eybers,"Dubuque, Iowa (Petrakis Park)",1:00 PM,2:25,,WAR,wartburg,McNair,Ridge,Hovick,Nunemaker,Jeffery,Kelting,Butler,Harris,Baumann,2,14,Eybers,14,024140012,cf,ss,lf,rf,1b,dh,3b,2b,c,Kilpatrick,,Kilpatrick
3/8/2019,Luke Fennelly,Austin Konagel,Cole Thompson,Jake Oglesby,Robbie Agerbeek,Danny Paluch,Dylan Pardoe,Dakota Church,Joe Egan,0,9,Tanner Fallon,7,002403X,ss,2b,dh,lf,1b,cf,3b,c,rf,Erik Edminster,,loras,A. Rodriguez-Polanco,,7,,"Auburndale,Fla (Lake Myrtle Field #6)",6:35 PM,2:16,,,pitt-greensburg,Brody Bonadio,Mikey Sullivan,Tyler Holland,Chris Common,Evan Johnston,Griffin Clark,Jordan Cavanaugh,Daniel Kiester,Ben Green,2,8,Dylan DeRoss,10,3410000,2b,3b,1b,lf,dh,rf,c,ss,cf,Andy Prentice,Overcast 72 degrees,Tanner Fallon
4/6/2019,Johnson,Halverson,Plunkett,Athmann,Owen Vander Linden,"Hingst, B.",Schnobrich,Clark,Vogt,2,5,Loch,9,000030200,2b,ss,dh,c,1b,3b,rf/lf,lf/rf,cf,Bode,LUT,luther college,Bode,Bode faced 5 batters in the 5th.,9,Tanner Fallon,"Decorah, Iowa ()",3:15,2:35,,LOR,loras,Austin Konagel,Cole Thompson,Danny Paluch,Robbie Agerbeek,Dylan Pardoe,Church,Jake Oglesby,Luke Fennelly,Egan,1,8,Tanner Fallon,16,111040001,2b,dh,cf,1b,3b,c,lf,ss,rf,Wohlers,,Lopez
3/15/2019,Tyrese Moore,Kolton Arnold,Truman Schmitt,Josh Breitbarth,Nathan Carlin,Zach Hollingsworth,Devin Creger,Matthew Marquez,Richie Hintz,0,3,Brady Held,2,000102X,rf/cf,1b,dh,c,ss,cf,3b,lf,2b,Brady Held,,simpson,Eric Newman,,7,,"Kissimmee, Fla. (Osceola Park Stadium)",9:00 am,2:00,,,crown,Seth Betts,Levi Knott,Gideon Dunn,Kress Medina,Bailey Sarto,Brooks Repking,Camden Wiens,Chad Herrera,Kyle Schroedle,3,1,Eric Newman,4,1000000,ss,cf,lf,3b,2b,1b,dh,rf,c,Eric Newman,,Brady Held
4/28/2019,Kevin DeLaney,Riley LeGrand,Jordan Kaplan,Jacob Burns,TJ Johnson,Nolan Arp,Cameron Frazier,Daniel Berger,Jacob Henry,0,3,Jack Greene,7,00102000X,rf,lf,1b,dh,ss,2b,cf,c,3b,Jack Greene,COE,coe college,Sam Marhefke,,9,,"Cedar Rapids, Iowa (Daniels Park)",1 pm,1:40,Home Plate: Dean KirkpatrickFirst: Nathaniel Haveman,LOR,loras,Austin Konagel,Cole Thompson,Danny Paluch,Robbie Agerbeek,Dylan Pardoe,Luke Fennelly,Jake Oglesby,Bill Luzzo,Joe Egan,1,0,Garret Heer,3,000000000,2b,c,cf,1b,3b,ss,dh,lf,rf,Sam Marhefke,"upper 40s, cloudy",Jack Greene
3/16/2019,Matteson,Stuckart,Cross,Bethel,Arreazola,Warren,Hackbarth,Veit,Schramm,1,1,Wallace,8,000000001,1b,2b,3b,rf,ss,cf,dh,c,lf,Kraft,,northland,Kraft,,9,,"Carol Stream, Ill. ()",1:30 PM,3:55 pm,Home Plate: Bill LopinaFirst: Greg Godsil,LOR,loras,L. Fennelly,A. Konagel,C. Thompson,J. Oglesby,R. Agerbeek,D. Paluch,D. Church,D. Pardoe,J. Egan,0,7,B. Wanninger,12,120201001,ss,2b,dh,lf,1b,cf,c,3b,rf,C. Lilientha,37 degrees,C. Lilientha
3/25/2019,Luke Fennelly,Austin Konagel,Cole Thompson,Jake Oglesby,Robbie Agerbeek,Danny Paluch,Ryan Wohlers,Dylan Pardoe,Bill Luzzo,0,7,Ethan Peters,13,00101410X,ss,2b,c,dh,1b,cf,lf,3b,rf,Erik Edminster,,loras,C. Cech,,9,,"Dubuque, Iowa (Petrakis Park)",12:00 PM,2:05,,,neb. wesleyan,A. Nichols,S. Scheer,D. Kolbush,B. Johnson,J. Wojtalewi,R. Ward,W. Watkins,K. Knox,E. Gellatly,1,2,S. Condello,6,101000000,2b,rf,1b,lf,dh,ss,c,3b,cf,C. Cech,36 / Sunny,Erik Edminster
3/6/2019,TJ Johnson,Kevin DeLaney,Jordan Kaplan,Riley LeGrand,Jacob Burns,Daniel Berger,Isaac Evans,Gannon O'Brien,Nolan Arp,2,8,Jeffrey Anders,11,00004004X,ss,rf,1b,dh,lf,c,cf,3b,2b,Zach Kammin,,coe college,Kade Jones,,9,,"Sanford, Fla. (Sanford Stadium)",12:00 pm,,,,widener,Matt Samson,Brandon Reis,Stephen DeBellis,Nick D'Alessandro,Tommy McParland,Dylan Morrissette,Bryce Fremgen,Daren Wood,Brennan Taylor,2,2,Alex Zilli,4,001000100,rf,lf,2b,cf,3b/ss,c,1b,dh,ss,Kade Jones,,Zach Kammin
3/17/2019,Jake Vogt,Jake Halverson,Trent Athmann,Derek McCready,Bryce Hingst,Owen Vander Linden,Joe McKibben,Matt Clark,Kelby Johnson,0,9,Calvin Brinda,11,400032X,cf,ss,c,dh,3b,1b,lf,rf,2b,Kyle Bode,,luther college,Mike McCaffrey,,7,,"Tucson, Arizona (Kino Sports Complex)",,,,,wesleyan university,Alex Cappitelli,Jake Alonzo,Andrew Kauf,Ryan Earle,Danny Rose,Andrew Keith,Nick Valicenti,Jesse Levy-Rubinett,Jonny Corning,3,1,Peter DeLalio,5,1000000,rf,ss,1b,dh/p,lf,cf,c,3b,2b,Mike McCaffrey,,Kyle Bode
2/24/2019,Hoevelmann.J,Purschke. G,Penrod. J,"Puckett, Jr.",Dobbs. B,M. Tossick,Grimes. T,Chapman. L,Chambliss. T,0,8,Scott. T,9,10300130X,3b,cf,rf,lf,c,ss,1b,dh,2b,Summers. L,,fontbonne,Connor Cech,,9,,"St. Charles,Mo. (CarShield Field)",12:00 PM,2:20,,NWU,nebraska wesleyan,Evan Gellatly,Riley Ward,Tyler Winterstein,Derek Kolbush,Kaleb Knox,Brook Johnson,Will Watkins,Spencer Scheer,Aaron Nichols,2,3,Tucker McHugh,6,000000003,cf,ss,rf,1b,3b,lf,c,dh/3b,2b,Connor Cech,,Summers. L
3/1/2019,Singer,Nagel,Brinkman,Durbin,Gardner,Ostrander,LaMantia,Gray,DeSalvo,2,6,Howard,10,00012102X,rf,2b,3b/1b,ss,dh,cf,1b,lf,c,Howard,,washu,Chase Kueter,,9,,"St. Louis, Mo. (Kelly Field)",12 PM,2:02,,,"dubuque, univ. of",Jack Lasswell,Justin Jensen,Kellen Mitchell,Thomas Kempf,JJ Valencia,Daulton Kvenvold,Jarad Clevenger,Ian Meyer,Zach McCoy,2,2,Doug Knight,4,000000002,2b,cf,1b,dh,rf,c,lf,3b,ss,Chase Kueter,Low 40s,Howard
3/16/2019,Devyn Carper,Larry Corle,Adam Kipp,Isaac Maclay,Jake Swank,Ryan McClain,Sam Craig,Matt Innella,Joshua Gery,3,3,Austin Suders,9,000000120,cf,2b,dh,1b,ss,3b/2b,lf,rf,c,Drew Harshbarger,,juniata,Drew Harshbarger,,9,Ryan Riddle,"Auburndale, Fla. (Lake Myrtle Park #4)",10 a.m.,2:20,,CEN,central,Coy Moore,Trevor Kimm,Garrett Saunders,Tanner Wood,Jon Rozeboom,Ryan Bouwman,Chris Riddle,Kaiden Fiebelkorn,Lucas Farren,2,4,Ryan Riddle,5,010011010,cf,c,ss,rf,dh,1b,2b,3b,lf,Zach Edwards,,Zach Edwards
3/17/2019,Aaron Nichols,Riley Ward,Derek Kolbush,Will Watkins,Evan Gellatly,Kaleb Knox,Brook Johnson,Bradyn Thomas,Jackson Cummins,5,1,Hayden Parker,5,0100000,rf,ss,1b,dh,cf,3b,lf,2b,c,Connor Cech,,nebraska wesleyan,Connor Cech,,7,,"Tucson, Ariz. (Kino Stadium)",3:00 pm,2:05,,,hamline,Nolan Schoonveld,Cullen Buck,Zack Langton,Devin Rogers,Elliott Engren,Jake Dujmovic,Brody Russell,Avery Nelson,Cyle Hartwig,1,6,Jimmy Skroch,8,1001040,1b,2b,rf,cf,dh,ss,3b,lf,c,Jimmy Skroch,Sunny,Jimmy Skroch
4/26/2019,Jack Lasswell,JJ Valencia,Kellen Mitchell,Thomas Kempf,Zach McCoy,Jarad Clevenger,Josh Pawlowski,Luke Carroll,Jordan Goldstein,0,13,Nick Sewruk,15,064201X,2b,rf,1b,dh,ss,lf,cf,c,3b,Nick Sewruk,,"dubuque, univ. of",Riley Ward,,7,,"Dubuque, Iowa (Dan W. Runkle Field)",4:30,6:36,,NWU,nebraska wesleyan,Brook Johnson,Spencer Scheer,Tyler Winterstein,Derek Kolbush,Evan Gellatly,Kaleb Knox,Mason Bennet,Will Watkins,Daniel Hundley,2,3,Trey Pavlik,6,2000010,dh,lf,2b,1b,cf,3b,rf,c,ss,Riley Ward,"60, sunny",Nick Sewruk
5/11/2019,Kevin DeLaney,Riley LeGrand,Jordan Kaplan,Jacob Burns,Nolan Arp,Jacob Henry,TJ Johnson,Isaac Evans,Daniel Berger,1,10,Jeffrey Anders,16,00110413X,rf,lf,1b,dh,2b,3b,ss,cf,c,Jack Greene,,coe college,Chase Kueter,,9,,"Cedar Rapids, Iowa (Veterans Memorial)",10:00am,2:12,Home Plate: Rex EngstrandFirst: Josh MaraThird Base: Jon Fye,,u of dubuque,Jack Lasswell,Justin Jensen,Kellen Mitchell,Zach McCoy,Thomas Kempf,JJ Valencia,Jarad Clevenger,Luke Carroll,Jordan Goldstein,2,1,Nathan Schneiderman,5,000001000,2b,cf,1b,ss,dh,rf,lf,c,3b,Chase Kueter,light rain and 53 degrees,Jack Greene
4/20/2019,Brook Johnson,Riley Ward,Tyler Winterstein,Derek Kolbush,Spencer Scheer,Evan Gellatly,Kaleb Knox,Will Watkins,Aaron Nichols,3,30,Josh Seifert,26,(10)07265X,lf,p/dh,rf,1b,2b,cf,3b,c,ss,Riley Ward,NWU,nebraska wesleyan,Kyle Bode,,7,,"Lincoln, Neb. (NWU Field)",4:10 pm,3:00,Home Plate: Josh MunfordFirst: Matt Torres,LUT,luther,Kelby Johnson,Jake Halverson,Trent Athmann,Luke Plunkett,Bryce Hingst,Owen Vander Linden,Joe McKibben,Matt Clark,Jake Vogt,5,10,Matt Karnes,13,5023000,2b,ss,c,dh,3b,1b,lf,rf,cf,Kyle Bode,,Tucker McHugh
3/19/2019,Michael Gruber,Max Jackson,Joey Stock,Jack Schramel,Thomas Meland,Jack Wingerd,Hunter Lindquist,Ethan Roe,Aaron Kloeppner,1,4,Jake Dickmeyer,7,001001200,ss,cf,dh,3b,2b,lf,1b,c,rf,Nathan Brandecker,,saint john's univ.,Nathan Brandecker,,9,Bryce Rheault,"Tucson, Ariz. (Kino #6)",9 a.m.,2:10,,,buena vista univ.,Bryce Rheault,Nick Henrichs,Peyton Renning,Tyler Tennyson,Coleman Roberts,Tyler Stoltze,Ryley McGregor,Noah Paper,Easton Bahr,1,5,Bryce Rheault,15,022100000,2b/p,1b,cf,p/dh,rf,c,lf,ss,3b,Tyler Tennyson,,Egan Bonde
4/23/2019,Peyton Renning,Bryce Rheault,Joe Rock,Coleman Roberts,Nick Henrichs,Logan Mueller,Ryley McGregor,Tyler Stoltze,Easton Bahr,0,8,Austin Scott,14,01340000X,cf,2b,1b,rf,dh,3b,lf,c,ss,Tyler Tennyson,,buena vista univ.,Sam Condello,,9,,"Storm Lake, Iowa (BVU/SL HS BB Field)",3:30pm,2:20,Home Plate: Mark HarrisFirst: Taylor Sheeks,,neb. wesleyan univ.,Brook Johnson,Riley Ward,Tyler Winterstein,Derek Kolbush,Spencer Scheer,Evan Gellatly,Kaleb Knox,Will Watkins,Daniel Hundley,2,1,Drew Poulas,8,100000000,lf,ss,dh,1b,rf,cf,3b,c,2b,Sam Condello,,Tyler Tennyson
3/10/2019,Durbin,Nagel,Brinkman,Ostrander,Gray,Gardner,Singer,Kahal,Robinson,2,3,Tague,9,00101000001,ss,2b,1b,cf,rf,c,dh,3b,lf,Loutos,,washu,Nate Loch,,11,,"St. Louis, Mo. (Kelly Field)",12 PM,3:00,,LUT,luther,Jake Vogt,Jake Halverson,Trent Athmann,Bryce Hingst,Derek McCready,Joe McKibben,Tommy Gleason,Owen Vander Linden,Luke Plunkett,2,2,Calvin Brinda,5,01000001000,2b/cf,ss,rf,3b,dh,cf/lf,lf,1b,c,Colin Coffey,40 degrees and overcast,Tague
3/11/2019,Conor Maguire,David LeBlanc,Ethan Stoddard,Michael Schneider,Alex Chapman,Luke Covey,Nick Guerrette,Nolan Brown,Kobe Rogerson,1,0,Jacob Gauvin,8,0000000,rf,cf,3b,c,1b,dh,ss,lf,2b,Ryan Allender,,husson,Ryan Allender,,7,Ryan Riddle,"Leesburg, Fla. (Pat Thomas Field)",9:30 a.m,2:00,,CEN,central,Coy Moore,Trevor Kimm,Garrett Saunders,Tanner Wood,Jon Rozeboom,Ryan Bouwman,Joe Rebik,Chris Riddle,Kaiden Fiebelkorn,0,3,Ryan Riddle,7,0001200,cf,c,ss,rf,dh,1b,lf,2b,3b,Nick Long,,Nick Long
4/9/2019,Austin Konagel,Cole Thompson,Danny Paluch,Robbie Agerbeek,Dylan Pardoe,Dakota Church,Jake Oglesby,Luke Fennelly,Joe Egan,1,7,Tanner Fallon,12,00003013X,2b,dh,cf,1b,3b,c,lf,ss,rf,Curtis Lilienthal,LOR,loras,"Carey, A.","Carey, A. faced 1 batter in the 8th.",9,,"Dubuque, Iowa (Petrakis Park)",6:00 PM,2:30,,CEN,central,Moore,Bouwman,G. Saunders,Wood,Diemer,Rebik,Kimm,"Riddle, C.",Fiebelkorn,2,4,Wallace,9,011001001,cf,1b,ss,rf,dh,lf,c,2b,3b,Edwards,,Sam Marhefke
2/25/2019,Hoevelmann.J,Chambliss. T,Penrod. J,Dobbs. B,Chapman. L,M. Tossick,Grimes. T,Heine. G,Little. J,4,10,Scott. T,7,10144000X,3b,2b,rf,c,dh,ss,1b,cf,lf,Hughes. J,,fontbonne,Trey Pavlik,,9,,"St. Charles, Mo. (CarShield Field)",12:00 PM,3:02,,NWU,nebraska wesleyan,Evan Gellatly,Riley Ward,Tyler Winterstein,Derek Kolbush,Will Watkins,Spencer Scheer,Justin Bumgarner,Zach Plummer,Aaron Nichols,0,4,Josh Seifert,5,000102100,cf,ss,rf,3b,dh,lf,1b,c,2b/ss,Trey Pavlik,"Sunny, 38",Hughes. J
