No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Axis [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
115,1/29/20,15:47:27,0,0,Jake Schmit,{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,33.448,-3.739,-3.155,1938,210.117,1:00,1.767,-0.433,2.116,-0.812,0.397,0.218,,,30.325,-9.846,-1.498,,,,,,,,,,,,,-0.149,0.273,-0.374,15.24,1.693,1.768,-33.102,-2.376,-2.099,6.874,-5.973,Coe College,Coe College,,,,,{BD599B8B-271E-4C44-AD63-128C0CF19522},0.225,-0.085,
116,1/29/20,15:48:54,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,32.839,0.602,-2.582,2009,215.302,1:15,1.689,-0.189,1.632,-1.11,0.218,0.083,0.751,0.467,29.629,-7.574,-1.971,0.527,,,,,,,,,,,,-0.066,0.128,-0.119,15.24,1.696,1.436,-32.49,-0.042,-0.89,6.55,-8.066,Coe College,Coe College,,,,,{323FC87F-DCE4-4E44-A9A0-AC3983E730E7},0.467,0.751,
117,1/29/20,15:49:07,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,28.792,2.585,-3.877,2081,278.449,3:15,1.714,-0.553,1.553,-1.74,0.013,0.018,0.718,0.544,26.019,-10.142,-3.742,0.607,,,,,,,,,,,,-0.044,0.011,-0.441,15.24,1.773,1.919,-28.399,0.739,-0.451,5.175,-9.694,Coe College,Coe College,,,,,{6511DC68-B220-417B-88F6-78F8B18C849F},0.544,0.718,
118,1/29/20,15:49:22,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,29.555,2.475,-0.232,1548,248.13,2:15,1.605,-0.446,1.675,-1.506,0.124,0.212,0.805,-0.592,26.702,-8.649,1.344,0.584,,,,,,,,,,,,-0.115,0.068,-0.442,15.24,1.66,0.054,-29.249,0.806,-1.264,5.369,-9.058,Coe College,Coe College,,,,,{DED7007B-E9CF-482F-9220-05174B90DCB7},-0.592,0.805,
119,1/29/20,15:49:37,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,32.947,1.176,-2.746,1973,257.652,2:30,1.695,-0.343,1.543,-1.226,0.11,0.391,0.808,0.056,29.75,-7.799,0.128,0.528,,,,,,,,,,,,-0.228,0.064,-0.267,15.24,1.718,1.42,-32.574,0.224,-3.114,6.493,-8.927,Coe College,Coe College,,,,,{9C0E457A-6A1D-4298-B1D3-8B5452F6BE1B},0.056,0.808,
120,1/29/20,15:49:52,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{37E2F330-62B9-4473-9F8E-D9964157B019},,,
121,1/29/20,15:50:15,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,29.668,3.281,-0.633,1427,241.647,2:00,1.573,-0.489,1.629,-1.465,0.165,0.173,1.047,-0.481,26.595,-7.553,0.653,0.585,,,,,,,,,,,,-0.098,0.085,-0.473,15.24,1.651,0.27,-29.321,1.225,-1.072,5.563,-8.876,Coe College,Coe College,,,,,{DFD607E0-28D8-42E2-B0C4-A27001109BA3},-0.481,1.047,
122,1/29/20,15:50:28,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,32.673,1.849,-1.366,1968,248.983,2:15,1.699,-0.467,1.817,-1.163,0.147,0.272,1.059,-0.353,29.538,-6.812,0.666,0.523,,,,,,,,,,,,-0.159,0.08,-0.436,15.24,1.736,0.687,-32.376,0.683,-2.141,6.352,-8.722,Coe College,Coe College,,,,,{3FAAE37B-9DC1-4426-AA32-40685E7AABE9},-0.353,1.059,
123,1/29/20,15:50:42,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,28.642,4.251,-3.944,1930,299.161,4:00,1.666,-0.755,1.516,-1.902,-0.115,0.191,0.993,0.191,25.245,-9.805,-2.527,0.618,,,,,,,,,,,,-0.142,-0.059,-0.641,15.24,1.774,1.881,-28.145,1.505,-1.404,5.893,-10.387,Coe College,Coe College,,,,,{27F99D70-CA9E-44F8-B0B4-0A80FFBA7BC7},0.191,0.993,
124,1/29/20,15:50:58,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,29.831,2.599,-1.012,1541,209.563,1:00,1.575,-0.457,1.68,-1.247,0.353,0.145,1.07,-0.314,26.76,-6.647,0.069,0.579,,,,,,,,,,,,-0.086,0.191,-0.431,15.24,1.634,0.477,-29.511,0.959,-0.964,5.551,-7.682,Coe College,Coe College,,,,,{D58CB964-E302-4B49-AF58-25C5E310DE3E},-0.314,1.07,
