No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
11,2019/11/06,15:15:11,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,34.470,2.615,0.313,1928.00,169.767,11:45,1.652,0.305,1.977,-0.701,0.176,-0.032,1.401,0.446,31.160,-4.800,0.468,0.486,,,,,,,,,,,,0.023,0.129,-0.245,15.240,1.769,-0.550,-34.200,0.928,0.356,6.243,-7.840,"Coe College","Coe College",,,,,{1255A776-EF4C-4648-B00C-31A50BA8FEDE},-0.458,1.388
12,2019/11/06,15:15:27,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,34.467,-5.822,0.647,1962.00,190.998,12:15,2.105,0.119,2.013,-0.290,0.581,0.113,0.304,-0.144,31.579,-7.288,-2.579,0.484,,,,,,,,,,,,-0.083,0.427,-0.232,15.240,1.749,1.004,-34.172,-2.397,-1.272,6.000,-3.263,"Coe College","Coe College",,,,,{07446BA3-52A6-4C67-B382-F8C4473A892C},0.091,0.336
13,2019/11/06,15:16:18,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.238,-0.734,-2.682,2347.00,203.837,12:45,1.675,0.433,2.129,-0.420,0.467,0.206,0.663,-0.247,31.000,-6.886,-2.226,0.487,,,,,,,,,,,,-0.152,0.343,-0.435,15.240,1.693,1.987,-33.873,-1.127,-2.283,5.859,-4.644,"Coe College","Coe College",,,,,{00D06FE4-FAA7-44D6-BAA5-E20456C9F0CD},0.233,0.699
14,2019/11/06,15:16:46,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,33.852,2.159,0.227,1896.00,202.241,12:45,1.708,0.358,2.034,-0.642,0.264,0.108,1.432,0.428,30.572,-4.525,0.334,0.493,,,,,,,,,,,,-0.079,0.193,-0.384,15.240,1.726,0.159,-33.586,0.996,-1.167,5.949,-6.956,"Coe College","Coe College",,,,,{FBED96A3-3605-43E1-9000-99C272F97F4F},-0.435,1.449
15,2019/11/06,15:17:01,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,33.942,-0.689,-0.634,1717.00,186.158,12:15,1.696,0.344,2.133,-0.373,0.523,0.056,0.719,0.037,30.791,-6.704,-1.517,0.489,,,,,,,,,,,,-0.042,0.386,-0.448,15.240,1.646,1.038,-33.666,-0.962,-0.618,6.029,-4.085,"Coe College","Coe College",,,,,{20DBBFB4-D92E-4558-A797-B77D78800E66},-0.037,0.775
16,2019/11/06,15:17:15,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,34.456,-2.742,-1.477,1947.00,192.593,12:30,1.776,0.383,2.133,-0.546,0.323,0.072,0.294,0.022,31.441,-8.229,-1.145,0.482,,,,,,,,,,,,-0.053,0.238,-0.394,15.240,1.600,1.017,-34.218,-1.429,-0.815,6.192,-6.162,"Coe College","Coe College",,,,,{E0F5CCEF-40D7-4722-8E87-54634B0E677E},-0.018,0.329
17,2019/11/06,15:17:30,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,33.700,0.856,-0.506,1937.00,196.469,12:30,1.759,0.144,1.948,-0.615,0.307,0.091,1.069,-0.133,30.466,-6.168,-1.415,0.499,,,,,,,,,,,,-0.066,0.224,-0.207,15.240,1.792,0.928,-33.377,-0.012,-0.965,5.869,-6.546,"Coe College","Coe College",,,,,{0CD515D2-A310-495B-A6DC-C7A4D2012DE4},0.119,1.087
18,2019/11/06,15:17:55,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{9A9A8FF2-30AF-42A4-A2FE-0ED986D532A3},,
19,2019/11/06,15:18:06,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,33.937,-0.055,-1.729,1805.00,282.174,3:30,1.515,0.442,1.974,-0.988,-0.082,0.381,0.099,0.186,30.961,-10.366,0.255,0.494,,,,,,,,,,,,-0.279,-0.060,-0.459,15.240,1.605,1.506,-33.545,-0.885,-4.132,5.599,-10.701,"Coe College","Coe College",,,,,{9823C5D8-47A2-409E-9D2C-1057FE5658C2},-0.203,0.072
20,2019/11/06,15:18:21,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.409,-8.644,23.485,1347.00,,,2.664,-2.076,3.927,,,,,,,,,,,,,,,,,,,,,6.069,3.395,2.556,15.240,3.016,-22.332,-33.053,-11.082,89.074,4.312,40.016,"Coe College","Coe College",,,,,{370870C2-8A4F-4B84-A797-2E950382A061},1.743,2.166
