No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
237,2019/02/05,16:40:41,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nolan Arp",{A1B6A37E-99A5-4390-965B-6364925AA813},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,79.599,2.958,-3.322,1316.00,247.521,2:15,"3' 11""","1' 4""","7' 4""",-30.060,11.804,28.525,"4' 1""","0' 9""",71.633,-2.939,2.028,0.466,,,,,,,,,,,,-21.897,11.587,"-1' 3""",50',"4' 2""",6.479,-115.761,5.788,-23.717,21.721,-29.702,"Coe College","Coe College",,,,,{1E97C79B-C476-4D6D-917D-44D08D4BD36C},"0' 8""","3' 10"""
238,2019/02/05,16:41:02,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Nolan Arp",{A1B6A37E-99A5-4390-965B-6364925AA813},L,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,71.965,3.591,-3.390,2165.00,240.954,2:0,"3' 8""","1' 9""","7' 10""",-45.306,4.820,8.679,"3' 1""","0' 7""",64.757,-5.300,-1.809,0.509,,,,,,,,,,,,-12.382,11.575,"-1' 8""",50',"3' 10""",6.294,-104.780,6.266,-6.592,17.510,-33.206,"Coe College","Coe College",,,,,{83C55DAD-FD62-40F8-A0B9-F12B50DFCE6F},"0' 7""",3'
239,2019/02/05,16:41:21,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,70.108,1.781,-6.029,2034.00,283.033,3:30,"4' 4""","1' 8""","7' 4""",-57.746,-3.856,16.660,"1' 1""","-2' 5""",63.643,-9.312,-2.968,0.528,,,,,,,,,,,,-20.045,14.091,"-1' 4""",50',"4' 5""",10.077,-101.973,2.443,-9.968,15.730,-36.606,"Coe College","Coe College",,,,,{4AECD0D2-AF34-4CC6-B78B-6F4DEA0CD26D},"2' 5""","1' 2"""
240,2019/02/05,16:41:43,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,Single,,,,,,,77.661,2.980,-1.071,1648.00,312.112,4:30,"4' 1""","0' 8""","7' 5""",-49.160,-5.158,5.706,"2' 8""","0' 3""",69.953,-6.471,0.302,0.477,84.648,-0.727,-19.334,,,,,"36' 3""",,,0.301,-7.193,6.595,"0' 8""",50',"4' 3""",2.500,-113.007,5.154,-6.723,21.494,-39.237,"Coe College","Coe College",,,,,{6324B2DA-0D10-41A4-82F4-D24600D762CE},"0' 3""","2' 7"""
241,2019/02/05,16:42:17,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Luke Smailes",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,80.178,3.551,-6.143,,306.106,4:15,"3' 8""",2',"7' 5""",-73.640,-32.337,44.335,"0' 9""","0' 2""",72.813,-10.382,2.299,0.462,,,,,,,,,,,,-50.966,-9.395,"-1' 10""",50',"3' 9""",15.103,-115.575,6.342,-55.250,20.408,-61.718,"Coe College","Coe College",,,,,{93E2F33D-A53B-4C7E-8964-FE317EB1B923},"0' 6""","0' 8"""
242,2019/02/05,16:42:29,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Luke Smailes",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,"Coe College","Wind Up",,Top,,,,Changeup,,"Swinging Strike",,,,,,,74.464,0.997,-5.402,1276.00,247.797,2:15,"4' 5""","1' 10""",7',-32.030,16.487,40.393,"2' 8""","0' 3""",67.060,-5.419,1.915,0.501,,,,,,,,,,,,-25.139,19.871,"-1' 5""",50',"4' 6""",7.997,-108.447,2.000,-22.414,18.701,-26.848,"Coe College","Coe College",,,,,{32E08302-7744-4A38-ADFA-39E15D94E3AA},"0' 2""","2' 6"""
243,2019/02/05,16:42:45,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Luke Smailes",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,71.543,3.516,-1.299,2082.00,355.092,5:45,"4' 2""","1' 11""","6' 7""",-57.077,-4.375,0.376,"2' 7""","0' 9""",64.771,-7.344,-1.573,0.522,,,,,,,,,,,,2.409,2.519,"-1' 8""",50',"4' 3""",0.841,-104.606,6.755,4.323,17.747,-44.080,"Coe College","Coe College",,,,,{5D677842-CDFF-4F88-BD8F-2A59EF3C9902},"0' 9""","2' 5"""
244,2019/02/05,16:42:59,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Luke Smailes",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,"Coe College","Wind Up",,Top,,,,Fastball,,Single,,,,,,,78.746,-0.233,-4.639,,232.870,1:45,"4' 7""","1' 5""","7' 10""",-23.492,18.551,24.502,"2' 5""","0' 8""",71.071,-4.766,0.140,0.467,,,,,,,,,,,,-31.587,24.617,"-1' 3""",50',"4' 8""",10.406,-114.644,-0.786,-31.480,22.242,-20.900,"Coe College","Coe College",,,,,{6798CBE6-FB37-4190-8268-7F5C82C8550A},"0' 4""","2' 3"""
245,2019/02/05,16:43:27,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,73.695,3.675,-4.388,1144.00,272.818,3:0,"4' 2""","1' 10""","6' 8""",-51.293,-0.997,20.253,"3' 3""","0' 6""",66.146,-6.063,-0.500,0.510,,,,,,,,,,,,-21.623,10.775,"-1' 6""",50',"4' 5""",8.148,-106.828,5.647,-16.683,17.935,-34.352,"Coe College","Coe College",,,,,{CB6F1203-D6C2-4F0F-9051-FCED27846BA7},"0' 6""","3' 3"""
246,2019/02/05,16:43:40,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,71.548,3.806,-4.152,2031.00,293.745,3:45,"3' 11""","1' 11""","6' 10""",-56.949,-4.360,9.910,"2' 7""","-1' 1""",64.636,-7.060,-2.342,0.522,,,,,,,,,,,,-12.358,6.142,"-1' 7""",50',"4' 1""",6.933,-104.148,6.394,-5.572,16.073,-40.083,"Coe College","Coe College",,,,,{3F74538D-CB70-440C-B88D-47DE855E8EE0},"1' 1""","2' 6"""
