No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
1,2019/02/19,14:40:26,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","Nolan Weber",{E68D176A-E368-4272-985B-C5389034779D},L,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,85.957,3.174,-3.064,1158.00,323.681,4:45,"4' 5""","2' 8""","6' 3""",-66.416,-28.181,20.715,"1' 10""","1' 7""",77.254,-9.326,0.463,0.445,,,,,,,,,,,,-13.752,-15.469,"-2' 6""",50',"4' 6""",5.393,-123.666,7.432,-15.084,27.459,-71.683,"Coe College","Coe College",,,,,{03C42AE0-3853-4F3A-8D6A-556E54225B16},"-1' 7""","1' 7"""
2,2019/02/19,14:40:55,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","Nolan Weber",{E68D176A-E368-4272-985B-C5389034779D},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Contact Out",,,,,,,84.474,2.254,-6.635,3590.00,290.188,3:45,"4' 7""","3' 4""","7' 1""",-54.979,-16.433,44.691,"2' 1""","1' 1""",75.819,-8.132,1.791,0.447,,,,,,,,,,,,-35.859,-0.110,-3',50',"4' 8""",12.843,-121.531,3.989,-39.698,25.418,-50.557,"Coe College","Coe College",,,,,{332B7990-FF91-4EB2-818B-3921D1B202E2},"-1' 1""",2'
3,2019/02/19,14:41:31,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,70.964,1.225,-4.715,2444.00,42.617,7:30,"5' 1""","3' 3""","6' 8""",-56.598,-1.390,-1.279,"1' 6""","-1' 2""",63.680,-9.515,-5.023,0.535,,,,,,,,,,,,-10.157,12.464,"-2' 11""",50',"5' 1""",8.279,-102.832,1.983,-0.570,21.035,-39.000,"Coe College","Coe College",,,,,{9FAD3CF6-43AC-4242-8905-8A7F3712A22E},"1' 1""","1' 4"""
4,2019/02/19,14:41:49,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,84.025,-1.292,-5.361,2073.00,261.393,2:45,"5' 4""","3' 7""","7' 8""",-34.835,2.886,19.066,"1' 4""","0' 4""",75.984,-7.911,-1.557,0.442,,,,,,,,,,,,-33.870,18.688,"-3' 5""",50',"5' 3""",14.100,-121.440,-3.328,-34.011,25.160,-30.836,"Coe College","Coe College",,,,,{0AED0610-B091-4059-8E5B-BA8FCFD84E7C},"0' 6""","1' 3"""
5,2019/02/19,14:42:06,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,87.637,5.364,5.615,2128.00,111.156,9:45,"3' 10""","1' 3""","7' 2""",-16.624,21.640,-55.917,"7' 4""","1' 8""",75.228,2.030,-4.750,0.445,,,,,,,,,,,,113.967,20.759,"-1' 1""",50',"4' 2""",-26.651,-127.043,9.236,144.967,59.024,-6.740,"Coe College","Coe College",,,,,{5E986A7A-9B7B-4DAB-A42C-70E03253FFA5},"0' 5""","7' 6"""
6,2019/02/19,14:42:26,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,76.966,0.403,-1.352,2324.00,113.369,9:45,5',"3' 3""","6' 1""",-40.988,6.881,-15.925,2',"0' 8""",68.892,-7.441,-4.007,0.498,,,,,,,,,,,,-2.040,15.275,"-3' 2""",50',5',4.342,-111.665,0.772,3.757,24.892,-33.863,"Coe College","Coe College",,,,,{1A3D6E17-CC07-4AD9-B40F-A811E2644834},"0' 10""","1' 10"""
7,2019/02/19,14:43:05,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,83.724,1.019,-4.299,,253.521,2:30,"4' 11""","3' 3""","7' 4""",-35.456,2.894,9.783,"2' 10""","0' 2""",75.413,-5.813,-2.436,0.446,,,,,,,,,,,,-13.439,9.973,"-2' 11""",50',"4' 11""",8.189,-121.497,2.315,-9.056,26.836,-36.166,"Coe College","Coe College",,,,,{A2ABB119-7513-4612-B37F-FAD9834AA4BC},"0' 3""","2' 9"""
8,2019/02/19,14:43:30,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Contact Out",,,,,,,84.101,0.612,-2.567,2171.00,72.691,8:30,"4' 11""","2' 6""","7' 4""",-39.413,-1.631,-5.234,"2' 2""","0' 3""",76.056,-6.991,-3.311,0.442,62.861,24.484,11.455,,,,,"159' 6""",,,2.271,-6.887,11.016,"-2' 5""",50',"4' 11""",6.300,-122.311,0.868,-1.176,27.682,-36.584,"Coe College","Coe College",,,,,{352D29D6-F3ED-4F41-9388-4E7B7BC1AE3C},"0' 1""","2' 1"""
9,2019/02/19,14:44:16,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,84.947,0.029,-4.310,1986.00,254.391,2:30,"5' 1""","2' 9""","7' 4""",-34.334,3.016,10.795,"2' 3""","0' 3""",76.601,-6.566,-2.228,0.440,,,,,,,,,,,,-15.500,12.156,"-2' 6""",50',5',8.947,-122.997,0.216,-11.770,27.197,-35.465,"Coe College","Coe College",,,,,{2A256800-B6A5-4C09-B802-4B7D4433FAE4},"0' 2""","2' 1"""
10,2019/02/19,14:44:40,0,0,"Riley LeGrand",{24ACC51A-2541-446C-BA2C-8087FA840B67},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,70.037,3.512,-4.213,2469.00,58.104,8:0,"4' 6""","3' 2""","6' 5""",-60.442,-2.996,-4.814,"2' 8""","-1' 1""",62.427,-7.935,-5.167,0.545,,,,,,,,,,,,-4.718,3.395,"-2' 10""",50',"4' 8""",6.779,-101.391,6.302,3.913,20.094,-44.089,"Coe College","Coe College",,,,,{B67BB987-B39F-4D84-B084-1B4E3773949D},"1' 1""","2' 4"""
