No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
46,2019/11/20,15:28:24,0,0,"Jared Gordon",{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.695,1.255,0.781,1970.00,172.207,11:45,1.663,0.391,1.891,-0.374,0.506,-0.069,1.087,0.467,31.248,-5.738,-0.062,0.488,,,,,,,,,,,,0.050,0.369,-0.396,15.240,1.784,-0.362,-34.351,-0.515,0.772,6.791,-4.171,"Coe College","Coe College",,,,,{446F01EE-493E-4DEC-9F29-484F9EBB8383},-0.481,1.128
47,2019/11/20,15:28:43,0,0,"Jared Gordon",{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.412,1.036,0.692,1968.00,153.332,11:0,1.784,0.394,2.028,-0.415,0.471,-0.237,1.292,0.205,30.969,-4.984,-1.944,0.488,,,,,,,,,,,,0.173,0.345,-0.394,15.240,1.824,-0.224,-34.092,-0.051,2.619,6.521,-4.596,"Coe College","Coe College",,,,,{EB53A3EB-3448-4A0A-96E3-96139E7ADF31},-0.226,1.327
48,2019/11/20,15:29:02,0,0,"Jared Gordon",{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.643,0.229,-0.970,1976.00,190.011,12:15,1.569,0.543,1.817,-0.690,0.186,0.033,0.429,0.462,31.563,-8.658,0.475,0.488,,,,,,,,,,,,-0.024,0.135,-0.478,15.240,1.640,0.163,-34.508,-0.884,-0.368,6.851,-7.726,"Coe College","Coe College",,,,,{FED01E52-E222-4ADE-BED3-D31B49370797},-0.442,0.463
49,2019/11/20,15:32:21,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.508,-0.190,-0.419,2131.00,178.315,12:0,1.684,0.415,1.931,-0.282,0.410,-0.012,1.067,0.001,35.459,-4.468,-2.533,0.432,,,,,,,,,,,,0.009,0.299,-0.465,15.240,1.678,1.049,-39.070,-0.660,0.171,9.863,-3.991,"Coe College","Coe College",,,,,{03A37010-EE6F-48D8-9A7A-880AF0501A54},-0.033,1.097
50,2019/11/20,15:32:41,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.487,-2.147,-1.682,1916.00,183.814,12:15,1.829,0.327,1.986,-0.254,0.465,0.031,0.694,-0.311,34.803,-6.210,-2.820,0.440,,,,,,,,,,,,-0.023,0.341,-0.310,15.240,1.725,1.539,-38.135,-1.689,-0.423,9.207,-3.470,"Coe College","Coe College",,,,,{D8E42824-CD53-44CE-B7E1-689F89FEBCE9},0.283,0.746
51,2019/11/20,15:33:03,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.628,0.327,1.563,2227.00,162.556,11:30,1.712,0.405,1.852,-0.426,0.266,-0.084,1.170,0.566,35.538,-4.497,-0.295,0.433,,,,,,,,,,,,0.061,0.193,-0.499,15.240,1.696,-0.421,-39.254,-0.064,1.185,10.440,-6.039,"Coe College","Coe College",,,,,{BD5E1CBE-2059-49C3-A7C1-727652502B0F},-0.573,1.191
52,2019/11/20,15:33:26,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.771,-1.447,-0.074,2120.00,186.797,12:15,1.726,0.361,1.955,-0.216,0.496,0.059,0.738,0.153,34.970,-5.848,-1.415,0.438,,,,,,,,,,,,-0.043,0.362,-0.446,15.240,1.720,0.843,-38.409,-1.728,-0.815,9.279,-2.970,"Coe College","Coe College",,,,,{24F6DEE5-05EE-4982-B25D-439FC10870DF},-0.171,0.776
53,2019/11/20,15:33:48,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.230,-3.426,-0.127,2136.00,165.426,11:30,1.832,0.423,1.940,-0.035,0.661,-0.172,0.521,0.361,35.477,-6.093,-0.338,0.433,,,,,,,,,,,,0.125,0.481,-0.383,15.240,1.715,-0.383,-38.861,-2.758,2.422,9.423,-0.493,"Coe College","Coe College",,,,,{E7F3075F-2CC6-4C5A-AD25-F616A8B8CEB7},-0.343,0.571
54,2019/11/20,15:34:09,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.031,-4.052,-2.987,2084.00,203.820,12:45,1.813,0.536,2.003,0.066,0.770,0.340,0.551,0.015,35.195,-5.141,-0.696,0.435,,,,,,,,,,,,-0.247,0.559,-0.514,15.240,1.722,2.188,-38.580,-3.037,-4.738,8.959,0.921,"Coe College","Coe College",,,,,{3F6E22D8-75D2-4D9A-AA0A-AA1514E5952C},-0.017,0.574
55,2019/11/20,15:34:30,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.225,-2.197,-1.926,2153.00,186.390,12:15,1.709,0.305,2.014,0.098,0.784,0.088,0.537,-0.374,35.633,-6.386,-3.013,0.429,,,,,,,,,,,,-0.065,0.577,-0.357,15.240,1.775,2.061,-38.807,-3.226,-1.255,8.988,1.399,"Coe College","Coe College",,,,,{0FC05CAF-D51B-409C-8780-4DCDDF67B775},0.367,0.596
