No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/11/13,15:36:47,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.415,-2.003,-1.459,2458.00,193.869,12:30,1.798,0.441,1.934,-0.303,0.417,0.103,0.635,0.008,34.837,-6.508,-1.622,0.440,,,,,,,,,,,,-0.075,0.305,-0.426,15.240,1.706,1.268,-37.982,-1.682,-1.403,8.425,-4.128,"Coe College","Coe College",,,,,{699F3745-E372-43A9-A615-ABFF6F3FBCC3},-0.025,0.674
2,2019/11/13,15:37:02,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.972,-0.909,-3.033,2014.00,190.646,12:15,1.660,0.565,1.940,-0.292,0.444,0.083,0.722,-0.218,34.408,-6.042,-2.562,0.445,,,,,,,,,,,,-0.061,0.323,-0.471,15.240,1.682,1.872,-37.698,-1.449,-1.112,8.560,-3.894,"Coe College","Coe College",,,,,{6679B273-E7A9-4938-9472-45DD6178CD2A},0.206,0.754
3,2019/11/13,15:37:19,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.769,-1.329,-0.954,1513.00,192.141,12:30,1.734,0.533,2.014,-0.093,0.615,0.132,0.753,0.207,34.991,-5.929,-1.439,0.436,,,,,,,,,,,,-0.097,0.450,-0.566,15.240,1.793,1.191,-38.401,-2.174,-1.833,9.112,-1.290,"Coe College","Coe College",,,,,{94BC45D7-7D4B-4455-AE62-6B74C00D1F6A},-0.234,0.807
4,2019/11/13,15:37:37,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.451,-1.028,-2.392,2131.00,203.652,12:45,1.751,0.608,1.972,-0.270,0.456,0.200,0.877,0.115,34.582,-5.470,-1.125,0.442,,,,,,,,,,,,-0.145,0.330,-0.567,15.240,1.718,1.638,-38.082,-1.223,-2.701,8.788,-3.643,"Coe College","Coe College",,,,,{6FB5B924-3918-4A0C-815C-08EB8A6C7D00},-0.124,0.915
5,2019/11/13,15:37:58,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.444,-3.737,-0.883,2150.00,185.447,12:15,1.805,0.444,2.067,0.220,0.936,0.089,0.558,0.113,34.793,-5.386,-1.517,0.437,,,,,,,,,,,,-0.065,0.686,-0.493,15.240,1.814,1.151,-38.125,-3.573,-1.224,8.865,3.021,"Coe College","Coe College",,,,,{7AE24CAF-96D5-4554-B5BA-E91CE78F2488},-0.125,0.608
6,2019/11/13,15:38:16,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.450,-1.945,-3.544,2199.00,255.509,2:30,1.470,0.560,2.047,-0.548,0.175,0.676,0.085,-0.098,34.724,-8.165,-0.921,0.440,,,,,,,,,,,,-0.494,0.128,-0.610,15.240,1.417,3.497,-37.819,-1.705,-9.170,8.103,-7.440,"Coe College","Coe College",,,,,{7704BA3B-F744-43C8-BA10-73E02778B26A},0.054,0.095
7,2019/11/13,15:38:33,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.142,-0.144,-1.322,2502.00,186.529,12:15,1.684,0.555,2.014,-0.170,0.565,0.065,1.030,0.159,34.235,-4.804,-1.545,0.444,,,,,,,,,,,,-0.047,0.413,-0.547,15.240,1.735,1.080,-37.715,-1.145,-0.863,8.897,-2.269,"Coe College","Coe College",,,,,{B8A54092-83C3-4C1C-A08C-5776E1D2EC6A},-0.175,1.069
8,2019/11/13,15:39:13,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.816,-2.104,-2.145,2149.00,216.852,1:15,1.729,0.528,2.113,-0.178,0.525,0.393,0.572,0.133,35.073,-6.424,-0.583,0.433,,,,,,,,,,,,-0.290,0.387,-0.544,15.240,1.715,2.065,-38.338,-2.249,-5.492,8.816,-2.483,"Coe College","Coe College",,,,,{AB7BAE76-2EAB-44B8-8514-57CECC8055DB},-0.159,0.600
9,2019/11/13,15:39:35,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.706,-0.994,0.848,2031.00,188.053,12:15,1.738,0.527,2.083,-0.285,0.435,0.061,0.954,0.578,34.588,-4.907,-0.412,0.438,,,,,,,,,,,,-0.045,0.317,-0.570,15.240,1.709,0.023,-38.251,-1.013,-0.838,9.462,-3.884,"Coe College","Coe College",,,,,{B308DC41-236B-4B27-A86D-1B600947F16A},-0.630,0.973
10,2019/11/13,15:39:58,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.203,-2.239,-1.940,2203.00,202.849,12:45,1.831,0.463,2.082,-0.189,0.499,0.210,0.945,-0.053,35.393,-4.313,-1.776,0.429,,,,,,,,,,,,-0.155,0.368,-0.469,15.240,1.755,1.854,-38.724,-1.459,-2.996,9.074,-2.699,"Coe College","Coe College",,,,,{52EF0BCF-6E6C-4980-84C3-6297FB4A68B3},0.034,0.952
