No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
1,2019/02/25,15:42:17,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,81.595,1.649,-2.934,1476.00,213.036,1:0,"4' 10""","2' 6""","5' 9""",-32.596,10.121,6.582,"3' 8""","0' 4""",73.247,-4.501,-1.702,0.470,,,,,,,,,,,,-12.201,14.005,"-2' 4""",50',"4' 11""",6.396,-118.354,2.940,-9.323,24.545,-29.400,"Coe College","Coe College",,,,,{B7F023C1-F0E5-47C8-BCE0-83A474ED4436},"0' 5""","3' 6"""
2,2019/02/25,15:43:06,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,83.256,0.938,-3.605,1692.00,328.281,5:0,"4' 6""","1' 11""","5' 8""",-53.890,-12.739,7.873,"0' 11""","0' 10""",75.294,-9.038,-2.122,0.462,,,,,,,,,,,,-13.226,5.017,"-1' 8""",50',"4' 6""",7.628,-120.570,1.045,-9.532,25.533,-46.857,"Coe College","Coe College",,,,,{9867E145-F77F-46F0-B289-CC5A872CB5B8},"0' 9""","0' 11"""
3,2019/02/25,15:43:29,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,85.623,-1.159,-8.862,1841.00,281.391,3:30,"5' 3""",3',"6' 1""",-48.348,-9.290,46.112,"0' 2""","-1' 5""",77.298,-10.157,-0.398,0.450,,,,,,,,,,,,-43.108,16.563,"-2' 4""",50',"5' 2""",17.933,-122.715,-4.533,-44.495,27.694,-35.907,"Coe College","Coe College",,,,,{8751AAA4-CDCD-4C05-9131-44AAA21A9FBE},"1' 4""","0' 3"""
4,2019/02/25,15:43:55,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,82.983,0.964,-5.926,1693.00,305.910,4:15,"4' 6""","2' 6""","6' 3""",-59.647,-18.940,26.155,"0' 5""","0' 10""",75.157,-10.222,-1.241,0.459,,,,,,,,,,,,-24.649,3.544,-2',50',"4' 6""",11.398,-119.863,0.770,-22.307,22.910,-50.001,"Coe College","Coe College",,,,,{DAB5D201-A4E2-4496-B723-C134173B122E},"0' 9""","0' 5"""
5,2019/02/25,15:44:10,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,83.989,0.222,-3.411,1836.00,263.939,2:45,"4' 11""","2' 2""","5' 10""",-38.931,1.004,9.457,"1' 10""","0' 2""",76.042,-7.027,-1.517,0.455,71.324,23.298,-4.826,,,,,"199' 8""",,,2.587,-15.041,10.774,"-1' 11""",50',"4' 10""",7.651,-121.820,0.191,-13.000,25.183,-38.171,"Coe College","Coe College",,,,,{A57CFC83-9B4B-4B35-8D6A-9035763F8237},"0' 1""","1' 8"""
6,2019/02/25,15:44:49,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,73.629,1.820,-2.232,,67.005,8:15,"5' 1""","1' 10""","4' 9""",-57.709,-3.675,-8.659,2',-1',66.414,-8.792,-3.658,0.529,,,,,,,,,,,,-2.759,11.212,"-1' 7""",50',"5' 2""",4.645,-107.302,2.181,3.256,20.986,-38.757,"Coe College","Coe College",,,,,{BA55E581-BCC2-46DD-8FFE-79BE3E13BCBD},"0' 11""","1' 11"""
7,2019/02/25,15:45:08,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,83.390,1.026,-5.979,1993.00,309.692,4:15,"4' 6""","2' 3""","6' 1""",-52.263,-11.622,14.003,"1' 1""","-2' 2""",75.329,-8.630,-3.114,0.459,,,,,,,,,,,,-23.591,8.990,"-1' 10""",50',"4' 7""",12.903,-120.587,0.473,-18.108,26.107,-41.112,"Coe College","Coe College",,,,,{0C2725C0-DB08-4B7B-B4B3-EF93F398F2EC},2',"1' 2"""
8,2019/02/25,15:45:28,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,84.220,-0.037,-2.430,1822.00,166.564,11:30,"5' 1""","2' 1""","5' 6""",-24.876,15.872,-3.792,3',"0' 6""",75.521,-4.749,-3.079,0.459,,,,,,,,,,,,-6.979,17.915,"-1' 11""",50',5',5.850,-121.982,0.024,-2.101,28.505,-26.144,"Coe College","Coe College",,,,,{6ACFD2E7-ADC6-4AA7-935B-AAFEEABA1523},"0' 4""","2' 10"""
9,2019/02/25,15:45:46,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,84.537,0.584,-3.949,1755.00,296.224,3:45,"4' 6""","2' 6""","6' 9""",-47.612,-9.061,18.396,"1' 1""","0' 5""",76.236,-8.397,-0.415,0.447,,,,,,,,,,,,-19.716,8.381,"-2' 3""",50',"4' 7""",8.384,-122.341,0.244,-19.890,26.614,-42.139,"Coe College","Coe College",,,,,{0065DC59-2BBA-4B95-826C-1BA70A4D3001},"0' 6""","1' 1"""
10,2019/02/25,15:46:02,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,85.098,-0.370,-4.156,1690.00,211.467,1:0,"5' 1""","2' 3""","5' 9""",-29.300,10.465,6.405,"2' 3""","-1' 1""",76.337,-5.886,-2.967,0.454,,,,,,,,,,,,-15.935,16.016,"-1' 11""",50',5',9.379,-122.702,-0.696,-11.794,27.513,-30.273,"Coe College","Coe College",,,,,{7BEB724B-911E-4E2F-AAFF-7268CCC1599D},1',"2' 2"""
