No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/10/23,15:16:17,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,36.932,1.735,-3.996,1827.00,268.759,3:0,1.541,0.762,1.790,-1.028,0.012,0.558,1.006,0.187,33.445,-5.850,0.038,0.460,,,,,,,,,,,,-0.512,0.060,-0.711,15.240,1.646,3.020,-36.489,0.306,-8.908,7.091,-8.766,"Coe College","Coe College",,,,,{62CD9AFD-7831-4E17-BA0B-0933F5A23091},-0.230,0.991
2,2019/10/23,15:16:29,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,36.717,3.720,-3.634,1756.00,299.281,4:0,1.501,0.666,1.858,-1.315,-0.272,0.486,1.238,0.126,33.233,-5.950,-0.014,0.461,,,,,,,,,,,,-0.479,-0.016,-0.635,15.240,1.648,2.874,-36.291,1.234,-8.305,6.592,-10.091,"Coe College","Coe College",,,,,{6A26BAE2-BAA3-41AC-8224-0B841E48FA9A},-0.163,1.263
3,2019/10/23,15:16:44,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,36.263,-1.436,-3.838,1710.00,210.028,1:0,1.718,0.764,1.776,-0.582,0.493,0.285,0.728,-0.040,32.970,-5.781,-1.736,0.468,,,,,,,,,,,,-0.468,0.227,-0.764,15.240,1.678,3.422,-35.827,-0.967,-7.913,6.341,-5.975,"Coe College","Coe College",,,,,{AE0EFE19-A5E9-4A49-ABEB-421C4E547A90},-0.024,0.711
4,2019/10/23,15:17:17,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,37.341,1.408,-3.300,1844.00,248.721,2:15,1.607,0.820,1.855,-0.843,0.163,0.418,1.162,0.307,33.849,-4.839,-0.191,0.453,,,,,,,,,,,,-0.315,0.107,-0.716,15.240,1.708,2.064,-37.055,0.284,-5.631,7.642,-7.902,"Coe College","Coe College",,,,,{238FE779-C10F-4BB9-9EB3-9E00E5B60DB8},-0.345,1.138
5,2019/10/23,15:17:36,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,36.902,-2.012,-4.252,1794.00,221.542,1:30,1.743,0.540,1.818,-0.587,0.448,0.397,0.586,-0.267,33.599,-6.430,-1.413,0.459,,,,,,,,,,,,-0.422,0.329,-0.521,15.240,1.731,3.340,-36.499,-1.843,-7.362,7.017,-4.079,"Coe College","Coe College",,,,,{DE412C3E-6D6A-4F4E-96B1-F0AFA541FA2E},0.233,0.586
6,2019/10/23,15:17:49,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,37.084,0.081,-2.768,1829.00,248.135,2:15,1.614,0.719,1.787,-0.882,0.147,0.367,0.755,0.302,33.674,-6.436,-0.082,0.458,,,,,,,,,,,,-0.293,0.055,-0.679,15.240,1.605,1.928,-36.753,-0.199,-5.158,7.308,-8.833,"Coe College","Coe College",,,,,{EF35E759-B0C8-417F-BF87-5D0CD48CBE8B},-0.325,0.741
7,2019/10/23,15:18:00,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,36.939,0.213,-3.180,1803.00,247.549,2:15,1.640,0.755,1.858,-0.849,0.176,0.426,0.851,0.284,33.585,-6.009,0.100,0.457,,,,,,,,,,,,-0.343,0.158,-0.723,15.240,1.669,2.285,-36.631,-0.453,-6.002,7.205,-7.042,"Coe College","Coe College",,,,,{2BFAFEEB-8F23-4504-99B8-8ACFECD45E24},-0.294,0.852
8,2019/10/23,15:18:15,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,36.608,0.270,-2.153,1840.00,228.137,1:30,1.592,0.600,1.793,-0.871,0.185,0.206,0.798,0.196,33.202,-6.142,-0.460,0.464,,,,,,,,,,,,-0.250,0.255,-0.577,15.240,1.666,1.746,-36.230,-0.859,-4.306,6.805,-5.425,"Coe College","Coe College",,,,,{28BAADBE-7AA8-4358-B699-4054B1544F2D},-0.223,0.808
9,2019/10/23,15:18:27,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Two Seam Fastball",,,,,,,,,35.981,0.183,-3.762,1775.00,268.264,3:0,1.641,0.762,1.829,-1.065,0.018,0.609,0.627,0.308,32.750,-7.674,0.689,0.470,,,,,,,,,,,,-0.387,0.049,-0.663,15.240,1.713,2.169,-35.621,-0.622,-6.441,6.588,-8.996,"Coe College","Coe College",,,,,{4F10B804-4913-403C-84AD-DF12F346D35F},-0.328,0.600
10,2019/10/23,15:18:47,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",-,,Top,,,,"Four Seam Fastball",,,,,,,,,37.291,0.409,-0.518,2011.00,204.068,12:45,1.582,0.552,1.827,-0.715,0.302,0.135,0.983,0.540,33.718,-4.939,0.496,0.455,,,,,,,,,,,,-0.138,0.366,-0.573,15.240,1.679,0.561,-37.008,-0.926,-2.454,7.927,-3.324,"Coe College","Coe College",,,,,{F5FDCD01-CE99-4BC3-9845-79E6850E80ED},-0.553,0.999
