No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [km/h]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [cm]","Pitch Break Ind (V) [cm]","Pitch Break (H) [cm]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [km/h]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [km/h]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [cm]","pfxz [cm]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/11/06,15:11:18,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,129.019,-1.834,0.396,1787.00,201.204,12:45,1.920,-0.059,2.205,-18.051,61.453,23.841,0.769,0.104,117.782,-6.781,0.810,0.460,,,,,,,,,,,,-17.668,45.543,-0.028,15.240,1.942,0.421,-35.619,-2.131,-2.942,6.504,-2.227,"Coe College","Coe College",,,,,{E1E06124-B32A-4DFF-8C8E-B9910EBB76C0},-0.121,0.810
2,2019/11/06,15:11:43,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,131.975,-0.915,-2.484,1969.00,293.161,3:45,1.544,0.182,2.255,-98.029,-21.304,49.798,0.154,-0.304,120.336,-9.441,-0.744,0.451,,,,,,,,,,,,-36.858,-15.768,-0.246,15.240,1.472,2.572,-36.357,-0.465,-6.367,7.049,-12.534,"Coe College","Coe College",,,,,{9E673DB8-CB74-459A-B754-2E2B31918158},0.272,0.144
3,2019/11/06,15:11:56,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,133.262,-2.147,-2.649,1940.00,205.836,12:45,1.818,0.134,2.333,-21.952,52.431,25.387,0.731,-0.367,121.389,-5.964,-0.872,0.443,,,,,,,,,,,,-19.048,39.339,-0.090,15.240,1.832,1.744,-36.692,-1.990,-3.348,7.239,-2.895,"Coe College","Coe College",,,,,{98CF4752-D4A8-4C69-B435-3218DCADAB62},0.347,0.738
4,2019/11/06,15:12:17,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,133.054,-1.260,1.163,2109.00,209.124,1:0,1.853,-0.090,2.371,-15.780,58.110,32.376,1.003,0.173,121.374,-5.211,0.767,0.441,,,,,,,,,,,,-24.330,43.670,-0.055,15.240,1.906,0.549,-36.751,-1.651,-4.298,7.140,-2.095,"Coe College","Coe College",,,,,{68CB2D42-DE61-487C-BCB4-1138F33BFEB9},-0.203,1.028
5,2019/11/06,15:13:23,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,125.539,-1.649,0.342,1843.00,181.576,12:0,1.667,0.469,2.052,0.120,86.007,2.367,0.541,0.674,113.801,-6.713,1.205,0.480,,,,,,,,,,,,-1.724,62.637,-0.430,15.240,1.766,-0.507,-34.683,-2.630,-0.270,6.551,0.014,"Coe College","Coe College",,,,,{D7593FEB-A6A0-42BD-AC3E-1DAC554FF712},-0.682,0.595
6,2019/11/06,15:13:35,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,123.529,0.102,0.775,1776.00,169.028,11:45,1.624,0.211,2.057,-21.942,66.439,-12.880,0.976,0.136,111.597,-5.058,-1.403,0.487,,,,,,,,,,,,9.479,48.896,-0.266,15.240,1.717,-0.058,-33.997,-1.006,1.430,6.248,-2.435,"Coe College","Coe College",,,,,{00E4E975-C1B6-4A7A-860F-CA8072504B3D},-0.145,1.009
7,2019/11/06,15:14:00,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,125.988,-0.511,-1.941,1776.00,181.810,12:0,1.697,0.388,1.979,-8.316,76.934,2.431,0.968,-0.134,114.067,-4.989,-1.724,0.479,,,,,,,,,,,,-1.784,56.441,-0.363,15.240,1.767,1.199,-34.616,-1.485,-0.280,6.293,-0.957,"Coe College","Coe College",,,,,{DEA05FB3-B763-4B67-91E8-290CD76278E2},0.143,1.010
8,2019/11/06,15:14:12,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,125.730,-0.059,2.676,1830.00,157.936,11:15,1.678,0.158,2.013,-38.126,47.426,-19.223,0.748,0.603,114.065,-6.949,0.488,0.479,,,,,,,,,,,,14.099,34.785,-0.290,15.240,1.682,-1.169,-34.703,-0.963,2.204,6.819,-4.372,"Coe College","Coe College",,,,,{15B8F71A-8381-44C1-AD6C-FA6A57E47A71},-0.592,0.817
9,2019/11/06,15:14:43,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,124.791,-0.281,-0.966,1990.00,182.334,12:0,1.668,0.473,2.073,-37.555,48.652,1.983,0.875,0.106,113.135,-5.746,-1.635,0.481,,,,,,,,,,,,-1.461,35.861,-0.484,15.240,1.663,0.858,-34.376,-0.720,-0.226,6.317,-4.274,"Coe College","Coe College",,,,,{9055863F-6A8F-4601-BE05-FFA193A429E1},-0.121,0.908
10,2019/11/06,15:14:57,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,123.056,-0.626,0.320,1963.00,190.436,12:15,1.642,0.451,1.934,-45.800,43.231,7.963,0.500,0.509,112.163,-7.849,0.133,0.490,,,,,,,,,,,,-5.835,31.682,-0.452,15.240,1.690,0.000,-34.029,-1.371,-0.877,6.544,-5.047,"Coe College","Coe College",,,,,{AB9C0A56-58A4-45EA-A261-DCC89C19133B},-0.543,0.544
11,2019/11/06,15:15:11,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,124.092,2.615,0.313,1928.00,169.767,11:45,1.652,0.305,1.977,-70.061,17.610,-3.179,1.401,0.446,112.175,-4.800,0.468,0.486,,,,,,,,,,,,2.327,12.892,-0.245,15.240,1.769,-0.550,-34.200,0.928,0.356,6.243,-7.840,"Coe College","Coe College",,,,,{1255A776-EF4C-4648-B00C-31A50BA8FEDE},-0.458,1.388
12,2019/11/06,15:15:27,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,124.082,-5.822,0.647,1962.00,190.998,12:15,2.105,0.119,2.013,-28.957,58.109,11.293,0.304,-0.144,113.683,-7.288,-2.579,0.484,,,,,,,,,,,,-8.306,42.736,-0.232,15.240,1.749,1.004,-34.172,-2.397,-1.272,6.000,-3.263,"Coe College","Coe College",,,,,{07446BA3-52A6-4C67-B382-F8C4473A892C},0.091,0.336
13,2019/11/06,15:16:18,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,123.255,-0.734,-2.682,2347.00,203.837,12:45,1.675,0.433,2.129,-41.983,46.707,20.636,0.663,-0.247,111.599,-6.886,-2.226,0.487,,,,,,,,,,,,-15.154,34.298,-0.435,15.240,1.693,1.987,-33.873,-1.127,-2.283,5.859,-4.644,"Coe College","Coe College",,,,,{00D06FE4-FAA7-44D6-BAA5-E20456C9F0CD},0.233,0.699
14,2019/11/06,15:16:46,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,121.868,2.159,0.227,1896.00,202.241,12:45,1.708,0.358,2.034,-64.225,26.351,10.776,1.432,0.428,110.059,-4.525,0.334,0.493,,,,,,,,,,,,-7.908,19.337,-0.384,15.240,1.726,0.159,-33.586,0.996,-1.167,5.949,-6.956,"Coe College","Coe College",,,,,{FBED96A3-3605-43E1-9000-99C272F97F4F},-0.435,1.449
15,2019/11/06,15:17:01,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,122.190,-0.689,-0.634,1717.00,186.158,12:15,1.696,0.344,2.133,-37.323,52.305,5.643,0.719,0.037,110.849,-6.704,-1.517,0.489,,,,,,,,,,,,-4.169,38.640,-0.448,15.240,1.646,1.038,-33.666,-0.962,-0.618,6.029,-4.085,"Coe College","Coe College",,,,,{20DBBFB4-D92E-4558-A797-B77D78800E66},-0.037,0.775
16,2019/11/06,15:17:15,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,124.042,-2.742,-1.477,1947.00,192.593,12:30,1.776,0.383,2.133,-54.556,32.298,7.215,0.294,0.022,113.189,-8.229,-1.145,0.482,,,,,,,,,,,,-5.321,23.819,-0.394,15.240,1.600,1.017,-34.218,-1.429,-0.815,6.192,-6.162,"Coe College","Coe College",,,,,{E0F5CCEF-40D7-4722-8E87-54634B0E677E},-0.018,0.329
17,2019/11/06,15:17:30,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,121.319,0.856,-0.506,1937.00,196.469,12:30,1.759,0.144,1.948,-61.549,30.690,9.073,1.069,-0.133,109.678,-6.168,-1.415,0.499,,,,,,,,,,,,-6.619,22.391,-0.207,15.240,1.792,0.928,-33.377,-0.012,-0.965,5.869,-6.546,"Coe College","Coe College",,,,,{0CD515D2-A310-495B-A6DC-C7A4D2012DE4},0.119,1.087
18,2019/11/06,15:17:55,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{9A9A8FF2-30AF-42A4-A2FE-0ED986D532A3},,
19,2019/11/06,15:18:06,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,122.171,-0.055,-1.729,1805.00,282.174,3:30,1.515,0.442,1.974,-98.797,-8.230,38.148,0.099,0.186,111.460,-10.366,0.255,0.494,,,,,,,,,,,,-27.897,-6.018,-0.459,15.240,1.605,1.506,-33.545,-0.885,-4.132,5.599,-10.701,"Coe College","Coe College",,,,,{9823C5D8-47A2-409E-9D2C-1057FE5658C2},-0.203,0.072
20,2019/11/06,15:18:21,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,134.672,-8.644,23.485,1347.00,,,2.664,-2.076,3.927,,,,,,,,,,,,,,,,,,,,,606.923,339.498,2.556,15.240,3.016,-22.332,-33.053,-11.082,89.074,4.312,40.016,"Coe College","Coe College",,,,,{370870C2-8A4F-4B84-A797-2E950382A061},1.743,2.166
21,2019/11/06,15:18:36,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,119.331,-1.787,-0.522,1704.00,163.065,11:30,1.782,0.257,2.086,-28.270,66.747,-20.324,0.525,0.017,108.006,-7.547,-1.397,0.504,,,,,,,,,,,,15.003,49.271,-0.206,15.240,1.792,-0.082,-32.814,-1.926,2.098,6.061,-2.919,"Coe College","Coe College",,,,,{2B971693-834D-4603-BF1F-9B83F82CBFB8},-0.012,0.558
22,2019/11/06,15:18:49,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,121.061,-0.522,-0.397,1919.00,180.678,12:0,1.718,0.292,2.069,-24.556,66.581,0.788,0.790,0.138,110.034,-6.466,-0.900,0.494,,,,,,,,,,,,-0.581,49.114,-0.293,15.240,1.807,0.346,-33.373,-1.505,-0.085,5.800,-2.643,"Coe College","Coe College",,,,,{F4A16D98-A689-422D-8F14-49F09EB20119},-0.142,0.829
23,2019/11/06,15:19:01,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,120.163,1.228,0.654,1910.00,191.666,12:30,1.628,0.321,2.097,-44.957,47.345,9.775,1.093,0.324,108.910,-5.467,-0.586,0.497,,,,,,,,,,,,-7.222,34.980,-0.415,15.240,1.719,0.408,-33.119,-0.176,-1.039,5.659,-4.778,"Coe College","Coe College",,,,,{430D4704-6166-452B-88A0-B2496C352B72},-0.338,1.119
24,2019/11/06,15:19:12,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,122.604,-0.782,-0.859,1968.00,188.618,12:15,1.726,0.432,2.117,-25.192,63.321,9.597,0.725,0.391,111.586,-6.751,0.641,0.487,,,,,,,,,,,,-7.114,46.940,-0.436,15.240,1.784,0.418,-33.795,-1.549,-1.064,5.996,-2.792,"Coe College","Coe College",,,,,{210A2353-7942-44C7-A55F-5564331C6FD6},-0.356,0.785
25,2019/11/06,15:22:14,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,141.226,-2.262,-0.440,1404.00,175.588,11:45,1.830,0.297,1.969,-16.373,52.592,-4.058,0.835,0.160,127.859,-5.035,-0.586,0.431,,,,,,,,,,,,2.959,38.345,-0.233,15.240,1.851,0.046,-38.864,-2.102,0.577,8.921,-2.329,"Coe College","Coe College",,,,,{883B40B7-B273-417F-B548-0902CEB37332},-0.169,0.826
26,2019/11/06,15:22:46,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,140.864,0.530,-0.135,1395.00,165.907,11:30,1.696,0.467,1.928,-36.103,33.095,-8.309,1.234,0.553,127.448,-4.067,0.788,0.432,,,,,,,,,,,,6.051,24.102,-0.356,15.240,1.807,-0.724,-38.898,-0.455,1.178,9.224,-5.118,"Coe College","Coe College",,,,,{55875B82-C64C-4708-8A15-6A450AD826B0},-0.551,1.216
27,2019/11/06,15:23:14,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,140.467,-1.732,-1.152,2098.00,264.922,2:45,1.658,0.531,1.973,-67.474,2.030,22.850,0.478,0.068,127.606,-6.929,-2.201,0.433,,,,,,,,,,,,-16.685,1.483,-0.585,15.240,1.539,1.839,-38.600,-0.736,-3.225,8.482,-9.523,"Coe College","Coe College",,,,,{5EB231C8-70E4-48E2-B67B-D8B528EFD6A7},-0.107,0.476
28,2019/11/06,15:23:32,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,141.583,-4.616,-0.110,1131.00,183.715,12:0,2.017,0.216,1.921,16.891,85.695,5.564,0.475,-0.071,128.806,-6.491,-1.991,0.431,,,,,,,,,,,,-4.053,62.429,-0.267,15.240,1.769,0.909,-38.919,-3.450,-0.793,8.918,2.408,"Coe College","Coe College",,,,,{91D20F9A-C5BA-4CCC-8433-08398F13875C},0.033,0.585
