No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m]
160,2/20/21,13:19:39,0,0,Jordan Joselit,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},R,Coe College,Wind Up,,Bottom,,,,Two Seam Fastball,,Ball,,,,,,,37.071,0.26,-1.764,1890,246.191,2:15,1.872,0.606,1.668,-0.845,0.186,0.478,1.101,0.581,33.831,-5.92,1.744,0.464,,,,,,,,,,,,-0.266,0.11,-0.563,15.24,1.872,0.939,-36.512,-0.162,-4.65,6.816,-7.88,Coe College,Coe College,,,,,{6917A806-7AD0-430B-8593-C0711921F567},-0.581,1.101
161,2/20/21,13:19:44,0,0,Jordan Joselit,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},R,Coe College,Wind Up,,Bottom,,,,Four Seam Fastball,,,,,,,,,34.688,1.711,-5.256,1964,352.319,5:45,1.895,-1.275,1.867,-1.533,-0.359,0.043,0.847,-2.717,31.236,-9.637,-4.94,0.499,,,,,,,,,,,,-0.066,-0.185,1.397,15.24,1.926,3.097,-33.812,0.53,-0.97,6.819,-12.541,Coe College,Coe College,,,,,{9DF74938-9B5F-4A5D-B5F0-3648C5872D58},2.717,0.847
162,2/20/21,13:19:56,0,0,Jordan Joselit,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},R,Coe College,Wind Up,,Bottom,,,,Curveball,,Called Strike,,,,,,,29.708,1.79,-1.445,1725,63.407,8:00,1.931,0.496,1.628,-1.764,-0.164,-0.239,0.68,-0.156,27.456,-11.023,-3.198,0.579,,,,,,,,,,,,0.116,-0.076,-0.454,15.24,1.965,0.818,-29.415,0.36,1.304,4.769,-10.668,Coe College,Coe College,,,,,{34249993-478C-47BF-8699-F5B2D927346C},0.156,0.68
163,2/20/21,13:20:14,0,0,Jordan Joselit,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},R,Coe College,Wind Up,,Bottom,,,,Changeup,,Ball,,,,,,,31.031,1.325,-1.68,2161,227.143,1:30,1.982,0.64,1.695,-1.08,0.358,0.448,1.279,0.61,28.113,-6.671,1.652,0.552,,,,,,,,,,,,-0.254,0.211,-0.6,15.24,2.008,0.763,-30.874,0.371,-3.112,5.881,-7.218,Coe College,Coe College,,,,,{AC0B5124-8670-454F-A57C-9EA0980FE542},-0.61,1.279
164,2/20/21,13:20:30,0,0,Jordan Joselit,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},R,Coe College,Wind Up,,Bottom,,,,Two Seam Fastball,,Called Strike,,,,,,,36.977,-2.423,-4.055,1864,211.86,1:00,1.954,0.564,1.709,-0.483,0.561,0.365,0.78,-0.226,33.471,-5.967,-1.371,0.467,,,,,,,,,,,,-0.223,0.33,-0.462,15.24,1.887,2.429,-36.197,-1.717,-3.828,6.843,-4.136,Coe College,Coe College,,,,,{40B68FA8-8A0F-480D-B8E9-842C8A64BD28},0.226,0.78
166,2/20/21,13:22:37,0,0,Jordan Joselit,{D304CF23-C8A4-483D-9EAF-266F496CC647},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,23.58,-0.754,1.252,1230,24.581,6:45,2.286,-1.175,0.189,-3.991,-0.969,-0.38,,,,,,,,,,,,,,,,,,0.184,-0.37,1.119,15.24,2.144,-0.354,-23.14,-1.9,1.254,3.475,-12.336,Coe College,Coe College,,,,,{56CC8C24-3262-40F2-AE3A-C4CCB4B79904},1.166,-1.94
167,2/20/21,13:34:55,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,32.619,5.118,-3.673,2153,0.995,6:00,1.03,0.969,1.699,-1.95,-0.615,-0.01,0.544,-0.088,29.758,-9.16,-3.747,0.529,,,,,,,,,,,,-0.022,-0.346,-0.873,15.24,1.15,2.061,-32.055,2.228,-0.293,5.676,-14.432,Coe College,Coe College,,,,,{2470C85B-B397-4987-B761-B4E449358A62},0.088,0.544
168,2/20/21,13:35:33,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{9F8D89C3-2348-44B7-9975-4DC66452D10E},,
169,2/20/21,13:35:55,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,32.315,4.868,-3.217,1481,324.791,4:45,1.045,0.96,1.735,-1.654,-0.301,0.193,0.78,0.238,29.614,-7.242,-1.799,0.53,,,,,,,,,,,,-0.124,-0.179,-0.879,15.24,1.158,1.724,-31.787,2.171,-1.655,5.004,-12.191,Coe College,Coe College,,,,,{1000A41D-F6C3-4C4E-9748-39503AD47998},-0.238,0.78
170,2/20/21,13:36:16,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,28.482,2.235,-4.136,1938,115.796,9:45,1.331,0.814,1.634,-1.53,0.246,-0.626,0.442,-0.996,,,,0.612,,,,,,,,,,,,0.3,0.144,-0.696,15.24,1.38,2.206,-27.914,0.635,3.019,4.561,-8.36,Coe College,Coe College,,,,,{44A8AB87-B2FC-4290-A2D6-CDDD23C7E46E},0.996,0.442
171,2/20/21,13:36:53,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{4B2CA3F1-1EA8-4B80-8C9F-2264CE5EE09C},,
172,2/20/21,13:37:14,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,28.639,5.74,-2.072,1940,43.715,7:30,1.169,0.906,1.723,-2.012,-0.28,-0.239,0.795,0.077,26.356,-8.95,-3.826,0.599,,,,,,,,,,,,0.114,-0.172,-0.85,15.24,1.303,1.088,-28.152,2.246,1.186,3.975,-11.599,Coe College,Coe College,,,,,{E91D52AD-8E8B-44A3-969B-6CB1C669B765},-0.077,0.795
173,2/20/21,13:37:27,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,32.545,5.072,-3.829,1940,321.214,4:45,0.934,0.945,1.752,-1.744,-0.407,0.304,0.636,0.161,29.743,-7.715,-1.596,0.527,,,,,,,,,,,,-0.189,-0.238,-0.851,15.24,1.05,2.04,-31.955,2.276,-2.529,5.168,-13.001,Coe College,Coe College,,,,,{D408D008-A236-4C55-A122-9D1BA82571F2},-0.161,0.636
174,2/20/21,13:37:43,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,29.401,2.163,-4.458,1956,119.795,10:00,1.246,1.032,1.867,-1.542,0.064,-0.189,0.316,-0.415,26.955,-9.208,-5.855,0.58,,,,,,,,,,,,0.069,0.043,-0.927,15.24,1.287,2.309,-28.962,0.677,0.758,4.668,-9.339,Coe College,Coe College,,,,,{D428709E-D156-47E2-898F-54ED66613AF6},0.415,0.316
175,2/20/21,13:39:38,0,0,Jacob Schmit,{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,32.771,1.432,-1.42,1076,299.089,4:00,1.841,0.52,1.686,-1.477,-0.155,0.213,0.772,0.329,29.947,-9.366,0.149,0.526,,,,,,,,,,,,-0.124,-0.073,-0.485,15.24,1.867,0.727,-32.216,0.307,-1.676,5.565,-10.803,Coe College,Coe College,,,,,{516E60BA-49B7-40D0-83A1-2DB42E60E809},-0.329,0.772
176,2/20/21,13:39:55,0,0,Jacob Schmit,{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,30.829,3.609,-4.87,2004,252.503,2:30,1.804,0.901,1.681,-1.339,0.157,0.601,1.498,0.111,28.133,-6.187,-0.465,0.558,,,,,,,,,,,,-0.353,0.074,-0.776,15.24,1.889,2.393,-30.349,1.492,-4.266,4.688,-8.907,Coe College,Coe College,,,,,{A7FEFC65-09C9-427A-AA54-E9BC1308A0BB},-0.111,1.498
177,2/20/21,13:40:11,0,0,Jacob Schmit,{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,30.177,-2.538,-2.689,1964,186.53,12:15,2.282,0.63,1.809,-1.086,0.443,0.052,0.478,-0.078,28.225,-10.415,-2.304,0.561,,,,,,,,,,,,-0.044,0.261,-0.565,15.24,2.213,1.385,-29.821,-1.644,-0.523,4.049,-6.721,Coe College,Coe College,,,,,{83C716AA-3620-474F-9ACA-0FBC0A04A12A},0.078,0.478
178,2/20/21,13:40:27,0,0,Jacob Schmit,{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,33.414,-0.275,-1.109,2118,4.628,6:15,1.794,0.493,1.718,-1.76,-0.492,-0.037,,,30.899,-13.042,-1.382,,,,,,,,,,,,,0.012,-0.242,-0.465,15.24,1.773,0.648,-32.849,-0.753,0.165,5.857,-13.219,Coe College,Coe College,,,,,{462141B7-52C2-4751-85B0-583CF9388225},-0.141,-0.044
