No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/02/02,14:45:39,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.352,-2.106,-2.937,2392.00,242.449,2:0,1.702,0.552,2.192,-0.826,0.157,0.301,0.294,0.041,33.803,-8.272,-0.517,0.448,,,,,,,,,,,,-0.502,0.683,-0.519,15.240,1.686,2.331,-36.848,-1.866,-6.261,7.804,-6.674,"Coe College","Coe College",,,,,{AECF8808-5B1C-40C2-8C3E-BE1E2D45592E},-0.091,0.323
2,2019/02/02,14:45:51,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,37.118,0.833,-0.157,2274.00,123.697,10:0,1.539,0.536,1.942,-0.776,0.253,-0.379,0.996,0.113,33.281,-5.075,-2.765,0.458,,,,,,,,,,,,-0.112,0.372,-0.620,15.240,1.538,1.166,-36.580,0.541,-0.293,7.750,-9.026,"Coe College","Coe College",,,,,{02EE64A4-6524-4FDC-B8D2-936FF87EA1C6},-0.156,0.967
3,2019/02/02,14:46:04,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,32.676,1.797,-1.250,1250.00,64.868,8:15,1.482,0.542,1.984,-1.508,-0.205,-0.436,0.477,-0.244,29.565,-9.509,-4.089,0.515,,,,,,,,,,,,-0.013,0.199,-0.526,15.240,1.514,1.173,-32.575,0.821,1.532,6.580,-13.014,"Coe College","Coe College",,,,,{4F36EA71-6B4C-4037-9164-254A46711247},0.202,0.443
4,2019/02/02,14:46:15,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.279,0.005,0.124,1536.00,142.376,10:45,1.601,0.566,2.216,-0.616,0.366,-0.282,0.986,0.318,33.513,-4.755,-1.927,0.448,,,,,,,,,,,,-0.101,0.534,-0.627,15.240,1.569,0.787,-36.781,-0.011,-0.718,8.114,-6.649,"Coe College","Coe College",,,,,{93AA9A81-D110-4736-B34B-1B48F837D7E0},-0.359,0.979
5,2019/02/02,14:46:27,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Changeup,,Ball,,,,,,,33.169,1.001,-2.086,1897.00,135.108,10:30,1.511,0.348,2.106,-1.116,0.141,-0.141,0.673,-0.372,29.800,-7.444,-3.062,0.506,,,,,,,,,,,,-0.334,0.339,-0.355,15.240,1.497,1.941,-32.858,0.706,-2.481,6.312,-10.865,"Coe College","Coe College",,,,,{7E81163B-8F03-4AAA-9E0F-CCA16401EC2D},0.283,0.634
6,2019/02/02,14:46:47,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Curveball,,"Called Strike",,,,,,,31.577,1.573,-1.729,2490.00,175.668,11:45,1.658,0.663,1.788,-0.940,0.502,-0.038,1.163,0.135,28.200,-5.507,-2.049,0.542,,,,,,,,,,,,-0.008,0.500,-0.588,15.240,1.668,0.713,-31.313,0.969,0.906,5.937,-8.662,"Coe College","Coe College",,,,,{FA1816D1-6D34-475F-A236-27829E962172},-0.128,1.098
7,2019/02/02,14:47:00,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Curveball,,Ball,,,,,,,31.765,1.470,-3.500,2383.00,32.028,7:0,1.533,0.486,2.073,-1.741,-0.350,-0.219,0.202,-0.708,28.613,-11.475,-5.227,0.532,,,,,,,,,,,,-0.016,0.131,-0.415,15.240,1.533,1.768,-31.497,0.764,2.251,6.943,-14.305,"Coe College","Coe College",,,,,{4F769C2C-6C3D-41AE-987A-BC8D6C8E5B23},0.730,0.170
8,2019/02/02,14:47:13,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,37.730,0.781,-2.552,2410.00,247.615,2:15,1.505,0.658,2.074,-0.836,0.148,0.360,0.886,0.308,33.795,-5.445,0.293,0.448,,,,,,,,,,,,-0.439,0.356,-0.628,15.240,1.503,1.911,-37.131,0.414,-5.809,8.119,-9.361,"Coe College","Coe College",,,,,{B15C6B9B-D650-42F7-A148-A8C8DDF66AB4},-0.335,0.869
9,2019/02/02,14:47:25,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Changeup,,Ball,,,,,,,32.992,2.601,-0.304,1941.00,100.617,9:15,1.415,0.503,2.186,-1.234,0.027,-0.142,0.900,0.277,29.521,-6.799,-1.045,0.507,,,,,,,,,,,,-0.123,0.322,-0.536,15.240,1.458,0.687,-32.664,1.241,-0.929,6.423,-10.428,"Coe College","Coe College",,,,,{F3AD14D1-0CB9-402E-AFCF-A81C83D2653F},-0.315,0.880
10,2019/02/02,14:47:37,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,37.926,-1.042,-2.985,2437.00,272.384,3:0,1.597,0.710,2.377,-0.945,-0.017,0.417,0.367,0.311,34.385,-8.190,0.275,0.435,,,,,,,,,,,,-0.561,0.458,-0.671,15.240,1.585,2.339,-37.531,-0.983,-7.810,7.871,-9.459,"Coe College","Coe College",,,,,{8D4F48DD-24E3-4191-A44C-6D5FCCA2D142},-0.369,0.385
