No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
119,2019/01/29,16:43:27,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.592,1.578,-1.247,2329.00,126.021,10:15,1.563,0.433,1.839,-0.971,0.349,-0.481,1.037,-0.400,29.449,-5.834,-4.459,0.519,,,,,,,,,,,,-0.005,0.405,-0.428,15.240,1.573,1.268,-32.441,0.995,1.823,5.770,-9.507,"Coe College","Coe College",,,,,{A45282F8-14B0-4C15-BBD1-9D6EFD9527FB},0.375,0.981
120,2019/01/29,16:43:39,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.268,2.338,-0.631,2176.00,32.556,7:0,1.434,0.552,2.064,-1.716,-0.393,-0.251,0.369,0.125,29.217,-10.524,-2.101,0.519,,,,,,,,,,,,-0.013,0.097,-0.560,15.240,1.447,0.680,-31.980,1.138,0.799,5.588,-14.259,"Coe College","Coe College",,,,,{435214B7-DF4F-4AB7-9BFB-D73CA8A1C95F},-0.141,0.348
121,2019/01/29,16:44:16,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,33.769,0.611,-1.345,,173.483,11:45,1.590,0.582,2.385,-0.745,0.427,-0.049,1.011,0.166,30.245,-5.210,-1.713,0.489,,,,,,,,,,,,-0.132,0.426,-0.594,15.240,1.537,1.025,-33.221,0.837,-0.617,5.830,-9.086,"Coe College","Coe College",,,,,{4B478FDC-8CB9-4B3D-81AA-DC2FEC8ACA2A},-0.185,0.952
122,2019/01/29,16:45:39,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,37.667,0.083,-3.686,1153.00,239.023,2:0,1.511,0.587,2.086,-0.747,0.216,0.360,0.787,-0.078,34.203,-5.580,-1.067,0.443,,,,,,,,,,,,-0.377,0.191,-0.512,15.240,1.459,2.258,-37.180,0.709,-4.052,6.489,-12.243,"Coe College","Coe College",,,,,{32F7BCFC-9283-4D39-8013-60C5B950B88A},0.074,0.717
123,2019/01/29,16:45:51,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.805,-0.012,-1.415,1183.00,177.444,12:0,1.523,0.671,2.011,-0.731,0.241,-0.011,0.789,0.265,34.186,-5.515,-1.339,0.445,,,,,,,,,,,,-0.301,0.298,-0.673,15.240,1.494,1.612,-37.200,0.343,-3.543,6.939,-10.623,"Coe College","Coe College",,,,,{5E092FEF-3D86-43F8-B511-23F0E23D0F07},-0.310,0.735
124,2019/01/29,16:46:03,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Cutter,,Ball,,,,,,,33.797,1.889,-4.332,,294.966,3:45,1.450,0.643,1.966,-1.357,-0.145,0.311,0.624,-0.261,30.656,-8.227,-2.140,0.497,,,,,,,,,,,,-0.324,0.038,-0.537,15.240,1.450,2.241,-33.451,1.363,-2.035,5.558,-14.723,"Coe College","Coe College",,,,,{D1985A23-1DC1-4011-B429-50B8DA77E626},0.276,0.533
125,2019/01/29,16:46:16,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,37.776,-0.661,-1.308,2464.00,142.833,10:45,1.578,0.593,2.145,-0.668,0.288,-0.218,0.727,0.013,34.240,-5.746,-2.921,0.441,,,,,,,,,,,,-0.118,0.428,-0.588,15.240,1.548,1.322,-37.413,-0.286,-0.205,7.328,-8.897,"Coe College","Coe College",,,,,{71918E4D-A355-4FF7-B117-D364100FE774},-0.063,0.683
126,2019/01/29,16:46:30,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,33.834,2.318,-1.767,2115.00,225.713,1:30,1.409,0.620,2.202,-0.828,0.365,0.375,1.220,0.507,30.231,-3.984,1.183,0.493,,,,,,,,,,,,-0.446,0.261,-0.619,15.240,1.421,1.388,-33.425,1.742,-5.347,6.228,-10.385,"Coe College","Coe College",,,,,{45040241-4D53-44AA-9A33-66EF444BBB39},-0.547,1.123
127,2019/01/29,16:46:49,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Curveball,,"Called Strike",,,,,,,32.176,0.372,-2.458,2500.00,197.748,12:30,1.694,0.703,1.979,-1.040,0.303,0.097,0.758,0.112,29.030,-7.472,-1.789,0.523,,,,,,,,,,,,-0.261,0.485,-0.660,15.240,1.680,1.521,-31.924,0.259,-1.771,5.525,-9.597,"Coe College","Coe College",,,,,{F9DE394C-9B11-4255-9356-71E0B8A2F9CE},-0.133,0.695
128,2019/01/29,16:47:02,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Curveball,,"Called Strike",,,,,,,32.510,1.798,-4.131,2543.00,271.634,3:0,1.551,0.772,1.858,-1.340,-0.008,0.280,0.720,-0.115,29.400,-8.119,-2.024,0.521,,,,,,,,,,,,-0.383,0.277,-0.672,15.240,1.578,2.279,-32.279,0.863,-2.651,5.564,-11.793,"Coe College","Coe College",,,,,{9563AD63-D5A7-4CF6-845D-99128C941F0E},0.112,0.658
